English	Bosnian
trouble	problem
user	korisnik
army	kopnena vojska
base	baza, baza operacija
club	klub, društveni klub
company	društvo, druženje
contest	takmičenje
country	zemlja, država
court	sud
crime	zločin, kazneno djelo
culture	kultura
democracy	republika
dominion	vlast, vladavina
election	izbori
existence	egzistencija
female	žensko
government	državna vlada, režim
history	historija
individual	pojedinac, individua
institution	institucija
king	kralj
male	muškarac
member	član
nation	nacija, zemlja
news	vijesti , novosti, obavještenje
noise	buka
order	naredba
organization	organizacija
pass	propusnica, laissez passer
passport	pasoš
peace	mir
people	ljudi
police	policija, zakon
policy	politika
population	stanovništvo
public	javnost, stanovništvo
punishment	kazna, sankcija
religion	vjera
religion	religija
state	država
title	naslov
union	savez
war	rat, ratno stanje
will	volja
will	testament
ball	lopta
baseball	bejzbol
bike	bicikl
championship	prvenstvo, naslov
competitor	takmičar, rival
cup	kup
football	fudbal, nogomet
game	igra
goal	gol
goal	kraj, cilj
gold	zlato
golf	golf
match	utakmica, meč
player	igrač
record	rekord
silver	srebro
tennis	tenis
throw	bacanje
win	pobjeda
bell	zvono
button	dugme, tipka
gun	pištolj
hammer	čekić
hook	kuka, kandža
key	ključ
lock	brava
match	šibica
nail	ekser
needle	igla, iglica
pump	pumpa
rope	uže
scissors	makaze
spring	proljeće
stamp	pečat
whip	bič
cloud	oblak
dew	rosa
fog	magla
frost	mraz
rain	kiša
rainbow	duga
snow	snijeg
storm	oluja
thunder	grom, grmljavina
wind	vjetar, propuh