English	Finnish
American football	Luokka:Amerikkalainen jalkapallo
Americium	Amerikium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametisti
Amharic	Amharan kieli
Amide	Amidi
Amine	Amiini
Amino acid	Aminohappo
Amish	Amishit
Amman	Amman
Ammeter	Ampeerimittari
Ammonia	Ammoniakki
Amnesia	Amnesia
Amnesty	Amnestia
Ampere	Ampeeri
Amphetamine	Amfetamiini
Amphibian	Sammakkoeläimet
Amphitheatre	Amfiteatteri
Amphora	Amfora
Amplitude	Amplitudi
Amsterdam	Amsterdam
Amsterdam	Luokka:Amsterdam
Amun	Amon
Amur	Amur
Anabaptist	Anabaptismi
Anagram	Anagrammi
Anaheim	Anaheim
Anal sex	Anaaliseksi
Analytic geometry	Analyyttinen geometria
Anarchism	Anarkismi
Anarchism	Luokka:Anarkismi
Anarchy	Anarkia
Anatidae	Sorsat
Anatole France	Anatole France
Anatomy	Luokka:Anatomia
Anatomy	Anatomia
Anaxagoras	Anaksagoras
Anaximander	Anaksimandros
Anchor	Ankkuri
Anchorage	Anchorage
Ancient Greek	Muinaiskreikka
Ancient history	Luokka:Antiikki
Andalusia	Andalusia
Andaman Sea	Andamaanienmeri
Anders Celsius	Anders Celsius
Andes	Andit
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Luokka:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrei Saharov
Andrei Tarkovsky	Andrei Tarkovski
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Androidi
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (tähdistö)
Andromeda (mythology)	Andromeda (mytologia)
Andromeda Galaxy	Andromedan galaksi
Andy Warhol	Andy Warhol
Anemia	Anemia
Anemometer	Anemometri
Anesthesia	Anestesia
Angara River	Angara
Angel	Enkeli
Angel Falls	Angelin putoukset
Angle	Kulma
Angola	Angola
Angola	Luokka:Angola
Anguilla	Anguilla
Angular momentum	Pyörimismäärä
Angular velocity	Kulmanopeus
Anicius Manlius Severinus Boethius	Boëthius
Aniline	Aniliini
Animal	Eläinkunta
Animation	Animaatio
Anime	Anime
Anime	Luokka:Anime
Animism	Animismi
Anise	Anisruoho
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anna Boleyn
Annelid	Nivelmadot
Anno Domini	Jälkeen Kristuksen
Annunciation	Marian ilmestyspäivä
Anode	Anodi
Anseriformes	Sorsalinnut
Anseriformes	Luokka:Sorsalinnut
Ant	Muurahaiset
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Etelämanner
Antares	Antares
Antenna (radio)	Antenni
Anthony Hopkins	Anthony Hopkins
Anthrax	Pernarutto
Anthropology	Antropologia
Anthropology	Luokka:Antropologia
Anthroposophy	Antroposofia
Antibiotic	Antibiootti
Antibody	Vasta-aine
Antichrist	Antikristus
Anticyclone	Korkeapaine
Antigen	Antigeeni
Antigone	Antigone
Antigua and Barbuda	Antigua ja Barbuda
Antigua and Barbuda	Luokka:Antigua ja Barbuda
Antimatter	Antimateria
Antimony	Antimoni
Antioxidant	Antioksidantti
Antipope	Vastapaavi
Antisemitism	Antisemitismi
Antisemitism	Luokka:Antisemitismi
Antlia	Ilmapumppu (tähdistö)
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Tšehov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonyymi
Antwerp	Antwerpen
Antwerp (province)	Antwerpen (maakunta)
Anubis	Anubis
Anus	Peräaukko
Aorta	Aortta
Apache	Apassit
Apatite	Apatiitti
Aphasia	Afasia
Aphorism	Aforismi
Aphrodite	Afrodite
Apia	Apia
Apiaceae	Sarjakukkaiskasvit
Apocrypha	Apokryfiset kirjat
Apodiformes	Kiitäjälinnut
Apollo	Apollon
Apollo (disambiguation)	Apollo
Apollo program	Apollo (avaruusohjelma)
Apollo program	Luokka:Apollo-ohjelma
Apoptosis	Apoptoosi
Appalachian Mountains	Appalakit
Apple	Tarhaomenapuu
Applied mathematics	Sovellettu matematiikka
Apricot	Aprikoosi
April	Huhtikuu
April 14	14. huhtikuuta
April Fools' Day	Aprillipäivä
Apse	Apsis
Apulia	Apulia
Apus	Paratiisilintu (tähdistö)
Aqaba	Akaba
Aqua regia	Kuningasvesi
Aquamarine	Akvamariini
Aquarium	Akvaario
Aquarius (constellation)	Vesimies (tähdistö)
Aqueduct	Akvedukti
Aquila (constellation)	Kotka (tähdistö)
Aquitaine	Akvitania
Ara (constellation)	Alttari (tähdistö)
Arab	Arabit
Arab League	Arabiliitto
Arabian Peninsula	Arabian niemimaa
Arabian Sea	Arabianmeri
Arabic alphabet	Arabialainen kirjaimisto
Arabic language	Arabian kieli
Araceae	Vehkakasvit
Arachnid	Hämähäkkieläimet
Arafura Sea	Arafuranmeri
Aragon	Aragonia
Aral Sea	Araljärvi
Aram Khachaturian	Aram Hatšaturjan
Arcadia	Arkadia
Arcangelo Corelli	Arcangelo Corelli
Arch	Kaari (rakennustekniikka)
Archaeology	Arkeologia
Archaeology	Luokka:Arkeologia
Archaeopteryx	Archaeopteryx
Archangel	Arkkienkeli
Archbishop	Arkkipiispa
Archean	Arkeeinen eoni
Archetype	Arkkityyppi
Archimedes	Arkhimedes
Archipelago	Saaristo
Architect	Arkkitehti
Architecture	Arkkitehtuuri
Architecture	Luokka:Arkkitehtuuri
Archive	Arkisto
Archosaur	Arkosaurit
Arctic	Arktinen alue
Arctic Circle	Napapiiri
Arctic Ocean	Pohjoinen jäämeri
Arctic fox	Naali
Ardennes	Ardennit
Ardennes (department)	Ardennes
Are	Aari (yksikkö)
Area	Pinta-ala
Arecaceae	Palmukasvit
Ares	Ares
Argentina	Argentiina
Argentina	Luokka:Argentiina
Argon	Argon
Argos	Argos (kaupunki)
Aria	Aaria
Ariadne	Ariadne
Arianism	Areiolaisuus
Aries (constellation)	Oinas
Aristarchus of Samos	Aristarkhos
Aristocracy	Aristokratia
Aristophanes	Aristofanes
Aristotle	Aristoteles
Arithmetic	Aritmetiikka
Arithmetic	Luokka:Aritmetiikka
Arithmetic progression	Aritmeettinen sarja
Arius	Areios
Arizona	Arizona
Arizona	Luokka:Arizona
Ark of the Covenant	Liitonarkku
