English	Croatian
Arkansas	Arkansas
Arkansas	Kategorija:Arkansas
Arles	Arles
Armenia	Armenija
Armenia	Kategorija:Armenija
Armenian language	Armenski jezik
Arminius	Arminije
Arnhem	Arnhem
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Areni
Arquebus	Arkebuza
Arrow	Strijela
Arsenic	Arsen
Art	Umjetnost
Art Nouveau	Art Nouveau
Art history	Povijest umjetnosti
Artemis	Artemida
Artery	Arterija
Arthropod	Člankonošci
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley	Arthur Wellesley, Vojvoda od Wellingtona
Artificial intelligence	Umjetna inteligencija
Artificial intelligence	Kategorija:Umjetna inteligencija
Artillery	Topništvo
Artillery	Kategorija:Topništvo
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Asclepius	Asklepije
Asexuality	Aseksualnost
Asgard	Asgard
Ash Wednesday	Pepelnica
Ashurbanipal	Asurbanipal
Asia	Azija
Asia	Kategorija:Azija
Asmara	Asmara
Aspirin	Acetilsalicilna kiselina
Assassination	Atentat
Assembly language	Asemblerski jezik
Assyria	Asirija
Assyria	Kategorija:Asirija
Astana	Astana
Astatine	Astat
Asteroid	Asteroidi
Asteroid belt	Asteroidni pojas
Asthenosphere	Astenosfera
Asthma	Astma
Astrakhan	Astrahan
Astrobiology	Astrobiologija
Astrolabe	Astrolab
Astrology	Astrologija
Astrology	Kategorija:Astrologija
Astronaut	Astronaut
Astronomer	Astronom
Astronomical unit	Astronomska jedinica
Astronomy	Astronomija
Astronomy	Kategorija:Astronomija
Astrophysics	Astrofizika
Astrophysics	Kategorija:Astrofizika
Aswan	Asuan
Asynchronous Transfer Mode	ATM
Atacama Desert	Atacama
Aten	Aton
Athena	Atena (mitologija)
Athens	Atena (grad)
Athletics	Kategorija:Atletika
Athletics (track and field)	Atletika
Atlanta	Atlanta, Georgia
Atlantic Ocean	Atlantski ocean
Atlantic Ocean	Kategorija:Atlantski ocean
Atlantis	Atlantida
Atlas (disambiguation)	Atlas
Atlas (moon)	Atlas (mjesec)
Atlas (mythology)	Atlant
Atmosphere	Atmosfera
Atmosphere (unit)	Standardna atmosfera
Atmospheric pressure	Atmosferski tlak
Atoll	Atol
Atom	Atom
Atomic mass	Atomska masa
Atomic mass unit	Atomska jedinica mase
Atomic number	Atomski broj
Atropine	Atropin
Attila the Hun	Atila
Au	Au
August	Kolovoz
August 1	1. kolovoza
August 15	15. kolovoza
August 6	6. kolovoza
August Strindberg	August Strindberg
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Sveti Augustin
Augustus	August
Auriga (constellation)	Kočijaš (zviježđe)
Aurora (astronomy)	Polarna svjetlost
Australasia	Australazija
Australia	Australija
Australia	Kategorija:Australija
Australian dollar	Australski dolar
Australopithecus	Australopitek
Austria	Austrija
Austria	Kategorija:Austrija
Austria-Hungary	Austro-Ugarska
Autism	Autizam
Auto racing	Automobilizam
Autobiography	Autobiografija
Automobile	Automobil
Autotroph	Autotrofija
Autumn	Jesen
Auvergne (region)	Auvergne
Avalanche	Snježna lavina
Averroes	Ibn Rušd
Aviation	Kategorija:Zrakoplovstvo
Aviation	Zrakoplovstvo
Avicenna	Ibn Sina
Avignon	Avignon
Avogadro's law	Avogadrov zakon
Axe	Sjekira
Axiom	Aksiom
Axon	Akson
Azerbaijan	Azerbejdžan
Azerbaijan	Kategorija:Azerbejdžan
Azimuth	Azimut
Aztec	Asteci
B	B
BASIC	BASIC
Babylon	Babilon
Babylonia	Babilonija
Backgammon	Backgammon
Bacteria	Bakterije
Bacteria	Kategorija:Bakterije
Bacteriophage	Bakteriofag
Bactrian Camel	Dvogrba deva
Badminton	Badminton
Baffin Island	Baffinov otok
Baghdad	Bagdad
Bahamas	Kategorija:Bahami
Bahrain	Bahrein
Bahrain	Kategorija:Bahrein
Baklava	Baklava
Baku	Baku
Balalaika	Balalajka
Balance sheet	Bilanca
Baldr	Baldr
Balearic Islands	Baleari
Baleen whale	Kitovi usani
Bali	Bali
Balkan Wars	Balkanski ratovi
Balkans	Balkan
Ballet	Balet
Ballet	Kategorija:Balet
Baltic Sea	Baltičko more
Bamako	Bamako
Bamboo	Bambus
Banana	Banana
