English	Japanese
Computer programming	プログラミング (コンピュータ)
Computer programming	Category:プログラミング
Computer science	計算機科学
Computer science	Category:計算機科学
Computer software	ソフトウェア
Computer virus	コンピュータウイルス
Computer-aided design	CAD
Computing	Category:コンピュータ
Conakry	コナクリ
Concentration	濃度
Concerto	協奏曲
Concord	コンコード (ニューハンプシャー州)
Concrete	コンクリート
Condom	コンドーム
Conducting	指揮 (音楽)
Cone (geometry)	円錐
Confederate States of America	アメリカ連合国
Confederation	国家連合
Confession	告解
Confirmation	堅信
Conflict	紛争
Confucianism	儒教
Confucius	孔子
Congo	コンゴ
Congo River	コンゴ川
Conic section	円錐曲線
Connecticut	コネチカット州
Connecticut	Category:コネチカット州
Connective tissue	結合組織
Conquistador	コンキスタドール
Consensus	合意
Conservation of energy	エネルギー保存の法則
Conservatism	保守
Consonant	子音
Constantine I	コンスタンティヌス1世
Constantinople	コンスタンティノポリス
Constellation	星座
Constitution (political)	憲法
Consul	執政官
Consumption (economics)	消費
Contact lens	コンタクトレンズ
Continent	大陸
Continental drift	大陸移動説
Continental shelf	大陸棚
Contract	契約
Contract bridge	コントラクトブリッジ
Convection	対流
Cooking	料理
Cooperative	生活協同組合
Coordinate system	座標
Coordinated Universal Time	協定世界時
Copenhagen	コペンハーゲン
Copper	銅
Copyright	著作権
Cor anglais	コーラングレ
Coraciiformes	ブッポウソウ目
Coral	サンゴ
Coral Sea	珊瑚海
Coral reef	サンゴ礁
Coriander	コリアンダー
Corinth	コリントス
Coriolis effect	コリオリの力
Cork (city)	コーク (アイルランド)
Cormorant	ウ科 (Sibley)
Cornea	角膜
Cornell University	コーネル大学
Cornwall	コーンウォール
Corona Borealis	かんむり座
Corporation	株式会社
Corrosion	腐食
Corsica	コルシカ島
Corundum	コランダム
Corvette	コルベット
Corvidae	カラス科
Corvus (constellation)	からす座
Cosmic microwave background radiation	宇宙背景放射
Cosmic ray	宇宙線
Cosmology	宇宙論
Cosmology	Category:宇宙論・宇宙物理学
Costa Rica	コスタリカ
Costa Rica	Category:コスタリカ
Cotonou	コトヌー
Cotopaxi	コトパクシ山
Cotton	木綿
Cougar	ピューマ
Coulomb	クーロン
Coulomb's law	クーロンの法則
Council of Chalcedon	カルケドン公会議
Council of Ephesus	エフェソス公会議
Council of Trent	トリエント公会議
Counterpoint	対位法
Country	国家
Country music	カントリー・ミュージック
Court	裁判所
Covalent bond	共有結合
Coventry	コヴェントリー
Coyote	コヨーテ
Crab	カニ
Crab Nebula	かに星雲
Crane (bird)	ツル
Crater (constellation)	コップ座
Creationism	創造論
Cremona	クレモナ
Cretaceous	白亜紀
Crete	クレタ島
Cricket	クリケット
Cricket (insect)	コオロギ
Crime	犯罪
Crimea	クリミア自治共和国
Crimean War	クリミア戦争
Criminal law	Category:刑法
Criminology	犯罪学
Criminology	Category:犯罪学
Croatia	クロアチア
Croatia	Category:クロアチア
Crocodile	クロコダイル科
Crocodilia	ワニ
Cronus	クロノス
Cross	十字
Cross product	クロス積
Crossbow	クロスボウ
Crossword	クロスワードパズル
Crow	鴉
Crucifixion	磔
Cruiser	巡洋艦
Crust (geology)	地殻
Crustacean	甲殻類
Crux	みなみじゅうじ座
Cryptography	暗号理論
Cryptography	Category:暗号技術
Crystal	結晶
Crystallography	結晶学
Crystallography	Category:結晶学
Ctenophore	有櫛動物
Cuba	キューバ
Cuba	Category:キューバ
Cube	正六面体
Cubic metre	立方メートル
Cubism	キュビスム
Cuculiformes	カッコウ目
Cucumber	キュウリ
Cucurbitaceae	ウリ科
Cultural Revolution	文化大革命
Culture	文化
Culture	Category:文化
Cumbria	カンブリア (イングランド)
Cumulus cloud	積雲
Cupressaceae	ヒノキ科
Curitiba	クリチバ
Curium	キュリウム
Curling	カーリング
Currency	Category:通貨
Currency	通貨
Curry	カレー
Curve	曲線
Cusco	クスコ
Cyan	シアン (色)
Cyanide	シアン化物
Cyanobacteria	藍藻
Cybele	キュベレー
Cybernetics	サイバネティックス
Cyberpunk	サイバーパンク
Cyclades	キクラデス諸島
Cycling	サイクリング
Cycling	Category:自転車
Cyclone	サイクロン
Cyclops	キュクロープス
Cygnus (constellation)	はくちょう座
Cylinder (geometry)	円柱 (数学)
Cyperaceae	カヤツリグサ科
Cyprinid	コイ科
Cypriniformes	コイ目
Cyprus	キプロス
Cyprus	Category:キプロス
Cyrillic alphabet	キリル文字
Cyrus the Great	大キュロス
Cystic fibrosis	嚢胞性線維症
Cytoplasm	細胞質
Cytosine	シトシン
Cytoskeleton	細胞骨格
Czech Republic	チェコ
Czech Republic	Category:チェコ
Czechoslovakia	チェコスロバキア
Czechoslovakia	Category:チェコスロバキア
D	D
D. H. Lawrence	D・H・ローレンス
D. W. Griffith	D・W・グリフィス
DDT	DDT
DNA	デオキシリボ核酸
DOS	DOS (OS)
DVD	DVD
Dachshund	ダックスフント
Dada	ダダイスム
Daedalus	ダイダロス
Dagger	ダガー
Daguerreotype	ダゲレオタイプ
Dahlia	ダリア
Dakar	ダカール
Dalai Lama	ダライ・ラマ
Dallas	ダラス
Dalmatia	ダルマチア
Dam	ダム
Damascus	ダマスカス
Dance	ダンス
Dance	Category:ダンス
Dandelion	タンポポ
Daniel Bernoulli	ダニエル・ベルヌーイ
Daniel Defoe	ダニエル・デフォー
Daniel Ortega	ダニエル・オルテガ
Danish krone	デンマーク・クローネ
Dante Alighieri	ダンテ・アリギエーリ
Danube	ドナウ川
Daphne	ダプネー
Dar es Salaam	ダルエスサラーム
Dardanelles	ダーダネルス海峡
Darfur	ダルフール
Darjeeling	ダージリン
Dark matter	暗黒物質
Darmstadtium	ダームスタチウム
Darwin	ダーウィン (オーストラリア)
Darwin	ダーウィン
Das Kapital	資本論
Data	データ
Data mining	データマイニング
Data structure	データ構造
Database	データベース
Database management system	データベース管理システム
Date Palm	ナツメヤシ
Dative case	与格
Daugavpils	ダウガフピルス
David	ダビデ
David Hilbert	ダフィット・ヒルベルト
David Hume	デイヴィッド・ヒューム
David Livingstone	デイヴィッド・リヴィングストン
David Ricardo	デヴィッド・リカード
Davis Cup	デビスカップ
Day	日
Days	Category:日付
De facto	デ・ファクト
Deacon	輔祭
Dead Sea	死海
Dead Sea scrolls	死海文書
Deadly nightshade	ベラドンナ
Death	死
Death	Category:死
Decade	10年紀
December	12月
December 31	12月31日
December 8	12月8日
Decibel	デシベル
Decimal	十進法
Decius (emperor)	デキウス
Declination	赤緯
Deco	デコ・ソウザ
Deconstruction	脱構築
Deductive reasoning	演繹
Deer	シカ
Definition	定義
Deflation	デフレーション
Degree	度
Degree (angle)	度 (角度)
Deimos (moon)	ダイモス (衛星)
Deism	理神論
Delaware	デラウェア州
Delaware	Category:デラウェア州
Delft	デルフト
Delhi	デリー
Dell	デル
Delphi	デルポイ
Delphinus	いるか座
Delta	デルタ
Delta (letter)	Δ
Deluge (mythology)	大洪水
Demagogy	デマゴーグ
Dementia	認知症
Demeter	デーメーテール
Democracy	民主主義
Democratic Party (United States)	民主党 (アメリカ)
Democratic Republic of the Congo	コンゴ民主共和国
Democratic Republic of the Congo	Category:コンゴ民主共和国
Democritus	デモクリトス
Demography	人口統計学
Demography	Category:人口
Demon	悪霊
Demosthenes	デモステネス
Deng Xiaoping	トウ小平
Dengue fever	デング熱
Denis Diderot	ドゥニ・ディドロ
Denmark	デンマーク
Denmark	Category:デンマーク
Dennis Gabor	ガーボル・デーネシュ
Density	密度
Dental caries	う蝕
Dentistry	Category:歯学
Dentistry	歯科学
Denver	デンバー
Derivative	微分法
Dermatology	皮膚科学
Des Moines	デモイン
Desert	砂漠
Deserts	Category:砂漠
Desiderius Erasmus	デジデリウス・エラスムス
Design	デザイン
Design	Category:デザイン
Desmond Tutu	デズモンド・ムピロ・ツツ
Destroyer	駆逐艦
Determinant	行列式
Determinism	決定論
Detroit	デトロイト
Deuterium	重水素
Deuteronomy	申命記
Developmental psychology	発達心理学
Device driver	デバイスドライバ
Devon	デヴォン
Devonian	デボン紀
Dew	露
Dew point	露点温度
Dewey Decimal Classification	デューイ十進分類法
Dhaka	ダッカ
Dharma	法 (仏教)
Dhaulagiri	ダウラギリ
Dhole	ドール
Diabetes mellitus	糖尿病
Diacritic	ダイアクリティカルマーク
Dialect	方言
Dialectic	弁証法
Dialectical materialism	唯物弁証法
Diameter	径
Diamond	ダイヤモンド
Diana	ダイアナ (プリンセス・オブ・ウェールズ)
Diana (mythology)	ディアナ
Diarrhea	下痢
Diaspora	ディアスポラ
Diatom	珪藻
Dice	サイコロ
Dicotyledon	双子葉植物
Dictatorship	独裁政治
Dictionary	辞典
Diego Rivera	ディエゴ・リベラ
Diesel	軽油
Diesel engine	ディーゼルエンジン
Dietrich Bonhoeffer	ディートリッヒ・ボンヘッファー
Differential equation	微分方程式
Diffraction	回折
Diffusion	拡散
Digestion	消化
Digestive system	Category:消化器
Digital	デジタル
Digital camera	デジタルカメラ
Digital photography	デジタル写真
Digital subscriber line	デジタル加入者線
Dijon	ディジョン
Dill	イノンド
Dimension	次元
Dingo	ディンゴ
Dinosaur	恐竜
Diocese	教区
Diocletian	ディオクレティアヌス
Diode	ダイオード
Dionysus	ディオニューソス
Diphtheria	ジフテリア
Diphthong	二重母音
Diplodocus	ディプロドクス
Diplomacy	外交
Diplomacy	Category:外交
Dire Straits	ダイアー・ストレイツ
Direct current	直流
Disaccharide	二糖
Disambiguation	Category:曖昧さ回避
Disc jockey	ディスクジョッキー
Discourse	ディスクール
Discrimination	差別
Disease	病気
Distance	距離
Distillation	蒸留
Divergence	発散
Division (mathematics)	除法
Division (military)	師団
Divorce	離婚
Dizzy Gillespie	ディジー・ガレスピー
Djibouti	Category:ジブチ
Djibouti (city)	ジブチ市
Dmitri Mendeleev	ドミトリ・メンデレーエフ
Dmitri Shostakovich	ドミートリイ・ショスタコーヴィチ
Dnieper River	ドニエプル川
Dnipropetrovsk	ドニプロペトロウシク
Doberman Pinscher	ドーベルマン
Doctor of the Church	教会博士
Document	文書
Dodecahedron	正十二面体
Dodecanese	ドデカネス諸島
Dodo	ドードー
Dodoma	ドドマ
Dog	イヌ
Dogma	教義
Doha	ドーハ
Dollar	ドル
Dolly (sheep)	ドリー (羊)
Dolmen	支石墓
Dolomite	ドロマイト
Dolphin	イルカ
Domain (biology)	ドメイン (分類学)
Dome	ドーム
Domesday Book	ドゥームズデイ・ブック
Domestication	家畜化
Dominica	ドミニカ国
Dominica	Category:ドミニカ国
Dominican Order	ドミニコ会
Dominican Republic	ドミニカ共和国
Dominican Republic	Category:ドミニカ共和国
Domitian	ドミティアヌス
Don Quixote	ドン・キホーテ
Don River (Russia)	ドン川
Donald Duck	ドナルドダック
Donatello	ドナテッロ
Donato Bramante	ドナト・ブラマンテ
Donetsk	ドネツィク
Donkey	ロバ
Door	扉
Dopamine	ドーパミン
Doppler effect	ドップラー効果
Dorado	かじき座
Doric order	ドーリア式
Doris Lessing	ドリス・レッシング
Dortmund	ドルトムント
Douala	ドゥアラ
Double bass	コントラバス
Douglas MacArthur	ダグラス・マッカーサー
Dover	ドーバー (デラウェア州)
Dover	ドーバー (イギリス)
Down syndrome	ダウン症候群
Draco (constellation)	りゅう座
Dracula	ドラキュラ
Dragon	ドラゴン
Drainage basin	流域
Drama	ドラマ
Draughts	チェッカー
Dream	夢
Dresden	ドレスデン
Drink	飲料
Dromedary	ヒトコブラクダ
Drought	旱魃
Drug addiction	薬物依存症
Druid	ドルイド
Drum	太鼓
Dualism	二元論
Dualism (philosophy of mind)	二元論
Dubai	ドバイ
Dublin	ダブリン
Dubnium	ドブニウム
Dubrovnik	ドゥブロヴニク
Duck	鴨
Dugong	ジュゴン
Duke	公爵
Duke Ellington	デューク・エリントン
Duke University	デューク大学
Dune	砂丘
Dunkirk	ダンケルク
Duodenum	十二指腸
Durban	ダーバン
Dushanbe	ドゥシャンベ
Dustin Hoffman	ダスティン・ホフマン
Dutch people	Category:オランダの人物
Dwight D. Eisenhower	ドワイト・D・アイゼンハワー
Dynamics (physics)	動力学
Dynamite	ダイナマイト
Dynasty	王朝
Dyslexia	ディスレクシア
Dysprosium	ジスプロシウム
Dystopia	ディストピア
E	E
E (mathematical constant)	ネイピア数
E-mail	電子メール
E. T. A. Hoffmann	E.T.A.ホフマン
ETA	ETA (民族組織)
Eagle	鷲
Ear	耳
Eared seal	アシカ科
Earless seal	アザラシ
Earth	地球
Earth	Category:地球
Earth science	地球科学
Earthquake	地震
East	東
East Africa	東アフリカ
East China Sea	東シナ海
East Germany	ドイツ民主共和国
East Sussex	イースト・サセックス
East Timor	東ティモール
East Timor	Category:東ティモール
Easter	復活祭
Eastern Orthodox Church	正教会
Ebola	エボラ出血熱
Ebro	エブロ川
Eccentricity (mathematics)	離心率
Ecclesiastes	コヘレトの言葉
Echidna	ハリモグラ
Echidna (mythology)	エキドナ
Echinoderm	棘皮動物
Eclipse	食 (天文)
Eclipse (software)	Eclipse (統合開発環境)
Ecliptic	黄道
Ecological niche	ニッチ
Ecology	生態学
Ecology	Category:生態学
Econometrics	計量経済学
Economics	経済学
Economics	Category:経済学
Economy	経済
Ecosystem	生態系
Ecuador	エクアドル
Ecuador	Category:エクアドル
Ecumenical council	公会議
Edgar Allan Poe	エドガー・アラン・ポー
Edgar Degas	エドガー・ドガ
Edgar Rice Burroughs	エドガー・ライス・バローズ
Edinburgh	エディンバラ
Edirne	エディルネ
Edmond Halley	エドモンド・ハレー
Edmonton	エドモントン
Edmund Burke	エドマンド・バーク
Edmund Hillary	エドモンド・ヒラリー
Edmund Husserl	エトムント・フッサール
Edo	江戸
Eduard Buchner	エドゥアルト・ブフナー
Education	教育
Education	Category:教育
Edvard Grieg	エドヴァルド・グリーグ
Edvard Munch	エドヴァルド・ムンク
Edward Gibbon	エドワード・ギボン
Edward Jenner	エドワード・ジェンナー
Edward Teller	エドワード・テラー
Edward the Confessor	エドワード懺悔王
Edwin Hubble	エドウィン・ハッブル
Eel	ウナギ目
Egg (biology)	卵
Eggplant	ナス
Egypt	エジプト
Egypt	Category:エジプト
Egyptian pound	エジプト・ポンド
Egyptology	エジプト学
Eiffel Tower	エッフェル塔
Eindhoven	アイントホーフェン
Einsteinium	アインスタイニウム
Ejaculation	射精
El Cid	エル・シド
El Greco	エル・グレコ
El Paso	エル・パソ (テキサス州)
El Salvador	エルサルバドル
El Salvador	Category:エルサルバドル
Elam	エラム
Elbe	エルベ川
Eleanor Roosevelt	エレノア・ルーズベルト
Election	選挙
Electra	エーレクトラー
Electric charge	電荷
Electric current	電流
Electric field	電場
Electric guitar	エレクトリックギター
Electric motor	電動機
Electrical engineering	Category:電気工学
Electrical engineering	電気工学
Electrical resistance	電気抵抗
Electricity	電気
Electricity	Category:電気
Electrocardiogram	心電図
Electrochemistry	電気化学
Electrochemistry	Category:電気化学
Electrolysis	電気分解
Electrolyte	電解液
Electromagnetic radiation	電磁波
Electromagnetic spectrum	電磁スペクトル
Electromagnetism	電磁気学
Electromagnetism	Category:電磁気学
Electron	電子
Electron microscope	電子顕微鏡
Electronegativity	電気陰性度
Electronics	電子工学
Electronics	Category:電子工学
Elegy	エレジー
Element	エレメント
Elementary particle	基本粒子
Elephant	ゾウ
Elevator	エレベーター
Elf	エルフ
Elia Kazan	エリア・カザン
Elias Canetti	エリアス・カネッティ
Elijah	エリヤ
Elizabeth Taylor	エリザベス・テイラー
Ella Fitzgerald	エラ・フィッツジェラルド
Ellipse	楕円
Ellipsis	リーダー (記号)
Elm	ニレ
Elvis Presley	エルヴィス・プレスリー
Embryo	胚
Emerald	エメラルド
Emilia-Romagna	エミリア＝ロマーニャ州
Emiliano Zapata	エミリアーノ・サパタ
Emily Dickinson	エミリー・ディキンソン
Emir	アミール
Emma Goldman	エマ・ゴールドマン
Emoticon	顔文字
Emotion	感情
Emotion	Category:心
Empathy	共感
Empedocles	エンペドクレス
Emperor	皇帝
Emperor Penguin	コウテイペンギン
Empire	帝国
Empire State Building	エンパイア・ステート・ビルディング
Empiricism	経験論
Emu	エミュー
Emulator	エミュレータ
Emulsion	エマルション
Encyclopedia	百科事典
Endemism	固有種
Endocrine system	内分泌器
Endocrinology	内分泌学
Endocrinology	Category:内分泌学
Energy	エネルギー
Energy	Category:エネルギー
Energy (society)	エネルギー資源
Engine	エンジン
Engineer	技術者
Engineering	工学
Engineering	Category:工学
England	イングランド
England	Category:イングランド
English Channel	イギリス海峡
English Civil War	イングランド内戦
English language	英語
English language	Category:英語
English people	Category:イングランドの人物
Enki	エンキ (メソポタミア神話)
Enrico Caruso	エンリコ・カルーソー
Enrico Fermi	エンリコ・フェルミ
Entertainment	Category:娯楽
Enthalpy	エンタルピー
Entomology	昆虫学
Entomology	Category:昆虫学
Entropy	エントロピー
Environment	Category:環境
Environment	環境
Enzyme	酵素
Eocene	始新世
Eon (geology)	累代
Eos	エーオース
Ephesus	エフェソス
Epic poetry	叙事詩
Epicenter	震源#震央
Epictetus	エピクテトス
Epicurus	エピクロス
Epidemic	伝染病
Epidemiology	疫学
Epigraphy	金石学
Epilepsy	てんかん
Epimetheus (mythology)	エピメーテウス
Epinephrine	アドレナリン
Epiphany (Christian)	公現祭
Epirus (periphery)	イピロス
Epistemology	認識論
Epistle to the Galatians	ガラテヤの信徒への手紙
Epistle to the Romans	ローマの信徒への手紙
Epithelium	上皮細胞
Epsilon	Ε
Equation	方程式
Equator	赤道
Equatorial Guinea	赤道ギニア
Equatorial Guinea	Category:赤道ギニア
Equidae	ウマ科
Equinox	分点
Equisetum	トクサ植物門
Erasure	イレイジャー
Erato	エラトー
Eratosthenes	エラトステネス
Erbium	エルビウム
Erebus	エレボス
Erectile dysfunction	勃起不全
Erection	勃起
Ericaceae	ツツジ科
Ericales	ツツジ目
Eridanus (constellation)	エリダヌス座
Erik Axel Karlfeldt	エリク・アクセル・カールフェルト
Erik Satie	エリック・サティ
Eris (dwarf planet)	エリス (準惑星)
Eris (mythology)	エリス
Eritrea	Category:エリトリア
Ernest Hemingway	アーネスト・ヘミングウェイ
Ernest Rutherford	アーネスト・ラザフォード
Ernst Werner von Siemens	ヴェルナー・フォン・ジーメンス
Eros (mythology)	エロース
Erosion	侵食
Erotica	エロティカ
Erwin Rommel	エルヴィン・ロンメル
Escape velocity	宇宙速度
Eschatology	終末論
Escherichia coli	大腸菌
Esfahan	エスファハーン
Esophagus	食道
Esperanto	エスペラント
Esperanto	Category:エスペラント
Espionage	スパイ
Espoo	エスポー (都市)
Espresso	エスプレッソ
Essay	随筆
Essen	エッセン
Essential oil	精油
Essex	エセックス
Ester	エステル
Estonia	Category:エストニア
Estrogen	エストロゲン
Eta (letter)	Η
Etching	エッチング
Ethane	エタン
Ethanol	エタノール
Ether	エーテル (化学)
Ethernet	イーサネット
Ethics	倫理学
Ethics	Category:倫理
Ethiopia	エチオピア
Ethiopia	Category:エチオピア
Ethnic group	民族
Ethnography	民族誌
Ethnology	Category:民族学
Ethology	動物行動学
Ethylene	エチレン
Etymology	語源
Eucalyptus	ユーカリ
Eucharist	聖餐
Euclid	エウクレイデス
Euclidean geometry	ユークリッド幾何学
Eugene O'Neill	ユージン・オニール
Eukaryote	真核生物
Eunuch	宦官
Euphemism	婉曲法
Euphrates	ユーフラテス川
Eurasia	ユーラシア大陸
Eurasian Badger	アナグマ
Euripides	エウリピデス
Euro	ユーロ
Europa (moon)	エウロパ (衛星)
Europa (mythology)	エウロペ
Europe	ヨーロッパ
Europe	Category:ヨーロッパ
European Central Bank	欧州中央銀行
European Community	欧州共同体
European Magpie	カササギ
European Union	欧州連合
European Union	Category:欧州連合
Europium	ユウロピウム
Eusebius of Caesarea	エウセビオス
Euterpe	エウテルペー
Euthanasia	安楽死
Eva Braun	エヴァ・ブラウン
Evanescence	エヴァネッセンス
Evangelista Torricelli	エヴァンジェリスタ・トリチェリ
Evaporation	蒸発
Even-toed ungulate	ウシ目
Evolution	進化
Excalibur	エクスカリバー
Exchange rate	為替レート
Exclamation mark	感嘆符
Excommunication	破門
Executive (government)	行政
Exhibitionism	露出狂
Existentialism	実存主義
Exodus	出エジプト記
Expected value	期待値
Experiment	実験
Explosion	爆発
Expo (exhibition)	国際博覧会
Exponential function	指数関数
Exponentiation	冪乗
Expressionism	表現主義
Extinction	絶滅
Eye	目
Eye	Category:目
Ezra Pound	エズラ・パウンド
F	F
F. Scott Fitzgerald	F・スコット・フィッツジェラルド
Fabaceae	マメ科
Fable	寓話
Face	顔
Fact	Template:要出典
Factorial	階乗
Factory	工場
Facula	白斑
Fado	ファド
Fagaceae	Category:ブナ科
Fagales	ブナ目
Fahrenheit	華氏
Fair use	フェアユース
Fairy	フェアリー
Fairy tale	童話
Falcon	ハヤブサ属
Falconiformes	タカ目
Falkland Islands	フォークランド諸島
Fallacy	誤謬
Fallopian tube	輸卵管
Fallow Deer	ダマジカ
Falun Gong	法輪功
Family	Category:家族
Family (biology)	科 (分類学)
Family history	家族史
Family name	姓
Fantasy	ファンタジー
Far East	極東
Farad	ファラド
Faroe Islands	Category:フェロー諸島
Fascism	ファシズム
Fascism	Category:ファシズム
Fashion	Category:ファッション
Fashion	ファッション
Fast food	ファーストフード
Fasting	断食
Fatah	ファタハ
Fatty acid	脂肪酸
Fault (geology)	断層
Fauna	動物相
Fauvism	フォーヴィスム
Fax	ファクシミリ
Fear	恐怖
Feather	羽根
February	2月
February 12	2月12日
February 14	2月14日
February 2	2月2日
February 22	2月22日
February 29	2月29日
February Revolution	2月革命 (1917年)
Feces	糞
Federal Bureau of Investigation	連邦捜査局
Federal Reserve System	連邦準備制度
Federated States of Micronesia	ミクロネシア連邦
Federated States of Micronesia	Category:ミクロネシア連邦
Federation	連邦
Federico Fellini	フェデリコ・フェリーニ
Fedora (Linux distribution)	Fedora Core
Feedback	フィードバック
Feldspar	長石
Felidae	ネコ科
Felix Mendelssohn	フェリックス・メンデルスゾーン
Feminism	フェミニズム
Feminism	Category:フェミニズム
Fencing	フェンシング
Feng shui	風水
Fennel	フェンネル
Fenrir	フェンリル
Fenugreek	フェヌグリーク
Ferdinand II	フェルディナント2世 (神聖ローマ皇帝)
Ferdinand Magellan	フェルディナンド・マゼラン
Ferdinand de Saussure	フェルディナン・ド・ソシュール
Fermentation (biochemistry)	発酵
Fermentation (food)	醗酵
Fermion	フェルミ粒子
Fermium	フェルミウム
Fern	シダ植物門
Ferrara	フェラーラ
Ferry	フェリー
Fertile Crescent	肥沃な三日月地帯
Fertilisation	受精
Fertilizer	肥料
Fetus	胎児
Feudalism	封建制
Fever	発熱
Fiat	フィアット
Fibonacci number	フィボナッチ数
Fiction	Category:フィクション
Fictional character	キャラクター
Fidel Castro	フィデル・カストロ
Field (mathematics)	体 (数学)
Field hockey	フィールドホッケー
Fighter aircraft	戦闘機
Figure skating	フィギュアスケート
Fiji	フィジー
Fiji	Category:フィジー
File Allocation Table	File Allocation Table
File Transfer Protocol	File Transfer Protocol
File system	ファイルシステム
Filippo Brunelleschi	フィリッポ・ブルネレスキ
Film	Category:映画
Film	映画
Film	Portal:映画
Film director	映画監督
Fin Whale	ナガスクジラ
Finance	Category:金融
Finance	金融
Finger	指
Fingerprint	指紋
Finland	フィンランド
Finland	Category:フィンランド
Fir	モミ属
Fire	火
Firearm	火器
Firefighter	消防士
Firewall (networking)	ファイアーウォール
Firmware	ファームウェア
First Council of Constantinople	第1コンスタンティノポリス公会議
First Council of Nicaea	第1ニカイア公会議
First Crusade	第1回十字軍
First Epistle to the Corinthians	コリントの信徒への手紙一
First aid	応急処置
First language	母語
Fish	魚類
Fish	Category:魚類
Fishing	釣り
Fishing	Category:釣り
Fjord	フィヨルド
Flag	旗
Flagellum	鞭毛
Flamenco	フラメンコ
Flamingo	フラミンゴ
Flanders	フランドル
Flash memory	フラッシュメモリ
Flatulence	屁
Flatworm	扁形動物
Flea	ノミ
Flemish (linguistics)	フラマン語
Flint	燧石
Flip-flop (electronics)	フリップフロップ
Flood	洪水
Floppy disk	フロッピーディスク
Florence	フィレンツェ
Florence Nightingale	フローレンス・ナイチンゲール
Florida	フロリダ州
Florida	Category:フロリダ州
Flour	小麦粉
Flower	花
Flowering plant	被子植物
Fluid	流体
Fluid mechanics	流体力学
Fluorite	蛍石
Flute	笛
Fly	ハエ目
Fog	霧
Folic acid	葉酸
Folk music	フォークソング
Folklore	伝承
Folklore	Category:伝承
Food	食品
Food additive	食品添加物
Food and Agriculture Organization	国際連合食糧農業機関
Food chain	食物連鎖
Foot	足
Foot (unit of length)	フィート
Football (soccer)	サッカー
Football (soccer)	Category:サッカー
Football (soccer) by country	Category:各国のサッカー
Football (soccer) clubs	Category:サッカークラブ
Football (soccer) managers	Category:サッカー指導者
Football (soccer) players	Category:サッカー選手
Football (soccer) venues	Category:サッカー競技場
Forbidden City	紫禁城
Force	力
Forest	森林
Forestry	林業
Fork	フォーク (食器)
Form of government	政治体制
Formaldehyde	ホルムアルデヒド
Formic acid	ギ酸
Fornax	ろ座
Fort Worth	フォートワース
Fortification	要塞
Fortran	FORTRAN
Fossil	化石
Fossil fuel	化石燃料
Foucault pendulum	フーコーの振り子
Fountain	噴水
Fourier series	フーリエ級数
Fourth Crusade	第4回十字軍
Fox	キツネ
Fractal	フラクタル
Fraction (mathematics)	分数
France	フランス
France	Category:フランス
Francis Bacon	フランシス・ベーコン (哲学者)
Francis Crick	フランシス・クリック
Francis Drake	フランシス・ドレーク
Francis Ford Coppola	フランシス・フォード・コッポラ
Francis II	フランツ2世 (神聖ローマ皇帝)
Francis Poulenc	フランシス・プーランク
Francis of Assisi	アッシジのフランチェスコ
Franciscan	フランシスコ会
Francisco Franco	フランシスコ・フランコ
Francisco Goya	フランシスコ・デ・ゴヤ
Francisco Pizarro	フランシスコ・ピサロ
Francium	フランシウム
Franco-Prussian War	普仏戦争
Frank Lloyd Wright	フランク・ロイド・ライト
Frank Sinatra	フランク・シナトラ
Frankfort	フランクフォート (ケンタッキー州)
Frankfurt	フランクフルト・アム・マイン
Frankfurt	Category:フランクフルト・アム・マイン
Frankfurt (Oder)	フランクフルト・アン・デア・オーダー
Frankfurt (disambiguation)	フランクフルト (曖昧さ回避)
Franklin Pierce	フランクリン・ピアース
Frans Hals	フランス・ハルス
Franz Kafka	フランツ・カフカ
Franz Liszt	フランツ・リスト
Franz Schubert	フランツ・シューベルト
Fred Astaire	フレッド・アステア
Frederick I	フリードリヒ1世 (神聖ローマ皇帝)
Frederick II	フリードリヒ2世 (神聖ローマ皇帝)
Frederick Sanger	フレデリック・サンガー
Frederick Soddy	フレデリック・ソディ
Fredericton	フレデリクトン
Free State	フリーステイト州
Free will	自由意志
Freedom (philosophy)	自由
Freedom of speech	表現の自由
Freemasonry	フリーメイソン
Freetown	フリータウン
Freeware	フリーウェア
French Polynesia	フランス領ポリネシア
French Polynesia	Category:フランス領ポリネシア
French Revolution	フランス革命
French Revolution	Category:フランス革命
French franc	フランス・フラン
French people	Category:フランスの人物
Frequency	周波数
Fresco	フレスコ
Freshwater	淡水
Fresno	フレズノ
Freyja	フレイヤ
Freyr	フレイ
Friction	摩擦
Friday	金曜日
Fridtjof Nansen	フリチョフ・ナンセン
Friedrich Engels	フリードリヒ・エンゲルス
Friesland	フリースラント州
Frigate	フリゲート
Frigg	フリッグ
Fritz Haber	フリッツ・ハーバー
Friuli-Venezia Giulia	フリウリ＝ヴェネツィア・ジュリア州
Frog	カエル
Fructose	フルクトース
Fruit	果実
Fruit	Category:果物
Fucking	フッキング (オーストリア)
Fuel	燃料
Fuel cell	燃料電池
Fugue	フーガ
Fukuoka	福岡市
Full moon	満月
Funafuti	フナフティ島
Function (mathematics)	関数 (数学)
Fundamental	Category:主要カテゴリ
Fundamental interaction	基本相互作用
Fundamentalism	原理主義
Fungi	Category:菌類
Fungus	菌類
Funicular	ケーブルカー
Funk	ファンク
Furniture	Category:家具
Furniture	家具
Future	未来
