Frisian	English
Haadstêd	Capital
Karibyske See	Caribbean Sea
Karolingen	Carolingian dynasty
Carolus Linnaeus	Carolus Linnaeus
Karpaten	Carpathian Mountains
Kartago	Carthage
Kaspyske See	Caspian Sea
Kataloanje	Catalonia
Kataren	Catharism
Sello	Cello
Sintraal-Afrikaanske Republyk	Central African Republic
Ieu	Century
Tsjaad	Chad
Champagne-Ardennen	Champagne-Ardenne
Wilstereftigen	Charadriiformes
Karel de Grutte	Charlemagne
Charles Darwin	Charles Darwin
Charles de Gaulle	Charles de Gaulle
Elemint	Chemical element
Skiekunde	Chemistry
Sily	Chile
Rêchstringdier	Chordate
Christiaan Huygens	Christiaan Huygens
Kristendom	Christianity
Krysttiid	Christmas
Kristoffel Kolumbus	Christopher Columbus
Tsjerke	Church (building)
Kaniel	Cinnamon
Klarinet	Clarinet
Klasse	Class (biology)
Klassike muzyk	Classical music
Claude Monet	Claude Monet
Klovis	Clovis I
Kâlde Kriich	Cold War
Keulen	Cologne
Kolombia	Colombia
Kolorado	Colorado
Kompaktskiif	Compact Disc
Kompleks getal	Complex number
Komponist	Composer
Kompjûter	Computer
Triem	Computer file
Ynformatika	Computer science
Kongo	Congo
Konnetikut	Connecticut
Konkwistadore	Conquistador
Konstantyn de Grutte	Constantine I
Wrâlddiel	Continent
Koördinearre Wrâldtiid	Coordinated Universal Time
Kopenhagen	Copenhagen
Althobo	Cor anglais
Korsika	Corsica
Kosta Rika	Costa Rica
Konsily fan Kalsedon	Council of Chalcedon
Country	Country music
Rjochtbank	Court
Kraanfûgels	Crane (bird)
Krikket	Cricket
Strafrjocht	Criminal law
Kroaasje	Croatia
Suderkrús	Crux
Kuba	Cuba
Kultuer	Culture
Kategory:Kultuer	Culture
Curitiba	Curitiba
Munt	Currency
Syprus	Cyprus
Tsjechje	Czech Republic
Kategory:Tsjechje	Czech Republic
DVD	DVD
Dalai Lama	Dalai Lama
Dalmaasje (regio)	Dalmatia
Dûns	Dance
Daniel Defoe	Daniel Defoe
Deenske kroan	Danish krone
Donau	Danube
Dar es Salaam	Dar es Salaam
Tsjustere matearje	Dark matter
David Hume	David Hume
Dei	Day
Kategory:Datum	Days
Dea	Death
Desennium	Decade
Desimber	December
31 desimber	December 31
8 desimber	December 8
Desius	Decius (emperor)
Deisme	Deism
Delaware	Delaware
Delft	Delft
Demokrasy	Democracy
Demokratyske Partij	Democratic Party (United States)
Demokratyske Republyk Kongo	Democratic Republic of the Congo
Denemark	Denmark
Kategory:Denemark	Denmark
Denver	Denver
Dermatology	Dermatology
Woastyn	Desert
Erasmus	Desiderius Erasmus
Dialekt	Dialect
Diokletianus	Diocletian
Kategory:Trochferwiisside	Disambiguation
Sykte	Disease
Dogma	Dogma
Dolly	Dolly (sheep)
Domeinnamme	Domain name
Dominika	Dominica
Dominikaanske Republyk	Dominican Republic
Donald Duck	Donald Duck
Toaniel	Drama
Tromme	Drum
Dualisme	Dualism
Dualisme	Dualism (philosophy of mind)
Hartoch	Duke
Kategory:Nederlânsk persoan	Dutch people
Euskadi Ta Askatasuna	ETA
Ierde	Earth
Ierdwittenskip	Earth science
Ierdskodding	Earthquake
East Timor	East Timor
Peaske	Easter
Sinnefertsjustering	Eclipse
Ekonomy	Economics
Kategory:Ekonomy	Economics
Ekonomy	Economy
Ekwador	Ecuador
Konsily	Ecumenical council
Edgar Degas	Edgar Degas
Edinboarch	Edinburgh
Edmund Burke	Edmund Burke
Egypte	Egypt
Eiffeltoer	Eiffel Tower
El Salvador	El Salvador
Elbe	Elbe
Elektrotechnyk	Electrical engineering
Elektroanika	Electronics
Oaljefanten	Elephant
Elia	Elijah
Ella Fitzgerald	Ella Fitzgerald
Elvis Presley	Elvis Presley
Emilia-Romagna	Emilia-Romagna
Ensyklopedy	Encyclopedia
Technyk	Engineering
Ingelân	England
It Kanaal	English Channel
Ingelsk	English language
Kategory:Ingelsk persoan	English people
Evener	Equator
Ereksje	Erection
Erwin Rommel	Erwin Rommel
Esperanto	Esperanto
Ets	Etching
Etioopje	Ethiopia
Gedrachsbiology	Ethology
Eufemisme	Euphemism
Eufraat	Euphrates
Jeraazje	Eurasia
Euro	Euro
Jeropa	Europe
Kategory:Jeropa	Europe
Jeropeeske Sintrale Bank	European Central Bank
Ekster	European Magpie
Jeropeeske Uny	European Union
Utfierende macht	Executive (government)
Wrâldútstalling	Expo (exhibition)
Each	Eye
Antlit	Face
Rôffûgels	Falconiformes
Famylje	Family (biology)
Febrewaris	February
12 febrewaris	February 12
14 febrewaris	February 14
2 febrewaris	February 2
22 febrewaris	February 22
29 febrewaris	February 29
Skermjen	Fencing
Ferdinand Magellaan	Ferdinand Magellan
Fear	Ferry
Fidzjy	Fiji
Filmkeunst	Film
Finlân	Finland
Konsily fan Nicea	First Council of Nicaea
Memmetaal	First language
Flagge	Flag
Flamingofûgels	Flamingo
Florâns	Florence
Florida	Florida
Fluit	Flute
Fuotbal	Football (soccer)
Kategory:Fuotbal	Football (soccer)
Kategory:Fuotbalklub	Football (soccer) clubs
Fossyl	Fossil
Frankryk	France
Kategory:Frankryk	France
Fransiskus fan Assisy	Francis of Assisi
Frank Lloyd Wright	Frank Lloyd Wright
Frankfurt	Frankfurt
Kategory:Frankfurt	Frankfurt
Frânske revolúsje	French Revolution
Kategory:Frânsk persoan	French people
Frija	Freyja
Freed	Friday
Friedrich Engels	Friedrich Engels
Fryslân	Friesland
Friuly-Fenezje Giulje	Friuli-Venezia Giulia
Kategory:Haadkategory	Fundamental
Funk	Funk
Gabon	Gabon
Gaborone	Gaborone
Stjerrestelsel	Galaxy
Galysje	Galicia (Spain)
Gamal Abdel Nasser	Gamal Abdel Nasser
Galje	Gaul
Erflikheidslear	Genetics
Genua (stêd)	Genoa
Skaai	Genus
Geografy	Geography
Kategory:Geografy	Geography
Geology	Geology
George Orwell	George Orwell
George W. Bush	George W. Bush
Georgia	Georgia (U.S. state)
Geörgje	Georgia (country)
Kategory:Geörgje	Georgia (country)
Dútsk	German language
Dútslân	Germany
Kategory:Dútslân	Germany
Gestapo	Gestapo
Gint	Ghent
Bamboebear	Giant Panda
Glasgow	Glasgow
Gnostisisme	Gnosticism
God	God
Keningsearn	Golden Eagle
Hjerringslynder	Great Crested Grebe
Sineeske Muorre	Great Wall of China
Grutte Antillen	Greater Antilles
Grikelân	Greece
Kategory:Grikelân	Greece
Grienlân	Greenland
Greenwich Mean Time	Greenwich Mean Time
Gregoriaanske kalinder	Gregorian calendar
Skiere Goes	Greylag Goose
Kraaneftigen	Gruiformes
Guernsey	Guernsey
Gitaar	Guitar
Seefûgels	Gull
HTML	HTML
Hadith	Hadith
Hadrianus	Hadrian
Muorre fan Hadrianus	Hadrian's Wall
Haiti	Haiti
Hamboarch	Hamburg
Hamlet	Hamlet
Hannibal Barkas	Hannibal
Hans Christian Andersen	Hans Christian Andersen
Hânze	Hanseatic League
Harp	Harp
Klavesimbel	Harpsichord
Heech-Normandje	Haute-Normandie
Holle	Head
Joadske jiertelling	Hebrew calendar
Hektare	Hectare
Heinrich Himmler	Heinrich Himmler
Helsinky	Helsinki
Henri Matisse	Henri Matisse
Herodotus	Herodotus
Sulvermiuw	Herring Gull
Hessen	Hesse
Skiednis	History
Kategory:Skiednis	History
Leafhawwerij	Hobby
Kategory:Hillige Roomske Ryk	Holy Roman Empire
Hillige Geast	Holy Spirit
Hondûras	Honduras
Hoarn fan Afrika	Horn of Africa
Oere	Hour
Mosk	House Sparrow
Luchtkessenreau	Hovercraft
Minske	Human
Hûndertjierrige oarloch	Hundred Years' War
Hongarije	Hungary
Yslân	Iceland
Idaho	Idaho
Ido	Ido
Illinois	Illinois
Ympresjonisme	Impressionism
Yndia	India
Indiana	Indiana
Yndoneezje	Indonesia
Yndustriële Revolúsje	Industrial Revolution
Ynsekten	Insect
Ynternet	Internet
Kategory:Ynternet	Internet
Ynterval	Interval (music)
Ionyske See	Ionian Sea
Iowa	Iowa
Iran	Iran
Irak	Iraq
Irenaeus	Irenaeus
Kategory:Iersk persoan	Irish people
Izertiid	Iron Age
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Islam	Islam
Islamityske kalinder	Islamic calendar
Eilân	Island
Man	Isle of Man
Israel	Israel
Istanbûl	Istanbul
Itaalje	Italy
Kategory:Itaalje	Italy
Jack London	Jack London
Jacques Offenbach	Jacques Offenbach
Jamaika	Jamaica
James Bond	James Bond
Jannewaris	January
1 jannewaris	January 1
19 jannewaris	January 19
20 jannewaris	January 20
6 jannewaris	January 6
Japan	Japan
Kategory:Japan	Japan
Jazz	Jazz
Jean-Paul Sartre	Jean-Paul Sartre
Jeddah	Jeddah
Jezus Kristus	Jesus
Johann Sebastian Bach	Johann Sebastian Bach
Jehannes Kalvyn	John Calvin
Jordaanje	Jordan
Joseph Haydn	Joseph Haydn
Joseph Smith	Joseph Smith
Stalin	Joseph Stalin
Jovianus	Jovian
Joadendom	Judaism
Julianus Apostata	Julian the Apostate
July	July
1 july	July 1
4 july	July 4
Juny	June
14 juny	June 14
21 juny	June 21
23 juny	June 23
24 juny	June 24
29 juny	June 29
3 juny	June 3
Juneau	Juneau
Jupiter	Jupiter
KGB	KGB
Kansas	Kansas
Karl Marx	Karl Marx
Katharine Hepburn	Katharine Hepburn
Katowice	Katowice
Kazakstan	Kazakhstan
Kentucky	Kentucky
Kenya	Kenya
Toetseboerd	Keyboard (computing)
Kening (skaken)	King (chess)
Kening Arthur	King Arthur
Kening Lear	King Lear
Tút	Kiss
Krakatau	Krakatoa
Koeweit	Kuwait
Kirgyzje	Kyrgyzstan
L'Akwila (stêd)	L'Aquila
Mar	Lake
Taal	Language
Languedok-Roussillon	Languedoc-Roussillon
Laos	Laos
Laser	Laser
Latynsk	Latin
Latynsk-Amearika	Latin America
Latynske alfabet	Latin alphabet
Letlân	Latvia
Rjocht	Law
Lazio	Lazio
Toer fan Pisa	Leaning Tower of Pisa
Skrikkeljier	Leap year
Libanon	Lebanon
Leien	Leiden
Leon Trotski	Leon Trotsky
Leonardo da Vinci	Leonardo da Vinci
Flinters	Lepidoptera
Lytse Antillen	Lesser Antilles
Lewis Carroll	Lewis Carroll
Libearia	Liberia
Bibleteek	Library
Lybje	Libya
Lychtenstein	Liechtenstein
Bliksem	Lightning
Ligurje	Liguria
Limousin	Limousin (region)
Taalkunde	Linguistics
Kategory:Taalkunde	Linguistics
Lissabon	Lisbon
Literatuer	Literature
Kategory:Literatuer	Literature
Litouwen	Lithuania
Kategory:Litouwen	Lithuania
Loch Ness	Loch Ness
Logika	Logic
Lombardije	Lombardy
Londen	London
Hoarnûle	Long-eared Owl
Lotaringen	Lorraine (region)
Los Angeles	Los Angeles
Loadewyk de Fromme	Louis the Pious
Louisiana	Louisiana
Nederdútsk	Low German
Nedersaksen	Lower Saxony
Luanda	Luanda
Lukretius	Lucretius
Ludwig van Beethoven	Ludwig van Beethoven
Lúksemboarch	Luxembourg
Lyon	Lyon
MS-DOS	MS-DOS
Macbeth	Macbeth
Masedoanje	Macedonia
Madrid (regio)	Madrid (autonomous community)
Magrib	Maghreb
Maine	Maine
Stynske weet	Maize
Maleizje	Malaysia
Maldiven	Maldives
Wylde Ein	Mallard
Malta	Malta
Sûchdieren	Mammal
Manama	Manama
Lamantinen	Manatee
Maraton	Marathon
Maart	March
17 maart	March 17
19 maart	March 19
2 maart	March 2
25 maart	March 25
Marké	Marche
Marko Polo	Marco Polo
Markus Aurelius	Marcus Aurelius
Margaret Mead	Margaret Mead
Maria Curie-Skłodowska	Marie Curie
Mariehamn	Mariehamn
Markeartaal	Markup language
Maarten Luther	Martin Luther
Martin Luther King	Martin Luther King
Marylân	Maryland
Massachusetts	Massachusetts
Mata Hari	Mata Hari
Wiskunde	Mathematics
Kategory:Wiskunde	Mathematics
Mauritaanje	Mauritania
Mauritsius	Mauritius
Maksimianus	Maximian
Maaie	May
1 maaie	May 1
24 maaie	May 24
Boargemaster	Mayor
Genêskunde	Medicine
Kategory:Genêskunde	Medicine
Meditaasje	Meditation
Middellânske See	Mediterranean Sea
Master Eckhart	Meister Eckhart
Meridiaan	Meridian (geography)
Merovingen	Merovingian
Mesopotaamje	Mesopotamia
Metafysika	Metaphysics
Waarkunde	Meteorology
Meksiko	Mexico
Aartsingel Michaël	Michael (archangel)
Michel Ney	Michel Ney
Michigan	Michigan
Mickey Mouse	Mickey Mouse
Midsieuwen	Middle Ages
Kategory:Midsieuwen	Middle Ages
Milaan	Milan
Milennium	Millennium
Minnesota	Minnesota
Minút	Minute
Missoury	Missouri
Moldaavje	Moldova
Molekulêre biology	Molecular biology
Molise (regio)	Molise
Monako	Monaco
Moandei	Monday
Mongoalje	Mongolia
Kategory:Mongoalje	Mongolia
Monoteisme	Monotheism
Mont Blanc	Mont Blanc
Montana	Montana
Montenegro	Montenegro
Montgomery (Alabama)	Montgomery
Moanne (tiid)	Month
Montreal	Montreal
Moanne (himellichem)	Moon
Marokko	Morocco
Morsekoade	Morse code
Moskou	Moscow
Kategory:Moskou	Moscow
Moskee	Mosque
Mem Teresa	Mother Teresa
Biedwurd	Motto
Mount Rusmore	Mount Rushmore
Berch	Mountain
Mohammed	Muhammad
Gemeente	Municipality
Spier	Muscle
Muzyk	Music
Kategory:Muzyk	Music
Muzykynstrumint	Musical instrument
Muzikology	Musicology
Knobbelswan	Mute Swan
Mytology	Mythology
Noard-Atlantyske Ferdrachsorganisaasje	NATO
Namybje	Namibia
Napels (stêd)	Naples
Folksliet	National anthem
Nasjonaal park	National park
Naurû	Nauru
Nebraska	Nebraska
Nelson Mandela	Nelson Mandela
Neon	Neon
Nepal	Nepal
Nederlân	Netherlands
Kategory:Nederlân	Netherlands
Nevada	Nevada
Neville Chamberlain	Neville Chamberlain
Nij Hampshire	New Hampshire
Nij Jersey	New Jersey
Nij Meksiko	New Mexico
Nije Testamint	New Testament
Nije Wrâld	New World
Nikaragûa	Nicaragua
Nicolaus Copernicus	Nicolaus Copernicus
Nigearia	Nigeria
Nymwegen	Nijmegen
Nobelpriis	Nobel Prize
Kategory:Nobelpriis	Nobel Prize
Eallju	Nobility
Normandje	Normandy
Noard-Amearika	North America
Kategory:Noard-Amearika	North America
Noard Karolina	North Carolina
Noard Dakota	North Dakota
Noard-Korea	North Korea
Noardpoal	North Pole
Noardsee	North Sea
Noard-Jeropa	Northern Europe
Noarwegen	Norway
Novimber	November
1 novimber	November 1
11 novimber	November 11
2 novimber	November 2
5 novimber	November 5
Novial	Novial
Kearnenerzjy	Nuclear power
Getal	Number
Hobo	Oboe
Oseaan	Ocean
Oseaanje	Oceania
Oktaaf	Octave
Oktober	October
12 oktober	October 12
24 oktober	October 24
Oder	Oder River
Weda	Odin
Ohio	Ohio
Alde Testamint	Old Testament
Olympyske Spullen	Olympic Games
Oman	Oman
Skift	Order (biology)
Oregon	Oregon
Origenes	Origen
Ornitology	Ornithology
Osama bin Laden	Osama bin Laden
Fiskearn	Osprey
Ottawa	Ottawa
Osmaanske Ryk	Ottoman Empire
Oviedo (stêd)	Oviedo
Uleëftigen	Owl
Soerstof	Oxygen
Stille Oseaan	Pacific Ocean
Heidendom	Paganism
Pakistan	Pakistan
Paleontology	Paleontology
Palermo (stêd)	Palermo
Panama	Panama
Paraguay	Paraguay
Paramaribo (stêd)	Paramaribo
Parys	Paris
Moskeftigen	Passerine
Patagoanje	Patagonia
Paul Gauguin	Paul Gauguin
Paulus (apostel)	Paul the Apostle
Pays de la Loire	Pays de la Loire
Pinguins	Penguin
Skiereilân	Peninsula
Pennsylvania	Pennsylvania
Pinkster	Pentecost
Pinksterbeweging	Pentecostalism
Kategory:Persoan	People
Sina	People's Republic of China
Pippyn de Koarte	Pepin the Short
Slachynstrumint	Percussion instrument
Periodyk systeem fan 'e eleminten	Periodic table
Perzyske Ryk	Persian Empire
Perzyske Golf	Persian Gulf
Perû	Peru
Filippus II	Philip II of Macedon
Filipinen	Philippines
Filosofy	Philosophy
Kategory:Filosofy	Philosophy
Foenysjers	Phoenicia
Phoeniks	Phoenix
Natuerkunde	Physics
Kategory:Natuerkunde	Physics
Fysiology	Physiology
Piano	Piano
Pikardje	Picardie
Spjochteftigen	Piciformes
Piëmont	Piedmont
Planeet	Planet
Bloedplaatsjes	Platelet
Plato	Plato
Pleistoseen	Pleistocene
Gerzen	Poaceae
Poëzy	Poetry
Poitou-Charentes	Poitou-Charentes
Poalen	Poland
Polityk	Politics
Kategory:Polityk	Politics
Polymear	Polymer
Mearterm	Polynomial
Polyteisme	Polytheism
Popmuzyk	Pop music
Paus	Pope
Befolking	Population
Portegal	Portugal
Kategory:Portegal	Portugal
Postkoade	Postal code
Prehistoarje	Prehistory
Presidint	President
Nulmeridiaan	Prime Meridian
Reformaasje	Protestant Reformation
Psychology	Psychology
Ptolemaeus	Ptolemy
Kategory:Punk	Punk
Punk rock	Punk rock
Pyreneeën	Pyrenees
Katar	Qatar
Quebec (provinsje)	Quebec
Quebec (stêd)	Quebec City
Reggee	Reggae
Reynkarnaasje	Reincarnation
Religy	Religion
Kategory:Religy	Religion
Rembrandt van Rijn	Rembrandt
Renêssânse	Renaissance
Republyk	Republic
Ierlân	Republic of Ireland
Republyk Kongo	Republic of the Congo
Republikeinske Partij	Republican Party (United States)
Wjerstân	Resistor
Ryn	Rhine
Rhode Island	Rhode Island
Richard Wagner	Richard Wagner
Riyad	Riyadh
Wei	Road
Roald Amundsen	Roald Amundsen
Robert de Niro	Robert De Niro
Rock and roll	Rock and roll
Rocky Mountains	Rocky Mountains
Romeinske ryk	Roman Empire
Romeinske mytology	Roman mythology
Roemeenje	Romania
Rome (stêd)	Rome
Rotterdam	Rotterdam
Ruslân	Russia
Kategory:Ruslân	Russia
Sint Kits en Nevis	Saint Kitts and Nevis
Niklaas fan Myra	Saint Nicholas
Petrus	Saint Peter
Sint Vincent en de Grenadinen	Saint Vincent and the Grenadines
Samuel Beckett	Samuel Beckett
San Marino	San Marino
Sardynje	Sardinia
Sneon	Saturday
Saûdy-Araabje	Saudi Arabia
Saksen (dielsteat)	Saxony
Saksofoan	Saxophone
Skandinaavje	Scandinavia
Kategory:Skandinaavje	Scandinavia
Skandinavysk Skiereilân	Scandinavian Peninsula
Skelde	Scheldt
Skolastyk	Scholasticism
Kategory:Wittenskip	Science
Skipio Afrikanus	Scipio Africanus
Skotlân	Scotland
Skouting	Scouting
Japanske See	Sea of Japan
Sekonde	Second
Senegal	Senegal
Septimber	September
11 septimber	September 11
17 septimber	September 17
29 septimber	September 29
Servje	Serbia
Servje en Montenegro	Serbia and Montenegro
Seysjellen	Seychelles
Sjamanisme	Shamanism
Shanghai	Shanghai
Sherlock Holmes	Sherlock Holmes
Sjintoisme	Shinto
Sibearje	Siberia
Sisylje	Sicily
Sierra Leöane	Sierra Leone
Sileezje	Silesia
Singapore	Singapore
Seekij	Sirenia
Skopje	Skopje
Slowakije	Slovakia
Sloveenje	Slovenia
Snie	Snow
Jezuïten	Society of Jesus
Sosjology	Sociology
Sokrates	Socrates
Sinnestelsel	Solar System
Sinnefertsjustering	Solar eclipse
Somaalje	Somalia
Siel (geast)	Soul
Kategory:Súd-Afrika	South Africa
Súd-Amearika	South America
Kategory:Súd-Amearika	South America
Súd Karolina	South Carolina
Súd Dakota	South Dakota
Súd-Korea	South Korea
Súdpoal	South Pole
Sowjetuny	Soviet Union
Romtestasjon	Space station
Spanje	Spain
Kategory:Spanje	Spain
Soarte	Species
Split	Split
Sport	Sport
Sry Lanka	Sri Lanka
SGML	Standard Generalized Markup Language
Steat	State
Statistyk	Statistics
Stokholm	Stockholm
Stientiid	Stone Age
Strjitte fan Gibraltar	Strait of Gibraltar
Stuttgart	Stuttgart
Subkultuer	Subculture
Sûdan	Sudan
Sudoku	Sudoku
Sumo	Sumo
Sinne	Sun
Snein	Sunday
Suriname	Suriname
Spitsbergen	Svalbard
Swannen	Swan
Swazilân	Swaziland
Sweden	Sweden
Switserlân	Switzerland
Taboe	Taboo
Publius Kornelius Tasitus	Tacitus
Taiwan	Taiwan
Taj Mahal	Taj Mahal
Tadzjikistan	Tajikistan
Tallin	Tallinn
Tanzania	Tanzania
Taksonomy	Taxonomy
Tbilisi	Tbilisi
Televyzje	Television
Timpel	Temple
Teneryf	Tenerife
Tennessee	Tennessee
Tennis	Tennis
Teksas	Texas
Tailân	Thailand
Gambia	The Gambia
De Haach	The Hague
Teater	Theatre
Christian Matthias Theodor Mommsen	Theodor Mommsen
Teodosius de Grutte	Theodosius I
Tomas fan Akwino	Thomas Aquinas
Tonger (god)	Thor
Türingen	Thuringia
Tongersdei	Thursday
Tigris	Tigris
Tiid	Time
Tiidsône	Time zone
Titus	Titus
Tokio	Tokyo
Toronto	Toronto
Omgong fan Frankryk	Tour de France
Stêd	Town
Tradysjes	Tradition
Trajanus	Trajan
Trinidad en Tobago	Trinidad and Tobago
Triskel	Triskelion
Tromboane	Trombone
Trompet	Trumpet
Tsûnamy	Tsunami
Tiisdei	Tuesday
Turyn (stêd)	Turin
Turkije	Turkey
Turkmenistan	Turkmenistan
Toskane	Tuscany
Tyrreenske See	Tyrrhenian Sea
UNESCO	UNESCO
Uganda	Uganda
Oekraïne	Ukraine
Umbrje	Umbria
Unbekend fleanend objekt	Unidentified flying object
Feriene Arabyske Emiraten	United Arab Emirates
Grut-Brittanje	United Kingdom
Kategory:Feriene Keninkryk	United Kingdom
Feriene Naasjes	United Nations
Feriene Steaten	United States
Kategory:Feriene Steaten	United States
United States Air Force	United States Air Force
Amerikaansk Kongres	United States Congress
Amerikaanske Senaat	United States Senate
Amerikaanske Dollar	United States dollar
Hielal	Universe
Universiteit	University
Uranus	Uranus
Urûguay	Uruguay
Utah	Utah
Utert (stêd)	Utrecht (city)
Utert (provinsje)	Utrecht (province)
Oezbekistan	Uzbekistan
Fatikaanstêd	Vatican City
Feneto	Veneto
Fenezuëla	Venezuela
Feneesje (stêd)	Venice
Fenus	Venus
Fermont	Vermont
Ferona	Verona
Wringedier	Vertebrate
Fietnam	Vietnam
Wytsingen	Viking
Doarp	Village
Vilnjûs	Vilnius
Vincent van Gogh	Vincent van Gogh
Altfioel	Viola
Fioele	Violin
Firginia	Virginia
Wisla	Vistula
Vladimir Lenin	Vladimir Lenin
Fulkaan	Volcano
Follybal	Volleyball
Kategory:Folleybal	Volleyball
Walt Disney	Walt Disney
Warsjau	Warsaw
Washington, D.C.	Washington
Washington (steat)	Washington
Webstee	Web page
Woansdei	Wednesday
Wike	Week
Weser	Weser River
West Firginia	West Virginia
Westlike Sahara	Western Sahara
Wiesbaden	Wiesbaden
William Shakespeare	William Shakespeare
Blaasynstrumint	Wind instrument
Wynmûne	Windmill
Winston Churchill	Winston Churchill
Wiskonsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woodrow Wilson	Woodrow Wilson
Houtblaasynstrumint	Woodwind instrument
Earste Wrâldkriich	World War I
Kategory:Earste Wrâldkriich	World War I
Twadde Wrâldkriich	World War II
