English	Serbian
Jean Sibelius	Јан Сибелијус
Jean de La Fontaine	Жан де Лафонтен
Jean-Jacques Rousseau	Жан Жак Русо
Jean-Paul Sartre	Жан-Пол Сартр
Jeddah	Џида
Jefferson Davis	Џеферсон Дејвис
Jehovah's Witnesses	Јеховини сведоци
Jellyfish	Сцифомедузе
Jena	Јена
Jeremy Bentham	Џереми Бентам
Jerez de la Frontera	Херез де ла Фронтера
Jerome	Јероним Стридонски
Jersey	Џерси
Jerusalem	Јерусалим
Jerusalem	Категорија:Јерусалим
Jesus	Исус Христос
Jew	Јевреји
Jew's harp	Drombulje
Jihad	Џихад
Jimi Hendrix	Џими Хендрикс
Jimmy Carter	Џими Картер
Joan of Arc	Јованка Орлеанка
Johann Bernoulli	Јохан Бернули
Johann Sebastian Bach	Јохан Себастијан Бах
Johann Wolfgang von Goethe	Јохан Волфганг Гете
Johannes Brahms	Јоханес Брамс
Johannes Gutenberg	Јохан Гутенберг
Johannes Kepler	Јохан Кеплер
Johannesburg	Јоханесбург
John Adams	Џон Адамс
John Bardeen	Џон Бардин
John Calvin	Жан Калвин
John Chrysostom	Јован Златоусти
John Dalton	Џон Далтон
John Lennon	Џон Ленон
John Locke	Џон Лок
John Maynard Keynes	Џон Мајнард Кејнз
John Napier	Џон Непер
John Quincy Adams	Џон Квинси Адамс
John Ruskin	Џон Раскин
John Steinbeck	Џон Стајнбек
John Stuart Mill	Džon Stjuart Mil
John Wayne	Џон Вејн
John Wycliffe	Џон Виклиф
John the Baptist	Свети Јован Крститељ
John von Neumann	Џон фон Нојман
Joint	Зглоб
Jonathan Swift	Џонатан Свифт
Jordan	Јордан
Jordan	Категорија:Јордан
Jordan River	Река Јордан
Jorge Luis Borges	Хорхе Луис Борхес
Joseph Conrad	Џозеф Конрад
Joseph Goebbels	Јозеф Гебелс
Joseph Haydn	Јозеф Хајдн
Joseph Louis Gay-Lussac	Жозеф Луј Геј-Лисак
Joseph Pulitzer	Џозеф Пулицер
Joseph Schumpeter	Јозеф Шумпетер
Joseph Stalin	Јосиф Стаљин
Josephus	Јосиф Флавије
Joule	Џул
Journalism	Категорија:Новинарство
Journalism	Новинарство
Journalist	Новинар
Jovian	Јовијан
Joystick	Џојстик
Judaism	Јудаизам
Judaism	Категорија:Јудаизам
Judea	Јудеја
Judo	Џудо
Judy Garland	Џуди Гарланд
Jujutsu	Џијуџицу
Jules Verne	Жил Верн
Julian calendar	Јулијански календар
Julian the Apostate	Јулијан Отпадник
Julius Caesar	Гај Јулије Цезар
July	Јул
July 1	1. јул
July 4	4. јул
June	Јун
June 14	14. јун
June 21	21. јун
June 23	23. јун
June 24	24. јун
June 29	29. јун
June 3	3. јун
Jupiter	Јупитер (планета)
Jupiter	Категорија:Јупитер
Jupiter (disambiguation)	Јупитер (вишезначна одредница)
Jupiter (mythology)	Јупитер (митологија)
Jurassic	Јура
Justinian I	Јустинијан I
Jutland	Јитланд
K	K (слово латинице)
K2	К2
KGB	КГБ
Kaaba	Каба
Kabul	Кабул
Kalahari Desert	Калахари
Kamchatka Peninsula	Полуострво Камчатка
Kamikaze	Камиказе
Kampala	Кампала
Kandahar	Кандахар
Kangaroo	Кенгур
Kansas	Канзас
Kansas City	Канзас Сити
Kara Sea	Карско море
Karachi	Карачи
Karate	Карате
Karl Barth	Карл Барт
Karl Jaspers	Karl Jaspers
Karl Marx	Карл Маркс
Karma	Карма
Karnataka	Карнатака
Katharine Hepburn	Катрин Хепберн
Kathmandu	Катманду
Katowice	Катовице
Kaunas	Каунас
Kazakhstan	Казахстан
Kazakhstan	Категорија:Казахстан
Kazan	Казањ
Kazimir Malevich	Казимир Маљевич
Kelvin	Келвин (јединица)
Kentucky	Кентаки
Kenya	Кенија
Kenya	Категорија:Кенија
Kernel (computer science)	Jezgro operativnog sistema
Ketone	Кетон
Keyboard (computing)	Тастатура
Keyboard instrument	Клавијатуре
Khabarovsk	Хабаровск
Khan	Кан (титула)
Kharkiv	Харков
Khartoum	Картум
Khmer Rouge	Црвени Кмери
Khufu	Keops
Kidney	Бубрег
Kiev	Кијев
Kigali	Кигали
Kilobyte	Килобајт
Kilogram	Килограм
Kilometre	Километар
Kinetic energy	Кинетичка енергија
King (chess)	Краљ (шах)
King Arthur	Kralj Artur
King Lear	Kralj Lir (drama)
Kingston	Кингстон (Јамајка)
Kinshasa	Киншаса
Kiribati	Кирибати (држава)
Kirkuk	Киркук
Knesset	Кнесет
Knight	Витез
Knight (chess)	Скакач (шах)
Knossos	Кносос
Knot (speed)	Чвор (брзина)
Knowledge	Знање
Knut Hamsun	Кнут Хамсун
Koala	Коала
Kola Peninsula	Полуострво Кола
Kolkata	Колката
Komodo dragon	Komodo zmaj
Konrad Adenauer	Конрад Аденауер
Korean War	Корејски рат
Kosovo	Косово и Метохија
Kosovo	Категорија:Косово и Метохија
Krakatoa	Кракатау
Kremlin	Кремљ
Krishna	Кришна (божанство)
Krypton	Криптон
Ku Klux Klan	Кју-клукс-клан
Kuala Lumpur	Куала Лумпур
Kublai Khan	Кублај-кан
Kuiper belt	Којперов појас
Kung fu (term)	Кунг фу
Kunlun Mountains	Кунлун
Kurdistan	Курдистан
Kursk	Курск
Kurt Vonnegut	Курт Вонегат
Kurt Waldheim	Курт Валдхајм
Kuwait	Кувајт
Kuwait	Категорија:Кувајт
Kuwait City	Кувајт (град)
KwaZulu-Natal	Квазулу-Натал
Kyoto	Кјото
Kyrgyzstan	Киргистан
Kyrgyzstan	Категорија:Киргизија
L	L (слово латинице)
L'Aquila	Л'Аквила
La Paz	Ла Паз
La Spezia	Ла Специја
Laboratory	Лабораторија
Labrador Retriever	Лабрадор ретривер
Lactose	Лактоза
Lagos	Лагос
Lahore	Лахор
Laissez-faire	Лесе фер
Lake	Језеро
Lake Baikal	Бајкалско језеро
Lake Balaton	Балатон (језеро)
Lake Constance	Боденско језеро
Lake Geneva	Женевско језеро
Lake Ilmen	Иљмењ
Lake Ladoga	Ладога
Lake Malawi	Језеро Малави
Lake Michigan	Мичиген (језеро)
Lake Onega	Језеро Оњега
Lake Tanganyika	Језеро Тангањика
Lake Victoria	Викторијино језеро
Lamprey	Змијуљице
Lancelet	Копљаши
Landfill	Депонија
Language	Језик
Languedoc-Roussillon	Лангдок-Русијон
Lansing	Лансинг
Lanthanide	Лантаноиди
Lanthanum	Лантан
Laos	Лаос
Laos	Категорија:Лаос
Laptev Sea	Лаптевско море
Larch	Ариш
Larva	Ларва
Las Vegas	Лас Вегас
Lascaux	Пећина Ласко
Laser	Ласер
Lathe	Струг
Latin	Латински језик
Latin America	Латинска Америка
Latin alphabet	Латиница
Latitude	Географска ширина
Latvia	Летонија
Latvia	Категорија:Летонија
Lausanne	Лозана
Lava	Лава
Law	Категорија:Право
Lawrencium	Лоренцијум
Lawyer	Адвокат
Lazio	Лацио
Le Corbusier	Ле Корбизје
Le Havre	Авр
Lead	Олово
Leaf	Лист
League of Nations	Друштво народа
Leaning Tower of Pisa	Криви торањ у Пизи
Leap year	Преступна година
Learning	Учење
Lebanon	Либан
Lebanon	Категорија:Либан
Leda (mythology)	Леда (митологија)
Lee Harvey Oswald	Ли Харви Освалд
Leeds	Лидс
Left-handed	Леворукост
Legislature	Законодавна власт
Lego	Лего
Leiden	Лајден
Leipzig	Лајпциг
Lemon	Limun
Lemon balm	Матичњак
Lena River	Лена (река)
Length	Дужина
Lens (optics)	Сочиво (оптика)
Lentil	Сочиво (биљка)
Leo I (emperor)	Лав I
Leon Trotsky	Лав Троцки
Leonardo da Vinci	Леонардо да Винчи
Leonhard Euler	Леонард Ојлер
Leonid Brezhnev	Леонид Брежњев
Leopard	Леопард
Lepidoptera	Lepidoptera
Lepton	Лептон
Lesbian	Лезбејка
Lesotho	Лесото
Lesotho	Категорија:Лесото
Lesser Antilles	Мали Антили
Leto	Лето (митологија)
Letter (alphabet)	Слово
Leukemia	Леукемија
Levant	Левант
Leviticus	Трећа књига Мојсијева
Lewis Carroll	Луис Керол
Liberalism	Либерализам
Liberia	Либерија
Liberia	Категорија:Либерија
Library	Библиотека
Libretto	Либрето
Libreville	Либрвил
Libya	Либија
Libya	Категорија:Либија
Lichen	Лишај
Liechtenstein	Лихтенштајн
Liechtenstein	Категорија:Лихтенштајн
Lieutenant	Потпоручник
Life	Живот
Life	Категорија:Живот
Light	Светлост
Light-emitting diode	Светлећа диода
Light-year	Светлосна година
Lighter	Упаљач
Lighthouse	Светионик
Liguria	Лигурија
Liliaceae	Liliaceae
Lilith	Лилит
Lille	Лил
Lilongwe	Лилонгве
Lima	Лима
Limestone	Кречњак
Limnology	Лимнологија
Limousin (region)	Лимузен
Lincoln	Линколн (Небраска)
Line (mathematics)	Права (линија)
Linear algebra	Линеарна алгебра
Linear algebra	Категорија:Линеарна алгебра
Lingua franca	Лингва франка
Linguistics	Лингвистика
Linguistics	Категорија:Лингвистика
Linux	Линукс
Linux	Категорија:Линукс
Linz	Линц
Lion	Лав
Lipid	Липиди
Liquorice	Сладић
Lisbon	Лисабон
Lise Meitner	Лиса Мајтнер
Lisp (programming language)	Lisp
Literacy	Писменост
Literature	Књижевност
Literature	Категорија:Књижевност
Literature	Портал:Књижевност
Lithium	Литијум
Lithosphere	Литосфера
Lithuania	Литванија
Lithuania	Категорија:Литванија
Litre	Литар
Little Owl	Ћук
Liverpool	Ливерпул
Livy	Тит Ливије
Lizard	Гуштер
Ljubljana	Љубљана
Local area network	Локална мрежа
Loch Ness Monster	Чудовиште из Лох Неса
Locomotive	Локомотива
Logarithm	Логаритам
Logic	Логика
Logic	Категорија:Логика
Logic gate	Логичка капија
Logo	Лого
Loire	Лоара (департман)
Loki	Loki
Lolita	Лолита
Lombardy	Ломбардија
London	Лондон
London	Категорија:Лондон
Long Beach	Лонг Бич
Long Island	Лонг Ајленд
Long jump	Скок удаљ
Long-eared Owl	Мала ушара
Lope de Vega	Лопе де Вега
Lord's Prayer	Оче наш
Lorraine (region)	Лорена
Los Angeles	Лос Анђелес
Lot (department)	Лот (департман)
Loudspeaker	Рачунарски звучник
Louis Aragon	Луј Арагон
Louis Armstrong	Луј Армстронг
Louis Braille	Луј Брај
Louis Pasteur	Луј Пастер
Louis the Pious	Луј I Побожни
Louis the Stammerer	Луј II
Louisiana	Луизијана
Louisville	Луивил
Louvre	Лувр
Love	Љубав
Low German	Нисконемачки језик
Lower Saxony	Доња Саксонија
Luanda	Луанда
Lublin	Лублин
Lucerne	Луцерн
Luciano Pavarotti	Лучано Павароти
Lucretius	Лукреције Кар
Ludwig Boltzmann	Лудвиг Болцман
Ludwig Mies van der Rohe	Лудвиг Мис ван дер Рое
Ludwig Wittgenstein	Лудвиг Витгенштајн
Ludwig van Beethoven	Лудвиг ван Бетовен
Luftwaffe	Луфтвафе
Luigi Galvani	Луиђи Галвани
Luigi Pirandello	Луиђи Пирандело
Lumen (unit)	Лумен
Lunar eclipse	Помрачење Месеца
Lund	Лунд
Lung	Плућа
Lungfish	Рибе дводихалице
Lusaka	Лусака
Lute	Лаута
Lutetium	Лутецијум
Lux	Лукс
Luxembourg	Луксембург
Luxembourg	Категорија:Луксембург
Luxembourg (city)	Луксембург (град)
Luxor	Луксор
Luzon	Лузон
Lydia	Лидија (краљевина)
Lymphatic system	Лимфни систем
Lyon	Лион
Lysergic acid diethylamide	ЛСД
Lysosome	Лизозом
M	M (слово латинице)
MESSENGER	MESSENGER
MIME	MIME
MS-DOS	MS-DOS
Macau	Макау
Macedonia	Македонија
Macedonia (Greece)	Егејска Македонија
Mach number	Мах
Machine gun	Аутоматско оружје
Machine translation	Машинско превођење
Machu Picchu	Мачу Пикчу
Macroeconomics	Макроекономија
Macroeconomics	Категорија:Макроекономија
Madagascar	Мадагаскар
Madagascar	Категорија:Мадагаскар
Madeira	Мадеира
Madonna (entertainer)	Мадона
Madrid	Мадрид
Madrid (autonomous community)	Покрајина Мадрид
Mafia	Мафија
Magazine	Модни часопис
Maghreb	Магреб
Magic (paranormal)	Магија
Maginot Line	Мажино линија
Magma	Магма
Magna Carta	Магна карта
Magnesium	Магнезијум
Magnet	Магнет
Magnetic field	Магнетно поље
Magnetism	Магнетизам
Magnetism	Категорија:Магнетизам
Magnetite	Магнетит
Magnifying glass	Лупа
Maharashtra	Махараштра
Mahatma Gandhi	Махатма Ганди
Mahayana	Махајана
Main	Шаблон:Посебан чланак
Maine	Мејн
Maitreya	Маитреја
Maize	Кукуруз
Major	Мајор
Major scale	Дур
Majorca	Мајорка
Malabo	Малабо
Malaria	Маларија
Malaysia	Малезија
Malaysia	Категорија:Малезија
Malcolm X	Malkolm Iks
Maldives	Малдиви
Maldives	Категорија:Малдиви
Mali	Мали
Mali	Категорија:Мали
Malta	Малта
Malta	Категорија:Малта
Maltese language	Малтешки језик
Maltose	Малтоза
Mammal	Сисари
Mammoth	Мамут
Management	Руковођење
Managua	Манагва
Manama	Манама
Manchester	Манчестер
Mandarin (linguistics)	Мандарински језик
Mandarin orange	Мандарина
Manganese	Манган
Mango	Манго
Mangrove	Мангрове
Manhattan	Менхетн
Manhattan Project	Пројекат Менхетн
Manila	Манила
Manipur	Манипур
Manitoba	Манитоба
Mannerism	Маниризам
Mannheim	Манхајм
Mantle (geology)	Мантл
Mantra	Мантра
Mantua	Мантова
Manuel de Falla	Мануел де Фаља
Mao Zedong	Mao Cedung
Map	Карта (мапа)
Maple	Јавор
Maputo	Мапуто
Marathon	Маратон (спорт)
Marble	Мермер
Marc Chagall	Марк Шагал
Marcel Duchamp	Марсел Дишан
Marcel Proust	Марсел Пруст
March	Март
March 17	17. март
March 19	19. март
March 2	2. март
March 25	25. март
Marche	Марке
Marco Polo	Марко Поло
Marcus Aurelius	Марко Аурелије
Marcus Vipsanius Agrippa	Марко Випсаније Агрипа
Margaret Thatcher	Маргарет Тачер
Maria Callas	Марија Калас
Mariana Islands	Marijanska ostrva
Marie Antoinette	Марија Антоанета
Marie Curie	Марија Кири
Mariehamn	Мариехамн
Marilyn Monroe	Мерилин Монро
Mario Vargas Llosa	Марио Варгас Љоса
Mark Antony	Марко Антоније
Mark Twain	Марк Твен
Market	Тржиште
Marketing	Маркетинг
Marketing	Категорија:Маркетинг
Marlene Dietrich	Марлен Дитрих
Marriage	Брак
Mars (disambiguation)	Марс (вишезначна одредница)
Mars (mythology)	Марс (митологија)
Marseille	Марсеј
Marshall Islands	Маршалска Острва
Marshall Plan	Маршалов план
Marsupial	Торбари
Martin Buber	Мартин Бубер
Martin Heidegger	Martin Hajdeger
Martin Luther	Мартин Лутер
Martin Luther King	Мартин Лутер Кинг
Martin Van Buren	Мартин Ван Бјурен
Martina Navratilova	Мартина Навратилова
Martinique	Мартиник
Marx Brothers	Браћа Маркс
Marxism	Марксизам
Marxism	Категорија:Марксизам
Mary (mother of Jesus)	Богородица
Mary Magdalene	Марија Магдалена
Mary Wollstonecraft	Мери Вулстонкрафт
Maryland	Мериленд
Maseru	Масеру
Mass	Маса
Mass number	Масени број
Massachusetts	Масачусетс
Massachusetts Institute of Technology	МИТ
Masturbation	Мастурбација
Mata Hari	Мата Хари
Materialism	Материјализам
Mathematical logic	Математичка логика
Mathematical logic	Категорија:Математичка логика
Mathematics	Математика
Mathematics	Категорија:Математика
Mathematics	Портал:Математика
Matrix (mathematics)	Матрица (математика)
Matter	Материја
Maundy Thursday	Велики четвртак
Maurice Ravel	Морис Равел
Mauritania	Мауританија
Mauritania	Категорија:Мауританија
Mauritius	Маурицијус
Mauritius	Категорија:Маурицијус
Max Born	Макс Борн
Max Ernst	Макс Ернст
Max Planck	Макс Планк
Maximian	Максимијан
Maxwell's equations	Максвелове једначине
May	Мај
May 1	1. мај
May 24	24. мај
Mayenne	Мајен (департман)
Mayonnaise	Мајонез
Mbabane	Мбабане
Measure (mathematics)	Мера (математика)
Meat	Месо
Mecca	Мека
Mechanical engineering	Машинство
Mechanical engineering	Категорија:Машинство
Mechanics	Категорија:Механика
Mechanics	Механика
Medea	Медеја
Median	Медијана (статистика)
Medication	Лек
Medici	Медичи
Medicine	Медицина
Medicine	Категорија:Медицина
Meditation	Медитација
Mediterranean	Категорија:Средоземно море
Mediterranean Sea	Средоземно море
Medusa	Медуза (митологија)
Megabyte	Мегабајт
Meiosis	Мејоза
Meitnerium	Мајтнеријум
Mekong	Меконг
Mel Gibson	Мел Гибсон
Melanesia	Меланезија
Melody	Мелодија
Melpomene	Мелпомена
Melting point	Тачка топљења
Memory	Памћење
Menachem Begin	Менахем Бегин
Mendelevium	Мендељејевијум
Menelaus	Менелај
Menstrual cycle	Менструација
Menstruation	Менструација
Mental disorder	Ментални поремећај
Mentha	Нана
Mercantilism	Меркантилизам
Mercury	Меркур
Mercury (element)	Жива
Mercury (mythology)	Меркур (митологија)
Mercury (planet)	Меркур (планета)
Meritocracy	Меритократија
Merovingian	Меровинзи
Meryl Streep	Мерил Стрип
Mescaline	Мескалин
Mesolithic	Мезолит
Mesopotamia	Месопотамија
Mesopotamia	Категорија:Месопотамија
Mesozoic	Мезозоик
Messiah	Месија
Messina	Месина
Metal	Метал (хемија)
Metalloid	Металоиди
Metallurgy	Металургија
Metallurgy	Категорија:Металургија
Metamorphic rock	Метаморфне стене
Metaphor	Metafora
Metaphysics	Метафизика
Metaphysics	Категорија:Метафизика
Meteorite	Метеорит
Meteoroid	Метеориди
Meteorology	Категорија:Метеорологија
Methadone	Метадон
Methamphetamine	Метамфетамин
Methionine	Метионин
Metis (moon)	Метис
Metonymy	Metonimija
Metre	Метар
Metric space	Метрички простор
Meuse	Меза (департман)
Meuse River	Меза
Mexico	Мексико
Mexico	Категорија:Мексико
Mexico City	Мексико (град)
Miami	Мајами
Michael Faraday	Мајкл Фарадеј
Michel Ney	Мишел Неј
Michelangelo	Микеланђело Буонароти
Michigan	Мичиген (држава)
Mick Jagger	Мик Џегер
Mickey Mouse	Мики Маус
Microbiology	Микробиологија
Microbiology	Категорија:Микробиологија
Microeconomics	Микроекономија
Micronesia	Микронезија (регија)
Microphone	Микрофон
Microprocessor	Микропроцесор
Microscope	Микроскоп
Microwave	Микроталаси
Microwave oven	Микроталасна пећ
Middle Ages	Средњи вијек
Middle Ages	Категорија:Средњи век
Middle East	Блиски Исток
Miguel de Cervantes	Мигел де Сервантес
Mike Tyson	Мајк Тајсон
Mikhail Bakunin	Михаил Бакуњин
Mikhail Glinka	Михаил Иванович Глинка
Mikhail Gorbachev	Михаил Горбачов
Milan	Милано
Miles Davis	Мајлс Дејвис
Military	Категорија:Војска
Milk	Млеко
Milky Way	Млечни пут
Millennium	Миленијум
Millimetre	Milimetar
Milton Friedman	Милтон Фридман
Milwaukee	Милвоки
Minaret	Минарет
Mineral	Минерал
Mineralogy	Минералогија
Mineralogy	Категорија:Минералогија
Minerva	Минерва
Ming Dynasty	Династија Минг
Minimalism	Минимализам
Mining	Рударство
Minneapolis	Минеаполис
Minnesota	Минесота
Minoan civilization	Минојска цивилизација
Minor scale	Мол (музика)
Minos	Минос (митологија)
Minotaur	Минотаур
Minsk	Минск
Minute	Минут
Mirror	Ogledalo
Missouri	Мисури (држава)
Missouri River	Мисури (река)
Mitochondrion	Митохондрије
Mnemosyne	Мнемозина
Mobile phone	Мобилни телефон
Modem	Модем
Modernism	Модернизам
Modest Mussorgsky	Модест Мусоргски
Mogadishu	Могадишу
Moirae	Мојра
Moldova	Молдавија
Moldova	Категорија:Молдавија
Mole (unit)	Мол (јединица)
Molecular biology	Молекуларна биологија
Molecular biology	Категорија:Молекуларна биологија
Molecule	Молекул
Molise	Молизе
Mollusca	Мекушци
Molotov cocktail	Молотовљев коктел
Molybdenum	Молибден
Mombasa	Момбаса
Momentum	Импулс
Monaco	Монако
Monaco	Категорија:Монако
Monarchy	Монархија
Monastery	Манастир
Monday	Понедељак
Money	Новац
Mongolia	Монголија
Mongolia	Категорија:Монголија
Monica Seles	Моника Селеш
Monism	Монизам
Monocotyledon	Монокотиледоне биљке
Monopoly	Монопол
Monopoly (game)	Монопол (игра)
Monosaccharide	Моносахарид
Monotheism	Монотеизам
Monotreme	Кљунари
Monroe Doctrine	Монроова доктрина
Monrovia	Монровија
Mons	Монс
Mont Blanc	Монблан
Montana	Монтана
Monte Carlo	Монте Карло
Montenegro	Црна Гора
Montenegro	Категорија:Црна Гора
Monterrey	Монтереј
Montevideo	Монтевидео
Month	Месеци
Montreal	Монтреал
Montserrat	Монсерат
Moon	Месец
Moose	Лос
Morality	Морал
Moravia	Moravska
Morocco	Мароко
Morocco	Категорија:Мароко
Morphine	Морфијум
Morphology (linguistics)	Морфологија (лингвистика)
Morse code	Морзеова азбука
Mosaic	Мозаик
Moscow	Москва
Moscow	Категорија:Москва
Moselle	Мозел (департман)
Moses	Мојсије
Moshe Dayan	Моше Дајан
Mosque	Џамија
Mosquito	Комарац
Moss	Маховине
Mossad	Мосад
Mosul	Мосул
Mother	Мајка
Mother Teresa	Мајка Тереза
Motion (physics)	Кретање (физика)
Motorcycle	Мотоцикл
Mount Ararat	Арарат
Mount Athos	Света Гора
Mount Etna	Етна
Mount Everest	Монт Еверест
Mount Kilimanjaro	Килиманџаро
Mount Olympus	Олимп
Mount Rushmore	Маунт Рашмор
Mount Vesuvius	Везув
Mountain	Планина
Mountain bike	Брдски бициклизам
Mouse (computing)	Рачунарски миш
Mozambique	Мозамбик
Mozambique	Категорија:Мозамбик
Mu (letter)	Микро знак
Muezzin	Мујезин
Muhammad	Мухамед
Muhammad Ali	Мохамед Али
Mulberry	Дуд
Multiple sclerosis	Multipla skleroza
Mumbai	Мумбај
Mummy	Мумија
Munich	Минхен
Muon	Мион
Murphy's law	Марфијев закон
Musa (genus)	Musa
Muscat	Маскат
Muscle	Мишићно ткиво
Muse	Музе
Museum	Музеј
Mushroom	Гљива
Music	Музика
Music	Категорија:Музика
Musical instrument	Музички инструменти
Musicology	Музикологија
Musket	Мускета
Mutation	Мутација
Myanmar	Категорија:Мијанмар
Mycenae	Микена
Mycology	Микологија
Myocardial infarction	Срчани удар
Myriapoda	Стоноге
Mysticism	Мистицизам
Mythology	Митологија
Mythology	Категорија:Митологија
N	N (слово латинице)
N'Djamena	Нџамена
NASDAQ	Нездек
NATO	НАТО
NATO	Категорија:НАТО
Nagasaki	Нагасаки
Nagoya	Нагоја
Nahuatl	Наватл
Nail (fastener)	Ексер
Nairobi	Најроби
Namib Desert	Намиб
Namibia	Намибија
Namibia	Категорија:Намибија
Namur (city)	Намир
Nancy	Нанси
Nanjing	Нанкинг
Nanotechnology	Нанотехнологија
Nantes	Нант
Naples	Напуљ
Napoleonic Wars	Наполеонски ратови
Narcissus (mythology)	Нарцис (митологија)
Nashville	Нешвил
Nassau	Насау
National Security Agency	НСА
National anthem	Химна
National park	Национални парк
Nationalism	Национализам
Nationalism	Категорија:Национализам
Natural gas	Zemni gas
Natural language processing	Obrada prirodnih jezika
Natural number	Природан број
Natural science	Природне науке
Natural selection	Природна селекција
Nature	Природа
Nature	Категорија:Природа
Naturism	Натуризам
Nauru	Науру
Nauru	Категорија:Науру
Nautical mile	Наутичка миља
Navy	Ратна морнарица
Nazareth	Назарет
Nazi Germany	Нацистичка Немачка
Nazi Germany	Категорија:Нацистичка Немачка
Nazi Party	Национал-социјалистичка немачка радничка партија
Nazism	Категорија:Нацизам
Neanderthal	Неандерталац
Nebraska	Небраска
Nebuchadrezzar II	Набукодоносор
Necktie	Кравата
Nefertiti	Нефертити
Negev	Негев
Neil Armstrong	Нил Армстронг
Nelson Mandela	Нелсон Мандела
Nematode	Ваљкасти црви
Nemean Lion	Немејски лав
Nemesis (mythology)	Немеза (митологија)
Neodymium	Неодијум
Neolithic	Неолит
Neon	Неон
Neoplatonism	Неоплатонизам
Nepal	Непал
Nepal	Категорија:Непал
Nephthys	Нефтис
Neptune	Нептун (планета)
Neptunium	Нептунијум
Nero	Нерон
Nerva	Нерва
Nervous system	Нервни систем
Nest	Гнездо
Nestorianism	Несторијанство
Netherlands	Холандија
Netherlands	Категорија:Холандија
Netherlands Antilles	Холандски Антили
Network topology	Mrežne topologije
Neurology	Неурологија
Neurology	Категорија:Неурологија
Neuron	Неурон
Neurotransmitter	Неуротрансмитери
Neutrino	Неутрино
Neutron	Неутрон
Neva River	Нева
Nevada	Невада
Neville Chamberlain	Невил Чемберлен
New Brunswick	Њу Бранзвик
New Caledonia	Нова Каледонија
New Delhi	Њу Делхи
New Guinea	Нова Гвинеја
New Hampshire	Њу Хемпшир
New Jersey	Њу Џерси
New Mexico	Нови Мексико
New Orleans	Њу Орлеанс
New South Wales	Нови Јужни Велс
New Testament	Нови завет
New World	Нови свет
New Year	Нова година
New York	Њујорк (држава)
New York (disambiguation)	Њујорк (вишезначна одредница)
New York City	Њујорк
New York City	Категорија:Њујорк
New Zealand	Нови Зеланд
New Zealand	Категорија:Нови Зеланд
Newark	Њуарк (Њу Џерси)
Newfoundland (island)	Њуфаундленд
Newfoundland and Labrador	Њуфаундленд и Лабрадор
Newton	Њутн (јединица)
Niacin	Витамин Б3
Niagara Falls	Нијагарини водопади
Niamey	Нијамеј
Nicaragua	Никарагва
Nicaragua	Категорија:Никарагва
Nice	Ница
Nicene Creed	Никејски Симбол Вере
Nicholas	Петровић-Његош
Nickel	Никл
Nicolas Poussin	Никола Пусен
Nicolaus Copernicus	Никола Коперник
Nicosia	Никозија
Nicotine	Никотинска зависност
Niels Bohr	Нилс Бор
Niels Henrik Abel	Нилс Абел
Niger	Нигер
Niger	Категорија:Нигер
Niger River	Нигер (река)
Nigeria	Нигерија
Nigeria	Категорија:Нигерија
Nihilism	Нихилизам
Nike	Најки (фирма)
Nike (mythology)	Ника
Nikita Khrushchev	Никита Хрушчов
Nikola Tesla	Никола Тесла
Nile	Нил
Nile crocodile	Нилски крокодил
Nineveh	Нинива
Niobium	Ниобијум
Nirvana	Нирвана
Nitric acid	Азотна киселина
Nitrogen	Азот
Noah	Ноје
Noam Chomsky	Ноам Чомски
Nobel Prize	Нобелова награда
Nobel Prize	Категорија:Нобелова награда
Nobelium	Нобелијум
Nobility	Категорија:Племство
Noble gas	Племенити гасови
Nomad	Номадизам
Nominative case	Номинатив
Nonmetal	Неметали
Norfolk Island	Острво Норфок
Normal distribution	Нормална расподела
Norse mythology	Нордијска митологија
Norse mythology	Категорија:Нордијска митологија
North	Север
North Africa	Северна Африка
North America	Северна Америка
North America	Категорија:Северна Америка
North Carolina	Северна Каролина
North Dakota	Северна Дакота
North Island	Северно острво
North Korea	Северна Кореја
North Korea	Категорија:Северна Кореја
North Pole	Сјеверни пол
North Sea	Северно море
Northern Europe	Северна Европа
Northern Ireland	Северна Ирска
Northern Ireland	Категорија:Северна Ирска
Northern Mariana Islands	Северна Маријанска острва
Northern Territory	Северна територија (Аустралија)
Northern pike	Штука
Northwest Territories	Севернозападне територије
Norway	Норвешка
Norway	Категорија:Норвешка
Norwegian Sea	Норвешко море
Norwegian krone	Норвешка круна
Nostradamus	Нострадамус
Nouakchott	Нуакшот
Noun	Именице
Nova Scotia	Нова Шкотска
Novaya Zemlya	Нова Земља
Novel	Роман
November	Новембар
November 1	1. новембар
November 11	11. новембар
November 2	2. новембар
November 5	5. новембар
Novial	Новиал
Novosibirsk	Новосибирск
Nuclear fission	Nuklearna fisija
Nuclear fusion	Nuklearna fuzija
Nuclear physics	Нуклеарна физика
Nuclear physics	Категорија:Нуклеарна физика
Nuclear weapon	Нуклеарно оружје
Nucleic acid	Нуклеинске киселине
Nucleotide	Нуклеотид
Number	Број
Numbers	Категорија:Бројеви
Numidia	Нумидија
Numismatics	Категорија:Нумизматика
Nunavut	Нунавут
Nuremberg	Нирнберг
Nymph	Нимфа
Nymphaeaceae	Nymphaeaceae
Nyx (mythology)	Њукта
O	O (слово латинице)
OPEC	OPEK
Oak	Храст
Oasis	Оаза
Oat	Ovas
