English	Serbian
Avicenna	Ибн Сина
Avignon	Авињон
Avocado	Авокадо
Avogadro's law	Авогадров закон
Axe	Секира
Axiom	Аксиома
Ayatollah	Ајатолах
Azerbaijan	Азербејџан
Azerbaijan	Категорија:Азербејџан
Azimuth	Азимут
Azores	Азорска острва
Aztec	Астеци
Azurite	Азурит
B	B (слово латинице)
BASIC	Бејсик
Babylon	Вавилон
Backgammon	Tavla
Bacteria	Бактерија
Bacteria	Категорија:Бактерије
Badminton	Бадминтон
Baffin Bay	Бафинов залив
Baffin Island	Бафинова земља
Baghdad	Багдад
Bahamas	Категорија:Бахами
Bahrain	Бахреин
Bahrain	Категорија:Бахреин
Baja California	Доња Калифорнија
Baklava	Баклава
Baku	Баку
Balalaika	Балалајка
Baldr	Балдер
Balearic Islands	Балеарска острва
Balkan Mountains	Стара планина
Balkan Wars	Балкански ратови
Balkans	Балкан
Ballet	Балет
Ballet	Категорија:Балет
Ballistic missile	Балистичка ракета
Baltic Sea	Балтичко море
Baltimore	Балтимор
Bamako	Бамако
Bamboo	Бамбус
Banana	Банана
Bangalore	Бангалор
Bangkok	Бангкок
Bangladesh	Бангладеш
Bangladesh	Категорија:Бангладеш
Bangui	Банги
Banjul	Банџул
Bank	Банка
Banks	Категорија:Банке
Baptism	Крштење
Baptist	Баптисти
Barbados	Барбадос
Barbados	Категорија:Барбадос
Barbarian	Варвари
Barbra Streisand	Барбра Страјсенд
Barcelona	Барселона
Barcelona	Категорија:Барселона
Barents Sea	Баренцово море
Bari	Бари
Barium	Баријум
Barley	Јечам
Barn Owl	Kukuvija
Barometer	Барометар
Baroque	Барок
Barranquilla	Баранкиља
Barrel (unit)	Барел
Basalt	Базалт
Base (chemistry)	База (хемија)
Baseball	Бејзбол
Basel	Базел
Bash	Баш
Basil	Босиљак
Basil of Caesarea	Василије Велики
Basilica	Базилика
Basilicata	Базиликата
Basiliscus	Василиск
Basilisk	Базилиск
Basketball	Кошарка
Basketball	Категорија:Кошарка
Bass guitar	Бас гитара
Basse-Normandie	Доња Нормандија
Basseterre	Бастер
Bassoon	Фагот
Bat	Слепи мишеви
Bath	Бат (Сомерсет)
Batman	Бетмен
Baton Rouge	Батон Руж
Battalion	Батаљон
Battery (electricity)	Батерија
Battle of Austerlitz	Битка код Аустерлица
Battle of Britain	Битка за Британију
Battle of Hastings	Битка код Хејстингса
Battle of Lepanto (1571)	Битка код Лепанта
Battle of Marathon	Маратонска битка
Battle of Midway	Битка код Мидвеја
Battle of Thermopylae	Термопилска битка
Battle of Trafalgar	Битка код Трафалгара
Battle of Verdun	Верденска битка
Battle of Waterloo	Битка код Ватерлоа
Battle of the Bulge	Арденска битка
Battle of the Somme	Битка на Соми
Battleship	Бојни брод
Bauhaus	Баухаус
Bauxite	Боксит
Bavaria	Баварска
Bavaria	Категорија:Баварска
Bay Laurel	Ловор
Bay of Bengal	Бенгалски залив
Bay of Biscay	Бискајски залив
Bayer	Бајер АГ
Bayonne	Бајон
Beach	Plaža
Bear	Медвед
Beaufort Sea	Бофортово море
Beaufort scale	Бофорова скала
Bebop	Би-бап
Becquerel	Бекерел
Bed	Кревет
Bede	Беда Поштовани
Bee	Пчела
Beech	Буква
Beekeeping	Категорија:Пчеларство
Beer	Пиво
Beetle	Тврдокрилци
Behaviorism	Бихевиоризам
Beijing	Пекинг
Beirut	Бејрут
Belarus	Белорусија
Belarus	Категорија:Белорусија
Belfast	Белфаст
Belgium	Белгија
Belgium	Категорија:Белгија
Belgrade	Београд
Belisarius	Велизар
Belize	Белизе
Belize	Категорија:Белизе
Bell (instrument)	Звоно
Bellerophon	Белерофонт
Belo Horizonte	Бело Хоризонте
Beluga	Белуга
Benelux	Бенелукс
Benin	Бенин
Benin	Категорија:Бенин
Benito Mussolini	Бенито Мусолини
Benjamin Britten	Едвард Бенџамин Бритн
Benjamin Disraeli	Бенџамин Дизраели
Benjamin Franklin	Бенџамин Френклин
Benny Goodman	Бени Гудман
Beowulf	Беовулф
Bergen	Берген
Bering Sea	Берингово море
Bering Strait	Берингов мореуз
Berkelium	Берклијум
Berlin	Берлин
Berlin	Категорија:Берлин
Bermuda	Бермуди
Bermuda	Категорија:Бермуди
Bermuda Triangle	Бермудски троугао
Berne	Берн
Bernhard Riemann	Bernhard Riman
Bertolt Brecht	Бертолт Брехт
Bertrand Russell	Бертранд Расел
Beryl	Берил
