Icelandic	English
David Ricardo	David Ricardo
Sólarhringur	Day
Flokkur:Dagar	Days
Djákni	Deacon
Dauðahaf	Dead Sea
Dauði	Death
Áratugur	Decade
Desember	December
31. desember	December 31
8. desember	December 8
Desíbel	Decibel
Tugakerfi	Decimal
Afbygging	Deconstruction
Afleiðsla	Deductive reasoning
Hjartardýr	Deer
Gráða	Degree
Deimos	Deimos (moon)
Frumgyðistrú	Deism
Delaware (fylki)	Delaware
Delfí	Delphi
Delta	Delta (letter)
Demetra	Demeter
Lýðræði	Democracy
Demókrataflokkurinn	Democratic Party (United States)
Austur-Kongó	Democratic Republic of the Congo
Flokkur:Austur-Kongó	Democratic Republic of the Congo
Demókrítos	Democritus
Lýðfræði	Demography
Demosþenes	Demosthenes
Denis Diderot	Denis Diderot
Danmörk	Denmark
Flokkur:Danmörk	Denmark
Eðlismassi	Density
Tannlækningar	Dentistry
Denver	Denver
Deildun	Derivative
Eyðimörk	Desert
Flokkur:Eyðimerkur	Deserts
Desiderius Erasmus	Desiderius Erasmus
Hönnun	Design
Tundurspillir	Destroyer
Ákveða	Determinant
Detroit	Detroit
Þroskasálfræði	Developmental psychology
Rekill (tölvunarfræði)	Device driver
Devon	Devon
Devontímabilið	Devonian
Daka	Dhaka
Sykursýki	Diabetes mellitus
Mállýska	Dialect
Þrætubók	Dialectic
Þvermál	Diameter
Demantur	Diamond
Díana prinsessa	Diana
Niðurgangur	Diarrhea
Kísilþörungar	Diatom
Tvíkímblöðungar	Dicotyledon
Einræði	Dictatorship
Orðabók	Dictionary
Díselvél	Diesel engine
Melting	Digestion
Flokkur:Meltingarkerfið	Digestive system
Stafræn ljósmyndun	Digital camera
Risaeðlur	Dinosaur
Diocletianus	Diocletian
Tvistur	Diode
Tvíhljóð	Diphthong
Ríkiserindrekstur	Diplomacy
Jafnstraumur	Direct current
Tvísykrur	Disaccharide
Flokkur:Aðgreiningarsíður	Disambiguation
Sjúkdómur	Disease
Fjarlægðarformúlan	Distance
Sundurleitni	Divergence
Deiling	Division (mathematics)
Flokkur:Djíbútí	Djibouti
Dmitri Mendelejev	Dmitri Mendeleev
Dímítríj Sjostakovítsj	Dmitri Shostakovich
Dnjepr	Dnieper River
Dobermann	Doberman Pinscher
Tylftareyjar	Dodecanese
Dúdúfugl	Dodo
Dódóma	Dodoma
Hundur	Dog
Dalur (gjaldmiðill)	Dollar
Dolly	Dolly (sheep)
Höfrungar	Dolphin
Lén (líffræði)	Domain (biology)
Lén (tölvunarfræði)	Domain name
Hvolfþak	Dome
Flokkur:Dóminíka	Dominica
Dóminíska lýðveldið	Dominican Republic
Flokkur:Dóminíska lýðveldið	Dominican Republic
Dómitíanus	Domitian
Don Kíkóti	Don Quixote
Don	Don River (Russia)
Andrés Önd	Donald Duck
Donatello	Donatello
Hurð	Door
Dopplerhrif	Doppler effect
Doris Lessing	Doris Lessing
Dortmund	Dortmund
Dóúala	Douala
Kontrabassi	Double bass
Drakúla	Dracula
Dreki (goðsagnavera)	Dragon
Leikrit	Drama
Damm	Draughts
Draumur	Dream
Dresden	Dresden
Drómedari	Dromedary
Fíkn	Drug addiction
Tromma	Drum
Tvíhyggja	Dualism
Tvíhyggja	Dualism (philosophy of mind)
Dúbæ	Dubai
Dyflinn	Dublin
Önd	Duck
Duke-háskóli	Duke University
Sandalda	Dune
Dunkerque	Dunkirk
Skeifugörn	Duodenum
Dúshanbe	Dushanbe
Flokkur:Hollendingar	Dutch people
Dwight D. Eisenhower	Dwight D. Eisenhower
Lesblinda	Dyslexia
Dystópía	Dystopia
E	E
E (stærðfræðilegur fasti)	E (mathematical constant)
Tölvupóstur	E-mail
Eyra	Ear
Eyrnaselir	Eared seal
Selaætt	Earless seal
Jörðin	Earth
Flokkur:Jörðin	Earth
Jarðvísindi	Earth science
Jarðskjálfti	Earthquake
Austur	East
Austur-Afríka	East Africa
Austur-Þýskaland	East Germany
Austur-Sussex	East Sussex
Austur-Tímor	East Timor
Flokkur:Austur-Tímor	East Timor
Páskar	Easter
Rétttrúnaðarkirkjan	Eastern Orthodox Church
Sólbaugur	Ecliptic
Vistfræði	Ecology
Flokkur:Vistfræði	Ecology
Hagfræði	Economics
Flokkur:Hagfræði	Economics
Vistkerfi	Ecosystem
Ekvador	Ecuador
Flokkur:Ekvador	Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edinborg	Edinburgh
Edmund Hillary	Edmund Hillary
Edmund Husserl	Edmund Husserl
Menntun	Education
Edvard Grieg	Edvard Grieg
Edvard Munch	Edvard Munch
Edward Gibbon	Edward Gibbon
Edward Jenner	Edward Jenner
Edwin Hubble	Edwin Hubble
Egg (matvæli)	Egg (biology)
Egyptaland	Egypt
Flokkur:Egyptaland	Egypt
Eiffelturninn	Eiffel Tower
El Cid	El Cid
El Paso	El Paso
El Salvador	El Salvador
Flokkur:El Salvador	El Salvador
Saxelfur	Elbe
Eleanor Roosevelt	Eleanor Roosevelt
Elektra	Electra
Rafhleðsla	Electric charge
Rafstraumur	Electric current
Rafmótstaða	Electrical resistance
Rafmagn	Electricity
Flokkur:Rafmagn	Electricity
Rafgreining	Electrolysis
Raflausn	Electrolyte
Rafsegulgeislun	Electromagnetic radiation
Rafsegulfræði	Electromagnetism
Rafeind	Electron
Rafeindatækni	Electronics
Öreind	Elementary particle
Fíll	Elephant
Álfur	Elf
Elias Canetti	Elias Canetti
Elizabeth Taylor	Elizabeth Taylor
Ella Fitzgerald	Ella Fitzgerald
Elvis Presley	Elvis Presley
Emilía-Rómanja	Emilia-Romagna
Emily Dickinson	Emily Dickinson
Emma Goldman	Emma Goldman
Tilfinning	Emotion
Empedókles	Empedocles
Keisari	Emperor
Keisaramörgæs	Emperor Penguin
Empire State-byggingin	Empire State Building
Raunhyggja	Empiricism
Alfræðirit	Encyclopedia
Innkirtlakerfið	Endocrine system
Innkirtlafræði	Endocrinology
Flokkur:Innkirtlafræði	Endocrinology
Orka	Energy
Flokkur:Orka	Energy
Orka	Energy (society)
Verkfræði	Engineering
Flokkur:Verkfræði	Engineering
England	England
Flokkur:England	England
Ermarsund	English Channel
Enska borgarastyrjöldin	English Civil War
Enska	English language
Flokkur:Enska	English language
Flokkur:Englendingar	English people
Enrico Fermi	Enrico Fermi
Flokkur:Afþreying	Entertainment
Skordýrafræði	Entomology
Flokkur:Skordýrafræði	Entomology
Flokkur:Umhverfið	Environment
Ensím	Enzyme
Efesos	Ephesus
Skjálftamiðja	Epicenter
Epiktetos	Epictetus
Epikúros	Epicurus
Flogaveiki	Epilepsy
Þekkingarfræði	Epistemology
Epsílon	Epsilon
Jafna	Equation
Miðbaugur	Equator
Miðbaugs-Gínea	Equatorial Guinea
Jafndægur	Equinox
Erasure	Erasure
Eratosþenes	Eratosthenes
Standpína	Erection
Lyngætt	Ericaceae
Lyngbálkur	Ericales
Flokkur:Erítrea	Eritrea
Ernest Hemingway	Ernest Hemingway
Ernest Rutherford	Ernest Rutherford
Rof	Erosion
Heimslitafræði	Eschatology
Vélinda	Esophagus
Esperanto	Esperanto
Flokkur:Esperanto	Esperanto
Espoo	Espoo
Espressó	Espresso
Essen	Essen
Essex	Essex
Flokkur:Eistland	Estonia
Estrógen	Estrogen
Eta	Eta (letter)
Etanól	Ethanol
Siðfræði	Ethics
Flokkur:Siðfræði	Ethics
Eþíópía	Ethiopia
Flokkur:Eþíópía	Ethiopia
Flokkur:Þjóðfræði	Ethnology
Orðsifjafræði	Etymology
Evklíð	Euclid
Heilkjörnungar	Eukaryote
Veigrunarorð	Euphemism
Efrat	Euphrates
Evrasía	Eurasia
Evripídes	Euripides
Evra	Euro
Evrópa (gyðja)	Europa (mythology)
Evrópa	Europe
Flokkur:Evrópa	Europe
Evrópubandalagið	European Community
Evrópusambandið	European Union
Flokkur:Evrópusambandið	European Union
Eva Braun	Eva Braun
Klaufdýr	Even-toed ungulate
Þróunarkenningin	Evolution
Bannfæring	Excommunication
Strípihneigð	Exhibitionism
Tilvistarstefna	Existentialism
Sprenging	Explosion
Veldi (stærðfræði)	Exponentiation
Auga	Eye
F	F
F. Scott Fitzgerald	F. Scott Fitzgerald
Snið:Heimild vantar	Fact
Aðfeldi	Factorial
Verksmiðja	Factory
Fado	Fado
Beykibálkur	Fagales
Falklandseyjar	Falkland Islands
Rökvilla	Fallacy
Falun Gong	Falun Gong
Ætt (flokkunarfræði)	Family (biology)
Farad	Farad
Flokkur:Færeyjar	Faroe Islands
Fasismi	Fascism
Flokkur:Tíska	Fashion
Tíska	Fashion
Skyndibiti	Fast food
Fatah	Fatah
Fána	Fauna
Símbréf	Fax
Ótti	Fear
Febrúar	February
12. febrúar	February 12
14. febrúar	February 14
2. febrúar	February 2
22. febrúar	February 22
29. febrúar	February 29
Bandaríska alríkislögreglan	Federal Bureau of Investigation
Míkrónesía (ríki)	Federated States of Micronesia
Flokkur:Míkrónesía	Federated States of Micronesia
Federico Fellini	Federico Fellini
Feldspat	Feldspar
Kattardýr	Felidae
Femínismi	Feminism
Flokkur:Femínismi	Feminism
Skylmingar	Fencing
Fennikka	Fennel
Fenrisúlfur	Fenrir
Ferdinand 2. keisari	Ferdinand II
Ferdinand Magellan	Ferdinand Magellan
Fermíeind	Fermion
Áburður	Fertilizer
Lénsskipulag	Feudalism
Fibonacciruna	Fibonacci number
Fidel Castro	Fidel Castro
Fídjieyjar	Fiji
FTP	File Transfer Protocol
Skráakerfi	File system
Flokkur:Kvikmyndir	Film
Kvikmynd	Film
Langreyður	Fin Whale
Fjármál	Finance
Fingur	Finger
Finnland	Finland
Flokkur:Finnland	Finland
Eldur	Fire
Skotvopn	Firearm
Fiskur	Fish
Flokkur:Fiskar	Fish
Fjörður	Fjord
Fáni	Flag
Flamenco	Flamenco
Flæmingjar	Flamingo
Flæmingjaland	Flanders
Flæmska	Flemish (linguistics)
Flóð	Flood
Flórens	Florence
Florence Nightingale	Florence Nightingale
Flórída	Florida
Flokkur:Flórída	Florida
Blóm	Flower
Dulfrævingar	Flowering plant
Kvikefni	Fluid
Flauta	Flute
Þoka	Fog
Fólinsýra	Folic acid
Þjóðlagatónlist	Folk music
Þjóðsaga	Folklore
Matur	Food
Knattspyrna	Football (soccer)
Flokkur:Knattspyrna	Football (soccer)
Kraftur	Force
Skógur	Forest
Maurasýra	Formic acid
Fort Worth	Fort Worth
Steingervingur	Fossil
Jarðefnaeldsneyti	Fossil fuel
Refir	Fox
Almenn brot	Fraction (mathematics)
Frakkland	France
Flokkur:Frakkland	France
Francis Bacon (heimspekingur)	Francis Bacon
Francis Crick	Francis Crick
Francis Drake	Francis Drake
Francis Ford Coppola	Francis Ford Coppola
Frans frá Assisí	Francis of Assisi
Francisco Franco	Francisco Franco
Francisco Goya	Francisco Goya
Francisco Pizarro	Francisco Pizarro
Fransín	Francium
Fransk-prússneska stríðið	Franco-Prussian War
Frank Lloyd Wright	Frank Lloyd Wright
Frank Sinatra	Frank Sinatra
Frankfurt am Main	Frankfurt
Flokkur:Frankfurt	Frankfurt
Frankfurt (aðgreining)	Frankfurt (disambiguation)
Franklin Pierce	Franklin Pierce
Franz Kafka	Franz Kafka
Franz Schubert	Franz Schubert
Friðrik barbarossa	Frederick I
Frjáls vilji	Free will
Málfrelsi	Freedom of speech
Frímúrarareglan	Freemasonry
Freetown	Freetown
Franska Pólýnesía	French Polynesia
Flokkur:Franska Pólýnesía	French Polynesia
Franska byltingin	French Revolution
Flokkur:Frakkar	French people
Tíðni	Frequency
Freyja	Freyja
Freyr (norræn goðafræði)	Freyr
Föstudagur	Friday
Fridtjof Nansen	Fridtjof Nansen
Friedrich Engels	Friedrich Engels
Freigáta	Frigate
Frigg Fjörgynsdóttir	Frigg
Friúlí	Friuli-Venezia Giulia
Froskar	Frog
Ávöxtur	Fruit
Flokkur:Ávextir	Fruit
Fucking	Fucking
Fúnafútí	Funafuti
Fall (stærðfræði)	Function (mathematics)
Flokkur:Grunnflokkar	Fundamental
Frumkraftur	Fundamental interaction
Bókstafstrú	Fundamentalism
Sveppur	Fungus
Fjallatoglest	Funicular
Húsgagn	Furniture
Framtíð	Future
Fjodor Dostojevskíj	Fyodor Dostoevsky
G	G
GNOME	GNOME
GNU	GNU
Gabon	Gabon
Flokkur:Gabon	Gabon
Gaboróne	Gaborone
Gaia	Gaia (mythology)
Galatía	Galatia
Stjörnuþoka	Galaxy
Galenos	Galen
Galisía	Galicia (Spain)
Galíleó Galílei	Galileo Galilei
Gallblaðra	Gallbladder
Galeiða	Galley
Hænsnfuglar	Galliformes
Gallín	Gallium
Gamal Abdel Nasser	Gamal Abdel Nasser
Fjárhættuspil	Gambling
Spil	Game
Leikjafræði	Game theory
Gamma	Gamma
Gammageisli	Gamma ray
Ganges	Ganges
Ganýmedes (tungl)	Ganymede (moon)
Garður	Garden
Ufsagrýla	Gargoyle
Gas	Gas
Gasrisi	Gas giant
Meltingarkerfið	Gastrointestinal tract
Sniglar	Gastropoda
Gallía	Gaul
Gautama Búdda	Gautama Buddha
Gasaströndin	Gaza Strip
Erfðavísir	Gene
Ættfræði	Genealogy
Flokkur:Ættfræði	Genealogy
Almenna afstæðiskenningin	General relativity
Erfðafræði	Genetics
Flokkur:Erfðafræði	Genetics
Genf	Geneva
Eignarfall	Genitive case
Genoa	Genoa
Flokkur:Þjóðarmorð	Genocide
Ættkvísl (flokkunarfræði)	Genus
Jarðefnafræði	Geochemistry
Geoffrey Chaucer	Geoffrey Chaucer
Landafræði	Geography
Flokkur:Landafræði	Geography
Gátt:Landafræði	Geography
Flokkur:Jarðfræði	Geology
Jarðfræði	Geology
Rúmfræði	Geometry
Flokkur:Rúmfræði	Geometry
Flokkur:Landmótunarfræði	Geomorphology
Jarðeðlisfræði	Geophysics
Flokkur:Jarðeðlisfræði	Geophysics
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Harrison	George Harrison
George Lucas	George Lucas
George Orwell	George Orwell
George W. Bush	George W. Bush
George Washington	George Washington
Georges Clemenceau	Georges Clemenceau
Georgetown	Georgetown
Georgía (fylki BNA)	Georgia (U.S. state)
Flokkur:Georgíufylki	Georgia (U.S. state)
Georgía	Georgia (country)
Gerald Ford	Gerald Ford
Þýskur fjárhundur	German Shepherd Dog
Þýska	German language
Flokkur:Þýska	German language
German	Germanium
Þýskaland	Germany
Flokkur:Þýskaland	Germany
Gana	Ghana
Flokkur:Gana	Ghana
Gent	Ghent
Giacomo Puccini	Giacomo Puccini
Pandabjörn	Giant Panda
Gíbraltar	Gibraltar
Flokkur:Gíbraltar	Gibraltar
Gilgamesh	Gilgamesh
Giordano Bruno	Giordano Bruno
Giorgio de Chirico	Giorgio de Chirico
Giovanni Boccaccio	Giovanni Boccaccio
Giuseppe Verdi	Giuseppe Verdi
Jökull	Glacier
Glasgow	Glasgow
Gler	Glass
Global Positioning System	Global Positioning System
Heimshlýnun	Global warming
Hnattvæðing	Globalization
Gloucestershire	Gloucestershire
Glúkagon	Glucagon
Glúkósi	Glucose
Glýseról	Glycerol
Kjálkadýr	Gnathostomata
Gó	Go (board game)
Guð	God
Gull	Gold
Golda Meir	Golda Meir
Gullinsækir	Golden Retriever
Golf	Golf
Flokkur:Golf	Golf
Golgiflétta	Golgi apparatus
Föstudagurinn langi	Good Friday
Google	Google
Googol	Googol
Gautaborg	Gothenburg
Gotneskur	Gothic
Ríkisstjórn	Government
Stigull	Gradient
Graham Greene	Graham Greene
Málfræði	Grammar
Flokkur:Málfræði	Grammar
Miklagljúfur	Grand Canyon
Vínber	Grape
Grafít	Graphite
Þyngdarafl	Gravitation
Grei	Gray (unit)
Úlfur	Gray Wolf
Graz	Graz
Kóralrifið mikla	Great Barrier Reef
Stóra-Bretland	Great Britain
Kreppan mikla	Great Depression
Vötnin miklu	Great Lakes
Kínamúrinn	Great Wall of China
Hvíthákarl	Great white shark
Stóru-Antillaeyjar	Greater Antilles
Stórborgarsvæði Lundúna	Greater London
Goðar	Grebe
Grikkland	Greece
Flokkur:Grikkland	Greece
Grískt stafróf	Greek alphabet
Grísk goðafræði	Greek mythology
Flokkur:Grísk goðafræði	Greek mythology
Gróðurhúsaáhrif	Greenhouse effect
Gróðurhúsalofttegund	Greenhouse gas
Grænland	Greenland
Flokkur:Grænland	Greenland
Greenpeace	Greenpeace
Greenwich	Greenwich
Staðartími Greenwich	Greenwich Mean Time
Gregoríska tímatalið	Gregorian calendar
Flokkur:Grenada	Grenada
Grenoble	Grenoble
Grágæs	Greylag Goose
Landsframleiðsla	Gross domestic product
Grúpa	Group (mathematics)
Flokkur (lotukerfið)	Group (periodic table)
Grúpa	Group theory
Grover Cleveland	Grover Cleveland
Gvadelúpeyjar	Guadeloupe
Gvam	Guam
Flokkur:Gvatemala	Guatemala
Gvatemalaborg	Guatemala City
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Fallöxi	Guillotine
Gínea	Guinea
Flokkur:Gínea	Guinea
Gínea-Bissá	Guinea-Bissau
Flokkur:Gínea-Bissá	Guinea-Bissau
Gítar	Guitar
Golfstraumurinn	Gulf Stream
Persaflóastríðið	Gulf War
Adenflói	Gulf of Aden
Akabaflói	Gulf of Aqaba
Helsingjabotn	Gulf of Bothnia
Gíneuflói	Gulf of Guinea
Ómanflói	Gulf of Oman
Taílandsflói	Gulf of Thailand
Byssupúður	Gunpowder
Púðursamsærið	Gunpowder Plot
Gustav Mahler	Gustav Mahler
Flokkur:Gvæjana	Guyana
Fimleikar	Gymnastics
H	H
H. G. Wells	H. G. Wells
HTML	HTML
Hades	Hades
Hadíða	Hadith
Hadríanus	Hadrian
Sterkeind	Hadron
Hafnín	Hafnium
Ægisif	Hagia Sophia
Haífa	Haifa
Hæka	Haiku
Hár	Hair
Haítí	Haiti
Flokkur:Haítí	Haiti
Hadsjí	Hajj
Halal	Halal
Helmingunartími	Half-life
Hrekkjavaka	Halloween
Halógen	Halogen
Hamas	Hamas
Hamborg	Hamburg
Hamborgari	Hamburger
Hamar	Hammer
Hammúrabí	Hammurabi
Hampshire	Hampshire
Skammbyssa	Handgun
Hengigarðarnir í Babýlon	Hanging Gardens of Babylon
Hannibal Barca	Hannibal
Hanoí	Hanoi
Hannover	Hanover
H.C. Andersen	Hans Christian Andersen
Hansasambandið	Hanseatic League
Hamingja	Happiness
Harare	Harare
Harold Pinter	Harold Pinter
Harriet Tubman	Harriet Tubman
Harry Houdini	Harry Houdini
Hatur	Hatred
Havana	Havana
Hawaii	Hawaii
Höfuð	Head
Þjóðhöfðingi	Head of state
Heilsa	Health
Flokkur:Heilsa	Health
Hjarta	Heart
Varmi	Heat
Heba	Hebe (mythology)
Hebreska almanakið	Hebrew calendar
Suðureyjar	Hebrides
Hektari	Hectare
Hektor	Hector
Hector Berlioz	Hector Berlioz
Nautnahyggja	Hedonism
Heimdallur	Heimdall
Heinrich Himmler	Heinrich Himmler
Helen Keller	Helen Keller
Helena (borg í Montana)	Helena
Þyrla	Helicopter
Helíos	Helios
Helín	Helium
Helvíti	Hell
Helsinki	Helsinki
Blóðfræði	Hematology
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (SI-mælieining)	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry Ford	Henry Ford
Henry Purcell	Henry Purcell
Lifrarbólga	Hepatitis
Hefæstos	Hephaestus
Hera (gyðja)	Hera
Herakleitos	Heraclitus
Herbert Hoover	Herbert Hoover
Herbert Spencer	Herbert Spencer
Villutrú	Heresy
Hermann Hesse	Hermann Hesse
Tvíkynjungur	Hermaphrodite
Heron frá Alexandríu	Hero of Alexandria
Heródótos	Herodotus
Heróín	Heroin
Hertfordshire	Hertfordshire
Hesíódos	Hesiod
Hessen	Hesse
Gagnkynhneigð	Heterosexuality
Ófrumbjarga lífvera	Heterotroph
Sextánundakerfi	Hexadecimal
Hizbollah	Hezbollah
Himalajafjöll	Himalayas
Hindúismi	Hinduism
Flokkur:Hindúismi	Hinduism
Hippókrates	Hippocrates
Hippókratesareiðurinn	Hippocratic Oath
Showa keisari	Hirohito
Hispaníóla	Hispaniola
Sagnfræði	History
Flokkur:Saga	History
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh-borg	Ho Chi Minh City
Hobart	Hobart
Hokusai	Hokusai
Helgidagur	Holiday
Hollywood	Hollywood
Nútími (jarðfræði)	Holocene
Heilaga rómverska ríkið	Holy Roman Empire
Flokkur:Heilaga rómverska ríki	Holy Roman Empire
Heilagur andi	Holy Spirit
Samvægi	Homeostasis
Hómer	Homer
Mannætt	Hominidae
Samkynhneigð	Homosexuality
Hondúras	Honduras
Flokkur:Hondúras	Honduras
Hunang	Honey
Hong Kong	Hong Kong
Flokkur:Hong Kong	Hong Kong
Honíara	Honiara
Vatnsreykjarpípa	Hookah
Hóratíus	Horace
Sjóndeildarhringur	Horizon
Hormón	Hormone
Horn Afríku	Horn of Africa
Hestur	Horse
Hosni Mubarak	Hosni Mubarak
Klukkustund	Hour
Hús	House
Húsamús	House Mouse
Gráspör	House Sparrow
Houston	Houston
Howard Carter	Howard Carter (archaeologist)
Hugo Grotius	Hugo Grotius
Maður	Human
Flokkur:Hugvísindi	Humanities
Kólibrífuglar	Hummingbird
Hundrað ára stríðið	Hundred Years' War
Ungverjaland	Hungary
Flokkur:Ungverjaland	Hungary
Veiðar	Hunting
Kolvetni	Hydrocarbon
Saltsýra	Hydrochloric acid
Vetni	Hydrogen
Vetnissýaníð	Hydrogen cyanide
Vatnafræði	Hydrology
Ýkjur	Hyperbole
Stiklutexti	Hypertext
HTTP	Hypertext Transfer Protocol
Tilgáta	Hypothesis
I	I
I. M. Pei	I. M. Pei
IPod	IPod
Japetos	Iapetus (mythology)
Íberíuskaginn	Iberian Peninsula
Ís	Ice
Íshokkí	Ice hockey
Ísland	Iceland
Flokkur:Ísland	Iceland
Fiskifræði	Ichthyology
Idaho	Idaho
Hughyggja	Idealism
Hugmyndafræði	Ideology
Ido	Ido
Storkuberg	Igneous rock
Ígor Stravinskíj	Igor Stravinsky
Ilíonskviða	Iliad
Illinois	Illinois
Flokkur:Illinois	Illinois
Illyría	Illyria
Imam	Imam
Immanuel Kant	Immanuel Kant
Heimsvaldastefna	Imperialism
Sifjaspell	Incest
Skábraut	Inclined plane
Sjálfstæði	Independence
Indland	India
Flokkur:Indland	India
Indlandshaf	Indian Ocean
Flokkur:Indlandshaf	Indian Ocean
Indiana fylki	Indiana
Flokkur:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indín	Indium
Indókína	Indochina
Indónesía	Indonesia
Flokkur:Indónesía	Indonesia
Span	Inductance
Tilleiðsla	Inductive reasoning
Spanspóla	Inductor
Indusfljót	Indus River
Iðnbyltingin	Industrial Revolution
Iðnaður	Industry
Fótgöngulið	Infantry
Nafnháttur	Infinitive
Óendanleiki	Infinity
Verðbólga	Inflation
Inflúensa	Influenza
Upplýsingar	Information
Upplýsingatækni	Information technology
Innrautt ljós	Infrared
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Innsbruck	Innsbruck
Flokkur:Ólífræn efnafræði	Inorganic chemistry
Skordýr	Insect
Insúlín	Insulin
Heiltölur	Integer
Heildun	Integral
Greindarvísitala	Intelligence quotient
Alþjóða kjarnorkumálastofnunin	International Atomic Energy Agency
Alþjóðaflugmálastofnunin	International Civil Aviation Organization
Alþjóðadómstóllinn	International Court of Justice
Daglínan	International Date Line
Alþjóðagjaldeyrissjóðurinn	International Monetary Fund
Alþjóðlega einingakerfið	International System of Units
Flokkur:Þjóðaréttur	International law
Alþjóðastofnun	International organization
Internetið	Internet
Flokkur:Internetið	Internet
Internet Explorer	Internet Explorer
Túlkur (tölvunarfræði)	Interpreter (computing)
Sniðmengi	Intersection (set theory)
Tónbil	Interval (music)
Hryggleysingjar	Invertebrate
Íó	Io (moon)
Íó (gyðjan)	Io (mythology)
Joð	Iodine
Jón (efnafræði)	Ion
Jónía	Ionia
Jónahaf	Ionian Sea
Jóta	Iota
Iowa	Iowa
Íran	Iran
Flokkur:Íran	Iran
Stríð Íraks og Írans	Iran-Iraq War
Írak	Iraq
Flokkur:Írak	Iraq
Írland	Ireland
Flokkur:Írland	Ireland
Iridín	Iridium
Írlandshaf	Irish Sea
Flokkur:Írar	Irish people
Járn	Iron
Járnöld	Iron Age
Járntjaldið	Iron Curtain
Iron Maiden	Iron Maiden
Íronía	Irony
Óræðar tölur	Irrational number
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Íslam	Islam
Flokkur:Íslam	Islam
Islamabad	Islamabad
Íslamska tímatalið	Islamic calendar
Eyja	Island
Mön (Írlandshafi)	Isle of Man
Wighteyja	Isle of Wight
Samsæta	Isotope
Ísrael	Israel
Flokkur:Ísrael	Israel
Istanbúl	Istanbul
Eiði	Isthmus
Panamaeiðið	Isthmus of Panama
Appennínaskagi	Italian Peninsula
Italo Calvino	Italo Calvino
Ítalía	Italy
Flokkur:Ítalía	Italy
Ívan Petrovítsj Pavlov	Ivan Pavlov
Ívan Túrgenjev	Ivan Turgenev
Ivy League	Ivy League
J	J
J. D. Salinger	J. D. Salinger
Jack Kerouac	Jack Kerouac
Dvergkráka	Jackdaw
Jackson Pollock	Jackson Pollock
Jacksonville	Jacksonville
Jacques Cartier	Jacques Cartier
Jacques Offenbach	Jacques Offenbach
Jaínismi	Jainism
Djakarta	Jakarta
Jamaíka	Jamaica
Flokkur:Jamaíka	Jamaica
James Garfield	James A. Garfield
James Bond	James Bond
James Buchanan	James Buchanan
James Clerk Maxwell	James Clerk Maxwell
James Cook	James Cook
James Joyce	James Joyce
James K. Polk	James K. Polk
James Madison	James Madison
James Monroe	James Monroe
James Watt	James Watt
Jane Austen	Jane Austen
Janis Joplin	Janis Joplin
Janúar	January
1. janúar	January 1
19. janúar	January 19
20. janúar	January 20
6. janúar	January 6
Japan	Japan
Flokkur:Japan	Japan
Jason Argóarfari	Jason
Java	Java
Java (forritunarmál)	Java (programming language)
Djass	Jazz
Jean Sibelius	Jean Sibelius
Jean-Jacques Rousseau	Jean-Jacques Rousseau
Jean-Paul Sartre	Jean-Paul Sartre
Jean-Philippe Rameau	Jean-Philippe Rameau
Jeddah	Jeddah
JHVH	Jehovah
Vottar Jehóva	Jehovah's Witnesses
Marglyttur	Jellyfish
Jeremy Bentham	Jeremy Bentham
Jersey	Jersey
Jerúsalem	Jerusalem
Jesús	Jesus
Gyðingar	Jew
Jimi Hendrix	Jimi Hendrix
Jimmy Carter	Jimmy Carter
Jóhanna af Örk	Joan of Arc
Johann Bernoulli	Johann Bernoulli
Johann Sebastian Bach	Johann Sebastian Bach
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Johannes Brahms	Johannes Brahms
Johann Gutenberg	Johannes Gutenberg
Johannes Kepler	Johannes Kepler
Jóhannesarborg	Johannesburg
John Adams	John Adams
John Dewey	John Dewey
John Lennon	John Lennon
John Locke	John Locke
John Maynard Keynes	John Maynard Keynes
John Milton	John Milton
John Quincy Adams	John Quincy Adams
John Steinbeck	John Steinbeck
John Stuart Mill	John Stuart Mill
John Tyler	John Tyler
John Wayne	John Wayne
John von Neumann	John von Neumann
Johnny Cash	Johnny Cash
Liðamót	Joint
Jórdanía	Jordan
Flokkur:Jórdanía	Jordan
Jórdan	Jordan River
Jorge Luis Borges	Jorge Luis Borges
Joseph Conrad	Joseph Conrad
Joseph Goebbels	Joseph Goebbels
Joseph Haydn	Joseph Haydn
Joseph Smith	Joseph Smith
Jósef Stalín	Joseph Stalin
Júl	Joule
