Chinese	English
天使	Angel
安赫尔瀑布	Angel Falls
角	Angle
聖公宗	Anglicanism
安哥拉	Angola
Category:安哥拉	Angola
安圭拉	Anguilla
角动量	Angular momentum
角速度	Angular velocity
波伊提烏	Anicius Manlius Severinus Boethius
苯胺	Aniline
动物	Animal
畜牧业	Animal husbandry
动画	Animation
日本动画	Anime
Category:日本動畫	Anime
泛靈論	Animism
安卡拉	Ankara
安那波利斯	Annapolis
安纳布尔纳峰	Annapurna
安妮·博林	Anne Boleyn
环节动物门	Annelid
公元	Anno Domini
陽極	Anode
神经性厌食症	Anorexia nervosa
雁形目	Anseriformes
Category:雁形目	Anseriformes
蚂蚁	Ant
安条克	Antakya
安塔利亚	Antalya
塔那那利佛	Antananarivo
南极洲	Antarctica
Category:南极洲	Antarctica
心宿二	Antares
天线	Antenna (radio)
安東尼·霍普金斯	Anthony Hopkins
炭疽病	Anthrax
人类学	Anthropology
Category:人类学	Anthropology
人智學	Anthroposophy
抗生素	Antibiotic
抗体	Antibody
反基督	Antichrist
反气旋	Anticyclone
抗原	Antigen
安蒂岡妮	Antigone
安提瓜和巴布达	Antigua and Barbuda
Category:安提瓜和巴布达	Antigua and Barbuda
反物质	Antimatter
锑	Antimony
抗氧化剂	Antioxidant
對立教宗	Antipope
反犹太主义	Antisemitism
Category:反犹太主义	Antisemitism
唧筒座	Antlia
安托法加斯塔	Antofagasta
拉瓦锡	Antoine Lavoisier
安东·布鲁克纳	Anton Bruckner
安东·契诃夫	Anton Chekhov
安东尼奥·斯特拉迪瓦里	Antonio Stradivari
安东尼奥·维瓦尔第	Antonio Vivaldi
安特卫普	Antwerp
安特衛普省	Antwerp (province)
阿努比斯	Anubis
肛门	Anus
主動脈	Aorta
阿帕契族	Apache
猿	Ape
失语症	Aphasia
格言	Aphorism
阿佛羅狄忒	Aphrodite
阿皮亚	Apia
伞形科	Apiaceae
雨燕目	Apodiformes
阿波罗	Apollo
阿波罗计划	Apollo program
Category:阿波罗计划	Apollo program
细胞凋亡	Apoptosis
阿巴拉契亚山脉	Appalachian Mountains
闌尾炎	Appendicitis
苹果	Apple
应用数学	Applied mathematics
杏	Apricot
4月	April
4月14日	April 14
愚人节	April Fools' Day
普利亚	Apulia
天燕座	Apus
亞喀巴	Aqaba
王水	Aqua regia
水族箱	Aquarium
寶瓶座	Aquarius (constellation)
高架渠	Aqueduct
天鷹座	Aquila (constellation)
阿基坦	Aquitaine
天坛座	Ara (constellation)
阿拉伯人	Arab
阿拉伯国家联盟	Arab League
阿拉伯半岛	Arabian Peninsula
阿拉伯海	Arabian Sea
阿拉伯字母	Arabic alphabet
阿拉伯语	Arabic language
天南星科	Araceae
蛛形纲	Arachnid
阿拉弗拉海	Arafura Sea
阿拉贡自治区	Aragon
鹹海	Aral Sea
阿拉姆·哈恰圖良	Aram Khachaturian
阿卡迪亚 (希腊)	Arcadia
阿尔坎杰罗·科雷利	Arcangelo Corelli
拱	Arch
考古学	Archaeology
Category:考古学	Archaeology
始祖鸟	Archaeopteryx
天使長	Archangel
總主教	Archbishop
太古代	Archean
原型	Archetype
阿基米德	Archimedes
群島	Archipelago
建筑师	Architect
建筑学	Architecture
Category:建筑	Architecture
主龍類	Archosaur
北极地区	Arctic
北極圈	Arctic Circle
北冰洋	Arctic Ocean
阿登	Ardennes
阿登省	Ardennes (department)
公畝	Are
面积	Area
棕榈科	Arecaceae
阿瑞斯	Ares
阿根廷	Argentina
Category:阿根廷	Argentina
氩	Argon
阿尔戈斯	Argos
詠嘆調	Aria
阿里烏教派	Arianism
白羊座	Aries (constellation)
阿里斯塔克斯	Aristarchus of Samos
贵族制	Aristocracy
阿里斯托芬	Aristophanes
亚里士多德	Aristotle
算术	Arithmetic
Category:算术	Arithmetic
等差数列	Arithmetic progression
阿利烏	Arius
亞利桑那州	Arizona
Category:亚利桑那州	Arizona
約櫃	Ark of the Covenant
阿肯色州	Arkansas
Category:阿肯色州	Arkansas
亞爾	Arles
犰狳科	Armadillo
亞美尼亞	Armenia
Category:亞美尼亞	Armenia
亚美尼亚语	Armenian language
盔甲	Armour
陆军	Army
阿纳姆	Arnhem
阿諾河	Arno River
阿诺德·勋伯格	Arnold Schoenberg
芳香烃	Aromatic hydrocarbon
火绳钩枪	Arquebus
阿拉斯	Arras
箭	Arrow
砷	Arsenic
艺术	Art
装饰艺术运动	Art Deco
新艺术运动	Art Nouveau
Category:藝術史	Art history
美术史	Art history
阿尔忒弥斯	Artemis
蒿属	Artemisia (plant)
动脉	Artery
关节炎	Arthritis
节肢动物	Arthropod
阿瑟·康普顿	Arthur Compton
阿瑟·柯南·道爾	Arthur Conan Doyle
阿瑟·米勒	Arthur Miller
阿尔图尔·兰波	Arthur Rimbaud
亚瑟·叔本华	Arthur Schopenhauer
阿瑟·韋爾斯利，第一代威靈頓公爵	Arthur Wellesley
人工智能	Artificial intelligence
Category:人工智能	Artificial intelligence
火炮	Artillery
Category:火炮	Artillery
艺术家	Artist
Category:艺术	Arts
阿图罗·托斯卡尼尼	Arturo Toscanini
阿魯巴	Aruba
石棉	Asbestos
阿斯克勒庇俄斯	Asclepius
無性戀	Asexuality
亚斯格特	Asgard
大齋首日	Ash Wednesday
亚述巴尼拔	Ashurbanipal
亚洲	Asia
Category:亚洲	Asia
阿斯馬拉	Asmara
阿斯巴甜	Aspartame
柏油	Asphalt
阿司匹林	Aspirin
阿萨姆邦	Assam
暗杀	Assassination
汇编语言	Assembly language
东南亚国家联盟	Association of Southeast Asian Nations
亚述	Assyria
Category:亚述	Assyria
阿斯塔纳	Astana
砹	Astatine
菊科	Asteraceae
Category:菊科	Asteraceae
小行星	Asteroid
小行星带	Asteroid belt
哮喘	Asthma
散光	Astigmatism (eye)
阿斯特拉罕	Astrakhan
天體生物學	Astrobiology
占星学	Astrology
Category:占星學	Astrology
天体测量学	Astrometry
宇航员	Astronaut
天文学家	Astronomer
天文單位	Astronomical unit
天文学	Astronomy
Category:天文学	Astronomy
Portal:天文学	Astronomy
天体物理学	Astrophysics
Category:天体物理学	Astrophysics
阿斯旺	Aswan
渐近线	Asymptote
异步传输模式	Asynchronous Transfer Mode
阿塔卡马沙漠	Atacama Desert
阿頓	Aten
Category:无神论	Atheism
雅典娜	Athena
雅典	Athens
Category:田徑	Athletics
田径	Athletics (track and field)
亚特兰大	Atlanta
大西洋	Atlantic Ocean
Category:大西洋	Atlantic Ocean
亚特兰蒂斯	Atlantis
土卫十五	Atlas (moon)
阿特拉斯	Atlas (mythology)
阿特拉斯山脈	Atlas Mountains
大气层	Atmosphere
标准大气压	Atmosphere (unit)
气压	Atmospheric pressure
珊瑚岛	Atoll
原子	Atom
原子量	Atomic mass
原子质量单位	Atomic mass unit
原子序数	Atomic number
Category:原子物理学	Atomic physics
原子物理学	Atomic physics
阿托品	Atropine
阿提卡	Attica
阿提拉	Attila the Hun
Au	Au
