Greek	English
Κατηγορία:Ατλαντικός Ωκεανός	Atlantic Ocean
Ατλαντίδα	Atlantis
Άτλας	Atlas (disambiguation)
Άτλας (δορυφόρος)	Atlas (moon)
Άτλας (μυθολογία)	Atlas (mythology)
Ατμόσφαιρα (μονάδα)	Atmosphere (unit)
Ατμοσφαιρική πίεση	Atmospheric pressure
Ατόλη	Atoll
Άτομο	Atom
Ατομικό βάρος	Atomic mass
Ατομικός αριθμός	Atomic number
Ατομική Φυσική	Atomic physics
Ατρέας	Atreus
Αττική	Attica
Αττίλας	Attila the Hun
AU	Au
Ώκλαντ	Auckland
Αύγουστος	August
1 Αυγούστου	August 1
15 Αυγούστου	August 15
6 Αυγούστου	August 6
Αύγουστος Κοντ	Auguste Comte
Αύγουστος Ροντέν	Auguste Rodin
Αυγουστίνος Ιππώνος	Augustine of Hippo
Ηνίοχος (αστερισμός)	Auriga (constellation)
Σέλας	Aurora (astronomy)
Ώστιν	Austin
Αυστραλασία	Australasia
Αυστραλία	Australia
Κατηγορία:Αυστραλία	Australia
Αυστρία	Austria
Κατηγορία:Αυστρία	Austria
Αυστροουγγαρία	Austria-Hungary
Συγγραφέας	Author
Αυτισμός	Autism
Αυτοκίνητο	Automobile
Φθινόπωρο	Autumn
Αβατάρ	Avatar
Αβερρόης	Averroes
Αβέστα	Avesta
Κατηγορία:Αεροπορία	Aviation
Αβικέννας	Avicenna
Αβινιόν	Avignon
Αβοκάντο	Avocado
Υπόθεση Αβογκάντρο	Avogadro's law
Αζερμπαϊτζάν	Azerbaijan
Κατηγορία:Αζερμπαϊτζάν	Azerbaijan
Αζιμούθιο	Azimuth
Αζόρες	Azores
Αζτέκοι	Aztec
Αζουρίτης	Azurite
B	B
BASIC	BASIC
Βαβυλώνα	Babylon
Τάβλι	Backgammon
Βακτήριο	Bacteria
Φάγος	Bacteriophage
Αντιπτέριση	Badminton
Βαγδάτη	Baghdad
Κατηγορία:Μπαχάμες	Bahamas
Μπαχρέιν	Bahrain
Κατηγορία:Μπαχρέιν	Bahrain
Μπακλαβάς	Baklava
Μπακού	Baku
Μπαλαλάικα	Balalaika
Μπαλντρ	Baldr
Βαλεαρίδες Νήσοι	Balearic Islands
Μπαλί	Bali
Βαλκανικοί πόλεμοι	Balkan Wars
Βαλκάνια	Balkans
Μπάλα	Ball
Βαλτική Θάλασσα	Baltic Sea
Βαλτιμόρη	Baltimore
Μπαμπού	Bamboo
Μπανάνα	Banana
Μπανανία	Banana republic
Μπανγκόκ	Bangkok
Μπανγκλαντές	Bangladesh
Κατηγορία:Μπανγκλαντές	Bangladesh
Τράπεζα	Bank
Χαρτονόμισμα	Banknote
Βάπτισμα (Χριστιανισμός)	Baptism
Βαρομετρική μονάδα	Bar (unit)
Μπαρμπάντος	Barbados
Κατηγορία:Μπαρμπάντος	Barbados
Βάρβαροι	Barbarian
Βαρκελώνη	Barcelona
Κατηγορία:Βαρκελώνη	Barcelona
Θάλασσα Μπάρεντς	Barents Sea
Μπάρι	Bari
Βάριο	Barium
Βαρόμετρο	Barometer
Μπαρόκ	Baroque
Βαρυόνιο	Baryon
Βάση	Base (chemistry)
Κατηγορία:Μπέιζμπολ	Baseball
Βασιλεία (Ελβετία)	Basel
Βασιλικός	Basil
Βασίλειος Καισαρείας	Basil of Caesarea
Ρυθμός της Βασιλικής	Basilica
Φλάβιος Βασιλίσκος	Basiliscus
Καλαθοσφαίριση	Basketball
Κατηγορία:Καλαθοσφαίριση	Basketball
Φαγκότο	Bassoon
Βαστίλη	Bastille
Μπάτμαν	Batman
Μπαταρία	Battery (electricity)
Ναυμαχία της Ναυπάκτου	Battle of Lepanto (1571)
Μάχη του Μαραθώνα	Battle of Marathon
Μάχη των Θερμοπυλών	Battle of Thermopylae
Ναυμαχία του Τραφάλγκαρ	Battle of Trafalgar
Μάχη του Βερντέν	Battle of Verdun
Μάχη των Αρδεννών	Battle of the Bulge
Μάχη του Σομμ	Battle of the Somme
Μπάουχαους	Bauhaus
Βωξίτης	Bauxite
Βαυαρία	Bavaria
Κατηγορία:Βαυαρία	Bavaria
Δάφνη (φυτό)	Bay Laurel
Βισκαϊκός κόλπος	Bay of Biscay
Παραλία	Beach
Αρκούδα	Bear
Θάλασσα Μποφόρ	Beaufort Sea
Κλίμακα Μποφόρ	Beaufort scale
Μπίμποπ	Bebop
Κρεβάτι	Bed
Βεδουίνοι	Bedouin
Μέλισσα	Bee
Οξιά	Beech
Μπίρα	Beer
Κολεόπτερα	Beetle
Πεκίνο	Beijing
Βηρυτός	Beirut
Λευκορωσία	Belarus
Κατηγορία:Λευκορωσία	Belarus
Μπέλφαστ	Belfast
Βέλγιο	Belgium
Κατηγορία:Βέλγιο	Belgium
Βελιγράδι	Belgrade
Μπελίζε	Belize
Κατηγορία:Μπελίζε	Belize
Βελλεροφόντης	Bellerophon
Χορός οριεντάλ	Belly dance
