Greek	English
Γαλιλαίος Γαλιλέι	Galileo Galilei
Χοληδόχος κύστη	Gallbladder
Γαλέα	Galley
Γάλλιο	Gallium
Γκαμάλ Άμπντελ Νάσερ	Gamal Abdel Nasser
Παιχνίδι	Game
Θεωρία παιγνίων	Game theory
Γάμμα	Gamma
Γκανέσα	Ganesha
Γκαντζά	Ganja
Γανυμήδης (μυθολογία)	Ganymede
Γανυμήδης (δορυφόρος)	Ganymede (moon)
Κήπος	Garden
Εδέμ	Garden of Eden
Σκόρδο	Garlic
Αέριο	Gas
Βενζίνη	Gasoline
Γαστρεντερικό σύστημα	Gastrointestinal tract
Σιντάρτα Γκαουτάμα	Gautama Buddha
Ομοφυλόφιλος	Gay
Λωρίδα της Γάζας	Gaza Strip
Γκεμπ	Geb
Γκέισα	Geisha
Δίδυμοι (αστερισμός)	Gemini (constellation)
Γονίδιο	Gene
Γενεαλογία	Genealogy
Κατηγορία:Γενεαλογία	Genealogy
Γενική σχετικότητα	General relativity
Γενετική	Genetics
Κατηγορία:Γενετική	Genetics
Γενεύη	Geneva
Τζίνι	Genie
Γενική	Genitive case
Γένοβα	Genoa
Γενοκτονία	Genocide
Γονιδίωμα	Genome
Γένος (βιολογία)	Genus
Γεωχημεία	Geochemistry
Γεωδαισία	Geodesy
Τζέφρι Τσόσερ	Geoffrey Chaucer
Γεωγραφία	Geography
Κατηγορία:Γεωγραφία	Geography
Κατηγορία:Γεωλογία	Geology
Γεωλογία	Geology
Γεωμετρία	Geometry
Κατηγορία:Γεωμετρία	Geometry
Κατηγορία:Γεωμορφολογία	Geomorphology
Γεωφυσική	Geophysics
Κατηγορία:Γεωφυσική	Geophysics
Γεωπολιτική	Geopolitics
Γκέοργκ Βίλχελμ Φρήντριχ Χέγκελ	Georg Wilhelm Friedrich Hegel
Τζορτζ Μπέρναρντ Σω	George Bernard Shaw
Τζωρτζ Μπους	George Bush
Γκέοργκ Χαίντελ	George Frideric Handel
Τζορτζ Γκέρσουιν	George Gershwin
Τζωρτζ Χάρισον	George Harrison
Τζορτζ Όργουελ	George Orwell
Γεωργία Σάνδη	George Sand
Τζωρτζ Μπους (νεότερος)	George W. Bush
Τζωρτζ Ουάσινγκτων	George Washington
Ζωρζ Μπρακ	Georges Braque
Γεωργία (Πολιτεία ΗΠΑ)	Georgia (U.S. state)
Γεωργία	Georgia (country)
Κατηγορία:Γεωργία	Georgia (country)
Τζέραλντ Φορντ	Gerald Ford
Γκέραρντ Κάιπερ	Gerard Kuiper
Γερμανικός Ποιμενικός	German Shepherd Dog
Γερμανική γλώσσα	German language
Γερμανικό Μάρκο	German mark
Γερμάνιο	Germanium
Γερμανία	Germany
Κατηγορία:Γερμανία	Germany
Γκεστάπο	Gestapo
Θερμοπίδακας	Geyser
Γκάνα	Ghana
Κατηγορία:Γκάνα	Ghana
Γάνδη	Ghent
Γκέτο	Ghetto
Φάντασμα	Ghost
Τζιάκομο Πουτσίνι	Giacomo Puccini
Γιβραλτάρ	Gibraltar
Κατηγορία:Γιβραλτάρ	Gibraltar
Γκιλγκαμές	Gilgamesh
Γκίγκο	Ginkgo
Τζιορντάνο Μπρούνο	Giordano Bruno
Τζόρτζιο Βαζάρι	Giorgio Vasari
Τζόρτζιο ντε Κίρικο	Giorgio de Chirico
Βοκάκιος	Giovanni Boccaccio
Καμηλοπάρδαλη	Giraffe
Τζιρόλαμο Σαβοναρόλα	Girolamo Savonarola
Τζουζέπε Βέρντι	Giuseppe Verdi
Παγετώνας	Glacier
Αδένας	Gland
Γλασκώβη	Glasgow
Γυαλί	Glass
Γυαλιά	Glasses
Global Positioning System	Global Positioning System
Παγκόσμια θέρμανση	Global warming
Αγκινάρα	Globe artichoke
Γκλουόνιο	Gluon
Γνωστικισμός	Gnosticism
Γκο	Go (board game)
Κατσίκα	Goat
Θεός	God
Χρυσός	Gold
Γκόλντα Μέιρ	Golda Meir
Χρυσή Ορδή	Golden Horde
Γκολφ	Golf
Κατηγορία:Γκολφ	Golf
Σωμάτιο Golgi	Golgi apparatus
Google	Google
Googol	Googol
Γοργόνες (μυθολογία)	Gorgon
Γορίλας	Gorilla
Ευαγγέλιο	Gospel
Κατά Λουκάν Ευαγγέλιον	Gospel of Luke
Γκέτεμποργκ	Gothenburg
Ουρική αρθρίτιδα	Gout
Κυβέρνηση	Government
Γκράφιτι	Graffiti
Γραμμάριο	Gram
Γραμματική	Grammar
Κατηγορία:Γραμματική	Grammar
Γραμματικό γένος	Grammatical gender
Γρανάδα	Granada
Διεθνής γκρανμαίτρ	Grandmaster (chess)
Γκρέιπ-φρουτ	Grapefruit
Κατηγορία:Γραφιστική	Graphic design
Γραφιστική	Graphic design
Γραφικό Περιβάλλον Χρήστη	Graphical user interface
Βαρύτητα	Gravitation
Βαρυτόνιο	Graviton
Λύκος	Gray Wolf
Γκρατς	Graz
Μέγα Σινικό Τείχος	Great Wall of China
Μείζων Περιοχή του Λονδίνου	Greater London
Ελλάδα	Greece
Κατηγορία:Ελλάδα	Greece
Ελληνικό αλφάβητο	Greek alphabet
Κατηγορία:Ελληνικό αλφάβητο	Greek alphabet
Υγρό πυρ	Greek fire
Ελληνική μυθολογία	Greek mythology
Κατηγορία:Ελληνική μυθολογία	Greek mythology
Πράσινο	Green
Θερμοκήπιο	Greenhouse
Φαινόμενο του θερμοκηπίου	Greenhouse effect
Γροιλανδία	Greenland
Κατηγορία:Γροιλανδία	Greenland
Greenpeace	Greenpeace
Μέση Ώρα Γκρίνουιτς	Greenwich Mean Time
Γκρέγκορ Μέντελ	Gregor Mendel
Γρηγοριανό ημερολόγιο	Gregorian calendar
Κατηγορία:Γρενάδα	Grenada
Γκρενόμπλ	Grenoble
Γκρέτα Γκάρμπο	Greta Garbo
Γκρι	Grey
Γρύπας	Griffin
Όρνιο	Griffon Vulture
Ακαθάριστο Εγχώριο Προϊόν	Gross domestic product
Ομάδα	Group (mathematics)
Γκρόζνυ	Grozny
Γερανός (αστερισμός)	Grus (constellation)
Γουαδελούπη	Guadeloupe
Γκουάμ	Guam
Καντώνα	Guangzhou
Γουανίνη	Guanine
Κατηγορία:Γουατεμάλα	Guatemala
Γουαγιακίλ	Guayaquil
Γκέρνσεϊ	Guernsey
Γουλιέλμο Μαρκόνι	Guglielmo Marconi
Συντεχνία (Ελλάδα)	Guild
Γκιγιώμ Απολλιναίρ	Guillaume Apollinaire
Γκιλοτίνα	Guillotine
Γουινέα	Guinea
Κατηγορία:Γουινέα	Guinea
Γουινέα-Μπισσάου	Guinea-Bissau
Κατηγορία:Γουινέα-Μπισσάου	Guinea-Bissau
Κιθάρα	Guitar
Γκούλαγκ	Gulag
Ρεύμα του Κόλπου	Gulf Stream
Πόλεμος του Κόλπου	Gulf War
Βοθνιακός κόλπος	Gulf of Bothnia
Φινλανδικός κόλπος	Gulf of Finland
Κόλπος του Μεξικού	Gulf of Mexico
Συνωμοσία της Πυρίτιδας	Gunpowder Plot
Γκούσταφ Κλιμτ	Gustav Klimt
Γκούσταβ Μάλερ	Gustav Mahler
Γκουστάβ Κουρμπέ	Gustave Courbet
Γκάι Φωκς	Guy Fawkes
Κατηγορία:Γουιάνα	Guyana
Γυμνόσπερμο	Gymnosperm
Γύψος	Gypsum
Γυροσκόπιο	Gyroscope
H	H
HIV	HIV
HTML	HTML
Καταρχαιοζωικός αιώνας	Hadean
Άδης (μυθολογία)	Hades
Αδριανός	Hadrian
Αδρόνιο	Hadron
Αιμοφιλία	Haemophilia
Άφνιο	Hafnium
Αγία Σοφία (Κωνσταντινούπολη)	Hagia Sophia
Χάιφα	Haifa
Χαλάζι	Hail
Άβε Μαρία	Hail Mary
Τρίχα	Hair
Αϊτή	Haiti
Κατηγορία:Αϊτή	Haiti
Αλογόνα	Halogen
Αμβούργο	Hamburg
Κατηγορία:Αμβούργο	Hamburg
Άμλετ	Hamlet
Σφυρί	Hammer
Σφυροδρέπανο	Hammer and sickle
Χαμουραμπί	Hammurabi
Κρεμαστοί κήποι της Βαβυλώνας	Hanging Gardens of Babylon
Χάνα Άρεντ	Hannah Arendt
Αννίβας	Hannibal
Αννόβερο	Hanover
Χανς Κρίστιαν Άντερσεν	Hans Christian Andersen
Τευτονική Χάνσα	Hanseatic League
Αρμονία (μουσική)	Harmony
Χάρολντ Πίντερ	Harold Pinter
Άρπα	Harp
Τσέμπαλο	Harpsichord
Άρπυιες	Harpy
Χάσιο	Hassium
Αβάνα	Havana
Χαβάη	Hawaii
Κατηγορία:Χαβάη	Hawaii
Φουντουκιά	Hazel
Υγεία	Health
Κατηγορία:Υγεία	Health
Καρδιά	Heart
Θερμότητα	Heat
Παράδεισος	Heaven
Βαρύ ύδωρ	Heavy water
Ήβη (μυθολογία)	Hebe (mythology)
Εβραϊκό ημερολόγιο	Hebrew calendar
Εκάτη	Hecate
Εκτάριο	Hectare
Έκτορας	Hector
Χέιμνταλ	Heimdall
Χάινριχ Χερτζ	Heinrich Hertz
Χάινριχ Χίμλερ	Heinrich Himmler
Ερρίκος Σλήμαν	Heinrich Schliemann
Χελ	Hel (being)
Ελένη (μυθολογία)	Helen
Ελικόπτερο	Helicopter
Ήλιος (μυθολογία)	Helios
Ήλιο	Helium
Κόλαση	Hell
Χέλμουτ Σμιτ	Helmut Schmidt
Ελσίνκι	Helsinki
Αιματίτης	Hematite
Αιμορροΐδες	Hemorrhoid
Ανρί Μπεργκσόν	Henri Bergson
Ανρί Ματίς	Henri Matisse
Ερρίκος Ίψεν	Henrik Ibsen
Χένρι Κάβεντις	Henry Cavendish
Χένρυ Κίσινγκερ	Henry Kissinger
Χένρυ Μίλλερ	Henry Miller
Χένρυ Μουρ	Henry Moore
Χένρυ Πέρσελ	Henry Purcell
Ηπατίτιδα	Hepatitis
Ήφαιστος	Hephaestus
Ήρα (μυθολογία)	Hera
Ηρακλής (μυθολογία)	Heracles
Ηράκλειτος	Heraclitus
Ηρακλής (μυθολογία)	Hercules
Ηρακλής (αστερισμός)	Hercules (constellation)
Αίρεση	Heresy
Έρμαν Έσσε	Hermann Hesse
Ερμής (μυθολογία)	Hermes
Ήρωας	Hero
Ήρων	Hero of Alexandria
Ηρόδοτος	Herodotus
Ησίοδος	Hesiod
Εσπερίδες	Hesperides
Έσση	Hesse
Κατηγορία:Έσση	Hesse
Εστία (μυθολογία)	Hestia
Δεκαεξαδικό σύστημα αρίθμησης	Hexadecimal
Χεζμπολάχ	Hezbollah
Χιντέκι Γιουκάβα	Hideki Yukawa
Ιερώνυμος Μπος	Hieronymus Bosch
Χώρος Χίλμπερτ	Hilbert space
Ιμαλάια	Himalayas
Ινδουισμός	Hinduism
Κατηγορία:Ινδουισμός	Hinduism
Ίππαρχος ο Ρόδιος	Hipparchus
Ιπποκράτης	Hippocrates
Όρκος του Ιπποκράτη	Hippocratic Oath
Ιπποπόταμος	Hippopotamus
Χιροχίτο	Hirohito
Χιροσίμα	Hiroshima
Ιστολογία	Histology
Ιστορία	History
Κατηγορία:Ιστορία	History
Σαϊγκόν	Ho Chi Minh City
Κατσουσίκα Χοκουσάι	Hokusai
Αργία	Holiday
Χόλυγουντ	Hollywood
Όλμιο	Holmium
Άγιο Δισκοπότηρο	Holy Grail
Αγία Ρωμαϊκή Αυτοκρατορία	Holy Roman Empire
Κατηγορία:Αγία Ρωμαϊκή Αυτοκρατορία	Holy Roman Empire
Άγιο Πνεύμα	Holy Spirit
Ομοιοπαθητική	Homeopathy
Όμηρος	Homer
Ανθρωπίδαι	Hominidae
Ομοφοβία	Homophobia
Ομοφυλοφιλία	Homosexuality
Ονδούρα	Honduras
Κατηγορία:Ονδούρα	Honduras
Μέλι	Honey
Χονγκ Κονγκ	Hong Kong
Κατηγορία:Χονγκ Κονγκ	Hong Kong
Χονιάρα	Honiara
Χονολουλού	Honolulu
Ναργιλές	Hookah
Νόμος του Χουκ	Hooke's law
Οράτιος	Horace
Ορμόνη	Hormone
Κέρας της Αφρικής	Horn of Africa
Άλογο	Horse
Ώρος	Horus
Χόσνι Μουμπάρακ	Hosni Mubarak
Ώρα	Hour
Κατοικία	House
Ιατρικές υποθέσεις (τηλεσειρά)	House (TV series)
Χιούστον	Houston
Αερόστρωμνο	Hovercraft
Ούγος Καπέτος	Hugh Capet
Ούγκο Γκρότιους	Hugo Grotius
Ουγενότοι	Huguenot
Άνθρωπος	Human
Κατηγορία:Ανθρωπιστικές επιστήμες	Humanities
Υγρασία ατμόσφαιρας	Humidity
Χιούμορ	Humour
Χούμος	Humus
Εκατονταετής πόλεμος	Hundred Years' War
Ουγγαρία	Hungary
Κατηγορία:Ουγγαρία	Hungary
Κυνήγι	Hunting
Χούτου	Hutu
Υβρίδιο	Hybrid
Ύδρα (αστερισμός)	Hydra (constellation)
Υδρογόνο	Hydrogen
Δεσμός υδρογόνου	Hydrogen bond
Υδρολογία	Hydrology
Υδρόσφαιρα	Hydrosphere
Ύδρος	Hydrus
Κατηγορία:Υγιεινή	Hygiene
Υμενόπτερα	Hymenoptera
Υπερβολή (γεωμετρία)	Hyperbola
Υπερίων (μυθολογία)	Hyperion (mythology)
Υπερκείμενο	Hypertext
Πρωτόκολλο Μεταφοράς Υπερκειμένου	Hypertext Transfer Protocol
I	I
Ι.Μ. Πέι	I. M. Pei
IPod	IPod
Ίαν Φλέμινγκ	Ian Fleming
Ιαπετός (μυθολογία)	Iapetus (mythology)
Ιβηρική Χερσόνησος	Iberian Peninsula
Πάγος	Ice
Χόκεϊ επί πάγου	Ice hockey
Κατηγορία:Χόκεϊ επί πάγου	Ice hockey
Ισλανδία	Iceland
Κατηγορία:Ισλανδία	Iceland
Ιχθυολογία	Ichthyology
Αϊντάχο	Idaho
Ιδεαλισμός	Idealism
Ιδεολογία	Ideology
Ιγκόρ Στραβίνσκι	Igor Stravinsky
Ιλιάδα	Iliad
Ιλλυρία	Illyria
Εμμάνουελ Καντ	Immanuel Kant
Ιμπεριαλισμός	Imperialism
Ιμπρεσιονισμός	Impressionism
Ανεξαρτησία	Independence
Ινδία	India
Κατηγορία:Ινδία	India
Ινδικός Ωκεανός	Indian Ocean
Κατηγορία:Ινδικός Ωκεανός	Indian Ocean
Ιντιάνα	Indiana
Ίνδιο	Indium
Ινδονησία	Indonesia
Κατηγορία:Ινδονησία	Indonesia
Επαγωγή (Φιλοσοφία)	Inductive reasoning
Συγχωροχάρτι	Indulgence
Ινδός (αστερισμός)	Indus (constellation)
Ινδός ποταμός	Indus River
Βιομηχανική Eπανάσταση	Industrial Revolution
Αδράνεια	Inertia
Φαντάρος	Infantry
Απαρέμφατο	Infinitive
Άπειρο	Infinity
Πληθωρισμός	Inflation
Γρίπη	Influenza
Πληροφορία	Information
Ίνγκμαρ Μπέργκμαν	Ingmar Bergman
Ίνγκριντ Μπέργκμαν	Ingrid Bergman
Εσωτερική Μογγολία	Inner Mongolia
Καινοτομία	Innovation
Ίνσμπρουκ	Innsbruck
Ανόργανη χημεία	Inorganic chemistry
Έντομα	Insect
Θεσμός	Institution
Ινσουλίνη	Insulin
Ακέραιος αριθμός	Integer
Ολοκληρωμένο κύκλωμα	Integrated circuit
Διανοητική ιδιοκτησία	Intellectual property
Δείκτης Νοημοσύνης	Intelligence quotient
Τόκος	Interest
Διεθνής Οργανισμός Πολιτικής Αεροπορίας	International Civil Aviation Organization
Διεθνές Δικαστήριο της Δικαιοσύνης	International Court of Justice
Διεθνές Νομισματικό Ταμείο	International Monetary Fund
Διεθνές σύστημα μονάδων	International System of Units
Κατηγορία:Διεθνές Δίκαιο	International law
Διαδίκτυο	Internet
Κατηγορία:Διαδίκτυο	Internet
Internet Explorer	Internet Explorer
Διερμηνέας (υπολογιστές)	Interpreter (computing)
Έντερο	Intestine
Intranet	Intranet
Εφεύρεση	Invention
Ιώ (δορυφόρος)	Io (moon)
Ιώ (μυθολογία)	Io (mythology)
Ιώδιο	Iodine
Ιόν	Ion
Ιωνία	Ionia
Ιόνιο Πέλαγος	Ionian Sea
Ιονόσφαιρα	Ionosphere
Ιώτα	Iota
Αϊόβα	Iowa
Ιράν	Iran
Κατηγορία:Ιράν	Iran
Ιράκ	Iraq
Κατηγορία:Ιράκ	Iraq
Ιρλανδία	Ireland
Κατηγορία:Ιρλανδία	Ireland
Ειρηναίος της Λυών	Irenaeus
Ιρίδιο	Iridium
Ίρις (οφθαλμού)	Iris (anatomy)
Ίρις (μυθολογία)	Iris (mythology)
Κατηγορία:Ιρλανδοί	Irish people
Σίδηρος	Iron
Εποχή του Σιδήρου	Iron Age
Σιδηρούν παραπέτασμα	Iron Curtain
Iron Maiden	Iron Maiden
Άρρητος αριθμός	Irrational number
Ισαάκ	Isaac
Ισαάκ Ασίμωφ	Isaac Asimov
Ισαάκ Νεύτων	Isaac Newton
Ισιδώρα Ντάνκαν	Isadora Duncan
Ίσις	Isis
Ισλάμ	Islam
Κατηγορία:Ισλάμ	Islam
Ισλαμαμπάντ	Islamabad
Έτος Εγίρας	Islamic calendar
Νησί	Island
Νήσος του Μαν	Isle of Man
Κατηγορία:Νήσος του Μαν	Isle of Man
Ισομέρεια	Isomer
Ισορόκου Γιαμαμότο	Isoroku Yamamoto
Ισότοπο	Isotope
Ισραήλ	Israel
Κατηγορία:Ισραήλ	Israel
Κωνσταντινούπολη	Istanbul
Κατηγορία:Κωνσταντινούπολη	Istanbul
Ισθμός	Isthmus
Ιταλική χερσόνησος	Italian Peninsula
Ίταλο Καλβίνο	Italo Calvino
Ιταλία	Italy
Κατηγορία:Ιταλία	Italy
Ιθάκη	Ithaca
Ιβάν Παβλόφ	Ivan Pavlov
Ιβάν Τουργκένιεφ	Ivan Turgenev
J	J
Τζέιμς Μάθιου Μπάρι	J. M. Barrie
Τζακ Κέρουακ	Jack Kerouac
Τζακ Λέμον	Jack Lemmon
Τζακ Λόντον	Jack London
Τζακ ο Αντεροβγάλτης	Jack the Ripper
Τζάκσον Πόλοκ	Jackson Pollock
Ιακώβ	Jacob
Ζακ Καρτιέ	Jacques Cartier
Ζακ Όφενμπαχ	Jacques Offenbach
Τζαϊνισμός	Jainism
Τζακάρτα	Jakarta
Τζαμάικα	Jamaica
Κατηγορία:Τζαμάικα	Jamaica
Απόστολος Ιάκωβος	James
Τζέιμς Κλερκ Μάξγουελ	James Clerk Maxwell
Τζαίημς Τζόυς	James Joyce
Τζαίημς Μάντισον	James Madison
Τζαίημς Μονρόε	James Monroe
Τζέιμς Πρέσκοτ Τζάουλ	James Prescott Joule
Τζέιμς Βαττ	James Watt
Γιαν Χους	Jan Hus
Τζάνις Τζόπλιν	Janis Joplin
Γενίτσαροι	Janissary
Ιανουάριος	January
1 Ιανουαρίου	January 1
19 Ιανουαρίου	January 19
20 Ιανουαρίου	January 20
6 Ιανουαρίου	January 6
Ιανός (δορυφόρος)	Janus (moon)
Ιανός	Janus (mythology)
Ιαπωνία	Japan
Κατηγορία:Ιαπωνία	Japan
Ιάσονας	Jason
Ιάβα	Java
Java	Java (programming language)
Τζαζ	Jazz
Κατηγορία:Τζαζ μουσική	Jazz
Ρακίνας	Jean Racine
Ζαν Ζακ Ρουσσώ	Jean-Jacques Rousseau
Ζαν-Πωλ Σαρτρ	Jean-Paul Sartre
Τζέντα	Jeddah
Μάρτυρες του Ιεχωβά	Jehovah's Witnesses
Μέδουσα (ζώο)	Jellyfish
Τζέρσεϊ	Jersey
Ιερουσαλήμ	Jerusalem
Κατηγορία:Ιερουσαλήμ	Jerusalem
Ιησούς Χριστός	Jesus
Εβραίοι	Jew
Τζίμι Χέντριξ	Jimi Hendrix
Τζίμμυ Κάρτερ	Jimmy Carter
Ιωάννα της Λωραίνης	Joan of Arc
Γιόχαν Σεμπάστιαν Μπαχ	Johann Sebastian Bach
Γιόχαν Βόλφγκανγκ Γκαίτε	Johann Wolfgang von Goethe
Γιοχάνες Μπραμς	Johannes Brahms
Γουτεμβέργιος	Johannes Gutenberg
Γιοχάνες Κέπλερ	Johannes Kepler
Γιοχάνεσμπουργκ	Johannesburg
Τζων Άνταμς	John Adams
Τζον Μπαρντίν	John Bardeen
Ιωάννης Καλβίνος	John Calvin
Ιωάννης ο Χρυσόστομος	John Chrysostom
Τζον Χέρσελ	John Herschel
Τζων Λένον	John Lennon
Τζων Λοκ	John Locke
Τζων Κέυνς	John Maynard Keynes
Τζον Μίλτον	John Milton
Τζον Ράσκιν	John Ruskin
Τζον Στάινμπεκ	John Steinbeck
Τζον Στιούαρτ Μιλλ	John Stuart Mill
Τζον φον Νόιμαν	John von Neumann
Ιορδανία	Jordan
Κατηγορία:Ιορδανία	Jordan
Ιορδάνης ποταμός	Jordan River
Χόρχε Λουίς Μπόρχες	Jorge Luis Borges
Τζόζεφ Κόνραντ	Joseph Conrad
Γιόζεφ Γκαίμπελς	Joseph Goebbels
Φραντς Γιόζεφ Χάυντν	Joseph Haydn
Τζόζεφ Πούλιτζερ	Joseph Pulitzer
Ιωσήφ Στάλιν	Joseph Stalin
Ιώσηπος Φλάβιος	Josephus
Τζάουλ (μονάδα μέτρησης)	Joule
Ιοβιανός	Jovian
Ιουδαϊσμός	Judaism
Κατηγορία:Ιουδαϊσμός	Judaism
Ιουδαία	Judea
Τζούντο	Judo
Ζίου Ζίτσου	Jujutsu
Ιούλιος Βερν	Jules Verne
Ιουλιανό ημερολόγιο	Julian calendar
Ιουλιανός	Julian the Apostate
Ιούλιος Καίσαρας	Julius Caesar
Ιούλιος	July
1 Ιουλίου	July 1
4 Ιουλίου	July 4
Ιούνιος	June
14 Ιουνίου	June 14
21 Ιουνίου	June 21
23 Ιουνίου	June 23
24 Ιουνίου	June 24
29 Ιουνίου	June 29
3 Ιουνίου	June 3
Γιουνίπερος	Juniper
Γιούνο	Juno (mythology)
Δίας (πλανήτης)	Jupiter
Γιούπιτερ	Jupiter (mythology)
Ιουστινιανός Α'	Justinian I
Γιουτλάνδη	Jutland
K	K
Κάαμπα	Kaaba
Έρημος Καλαχάρι	Kalahari Desert
Καμικάζι	Kamikaze
Καμπάλα	Kampala
Καγκουρό	Kangaroo
Κάππα	Kappa
Καράτσι	Karachi
Καράτε	Karate
Καρλ Μαρξ	Karl Marx
Κάρμα	Karma
Κάθριν Χέπμπορν	Katharine Hepburn
Κατοβίτσε	Katowice
Κάουνας	Kaunas
Καζακστάν	Kazakhstan
Κατηγορία:Καζακστάν	Kazakhstan
Καζάν	Kazan
Κλίμακα Kelvin	Kelvin
Κεντ	Kent
Κένυα	Kenya
Κατηγορία:Κένυα	Kenya
Πυρήνας (υπολογιστές)	Kernel (computer science)
Κέτσαπ	Ketchup
Κετόνη	Ketone
Πληκτρολόγιο	Keyboard (computing)
Κιμπούτς	Kibbutz
Κίεβο	Kiev
Κιγκάλι	Kigali
Κιλομπάιτ	Kilobyte
Χιλιόγραμμο	Kilogram
Νηπιαγωγείο	Kindergarten
Κινηματική	Kinematics
Κινητική ενέργεια	Kinetic energy
Βασιλιάς (σκάκι)	King (chess)
Βασιλιάς Αρθούρος	King Arthur
Βασίλειο (βιολογία)	Kingdom (biology)
Κιριμπάτι	Kiribati
Κατηγορία:Κιριμπάτι	Kiribati
Φιλί	Kiss
Χαρταετός	Kite
Nož	Knife
Ίππος (σκάκι)	Knight (chess)
Κνωσός	Knossos
Κόμβος	Knot (speed)
Γνώση	Knowledge
Κοάλα	Koala
Κόνραντ Αντενάουερ	Konrad Adenauer
Κατηγορία:Κορέα	Korea
Κοσσυφοπέδιο	Kosovo
Κατηγορία:Κοσσυφοπέδιο	Kosovo
Κρεμλίνο	Kremlin
Κρυπτό	Krypton
Κου Κλουξ Κλαν	Ku Klux Klan
Ζώνη του Κάιπερ	Kuiper belt
Κουμκουάτ	Kumquat
Κουρδιστάν	Kurdistan
Κατηγορία:Κουρδιστάν	Kurdistan
Κουρτ Βαλντχάιμ	Kurt Waldheim
Κουβέιτ	Kuwait
Κατηγορία:Κουβέιτ	Kuwait
Κιότο	Kyoto
Κιργιζία	Kyrgyzstan
Κατηγορία:Κιργιζία	Kyrgyzstan
L	L
Λ'Ακουίλα	L'Aquila
Λα Παζ	La Paz
Εργατικό κόμμα (Ηνωμένο Βασίλειο)	Labour Party (UK)
Σαύρα (αστερισμός)	Lacerta
Γαλακτικό οξύ	Lactic acid
Λίμνη	Lake
Βαϊκάλη	Lake Baikal
Λίμνη της Γενεύης	Lake Geneva
Λάντογκα	Lake Ladoga
Τανγκανίκα	Lake Tanganyika
Λίμνη Βικτόρια	Lake Victoria
Λάμδα	Lambda
Γυπαετός	Lammergeier
Γλώσσα	Language
Λανθάνιο	Lanthanum
Λάος	Laos
Κατηγορία:Λάος	Laos
Φορητός υπολογιστής	Laptop
Λέιζερ	Laser
Λατινική γλώσσα	Latin
Λατινική Αμερική	Latin America
Λατινικό αλφάβητο	Latin alphabet
Γεωγραφικό πλάτος	Latitude
Λεττονία	Latvia
Κατηγορία:Λεττονία	Latvia
Λωζάνη	Lausanne
Δίκαιο	Law
Κατηγορία:Δίκαιο	Law
Λωρένσιο	Lawrencium
Δικηγόρος	Lawyer
Λάτιο	Lazio
Λε Κορμπυζιέ	Le Corbusier
Χάβρη	Le Havre
Μόλυβδος	Lead
Φύλλο (βοτανική)	Leaf
Κοινωνία των Εθνών	League of Nations
Δίσεκτο έτος	Leap year
Λίβανος	Lebanon
Κατηγορία:Λίβανος	Lebanon
Λήδα	Leda (mythology)
Λη Χάρβεϊ Όσβαλντ	Lee Harvey Oswald
Θρύλος	Legend
Λειψία	Leipzig
Λένας ποταμός	Lena River
Μήκος	Length
Φακός	Lens (optics)
Φακή	Lentil
Λέων (αστερισμός)	Leo (constellation)
Λέων Α'	Leo I (emperor)
Λέων Τρότσκι	Leon Trotsky
Λεονάρντο ντα Βίντσι	Leonardo da Vinci
Λέοναρντ Όιλερ	Leonhard Euler
Λεονίντ Μπρέζνιεφ	Leonid Brezhnev
Πάνθηρας	Leopard
Λεπτόνιο	Lepton
Λαγωός	Lepus (constellation)
Λεσότο	Lesotho
Κατηγορία:Λεσότο	Lesotho
Λητώ (μυθολογία)	Leto
Λεβάντες	Levant
Λιούις Κάρολ	Lewis Carroll
Λάσα	Lhasa
Φιλελευθερισμός	Liberalism
Λιβερία	Liberia
Κατηγορία:Λιβερία	Liberia
Ζυγός (αστερισμός)	Libra (constellation)
Βιβλιοθήκη	Library
Βιβλιοθηκονομία και Επιστήμη της Πληροφόρησης	Library science
Λιβύη	Libya
Κατηγορία:Λιβύη	Libya
Λειχήνα	Lichen
Ψέμα	Lie
Λιχτενστάιν	Liechtenstein
Κατηγορία:Λιχτενστάιν	Liechtenstein
Ανθυπολοχαγός	Lieutenant
Ζωή	Life
Κατηγορία:Ζωή	Life
Φως	Light
Δίοδος Εκπομπής Φωτός	Light-emitting diode
Έτος φωτός	Light-year
Φάρος	Lighthouse
Αστραπή	Lightning
Λίλιθ	Lilith
Λίμα	Lima
Ασβεστόλιθος	Limestone
Όριο (μαθηματικά)	Limit (mathematics)
Γραμμή	Line (mathematics)
Γραμμική Άλγεβρα	Linear algebra
Lingua franca	Lingua franca
Γλωσσολογία	Linguistics
Κατηγορία:Γλωσσολογία	Linguistics
Linux	Linux
Λιντς	Linz
Λιοντάρι	Lion
Υγρό	Liquid
Λισαβόνα	Lisbon
Lisp	Lisp (programming language)
Λογοτεχνία	Literature
Κατηγορία:Λογοτεχνία	Literature
Λίθιο	Lithium
Λιθουανία	Lithuania
Κατηγορία:Λιθουανία	Lithuania
Λίτρο	Litre
Λίβερπουλ	Liverpool
Σαύρα	Lizard
Λιουμπλιάνα	Ljubljana
Λάμα	Llama
Δάνειο (γλώσσα)	Loanword
Τοπικό δίκτυο υπολογιστών	Local area network
Λογάριθμος	Logarithm
Κατηγορία:Λογική	Logic
Λογική πύλη	Logic gate
Logo	Logo
Λίγηρας	Loire River
Λόκι	Loki
