English	Urdu
Dice	طاس
Dill	شِبِت
Dimension	بُعد (لکیری الجبرا)
Dinosaur	حیوان المہیب
Disambiguation	زمرہ:ضدابہام
Disease	مرض
Distance	فاصلہ (ریاضی)
Distillation	عمل تقطیر
Division (mathematics)	تقسیم (ریاضی)
Djibouti (city)	جبوتی سٹی
Document	دستاویز
Dodecanese	جزائر ڈوڈکینیز
Dodo	ڈو ڈو
Dollar	ڈالر
Domain name	اسم ساحہ
Dominica	ڈومینیکا
Dominican Republic	جمہوریہ ڈومینیکا
Doris Lessing	ڈورس لیسنگ
Dover	آبنائے ڈوور
Dream	خواب
Dualism	ثنویت
Dubai	دبئی
Dublin	ڈبلن
Duke	ڈیوک
Dunkirk	ڈنکرک
Durban	ڈربن
Dwight D. Eisenhower	ڈیوائٹ ڈی آئزن ہاور
Earth	زمین
Earth science	زمینیات
Earthquake	زلزلہ کي تاريخ
Easter	ایسٹر
Eclipse	سورج گرہن
Economics	معاشیات
Ecuador	ایکواڈور
Edgar Allan Poe	ایڈ گرایلن پو
Edmund Burke	اڈمنڈ برک
Edmund Hillary	ایڈمنڈ ہلری
Edward Jenner	ایڈورڈ جینر
Egypt	مصر
Egypt	زمرہ:مصر
Eiffel Tower	ایفل ٹاور
El Cid	السید
Elbe	ایلب
Electric charge	برقی بار
Electricity	برق
Electron	برقیہ
Electronegativity	برقی منفیت
Elementary particle	بنیادی ذرہ
Elephant	ہاتھی
Ellipse	بیضہ
Elvis Presley	ایلوس پریسلے
Embryo	جنین
Emilia-Romagna	ایمیلیا رومانیا
Empedocles	امپی دوکلیز
Empire State Building	ایمپائر اسٹیٹ بلڈنگ
Empiricism	تجربیت
Energy	توانائی
Energy (society)	توانائی
Engine	محرکیہ
Engineer	مہندس
Engineering	ہندسیات
England	انگلستان
English Channel	رودباد انگلستان
English language	انگريزی
English people	انگریز
Entomology	حشریات
Epithelium	ظہارہ
Equator	خط استوا
Equatorial Guinea	استوائی گنی
Esfahan	اصفہان
Esperanto	اسپرانٹو
Ethiopia	ایتھوپیا
Ethology	حیوانی سلوکیات
Euclid	اقلیدس
Eugene O'Neill	یوجین اونیل
Euphrates	دریائے فرات
Eurasia	یوریشیا
Europe	یورپ
European Union	یورپی اتحاد
Exchange rate	زر مبادلہ کی شرح
Existentialism	موجودیت
