English	Danish
Anal sex	Analsex
Anarchism	Anarkisme
Anarchism	Kategori:Anarkisme
Anarchy	Anarki
Anatidae	Egentlige andefugle
Anatomy	Kategori:Anatomi
Anatomy	Anatomi
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anchor	Anker (søfart)
Anchorage	Anchorage
Ancient Greek	Oldgræsk
Ancient history	Kategori:Antikken
Andalusia	Andalusien
Andaman Sea	Andamanhavet
Anders Celsius	Anders Celsius
Andes	Andesbjergene
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andorra	Kategori:Andorra
Andrea Palladio	Andrea Palladio
Andrei Sakharov	Andrej Sakharov
Andrei Tarkovsky	Andrej Tarkovskij
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Andromeda	Andromeda
Andromeda (constellation)	Andromeda (stjernebillede)
Andromeda (mythology)	Andromeda (mytologi)
Andromeda Galaxy	Andromedagalaksen
Andy Warhol	Andy Warhol
Anemia	Anæmi
Anemometer	Anemometer
Anesthesia	Anæstesi
Angel	Engel
Angel Falls	Salto del Angel
Angle	Vinkel
Angola	Angola
Angola	Kategori:Angola
Anguilla	Anguilla (land)
Angular momentum	Impulsmoment
Angular velocity	Vinkelhastighed
Anicius Manlius Severinus Boethius	Anicius Manlius Severinus Boëthius
Aniline	Anilin
Animal	Dyr
Animation	Animation
Anime	Anime
Anime	Kategori:Anime
Animism	Animisme
Anise	Anis
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna (bjerg)
Anne Boleyn	Anne Boleyn
Annelid	Ledorme
Anno Domini	Anno Domini
Anode	Anode
Anorexia nervosa	Anoreksi
Anseriformes	Andefugle
Anseriformes	Kategori:Andefugle
Ant	Myre
Antakya	Antiokia
Antalya	Antalya
Antananarivo	Antananarivo
Antarctica	Antarktis
Antarctica	Kategori:Antarktis
Antares	Antares
Antenna (radio)	Radioantenne
Anthony Hopkins	Anthony Hopkins
Anthrax	Miltbrand
Anthropology	Antropologi
Anthropology	Kategori:Antropologi
Anthroposophy	Antroposofi
Antibiotic	Antibiotikum
Antibody	Antistof (biologi)
Antichrist	Antikrist
Anticyclone	Anticyklon
Antigen	Antigen
Antigua and Barbuda	Antigua og Barbuda
Antigua and Barbuda	Kategori:Antigua og Barbuda
Antimatter	Antistof (fysik)
Antimony	Antimon
Antioxidant	Antioxidant
Antipope	Modpave
Antisemitism	Antisemitisme
Antisemitism	Kategori:Antisemitisme
Antlia	Luftpumpen
Antoine Lavoisier	Antoine Laurent Lavoisier
Anton Bruckner	Anton Bruckner
Anton Chekhov	Anton Tjekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonym
Antwerp	Antwerpen
Anubis	Anubis
Anus	Endetarmsåbningen
Aorta	Aorta
Apache	Apache
Aphrodite	Afrodite
Apiaceae	Skærmplante-familien
Apocrypha	Apokryfe skrifter
Apollo	Apollon
Apollo (disambiguation)	Apollo
Apollo program	Apollo-programmet
Apollo program	Kategori:Apollo-programmet
Apoptosis	Apoptosis
Appalachian Mountains	Appalacherne
Appendicitis	Blindtarmsbetændelse
Apple	Æble (frugt)
Applied mathematics	Anvendt matematik
Apricot	Abrikos (træ)
April	April
April 14	14. april
April Fools' Day	Aprilsnar
Apse	Apsis
Apulia	Apulien
Apus	Paradisfuglen
Aqaba	Akaba
Aqua regia	Kongevand
Aquamarine	Akvamarin
Aquarium	Akvarium
Aquarius (constellation)	Vandmanden (stjernebillede)
Aqueduct	Akvædukt
Aquila (constellation)	Ørnen (stjernebillede)
Aquitaine	Aquitaine
Ara (constellation)	Alteret
Arab	Araber
Arab League	Den Arabiske Liga
Arabian Peninsula	Arabiske Halvø
Arabian Sea	Arabiske Hav
Arabic alphabet	Arabiske alfabet
Arabic language	Arabisk (sprog)
Araceae	Arum-familien
Arachnid	Spindlere
Aragon	Aragonien
Aral Sea	Aralsøen
Aram Khachaturian	Aram Khatjaturian
Arcadia	Arkadien
Arcangelo Corelli	Arcangelo Corelli
Archaeology	Arkæologi
Archaeology	Kategori:Arkæologi
Archaeopteryx	Archaeopteryx
Archangel	Ærkeengel
Archbishop	Ærkebiskop
Archean	Arkæikum
Archetype	Arketype
Archimedes	Arkimedes
Archipelago	Arkipelag
Architect	Arkitekt
Architecture	Arkitektur
Architecture	Kategori:Arkitektur
Arctic	Arktis
Arctic Circle	Nordlige polarcirkel
Arctic Ocean	Ishavet
Arctic fox	Polarræv
Ardennes	Ardennerne
Ardennes (department)	Ardennes
Are	Ar (enhed)
Area	Areal
Arecaceae	Palme-familien
Ares	Ares
Argentina	Argentina
Argentina	Kategori:Argentina
Argon	Argon
Argos	Argos
Aria	Arie
Ariadne	Ariadne
Arianism	Arianisme
Aries (constellation)	Vædderen
Aristarchus of Samos	Aristarchos
Aristocracy	Aristokrati
Aristophanes	Aristofanes
Aristotle	Aristoteles
Arithmetic	Aritmetik
Arithmetic	Kategori:Aritmetik
Arithmetic progression	Differensrække
Arius	Arius
Arizona	Arizona
Arizona	Kategori:Arizona
Ark of the Covenant	Pagtens Ark
Arkansas	Arkansas
