Hindi	English
लैंकाशायर	Lancashire
भाषा	Language
लाओस	Laos
लैपटॉप	Laptop
लेसर विज्ञान	Laser
लातिनी भाषा	Latin
रोमन लिपि	Latin alphabet
अक्षांश रेखाएं	Latitude
लातविया	Latvia
विधि	Law
अधिवर्ष	Leap year
लेबनान	Lebanon
लेंस	Lens (optics)
सिंह	Leo (constellation)
त्रोत्स्की	Leon Trotsky
लियोनार्दो दा विन्ची	Leonardo da Vinci
लियोनार्ड ओइलर	Leonhard Euler
कुष्ठ	Leprosy
लेसोथो	Lesotho
उत्तोलक	Lever
लुइस कैरल	Lewis Carroll
लिबरेशन टाइगर्स आफ तमिल ईलम	Liberation Tigers of Tamil Eelam
लाइबेरिया	Liberia
पुस्तकालय	Library
लीबिया	Libya
लीख़्टेनश्टाइन	Liechtenstein
प्रकाश-वर्ष	Light-year
लील	Lille
सीमा (गणित)	Limit (mathematics)
लिंकनशायर	Lincolnshire
रेखीय समीकरण	Linear equation
भाषाविज्ञान	Linguistics
श्रेणी:भाषा-विज्ञान	Linguistics
लिनक्स	Linux
लिस्बन	Lisbon
साहित्य	Literature
श्रेणी:साहित्य	Literature
लिथियम	Lithium
लिथुआनिया	Lithuania
लीटर	Litre
लघुगणक	Logarithm
तर्कशास्त्र	Logic
लोलिता	Lolita
लंदन	London
श्रेणी:लंदन	London
लॉंग बीच, केलिफ़ोर्निया	Long Beach
लॉस ऐन्जेलिस	Los Angeles
लुईज़ियाना	Louisiana
लुक्रेजिया बोर्गिया	Lucrezia Borgia
लुइगि पिरण्डेलो	Luigi Pirandello
चन्द्र ग्रहण	Lunar eclipse
लक्स	Lux
लक्सेम्बर्ग	Luxembourg
ल्यों	Lyon
मशीनी भाषा	Machine code
मशीनी अनुवाद	Machine translation
मेडागास्कर	Madagascar
मैडिसन	Madison
मैड्रिड	Madrid
मग़रेब	Maghreb
जादू	Magic (paranormal)
मेगनीसियम	Magnesium
महाराष्ट्र	Maharashtra
महात्मा गांधी	Mahatma Gandhi
महायान	Mahayana
मेन	Maine
मक्का (फसल)	Maize
ताप्रांगीयिज	Malachite
मलेरिया	Malaria
मलेशिया	Malaysia
मालदीव	Maldives
माली	Mali
माल्टा	Malta
स्तनधारी	Mammal
प्रबन्धन	Management
मंचूरिया	Manchuria
मंगनीज	Manganese
मणिपुर	Manipur
मन्त्र	Mantra
माओ त्सेतूंग	Mao Zedong
मानचित्र	Map
संगमर्मर	Marble
17 मार्च	March 17
19 मार्च	March 19
2 मार्च	March 2
25 मार्च	March 25
मार्को पोलो	Marco Polo
मारगरेट थाचर	Margaret Thatcher
मेरी क्युरी	Marie Curie
मर्लिन मुनरो	Marilyn Monroe
मार्क ट्वैन	Mark Twain
बाज़ार	Market
मार्स	Mars (mythology)
मार्सैय	Marseille
मार्टिन लुथर	Martin Luther
मार्टिन लूथर किंग	Martin Luther King
मार्टिन स्कोर्सेसे	Martin Scorsese
मार्टिना नवरातिलोवा	Martina Navratilova
मार्तिनीक	Martinique
मेरी वुलस्टोनक्राफ़्ट	Mary Wollstonecraft
मशहद	Mashhad
मसाचुसेट्स तकनीकी संस्थान	Massachusetts Institute of Technology
गणित	Mathematics
प्रवेशद्वार:गणित	Mathematics
मौनालोआ	Mauna Loa
मॉरिशस	Mauritius
माक्स बोर्न	Max Born
माक्स प्लान्क	Max Planck
मैक्सवेल के समीकरण	Maxwell's equations
मई	May
1 मई	May 1
महापौर	Mayor
मापन	Measurement
यान्त्रिकी	Mechanical engineering
श्रेणी:यान्त्रिकी	Mechanical engineering
आयुर्विज्ञान	Medicine
श्रेणी:आयुर्विज्ञान	Medicine
मदीना	Medina
ध्यान	Meditation
भूमध्य सागर	Mediterranean Sea
मेकांग नदी	Mekong
मानसिक रोग	Mental disorder
मरक्युरी	Mercury (mythology)
बुध	Mercury (planet)
मेसोपोटामिया	Mesopotamia
धातु	Metal
धातुकर्म	Metallurgy
तत्त्वमीमांसा	Metaphysics
मीटर	Metre
मेक्सिको	Mexico
मिशिगन	Michigan
श्रेणी:मिशिगन	Michigan
माइक्रोप्रोसेसर	Microprocessor
सूक्ष्मदर्शी यंत्र	Microscope
मध्यपूर्व	Middle East
मिखाइल गोर्बाचोफ	Mikhail Gorbachev
मिलानो	Milan
दूध	Milk
मिलर्ड फिलमोर	Millard Fillmore
मीनार	Minaret
खनिज	Mineral
मिनर्वा	Minerva
श्रेणी:मिनेसोटा	Minnesota
मिनट	Minute
दर्पण	Mirror
मोबाइल फोन	Mobile phone
मोगादीशू	Mogadishu
मोल्दाविया	Moldova
मोल (इकाई)	Mole (unit)
मोलिब्डेनम	Molybdenum
मोनैको	Monaco
राजतन्त्र	Monarchy
सोमवार	Monday
पैसा	Money
मंगोलिया	Mongolia
मोनिका सेलेस	Monica Seles
एकेश्वरवाद	Monotheism
मॉनसून	Monsoon
मोंटी कार्लो	Monte Carlo
मास	Month
मोंट्सेराट	Montserrat
चन्द्रमा	Moon
मोरक्को	Morocco
मोर्स कोड	Morse code
मास्को	Moscow
मूसा	Moses
मस्जिद	Mosque
मदर टेरेसा	Mother Teresa
माउण्ट एटना	Mount Etna
माउंट एवरेस्ट	Mount Everest
फ्यूजीयामा	Mount Fuji
माउण्टपिनाटुबो	Mount Pinatubo
माउण्ट सेण्ट हेलेन्स	Mount St. Helens
विसूवियस	Mount Vesuvius
पर्वत	Mountain
दर्रा	Mountain pass
मोस़ाम्बीक	Mozambique
मुहम्मद	Muhammad
मुम्बई	Mumbai
मरे गेलमन	Murray Gell-Mann
कुकुरमुत्ता	Mushroom
संगीत	Music
संगीतकार	Musician
कवक विज्ञान	Mycology
नैटो	NATO
नेडीन गोर्डिमर	Nadine Gordimer
नागासाकी	Nagasaki
नावातल	Nahuatl
नामीबिया	Namibia
नांसी	Nancy
नैनोतकनीकी	Nanotechnology
नांत	Nantes
नापोलि	Naples
राष्ट्र	Nation
प्राकृतिक विज्ञान	Natural science
नाउरु	Nauru
नॉटिकल मील	Nautical mile
दिक्चालन	Navigation
नौसेना	Navy
नेब्रास्का	Nebraska
नेफरतिति	Nefertiti
नेल्सन मंडेला	Nelson Mandela
नियोन	Neon
नेपाल	Nepal
श्रेणी:नेपाल	Nepal
नेफ़्थिस	Nephthys
नीदरलैंड	Netherlands
न्यूट्रॉन	Neutron
नेवाडा	Nevada
नया हेम्पशायर	New Hampshire
नया जर्सी	New Jersey
नया मेक्सिको	New Mexico
न्यू आर्लीन्स	New Orleans
न्यू साउथ वेल्स	New South Wales
नया नियम	New Testament
नया साल	New Year
नया यॉर्क	New York
न्यूयॉर्क शहर	New York City
न्यूज़ीलैंड	New Zealand
न्यूपोर्ट	Newport
निकारागुआ	Nicaragua
नीस	Nice
निकेल	Nickel
निकोसिया	Nicosia
नील्स बोह्र	Niels Bohr
नाइगर	Niger
नाईजीरिया	Nigeria
निकोला टेस्ला	Nikola Tesla
नील नदी	Nile
नायोबियम	Niobium
नाइट्रोजन	Nitrogen
नोआम चाम्सकी	Noam Chomsky
नोबेल पुरस्कार	Nobel Prize
श्रेणी:नोबेल पुरस्कार	Nobel Prize
नॉर्फ़क	Norfolk
उत्तर	North
उत्तरी अमरीका	North America
श्रेणी:उत्तरी अमरीका	North America
उत्तर केरोलाइना	North Carolina
उत्तर डेकोटा	North Dakota
उत्तरी कोरिया	North Korea
उत्तरी सागर	North Sea
नॉर्थ यॉर्कशायर	North Yorkshire
उत्तरी आयरलैंड	Northern Ireland
नॉर्वे	Norway
1 नवंबर	November 1
11 नवंबर	November 11
2 नवंबर	November 2
5 नवंबर	November 5
नाभिकीय भौतिकी	Nuclear physics
अंक	Number
ओहाऊ	Oahu
मेदुरता	Obesity
महासागर	Ocean
महासागरीय धारा	Ocean current
ओशीनिया	Oceania
श्रेणी:समुद्र विज्ञान	Oceanography
अक्तूबर समाजवादी क्रांति	October Revolution
ओडेसी	Odyssey
ओह्म	Ohm
ओम का नियम	Ohm's law
ओक्लाहोमा	Oklahoma
पुराना नियम	Old Testament
ऑलिवर क्रॉमवेल	Oliver Cromwell
ओलीवाइन	Olivine
ओलम्पिक खेल	Olympic Games
ओमान	Oman
प्याज़	Onion
ओन्टारियो	Ontario
ओपल	Opel
ओपेरा	Opera (Internet suite)
प्रचालन तंत्र	Operating system
श्रेणी:दर्पण	Optics
नारंगी (रंग)	Orange (colour)
औरिगन	Oregon
अंग (शरीर रचना)	Organ (anatomy)
कार्बनिक रसायन	Organic chemistry
व्यवस्था	Organization
उड़ीसा	Orissa
ओसाका	Osaka
ओसामा बिन लादेन	Osama bin Laden
ऑस्कर वाइल्ड	Oscar Wilde
ओसिरिस	Osiris
ओस्लो	Oslo
ओटो फोन बिस्मार्क	Otto von Bismarck
उस्मानी साम्राज्य	Ottoman Empire
आक्सीजन	Oxygen
ओजोन	Ozone
पाबलो नेरुडा	Pablo Neruda
पाब्लो पिकासो	Pablo Picasso
प्रशान्त महासागर	Pacific Ocean
पाकिस्तान	Pakistan
श्रेणी:पाकिस्तान	Pakistan
पलेर्मो	Palermo
फ़िलस्तीन	Palestine
पालि	Pali
पलाडियम	Palladium
पाम रविवार	Palm Sunday
पापुआ न्यू गिनी	Papua New Guinea
परवलय	Parabola
परोक्षक	Paradox
दिग्भेद	Parallax
पारामरीबो	Paramaribo
पेरिस	Paris
संसद	Parliament
पारसैक	Parsec
पार्वती	Parvati
पास्कल (इकाई)	Pascal (unit)
पेटेन्ट	Patent
पेट्रिक व्हैट	Patrick White
पाल हेज़े	Paul Johann Ludwig von Heyse
मूँगफली	Peanut
पेलोपोनेशियन युद्ध	Peloponnesian War
रानी (रंग)	Pencil
पेनिसिलिन	Penicillin
पेन्सिलवेनिया	Pennsylvania
जनवादी गणराज्य चीन	People's Republic of China
पर्सी बिश शेली	Percy Bysshe Shelley
आवर्त सारणी	Periodic table
पर्सिफ़ोनी	Persephone
फ़ारस	Persian Empire
पर्थ	Perth
पेरू	Peru
कीटनाशक	Pesticide
पीटर सेलर्स	Peter Sellers
फारो	Pharaoh
फिलिप लेनार्ड	Philipp Lenard
फ़िलिपीन्स	Philippines
दर्शन	Philosophy
फ़ीनिक्स (अंतरिक्ष यान)	Phoenix (spacecraft)
फास्फोरस	Phosphorus
प्रकाश संश्लेषण	Photosynthesis
चिकित्सक	Physician
भौतिक शास्त्र	Physics
श्रेणी:भौतिकी	Physics
पिएर क्युरी	Pierre Curie
पीसा	Pisa
पिट्सबर्ग, पेन्सिलवेनिया	Pittsburgh
पिक्सल	Pixel
पिज्जा	Pizza
ग्रह	Planet
प्लेट विवर्तिनिकी	Plate tectonics
प्लेटो	Plato
यम ग्रह	Pluto
प्लुटोनियम	Plutonium
काव्य	Poetry
श्रेणी:काव्य	Poetry
पोलैंड	Poland
पुलिस	Police
राजनीति	Politics
प्रदूषण	Pollution
अनार	Pomegranate
पोम्पेइ	Pompeii
पोप	Pope
जनसंख्या	Population
पोर्ट लुई	Port Louis
पुर्तगाल	Portugal
वरुण (ग्रह)	Poseidon
पोटासियम	Potassium
आलू	Potato
गर्भावस्था	Pregnancy
राष्ट्रपति	President
दबाव	Pressure
मध्याह्न रेखा	Prime Meridian
प्रधानमन्त्री	Prime minister
प्रोफ़ेसर	Professor
प्रोग्रामर	Programmer
प्रोग्रामिंग भाषा	Programming language
दुष्प्रचार	Propaganda
गद्य	Prose
धर्मसुधार	Protestant Reformation
प्रोटॉन	Proton
सोरियासिस	Psoriasis
मानस शास्त्र	Psychology
पिताह	Ptah
क्लाडियस टॉलमी	Ptolemy
प्युर्तोरिको	Puerto Rico
पंजाब	Punjab (India)
प्योंगयांग	Pyongyang
पाइथागोरस	Pythagoras
क़तर	Qatar
वर्ग समीकरण	Quadratic equation
चतुर्भुज	Quadrilateral
क्वीन्सलैण्ड	Queensland
रा	Ra
रवीन्द्रनाथ ठाकुर	Rabindranath Tagore
रेचल कार्सन	Rachel Carson
रेडन	Radon
वर्षा	Rain
राम	Rama
रामायण	Ramayana
रवेन्ना	Ravenna
रावलपिंडी	Rawalpindi
आयत	Rectangle
लाल	Red
धर्म	Religion
श्रेणी:धर्म	Religion
पुनर्जागरण	Renaissance
प्रजनन	Reproduction
सरीसृप	Reptile
गणराज्य	Republic
चीनी गणराज्य	Republic of China
रोड आइलैंड	Rhode Island
आर और बी संगीत	Rhythm and blues
चावल	Rice
रिचर्ड फिलिप्स फाइनमेन	Richard Feynman
रिचर्ड निक्सन	Richard Nixon
रीओ दी जैनेरो	Rio de Janeiro
नदी	River
टेम्स नदी	River Thames
रुआल एद्मुंदसन	Roald Amundsen
रॉकी पर्वत	Rocky Mountains
गिलहरी	Rodent
रोमन साम्राज्य	Roman Empire
श्रेणी:रोमन धर्म	Roman mythology
रोमानिया	Romania
रोम	Rome
रोनाल्ड रीगन	Ronald Reagan
रोजा पार्क्स	Rosa Parks
रोज़ेटा शिला	Rosetta Stone
रौशन-शनाह	Rosh Hashanah
रुबिडियम	Rubidium
रुडयार्ड किपलिंग	Rudyard Kipling
रुस	Russia
श्रेणी:रूस	Russia
रूस-जापान युद्ध	Russo-Japanese War
रुथेनियम	Ruthenium
रवांडा	Rwanda
सद्दाम हुसैन	Saddam Hussein
पाल	Sail
सेंट किट्स और नेविस	Saint Kitts and Nevis
सेंट विन्सेंट और ग्रेनाडीन्स	Saint Vincent and the Grenadines
सलाउद्दीन	Saladin
सॉल्ट लेक सिटी, यूटा	Salt Lake City
सेम्युल बेकेट	Samuel Beckett
सेम्येल टेलर कोलरिज	Samuel Taylor Coleridge
सामुराई	Samurai
सान मारिनो	San Marino
संस्कृत भाषा	Sanskrit
सेंटियागो	Santiago
नीलम	Sapphire
सारडीनिया	Sardinia
सारि, ईरान	Sari
शैतान	Satan
शैतानी धर्म	Satanism
उपग्रह	Satellite
शनिश्चरवार	Saturday
शनि	Saturn
साउदी अरब	Saudi Arabia
सौल बेल्लो	Saul Bellow
स्काण्डियम	Scandium
विद्यालय	School
विज्ञान	Science
श्रेणी:विज्ञान	Science
स्कॉटलैंड	Scotland
पेच	Screw
सागर	Sea
सियर्स मीनार	Sears Tower
ऋतु	Season
सीऐटल	Seattle
सैकण्ड	Second
बीज	Seed
सेलेनियम	Selenium
सेनेगल	Senegal
सियोल	Seoul
11 सितंबर	September 11
सर्बिया और मोंटेनीग्रो	Serbia and Montenegro
सेर्गे आइसेन्स्टाइन	Sergei Eisenstein
श्रेणी (गणित)	Series (mathematics)
सेत	Set (mythology)
समुच्चय सिद्धान्त	Set theory
मैथुन	Sexual intercourse
सेशल्स	Seychelles
शंघाई	Shanghai
शेयर	Share (finance)
शर्लक होम्स	Sherlock Holmes
शिकोकू	Shikoku
शिन्तो धर्म	Shinto
जलयान	Ship
शिव	Shiva
सीश्वान	Sichuan
साइमन्स (इकाई)	Siemens (unit)
सिएरा लियोन	Sierra Leone
सिग्मुंड फ़्रोइड	Sigmund Freud
सिग्रिड उंडसेट	Sigrid Undset
सिख धर्म	Sikhism
सिक्किम	Sikkim
सिलिकॉन	Silicon
सिलिकॉन वैली	Silicon Valley
रेशम	Silk
रेशम मार्ग	Silk Road
रूप्यम्	Silver
सिंकलेर लुइस	Sinclair Lewis
सिंगापुर	Singapore
सिटिंग बुल	Sitting Bull
गगनचुम्बी इमारत	Skyscraper
ग़ुलामी	Slavery
स्लोवाकिया	Slovakia
श्रेणी:स्लोवाकिया	Slovakia
स्लोवेनिया	Slovenia
सांप	Snake
हिमपात	Snow
साबुन	Soap
समाजवाद	Socialism
समाजवादी दल (फ़्राँस)	Socialist Party (France)
समाज	Society
सोडियम	Sodium
सौर मंडल	Solar System
सूर्यग्रहण	Solar eclipse
सोलोमन द्वीप	Solomon Islands
सोमालिया	Somalia
समरसेट	Somerset
दक्षिण	South
दक्षिणी अमरीका	South America
साउथ आस्ट्रेलिया	South Australia
दक्षिण कोरिया	South Korea
दक्षिण पूर्व एशिया	Southeast Asia
सार्वभौम राष्ट्र	Sovereignty
अंतरिक्ष यान	Spacecraft
स्पेन	Spain
श्रेणी:स्पेन	Spain
स्पेनी गृहयुद्ध	Spanish Civil War
स्पेन अमेरिका का युद्ध	Spanish-American War
मसाला	Spice
वसन्त ऋतु	Spring (season)
वर्गाकार	Square (geometry)
श्रीलंका	Sri Lanka
श्रेणी:श्रीलंका	Sri Lanka
सांख्यिकी	Statistics
भाप का इंजन	Steam engine
स्टेफी ग्राफ	Steffi Graf
स्टीवेन स्पीलबर्ग	Steven Spielberg
स्टॉकहोम	Stockholm
पाषाण युग	Stone Age
जिब्राल्टर जलसन्धि	Strait of Gibraltar
होर्मुज जलसन्धि	Strait of Hormuz
मैगेलन जलसन्धि	Strait of Magellan
मेसिना जलसन्धि	Strait of Messina
श्रेणी:विश्व की प्रमुख जलसन्धियाँ	Straits
स्ट्रासबर्ग	Strasbourg
पक्षाघात	Stroke
स्ट्रोन्सियम	Strontium
पनडुब्बी	Submarine
सबवर्ज़न	Subversion (software)
सूडान	Sudan
सु डोकु	Sudoku
प्रत्यय	Suffix
सूफ़ीवाद	Sufism
सुहार्तो	Suharto
सुकर्णो	Sukarno
गन्धक	Sulfur
सल्फर डाइआक्साइड	Sulfur dioxide
सुमात्रा	Sumatra
सुमेर	Sumer
ग्रीष्म ऋतु	Summer
सूर्य	Sun
रविवार	Sunday
सुन्नी	Sunni Islam
अतिचालकता	Superconductivity
सूरा	Sura
सूरिनाम	Suriname
सरी	Surrey
स्वाजीलैंड	Swaziland
स्वीडन	Sweden
स्विट्ज़रलैंड	Switzerland
सिडनी	Sydney
यहूदी मंदिर	Synagogue
सीरिया	Syria
तंत्र	System
टी एस एलियट	T. S. Eliot
टेबल टेनिस	Table tennis
ताइपे	Taipei
ताइवान	Taiwan
ताजमहल	Taj Mahal
तालेबान आन्दोलन	Taliban
ताल्लिन	Tallinn
तमिल नाडु	Tamil Nadu
तंज़ानिया	Tanzania
ताओ धर्म	Taoism
टासमानिया	Tasmania
थ्बिलीसी	Tbilisi
चाय	Tea
टेक्निशियम	Technetium
तकनीकी	Technology
तेहरान	Tehran
दूरसंचार	Telecommunication
दूरदर्शी	Telescope
दूरदर्शन	Television
टेलुरियम	Tellurium
तापमान	Temperature
मन्दिर	Temple
टेनेसी	Tennessee
टेनिस	Tennis
टेक्सास	Texas
थाईलैंड	Thailand
गाम्बिया	The Gambia
धर्मतंत्र	Theocracy
थियोडोर मोम्मसेन	Theodor Mommsen
थियोडोर रोज़वेल्ट	Theodore Roosevelt
प्रमेय	Theorem
सापेक्षिकता का सिद्धांत	Theory of relativity
थेरवाद	Theravada
उष्मागतिशास्त्र	Thermodynamics
थामस एक्विनास	Thomas Aquinas
थामस मान	Thomas Mann
थोरियम	Thorium
थोथ	Thoth
अंगुष्ठ	Thumb
तिआंजिन	Tianjin
टैबीरियस	Tiberius
तिब्बत	Tibet
ज्वार-भाटा	Tide
काल	Time
समय मण्डल	Time zone
तैमूरलंग	Timur
त्रपु	Tin
टाइटानियम	Titanium
टोगो	Togo
टोक्यो	Tokyo
टमाटर	Tomato
टोनी मारिसन	Toni Morrison
टोनी ब्लेयर	Tony Blair
तुलों	Toulon
तुलूज़	Toulouse
टुअर दि फ़्राँस	Tour de France
पर्यटन	Tourism
टावर ऑफ़ लंदन	Tower of London
शहर	Town
ट्रैक्टर	Tractor
रेलगाडी	Train
ट्रान्सफार्मर	Transformer
ट्रांज़िस्टर	Transistor
लिप्यन्तरण	Transliteration
श्रेणी:यातायात	Transportation
त्रिकोणमिति	Trigonometry
ट्रिनिडाड	Trinidad
ट्रिनिडाड और टोबागो	Trinidad and Tobago
ट्रॉय का युद्ध	Trojan War
कर्क रेखा	Tropic of Cancer
ट्रक	Truck
सूनामी	Tsunami
तपेदिक	Tuberculosis
मंगलवार	Tuesday
टुनिशिया	Tunisia
टोरीनो	Turin
तुर्की	Turkey
हल्दी	Turmeric
टैको ब्राहे	Tycho Brahe
युगांडा	Uganda
उक्राइना	Ukraine
पराबैंगनी	Ultraviolet
संयुक्त अरब इमारात	United Arab Emirates
संयुक्त राजशाही (ब्रिटेन)	United Kingdom
श्रेणी:संयुक्त राजशाही	United Kingdom
संयुक्त राष्ट्र	United Nations
संयुक्त राज्य अमेरिका	United States
सं. रा. वर्जिन द्वीप-समूह	United States Virgin Islands
अमरीकी डॉलर	United States dollar
ब्रह्माण्ड	Universe
विश्वविद्यालय	University
उपनिषद् सूची	Upanishad
यूराल	Ural Mountains
उर्दू भाषा	Urdu
यूटा	Utah
गर्भ	Uterus
उत्तर प्रदेश	Uttar Pradesh
उज़्बेकिस्तान	Uzbekistan
वलांस	Valence
वैलेंटाइन्स दिवस	Valentine's Day
वनडियम	Vanadium
वैटिकन शहर	Vatican City
सदिश राशि	Vector (spatial)
शाकाहार	Vegetarianism
वेग	Velocity
वेनिस	Venice
वीनस	Venus
वर्मांट	Vermont
वेरोना	Verona
विक्टर ह्यूगो	Victor Hugo
विक्टोरिया (ऑस्ट्रेलिया)	Victoria (Australia)
वियना	Vienna
वियतनाम	Vietnam
वियतनाम युद्ध	Vietnam War
वाइकिंग	Viking
वायलिन	Violin
वर्जिल	Virgil
कन्या	Virgo (constellation)
वायरस	Virus
विष्णु	Vishnu
वित्तोरियो दे सिका	Vittorio De Sica
व्लाडिमिर लेनिन	Vladimir Lenin
व्लदीमिर नाबोकोव	Vladimir Nabokov
व्लादिमीर पुतिन	Vladimir Putin
ज्वालामुखी	Volcano
आयतन	Volume
वूडू	Voodoo
स्वर वर्ण	Vowel
वुल्कन	Vulcan (mythology)
वेल्स	Wales
वाल्ट डिज्नी	Walt Disney
संग्राम	War
डिस्ट्रिक्ट ऑफ कोलंबिया	Washington
वाशिंगटन	Washington
पानी	Water
झरना	Waterfall
तरबूज	Watermelon
वॉट-आवर	Watt-hour
शस्त्र	Weapon
मौसम	Weather
जालपृष्ठ	Web page
बुधवार	Wednesday
सप्ताह	Week
भार	Weight
वेलिंग्टन	Wellington
पश्चिम बंगाल	West Bengal
वेस्ट ससेक्स	West Sussex
वेर्स्टन आस्ट्रेलिया	Western Australia
गेहूँ	Wheat
चक्र	Wheel
विलियम बटलर येट्स	William Butler Yeats
विलियम फाकनर	William Faulkner
विलियम ग्लाडस्टोन	William Gladstone
विलियम गोल्डिंग	William Golding
विलियम टाफ्ट	William Howard Taft
कैसर विल्हेम द्वितीय (जर्मनी)	William II
विलियम मकिन्ली	William McKinley
विलियम शेक्सपीयर	William Shakespeare
विलियम शोक्ली	William Shockley
विलियम वर्ड्सवर्थ	William Wordsworth
विंस्टन चर्चहिल	Winston Churchill
शीत ऋतु	Winter
विस्कांसिन	Wisconsin
वोल्फ़गांक आमडेयुस मोत्सार्ट	Wolfgang Amadeus Mozart
वुल्फगांग पौली	Wolfgang Pauli
नारी	Woman
वूड्रो विलसन	Woodrow Wilson
वॉस्टरशायर	Worcestershire
विश्व बैंक	World Bank
विश्व स्वास्थ्य संगठन	World Health Organization
विश्व व्यापार संगठन	World Trade Organization
प्रथम विश्वयुद्ध	World War I
द्वितीय विश्वयुद्ध	World War II
विश्व व्यापी वेब	World Wide Web
विश्वयुद्ध	World war
लिपि	Writing system
एक्स किरण	X-ray
ज़ेनान	Xenon
शिंज्यांग	Xinjiang
यांगून	Yangon
चांग ज्यांग	Yangtze River
यासिर अराफ़ात (फिलिस्तीनी नेता)	Yasser Arafat
पीला	Yellow
ह्वांगहो	Yellow River
यमन	Yemen
योग	Yoga
योम किपुर	Yom Kippur
इत्रियम	Yttrium
यून्नान	Yunnan
ज़ेकरी टेलर	Zachary Taylor
ज़ाम्बिया	Zambia
ज़्यूस	Zeus
ज़िम्बाबवे	Zimbabwe
जस्ता	Zinc
जर्कोनियम	Zirconium
प्राणी विज्ञान	Zoology
श्रेणी:पशु विज्ञान	Zoology
ज़रथुश्त्र	Zoroaster
पारसी धर्म	Zoroastrianism
