English	Icelandic
Boris Godunov	Boris Godúnov
Borneo	Borneó
Boron	Bór
Bosnia and Herzegovina	Bosnía og Hersegóvína
Bosnia and Herzegovina	Flokkur:Bosnía og Hersegóvína
Bosporus	Bosporussund
Boston	Boston
Bot	Snið:Vélmenni
Botany	Grasafræði
Botany	Flokkur:Grasafræði
Botswana	Botsvana
Botswana	Flokkur:Botsvana
Bottle	Flaska
Bourgogne	Bourgogne
Bouvet Island	Bouveteyja
Bovid	Slíðurhyrningar
Boxer (dog)	Boxer (hundur)
Boxing	Hnefaleikar
Braga	Braga
Brahma	Brama
Brain	Heili
Brass	Látún
Brassicaceae	Krossblómaætt
Bratislava	Bratislava
Braunschweig	Brúnsvík
Brazil	Brasilía
Brazil	Flokkur:Brasilía
Brazzaville	Brazzaville
Bread	Brauð
Breast	Brjóst
Bremen	Bremen
Bretagne	Bretagne
Bridge	Brú
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Breska Kólumbía
British Empire	Breska heimsveldið
British Isles	Bretlandseyjar
British Virgin Islands	Bresku Jómfrúaeyjar
British people	Flokkur:Bretar
Brno	Brno
Broadway (New York City)	Broadway
Broccoli	Spergilkál
Bromine	Bróm
Bronze	Brons
Bronze Age	Bronsöld
Brooklyn	Brooklyn
Bruges	Brugge
Brunei	Brúnei
Brunei	Flokkur:Brúnei
Brussels	Brussel
Bucharest	Búkarest
Buckingham Palace	Buckinghamhöll
Buckminster Fuller	Buckminster Fuller
Budapest	Búdapest
Buddhism	Búddismi
Buddhism	Flokkur:Búddismi
Buddy Holly	Buddy Holly
Buenos Aires	Búenos Aíres
Bujumbura	Bújúmbúra
Bulgaria	Búlgaría
Bulgaria	Flokkur:Búlgaría
Bumblebee	Hunangsflugur
Bureaucracy	Skrifræði
Burkina Faso	Búrkína Fasó
Burkina Faso	Flokkur:Búrkína Fasó
Burma	Mjanmar
Burma	Flokkur:Mjanmar
Burundi	Flokkur:Búrúndí
Bus	Strætisvagn
Butter	Smjör
Butterfly	Fiðrildi
Bydgoszcz	Bydgoszcz
Byte	Bæti
Byzantine Empire	Flokkur:Austrómverska keisaradæmið
C (programming language)	C (forritunarmál)
C. S. Lewis	C. S. Lewis
CD (disambiguation)	CD
Cacao	Kakó
Cache	Skyndiminni
Cadmium	Kadmín
Caesium	Sesín
Caffeine	Kaffín
Cairo	Kaíró
Cake	Kaka
Calabria	Kalabría
Calcium	Kalsín
Calculus	Örsmæðareikningur
Caldera	Sigketill
Calendar	Dagatal
California	Kalifornía
California	Flokkur:Kalifornía
Caligula	Calígúla
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvínismi
Cambodia	Kambódía
Cambodia	Flokkur:Kambódía
Cambrian	Kambríumtímabilið
Cambridge	Cambridge
Camel	Kameldýr
Camera	Myndavél
Cameroon	Kamerún
Cameroon	Flokkur:Kamerún
Campania	Kampanía
Canada	Kanada
Canada	Flokkur:Kanada
Canary Islands	Kanaríeyjar
Canberra	Canberra
Cancer	Krabbamein
Candela	Kandela
Canidae	Hundaætt
Cannabis	Kannabis
Cannibalism	Mannát
Canterbury	Kantaraborg
Cantonese (linguistics)	Kantonska
Canute the Great	Knútur ríki
Capacitance	Rafrýmd
Capacitor	Þéttir
Cape Horn	Hornhöfði
Cape Town	Höfðaborg
Cape Verde	Grænhöfðaeyjar
Cape Verde	Flokkur:Grænhöfðaeyjar
Cape of Good Hope	Góðrarvonarhöfði
Capital	Höfuðborg
Capital (economics)	Höfuðstóll
Capital punishment	Dauðarefsing
Capitalism	Kapítalismi
Cappadocia	Kappadókía
Caracas	Karakas
Carbohydrate	Sykra
Carbon	Kolefni
Carbon dioxide	Koltvísýringur
Carbon monoxide	Kolmónoxíð
Cardiff	Cardiff
Cardiovascular system	Flokkur:Hjarta- og æðakerfið
Caribbean Sea	Karíbahaf
Carl Orff	Carl Orff
Carnivora	Rándýr
Carnivore	Kjötæta
Carolingian dynasty	Karlungar
Carolus Linnaeus	Carl von Linné
Carrot	Gulrót
Cartesian coordinate system	Kartesíusarhnitakerfið
Cartesian product	Faldmengi
Carthage	Karþagó
Casablanca	Casablanca
Caspian Sea	Kaspíahaf
Cassandra	Kassandra
Castle	Kastali
Cat	Köttur
Catalonia	Katalónía
Catalysis	Hvati
Catfish	Granar
Catharism	Katarar
Cathedral	Dómkirkja
Cathode	Bakskaut
Cattle	Nautgripur
Catullus	Catullus
Caucasus	Flokkur:Kákasus
Caucasus Mountains	Kákasusfjöll
Cauliflower	Blómkál
Causality	Orsök
Cavalry	Riddaralið
Cave	Hellir
Cayman Islands	Caymaneyjar
Celestial equator	Miðbaugur himins
Cell (biology)	Fruma
Cell membrane	Frumuhimna
Cell nucleus	Frumukjarni
Cell wall	Frumuveggur
Cello	Selló
Cellulose	Sellulósi
Celsius	Selsíus
Cemetery	Grafreitur
Cenozoic	Nýlífsöld
Census	Manntal
Centaur	Kentári
Centimetre	Sentimetri
Central Africa	Mið-Afríka
Central African Republic	Mið-Afríkulýðveldið
Central America	Flokkur:Mið-Ameríka
Central Powers	Miðveldin
Central nervous system	Miðtaugakerfið
Centriole	Deilikorn
Century	Öld
Cephalopod	Smokkar
Cereal	Korn
Ceres	Ceres
Ceres (dwarf planet)	Seres (dvergreikistjarna)
Ceres (mythology)	Ceres (gyðja)
Cetacea	Hvalir
Chad	Tsjad
Chad	Flokkur:Tsjad
Chaffinch	Bókfinka
Chair	Stóll
Channel Tunnel	Ermarsundsgöngin
Charadriiformes	Strandfuglar
Charlemagne	Karlamagnús
Charles	Karl Bretaprins
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Peirce	Charles Sanders Peirce
Charles de Gaulle	Charles de Gaulle
