Croatian	English
Backgammon	Backgammon
Bakterije	Bacteria
Kategorija:Bakterije	Bacteria
Bakteriofag	Bacteriophage
Dvogrba deva	Bactrian Camel
Badminton	Badminton
Baffinov otok	Baffin Island
Bagdad	Baghdad
Kategorija:Bahami	Bahamas
Bahrein	Bahrain
Kategorija:Bahrein	Bahrain
Baklava	Baklava
Baku	Baku
Balalajka	Balalaika
Bilanca	Balance sheet
Baldr	Baldr
Baleari	Balearic Islands
Kitovi usani	Baleen whale
Bali	Bali
Balkanski ratovi	Balkan Wars
Balkan	Balkans
Balet	Ballet
Kategorija:Balet	Ballet
Baltičko more	Baltic Sea
Bamako	Bamako
Bambus	Bamboo
Banana	Banana
Bangkok	Bangkok
Bangladeš	Bangladesh
Kategorija:Bangladeš	Bangladesh
Bangui	Bangui
Banjul	Banjul
Banka	Bank
Krštenje	Baptism
Baptisti	Baptist
Bar (jedinica)	Bar (unit)
Barbados	Barbados
Kategorija:Barbados	Barbados
Barbari	Barbarian
Barcelona	Barcelona
Barentsovo more	Barents Sea
Bari	Bari
Barij	Barium
Ječam	Barley
Lastavica pokućarka	Barn Swallow
Barometar	Barometer
Barok	Baroque
Barel	Barrel (unit)
Barion	Baryon
Bazalt	Basalt
Baza (kemija)	Base (chemistry)
Bejzbol	Baseball
Kategorija:Bejzbol	Baseball
Basel	Basel
Bash	Bash
Bosiljak	Basil
Bazilije Veliki	Basil of Caesarea
Bazilika	Basilica
Basilicata	Basilicata
Bazilisk, bizantski car	Basiliscus
Bazilisk (mitologija)	Basilisk
Košarka	Basketball
Kategorija:Košarka	Basketball
Bas gitara	Bass guitar
Donja Normandija	Basse-Normandie
Basseterre	Basseterre
Fagot	Bassoon
Bast	Bast (mythology)
Šišmiši	Bat
Batman	Batman
Kategorija:Šišmiši	Bats
Bojna	Battalion
Baterija	Battery (electricity)
Bitka za Britaniju	Battle of Britain
Bitka kod Hastingsa	Battle of Hastings
Bitka kod Lepanta	Battle of Lepanto (1571)
Bitka kod Maratona	Battle of Marathon
Pomorska bitka kod Midwaya	Battle of Midway
Bitka kod Termopila	Battle of Thermopylae
Bitka kod Trafalgara	Battle of Trafalgar
Bitka za Verdun	Battle of Verdun
Bitka kod Waterlooa	Battle of Waterloo
Bitka u Ardenima 1944.	Battle of the Bulge
Bitka na Sommi (1916.)	Battle of the Somme
Bojni brod	Battleship
Bauhaus	Bauhaus
Boksit	Bauxite
Bavarska	Bavaria
Kategorija:Bavarska	Bavaria
Lovor	Bay Laurel
Bengalski zaljev	Bay of Bengal
Bajoneta	Bayonet
Plaža	Beach
Kljun	Beak
Medvjedi	Bear
Beaufortova ljestvica	Beaufort scale
Dabrovi	Beaver
Be-bop	Bebop
Pčele	Bee
Kategorija:Pčelarstvo	Beekeeping
Pivo	Beer
Kategorija:Pivo	Beer
Biheviorizam	Behaviorism
Peking	Beijing
Beirut	Beirut
Bjelorusija	Belarus
Kategorija:Bjelorusija	Belarus
Belfast	Belfast
Belgija	Belgium
Kategorija:Belgija	Belgium
Beograd	Belgrade
Belizar	Belisarius
Belize	Belize
Kategorija:Belize	Belize
Trbušni ples	Belly dance
Belo Horizonte	Belo Horizonte
Beluga	Beluga
Benelux	Benelux
Benin	Benin
Kategorija:Benin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Beringovo more	Bering Sea
Beringov prolaz	Bering Strait
Berkelij	Berkelium
Berlin	Berlin
Kategorija:Berlin	Berlin
Bermudi	Bermuda
Bermudski trokut	Bermuda Triangle
Bernardo Bertolucci	Bernardo Bertolucci
Bern	Berne
Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beril	Beryl
Berilij	Beryllium
Beta (β)	Beta (letter)
Betlehem	Bethlehem
Bette Davis	Bette Davis
Beg	Bey
Kraljevina Butan	Bhutan
Kategorija:Butan	Bhutan
Biblija	Bible
Kategorija:Biblija	Bible
Bibliografija	Bibliography
Bicikl	Bicycle
Veliki prasak	Big Bang
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
