English	Basque
Andes	আন্দেস পর্বতমালা
Andhra Pradesh	অন্ধ্র প্রদেশ
Andorra	অ্যান্ডোরা
Andrew Jackson	এন্ড্রু জ্যাক্‌সন
Andrew Johnson	অ্যান্ড্রু জন‌সন
Andromeda (constellation)	ধ্রুবমাতা মণ্ডল
Andromeda Galaxy	অ্যানড্রোমিডা ছায়াপথ
Andy Warhol	অ্যান্ডি ওয়ারহল
Anemia	রক্তশূন্যতা
Anesthesia	অবেদন
Angle	সমকোণ
Angola	অ্যাঙ্গোলা
Angola	Category:এঙ্গোলা
Anime	এনিমে
Ankara	আংকারা
Annapurna	অন্নপূর্ণা
Annelid	অঙ্গুরীমাল
Antarctica	অ্যান্টার্কটিকা
Anthropology	নৃবিজ্ঞান
Antibiotic	অ্যান্টিবায়োটিক
Antibody	অ্যান্টিবডি
Anticyclone	প্রতীপ ঘূর্ণিঝড়
Antigua and Barbuda	অ্যান্টিগুয়া ও বার্বুডা
Antimatter	প্রতিপদার্থ
Antisemitism	ইহুদি-বিদ্বেষ
Anton Chekhov	আন্তন চেখভ
Anubis	আনুবিস
Ape	বনমানুষ
Aphrodite	আফ্রোদিতি
Apollo	আপোল্লো
Apple	আপেল
April	এপ্রিল
April 14	এপ্রিল ১৪
Apus	ধূম্রাট মণ্ডল
Aquila (constellation)	ঈগল মণ্ডল
Aquitaine	আকিতেন
Ara (constellation)	বেদী মণ্ডল
Arab League	আরব লীগ
Arabian Sea	আরব সাগর
Arabic alphabet	আরবি লিপি
Arabic language	আরবি ভাষা
Archaeology	প্রত্নতত্ত্ব
Archaeopteryx	আর্কিওপ্টেরিক্স
Archimedes	আর্কিমিডিস
Architecture	স্থাপত্য
Architecture	Category:স্থাপত্য
Arctic Ocean	উত্তর মহাসাগর
Ares	অ্যারিস
Argentina	আর্জেন্টিনা
Argon	আর্গন
Aristarchus of Samos	সামোস-এর আরিসতারকুস
Aristotle	এরিস্টটল
Arithmetic	পাটীগণিত
Arizona	অ্যারিজোনা
Arkansas	আর্কান্‌স
Armenia	আর্মেনিয়া
Armenian language	আর্মেনীয় ভাষা
Army	আর্মি
Arsenic	আর্সেনিক
Artemis	আর্টেমিস
Arthur Compton	আর্থার কম্পটন
Arthur Conan Doyle	আর্থার কোনান ডয়েল
Arthur Miller	আর্থার মিলার
Artificial intelligence	কৃত্রিম বুদ্ধিমত্তা
Aruba	আরুবা
Asia	এশিয়া
Asia	Category:এশিয়া
Aspirin	অ্যাসপিরিন
Assam	আসাম
Assembly language	অ্যাসেম্বলি ভাষা
Association of Southeast Asian Nations	আসিয়ান
Astana	আস্তানা
Astatine	এস্টাটিন
Asteroid	গ্রহাণু
Astrometry	জ্যোতির্মিতি
Astronaut	নভোচারী
Astronomer	জ্যোতির্বিজ্ঞানী
Astronomical unit	জ্যোতির্বিদ্যা-একক
Astronomy	জ্যোতির্বিজ্ঞান
Astronomy	প্রবেশদ্বার:জ্যোতির্বিজ্ঞান
Aten	আতেন
Athena	অ্যাথিনা
Athens	অ্যাথেন্স
Atlantic Ocean	আটলান্টিক মহাসাগর
Atmosphere	বায়ুমণ্ডল
Atom	পরমাণু
Atomic number	পারমাণবিক সংখ্যা
Auction	নিলাম
August	আগস্ট
August 1	আগস্ট ১
August 15	আগস্ট ১৫
August 6	আগস্ট ৬
Auguste Comte	ওগুস্ত কোঁত
Auguste Rodin	ওগুস্ত রদ্যাঁ
Augustus	সম্রাট আউগুস্তুস
Auriga (constellation)	অরিগা মণ্ডল
Aurora	অরোরা
Australia	অস্ট্রেলিয়া
Austria	অস্ট্রিয়া
Autism	আত্মসংবৃতি
Averroes	ইবনে রুশদ
Avicenna	ইবন সিনা
Azerbaijan	আজারবাইজান
Aztec	আজটেক
BASIC	বেসিক (প্রোগ্রামিং ভাষা)
Baboon	বেবুন
Babylonia	ব্যাবিলনিয়া
Bacteria	ব্যাক্টেরিয়া
Bahrain	বাহরাইন
Baklava	বাক্‌লাভা
Ballet	ব্যালে
Ballpoint pen	বলপয়েন্ট কলম
Bamboo	বাঁশ
Banana	কলা (ফল)
Bangalore	বেঙ্গালুরু
Bangkok	ব্যাংকক
Bangladesh	বাংলাদেশ
Bangladesh	Category:বাংলাদেশ
Barbados	বার্বাডোস
Bari	বারি
Barium	বেরিয়াম
Baryon	ব্যারিয়ন
Bassoon	বাসূন
Battalion	ব্যাটালিয়ন
Bay of Bengal	বঙ্গোপসাগর
Bay of Biscay	বিস্কে উপসাগর
Bear	ভালুক
Beer	বিয়ার
Beijing	বেইজিং
Beirut	বৈরুত
Belarus	বেলারুশ
Belfast	বেলফাস্ট
Belgium	বেলজিয়াম
Belize	বেলিজ
Bengal	বঙ্গ
Benin	বেনিন
Benjamin Harrison	বেঞ্জামিন হ্যারিসন
Bering Sea	বেরিং সাগর
Bering Strait	বেরিং প্রণালী
Berlin	বার্লিন
Bernhard Riemann	বের্নহার্ট রিমান
Bertolt Brecht	বের্টোল্ট ব্রেশ্‌ট
Bertrand Russell	বারট্রান্ড রাসেল
Bethlehem	বেথেলহাম
Bhutan	ভুটান
Bible	বাইবেল
Bicycle	বাইসাইকেল
Big Bang	মহা বিস্ফোরণ তত্ত্ব
Bihar	বিহার
Bill Clinton	বিল ক্লিনটন
Biochemistry	প্রাণরসায়ন
Biology	জীববিজ্ঞান
Biology	Category:জীববিজ্ঞান
Biosphere	জীবমণ্ডল
Biotechnology	জৈবপ্রযুক্তি
Bismuth	বিসমাথ
Bissau	বিস্সাউ
Bit	বিট
Black Sea	কৃষ্ণ সাগর
Black body	কৃষ্ণবস্তু
Black hole	কৃষ্ণ বিবর
Blog	ব্লগ
Boar	বন্য বরাহ
Boat	নৌকা
Bob Dylan	বব ডিলন
Bob Marley	বব মার্লি
Bobby Fischer	ববি ফিশার
Bohemia	বোহেমিয়া
Bohrium	বোহরিয়াম
Bolivia	বলিভিয়া
Book	বই
Book of Mormon	বুক অব মরমন
Boolean algebra (structure)	বুলিয়ান বীজগণিত
Borneo	বোর্নিও
Boron	বোরন
Bosnia and Herzegovina	বসনিয়া ও হার্জেগোভিনা
Boson	বোসন
Boston	বোস্টন
Botswana	বতসোয়ানা
Brahmaputra River	ব্রহ্মপুত্র নদ
Braille	ব্রেইল পদ্ধতি
Brain	মস্তিষ্ক
Brass	পিতল
Brazil	ব্রাজিল
Breast cancer	স্তন ক্যান্সার
Brick	ইট
Brigade	ব্রিগেড
Brighton	ব্রাইটন
Brisbane	ব্রিসবেন
Bromine	ব্রোমিন
Bronze	ব্রোঞ্জ
Bronze Age	ব্রোঞ্জ যুগ
Brooklyn	ব্রুকলিন
Bruce Lee	ব্রুস লি
Brunei	ব্রুনাই
Bucharest	বুখারেস্ট
Buckingham Palace	বাকিংহাম প্রাসাদ
Budapest	বুদাপেস্ট
Buddhism	বৌদ্ধ ধর্ম
Buddhism	Category:বৌদ্ধ ধর্ম
Buenos Aires	বুয়েনোস আইরেস
Bulgaria	বুলগেরিয়া
Burkina Faso	বুর্কিনা ফাসো
Burma	মায়ানমার
Business	ব্যবসা
Byte	বাইট
C (programming language)	সি (প্রোগ্রামিং ভাষা)
COBOL	কোবোল
Cactus	ক্যাক্‌টাস
Cadmium	ক্যাডমিয়াম
Caelum	সে-লাম মণ্ডল
Caesium	সিজিয়াম
Cairo	কায়রো
Calcium	ক্যালসিয়াম
Calendar	পঞ্জিকা
California	ক্যালিফোর্নিয়া
Californium	ক্যালিফোর্নিয়াম
Calvin Coolidge	ক্যালভিন কুলিজ্‌
Cambodia	কম্বোডিয়া
Camel	উট
Camera	ক্যামেরা
Cameroon	ক্যামেরুন
Canada	কানাডা
Canberra	ক্যানবেরা
Candela	ক্যান্ডেলা
Canis Major	যুগল মণ্ডল
Canis Minor	ক্ষুদ্র কুকুর মণ্ডল
Cantonese (linguistics)	ক্যান্টনীয় উপভাষা
Capacitor	ধারক
Cape Town	কেপ টাউন
Cape Verde	কেপ ভের্দি
Capital (economics)	পুঁজি
Caracas	কারাকাস
Carambola	কামরাঙ্গা
Carbohydrate	শর্করা
Carbon	কার্বন
Carbon dioxide	কার্বন ডাই অক্সাইড
Carboxylic acid	কার্বক্সিলিক অ্যাসিড
Cardiff	কার্ডিফ
Cardiology	হৃদ্‌বিদ্যা
Carina (constellation)	ক্যারিনা মণ্ডল
Carl David Anderson	কার্ল ডেভিড অ্যান্ডারসন
Carl Lewis	কার্ল লুইস
Carnivore	মাংসাশী
Carolus Linnaeus	কার্ল লিনিয়াস
Carpathian Mountains	কার্পেথীয় পর্বতমালা
Casablanca	কাসাব্লাংকা
Caspian Sea	কাস্পিয়ান সাগর
Cassiopeia (constellation)	কাশ্যপেয় মণ্ডল
Cattle	গরু
Cell (biology)	কোষ (জীববিজ্ঞান)
Celsius	সেলসিয়াস
Cement	সিমেন্ট
Centaurus	মহিষাসুর মণ্ডল
Central African Republic	মধ্য আফ্রিকা
Cepheus (constellation)	শেফালী মণ্ডল
Ceres (dwarf planet)	সেরেস
Ceres (mythology)	কেরেস
Cerium	সিরিয়াম
Cetus	তিমি মণ্ডল
Chad	চাদ
Chair	চেয়ার
Chamaeleon	কৃকলাস মণ্ডল
Charles Darwin	চার্লস ডারউইন
Charles Dickens	চার্লস ডিকেন্স
Charles Peirce	চার্লস স্যান্ডার্স পেয়ার্স
Charles Thomson Rees Wilson	চার্লস টমসন রেস উইলসন
Charlie Chaplin	চার্লি চ্যাপলিন
Che Guevara	চে গুয়েভারা
Chemical compound	যৌগিক পদার্থ
Chemical element	মৌলিক পদার্থ
Chemistry	রসায়ন
Chennai	চেন্নাই
Chess	দাবা
Chester A. Arthur	চেস্টার এ. আর্থার
Chicago	শিকাগো
Chickpea	ছোলা
Chile	চিলি
Chlorine	ক্লোরিন
Chloroplast	ক্লোরোপ্লাস্ট
Cholera	কলেরা
Christiaan Huygens	ক্রিস্টিয়ান হাওখেন্স
Christianity	খ্রিস্ট ধর্ম
Christmas	বড়দিন
Christopher Columbus	ক্রিস্টোফার কলম্বাস
Chromium	ক্রোমিয়াম
Chromosome	ক্রোমোজোম
Chronology	Category:বর্ষপঞ্জি
Cicero	সিসারো
Circinus	বৃত্ত মণ্ডল
Circulatory system	সংবহন তন্ত্র
Clarinet	ক্লারিনেট
Classical mechanics	চিরায়ত বলবিদ্যা
Classical music	ধ্রুপদী সঙ্গীত
Claude Monet	ক্লোদ মনে
Claude Shannon	ক্লদ শ্যানন
Clement Attlee	ক্লিমেন্ট এট্‌লি
Climate	জলবায়ু
Cloning	ক্লোনিং
Clothing	বস্ত্র
Cobalt	কোবাল্ট
Cocaine	কোকেইন
Cockroach	তেলাপোকা
Coffee	কফি
Cognitive science	বোধ বিজ্ঞান
Cold War	স্নায়ুযুদ্ধ
Colombia	কলম্বিয়া
Colombo	কলম্বো
Color	রঙ
Colorado	কলোরাডো
Colosseum	কলোসিয়াম
Colossus of Rhodes	রোডস এর মূর্তি
Columba (constellation)	কপোত মণ্ডল
Columbia University	কলাম্বিয়া ইউনিভার্সিটি
Coma Berenices	কোমা বারেনিসিসের মণ্ডল
Comet	ধূমকেতু
Commonwealth of Nations	কমনওয়েলথ অব নেশন্স
Communism	কমিউনিজম
Comoros	কোমোরোস
Compact Disc	কমপ্যাক্ট ডিস্ক
Company (military unit)	কম্পানি (মিলিটারি ইউনিট)
Complex number	জটিল সংখ্যা
Computer	কম্পিউটার
Computer architecture	কম্পিউটার স্থাপত্য
Computer display	মনিটর
Computer hardware	Category:কম্পিউটার হার্ডওয়্যার
Computer programming	কম্পিউটার প্রোগ্রামিং
Computer science	কম্পিউটার বিজ্ঞান
Computer virus	কম্পিউটার ভাইরাস
Conakry	কোনাক্রি
Confucianism	কনফুসীয় ধর্ম
Confucius	কনফিউশিয়াস
Conic section	কনিক
Connecticut	কানেটিকাট
Consonant	ব্যঞ্জনধ্বনি
Constellation	তারামণ্ডল
Constitution (political)	সংবিধান
Consumption (economics)	ভোগ
Continent	মহাদেশ
Continental drift	মহাদেশীয় প্রবাহ
Cooking	রন্ধন
Coordinated Universal Time	স্থানাংকিত আন্তর্জাতিক সময়
Copenhagen	কোপেনহেগেন
Copper	তামা
Cor anglais	ইংলিশ হর্ন
Coriolis effect	কোরিয়োলি ক্রিয়া
Cornea	কর্নিয়া
Cornell University	কর্নেল ইউনিভার্সিটি
Cornwall	কর্নওয়াল
Corona Borealis	উত্তর কীরিট মণ্ডল
Corvus (constellation)	করতল মণ্ডল
Cosmic microwave background radiation	মহাজাগতিক অণুতরঙ্গ পটভূমি বিকিরণ
Cosmic ray	মহাজাগতিক রশ্মি
Costa Rica	কোস্টা রিকা
Coulomb	কুলম্ব
Coulomb's law	কুলম্বের সূত্র
Crater (constellation)	কাংস্য মণ্ডল
Cricket	ক্রিকেট
Croatia	ক্রোয়েশিয়া
Crow	কাক
Crux	ত্রিশঙ্কু মণ্ডল
Cuba	কিউবা
Culture	সংস্কৃতি
Curitiba	কুরিতিবা
Cybernetics	সাইবারনেটিক্‌স
Cyclone	ঘূর্ণিঝড়
Cyprus	সাইপ্রাস
Cytoplasm	সাইটোপ্লাজম
Cytoskeleton	সাইটোকঙ্কাল
Czech Republic	চেক প্রজাতন্ত্র
DDT	ডিডিটি
DNA	ডিএনএ
DVD	ডিভিডি
Dakar	ডাকার
Dallas	ডালাস
Damascus	দামেস্ক
Dance	নৃত্য
Daniel Bernoulli	দানিয়েল বার্নুয়ি
Dante Alighieri	দান্তে আলিগিয়েরি
Danube	দানিউব নদী
Darjeeling	দার্জিলিং
Darmstadtium	ডারমস্টাডটিয়াম
Das Kapital	ডাস কাপিটাল
David Hilbert	ডেভিড হিলবার্ট
David Hume	ডেভিড হিউম
David Ricardo	ডেভিড রিকার্ডো
Dead Sea	মৃত সাগর
December	ডিসেম্বর
December 31	ডিসেম্বর ৩১
December 8	ডিসেম্বর ৮
Deco	দেকো
Degree (angle)	ডিগ্রী
Delaware	ডেলাওয়্যার
Delphinus	শ্রবিষ্ঠা মণ্ডল
Deluge (mythology)	মহাপ্লাবন (পুরাণ)
Demeter	দিমিতির
Democracy	গণতন্ত্র
Democratic Republic of the Congo	গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র
Democritus	ডিমোক্রিটাস
Dengue fever	ডেঙ্গু
Denmark	ডেনমার্ক
Dermatology	চর্মবিজ্ঞান
Desert	মরুভূমি
Determinant	নির্ণায়ক
Deuterium	ডিউটেরিয়াম
Dhaka	ঢাকা
Dhaulagiri	ধবলগিরি
Diameter	ব্যাস
Diana	প্রিন্সেস ডায়ানা
Diarrhea	উদরাময়
Dinosaur	ডাইনোসর
Diphtheria	ডিপথেরিয়া
Dire Straits	ডায়ার স্ট্রেইট্‌স
Disambiguation	Category:দ্ব্যর্থতা নিরসন
Discourse	ডিসকোর্স
Division (military)	ডিভিশন
Dog	কুকুর
Doha	দোহা
Dolly (sheep)	ডলি (ভেড়া)
Dominica	ডোমিনিকা
Dominican Republic	ডোমিনিকান প্রজাতন্ত্র
Donatello	দোনাতেল্লো
Doppler effect	ডপলার ক্রিয়া
Dorado	সুবর্ণাশ্রম মণ্ডল
Doris Lessing	ডোরিস লেসিং
Draco (constellation)	তক্ষক মণ্ডল
Dracula	ড্রাকুলা
Drama	নাটক
Drug addiction	মাদকাসক্তি
Dubai	দুবাই
Dublin	ডাবলিন
Dubnium	ডুবনিয়াম
Duodenum	ডুওডেনাম
Dushanbe	দুশান্‌বে
Dwight D. Eisenhower	ডোয়াইট্‌ ডি. আইজেনহাওয়ার
Dysprosium	ডিসপ্রোসিয়াম
E (mathematical constant)	E (গাণিতিক ধ্রুবক)
E-mail	ই-মেইল
Eagle	ঈগল
Ear	কর্ণ (অঙ্গ)
Earth	পৃথিবী
Earthquake	ভূমিকম্প
East Germany	পূর্ব জার্মানি
East Timor	পূর্ব টিমোর
Economics	অর্থনীতি
Economy	অর্থনীতি
Ecuador	ইকুয়েডর
Edgar Allan Poe	এডগার অ্যালান পো
Edgar Degas	এদ্‌গার দ্যগা
Edgar Rice Burroughs	এডগার রাইস বারোজ
Edinburgh	এডিনবরা
Edmond Halley	এডমান্ড হ্যালি
Edmund Burke	এডমান্ড বার্ক
Edmund Hillary	এড্‌মান্ড হিলারি
Education	শিক্ষা
Edwin Hubble	এডুইন হাবল
Egypt	মিশর
Eiffel Tower	আইফেল টাওয়ার
Einsteinium	আইনস্টাইনিয়াম
El Salvador	এল সালভাদর
Electrical engineering	তড়িৎ ও ইলেকট্রনিক প্রকৌশল
Electricity	তড়িৎ
Electrochemistry	তড়িৎ-রসায়ন
Electron	ইলেকট্রন
Electronics	ইলেকট্রনিক্স
Elephant	হাতি
Elia Kazan	এলিয়া কাজান
Elvis Presley	এল্‌ভিস প্রেস্‌লি
Emerald	পান্না
Empedocles	এমপেডোক্লিস
Empiricism	অভিজ্ঞতাবাদ
Emu	এমু
Encyclopedia	বিশ্বকোষ
Endocrinology	অন্তঃস্রাববিদ্যা
Energy	শক্তি
Energy (society)	শক্তি
Engineering	প্রকৌশলবিদ্যা
England	ইংল্যান্ড
English Channel	ইংলিশ চ্যানেল
English language	ইংরেজি ভাষা
Enrico Fermi	এনরিকো ফের্মি
Entomology	কীটবিজ্ঞান
Entropy	এনট্রপি
Environment	পরিবেশ
Enzyme	উৎসেচক
Epilepsy	মৃগী
Equation	সমীকরণ
Equator	নিরক্ষরেখা
Equinox	বিষুব
Erbium	এরবিয়াম
Eridanus (constellation)	যামী মণ্ডল
Eris (dwarf planet)	২০০৩ ইউবি৩১৩
Ernest Hemingway	আর্নেস্ট হেমিংওয়ে
Ernest Rutherford	আর্নেস্ট রাদারফোর্ড
Esfahan	এসফাহান
Ethanol	ইথানল
Ethics	নীতিশাস্ত্র
Ethiopia	ইথিওপিয়া
Etymology	ব্যুৎপত্তি
Euclid	ইউক্লিড
Euphrates	ইউফ্রেটিস
Euro	ইউরো
Europe	ইউরোপ
European Union	ইউরোপীয় ইউনিয়ন
Europium	ইউরোপিয়াম
Evolution	বিবর্তন
Existentialism	অস্তিত্ববাদ
Eye	চোখ
Fault (geology)	ভূ-চ্যুতি
February	ফেব্রুয়ারি
February 29	ফেব্রুয়ারি ২৯
Federal Bureau of Investigation	ফেডারেল ব্যুরো অফ ইনভেস্টিগেশন
Feminism	নারীবাদ
Ferdinand de Saussure	ফের্দিনঁ দ্য সোস্যুর
Fermentation (biochemistry)	গাঁজন
Fermion	ফার্মিয়ন
Fermium	ফার্মিয়াম
Fertile Crescent	উর্বর চন্দ্রকলা
Fertilisation	নিষেকক্রিয়া
Fertilizer	সার
Fever	জ্বর
Fibonacci number	ফিবোনাচ্চি রাশিমালা
Fidel Castro	ফিদেল কাস্ত্রো
Fiji	ফিজি
File Transfer Protocol	ফাইল ট্রান্সফার প্রোটোকল
Finland	ফিনল্যান্ড
Firefighter	ফায়ার সার্ভিস ও সিভিল ডিফেন্স
Firewall (networking)	ফায়ারওয়াল (কম্পিউটার নেটওয়ার্কিং)
Firmware	ফার্মওয়্যার
First Crusade	প্রথম ক্রুসেড
First language	মাতৃভাষা
Flood	বন্যা
Florida	ফ্লোরিডা
Flour	ময়দা
Food	খাদ্য
Football (soccer)	ফুটবল (সকার)
Form of government	সরকার ব্যবস্থা
Fornax	যজ্ঞকুণ্ড মণ্ডল
Fortran	ফোরট্রান
Fourth Crusade	চতুর্থ ক্রুসেড
Fractal	ফ্রাক্টাল
Fraction (mathematics)	ভগ্নাংশ (গণিত)
France	ফ্রান্স
France	Category:ফ্রান্স
Francis Bacon	ফ্রান্সিস বেকন
Francis Crick	ফ্রান্সিস ক্রিক
Francis Ford Coppola	ফ্রান্সিস ফোর্ড কপোলা
Francium	ফ্রান্সিয়াম
Frank Lloyd Wright	ফ্র্যাংক লয়েড রাইট
Franklin Pierce	ফ্রাংক্‌লিন পিয়ের্স
Franz Kafka	ফ্রাঞ্জ কাফকা
Frederick Soddy	ফ্রেডেরিক সডি
Freemasonry	ফ্রিম্যাসনরি
French Revolution	ফরাসি বিপ্লব
Frequency	কম্পাঙ্ক
Friday	শুক্রবার
Frog	ব্যাঙ
Function (mathematics)	ফাংশন (গণিত)
Fundamentalism	মৌলবাদ
Fungus	ছত্রাক
Fyodor Dostoevsky	ফিওদোর দস্তয়েভ্‌স্কি
GIMP	গিম্প
GNOME	গনোম
Gabon	গাবন
Gabriel Lippmann	গাব্রিয়েল লিপমান
Gadolinium	গ্যাডোলিনিয়াম
Gaia (mythology)	গেইয়া
Galaxy	ছায়াপথ
Galileo Galilei	গ্যালিলিও গ্যালিলি
Gallium	গ্যালিয়াম
Game theory	ক্রীড়া তত্ত্ব
Gastrointestinal tract	পাচনতন্ত্র
Gautama Buddha	গৌতম বুদ্ধ
Gaza	গাজা ভূখন্ড
Geb	গেব
General Officer	জেনারেল অফিসার
Genetics	জিনতত্ত্ব
Genetics	Category:জিনতত্ত্ব
Genome	জিনোম
Geoffrey Chaucer	জেফ্রি চসার
Geography	ভূগোল
Geography	প্রবেশদ্বার:ভূগোল
Geometry	জ্যামিতি
Georg Wilhelm Friedrich Hegel	গেয়র্গ ভিলহেল্ম হেগল
George Berkeley	জর্জ বার্ক্‌লি
George Bernard Shaw	জর্জ বার্নার্ড শ
George Boole	জর্জ বুল
George Harrison	জর্জ হ্যারিসন
George Lucas	জর্জ লুকাস
George Orwell	জর্জ অর্‌ওয়েল
George Paget Thomson	জর্জ প্যাগেট থমসন
George W. Bush	জর্জ ডব্লিউ বুশ
George Washington	জর্জ ওয়াশিংটন
Georges Simenon	জর্জ সিম্‌নোন
Georgia (U.S. state)	জর্জিয়া (অঙ্গরাজ্য)
Georgia (country)	জর্জিয়া (রাষ্ট্র)
Georgia (country)	Category:জর্জিয়া (রাষ্ট্র)
Gerald Ford	জেরাল্ড ফোর্ড
German language	জার্মান ভাষা
Germanium	জার্মেনিয়াম
Germany	জার্মানি
Ghana	ঘানা
Ghost	ভুত
Giant Panda	পান্ডা
Gibraltar	জিব্রাল্টার
Giordano Bruno	জর্দানো ব্রুনো
Giotto di Bondone	জোত্তো দি বন্দোনে
Giraffe	জিরাফ
Giuseppe Verdi	জুসেপ্পে ভের্দি
Glider	গ্লাইডার
Global Positioning System	গ্লোবাল পজিশনিং সিস্টেম
Glutamic acid	গ্লুটামিক অ্যাসিড
Glycine	গ্লাইসিন
Goa	গোয়া
Goat	ছাগল
