Latin	English
Circumcisio	Circumcision
Circus	Circus
Cirrhosis hepatis	Cirrhosis
Citrus	Citrus
Bellum civile	Civil war
Classis (Taxon)	Class (biology)
Mechanica Newtoniana	Classical mechanics
Claudius Monet	Claude Monet
Claudius Monteverdi	Claudio Monteverdi
Claudius (imperator)	Claudius
Clavicula	Clavicle
Clemens Attlee	Clement Attlee
Cleveterra	Cleveland
Depressio (psychiatria)	Clinical depression
Clio	Clio
Clitoris	Clitoris
Horologium	Clock
Magnus Beniaminus	Clock Tower
Vestimenta	Clothing
Nubes	Cloud
Syzygium aromaticum	Clove
Chlodovechus	Clovis I
Cnidaria	Cnidaria
Insigne	Coat of arms
Cobaltum	Cobalt
Blattodea	Cockroach
Coffea	Coffea
Coffeum	Coffee
Colchis	Colchis
Bellum Frigidum	Cold War
Colonia Agrippina	Cologne
Columbia	Colombia
Categoria:Columbia	Colombia
Colombo (urbs)	Colombo
Color	Color
Coloratum	Colorado
Coloratense Flumen	Colorado River
Amphitheatrum Flavium	Colosseum
Columba (sidus)	Columba (constellation)
Columbia (discretiva)	Columbia
Columbia (flumen)	Columbia River
Universitas Columbiae	Columbia University
Columba (avis)	Columbidae
Columbus (Ohium)	Columbus
Columbus	Columbus
Coma Berenices (sidus)	Coma Berenices
Comoedia	Comedy
Iohannes Amos Comenius	Comenius
Cometes	Comet
Independentium Civitatum Foederatio	Commonwealth of Independent States
Consortio Populorum	Commonwealth of Nations
Communismus	Communism
Insulae Comorianae	Comoros
Discus compactus	Compact Disc
Pyxis nautica	Compass
Circinus	Compass (drafting)
Numerus complexus	Complex number
Compositor	Composer
Computatrum	Computer
Monitorium	Computer display
Informatica	Computer science
Categoria:Informatica	Computer science
Res informatica	Computer software
Categoria:Informatica	Computing
Conakri	Conakry
Civitates Confoederatae Americae	Confederate States of America
Confessio	Confession
Confucius	Confucius
Congo (flumen)	Congo River
Connecticuta	Connecticut
Conquisitatores Hispani	Conquistador
Conservatismus	Conservatism
Constantinus I	Constantine I
Constantinopolis	Constantinople
Sidus	Constellation
Consul	Consul
Continens	Continent
Societas cooperativa	Cooperative
UTC	Coordinated Universal Time
Hafnia	Copenhagen
Cuprum	Copper
Corinthus	Corinth
Corcagia	Cork (city)
Phalacrocorax carbo	Cormorant
Universitas Cornelliana	Cornell University
Cornubia	Cornwall
Corona Borealis (sidus)	Corona Borealis
Corsica	Corsica
Corvidae	Corvidae
Corvus (sidus)	Corvus (constellation)
