English	Catalan
Apricot	Albercoquer
April	Abril
April 14	14 d'abril
April Fools' Day	Peix d'abril
Apse	Absis
Apulia	Pulla
Apus	Au del Paradís
Aquarium	Aquari (recipient)
Aquarius (constellation)	Aquari (constel·lació)
Aqueduct	Aqüeducte
Aquila (constellation)	Àguila (constel·lació)
Aquitaine	Aquitània
Ara (constellation)	Altar (constel·lació)
Arab League	Lliga Àrab
Arabian Peninsula	Aràbia
Arabian Sea	Mar d'Aràbia
Arabic alphabet	Alfabet àrab
Arabic language	Àrab
Arachnid	Aràcnid
Arafura Sea	Mar d'Arafura
Aragon	Aragó
Aral Sea	Mar d'Aral
Aram Khachaturian	Aram Khatxaturian
Arcadia	Arcàdia
Arcangelo Corelli	Arcangelo Corelli
Arch	Arc (arquitectura)
Archaeology	Arqueologia
Archaeology	Categoria:Arqueologia
Archaeopteryx	Arqueòpterix
Archangel	Arcàngel
Archbishop	Arquebisbe
Archean	Arqueà
Archetype	Arquetip
Archimedes	Arquimedes
Archipelago	Arxipèlag
Architecture	Arquitectura
Architecture	Categoria:Arquitectura
Archosaur	Arcosaure
Arctic Circle	Cercle polar àrtic
Arctic Ocean	Oceà Àrtic
Arctic fox	Guineu àrtica
Ardennes (department)	Ardenes (departament)
Area	Àrea
Arecaceae	Arecàcia
Ares	Ares
Argentina	Argentina
Argentina	Categoria:Argentina
Argon	Argó
Argos	Ciutat d'Argos
Aria	Ària (música)
Ariadne	Ariadna
Arianism	Arrianisme
Aries (constellation)	Àries
Aristarchus of Samos	Aristarc de Samos
Aristocracy	Aristocràcia
Aristophanes	Aristòfanes
Aristotle	Aristòtil
Arithmetic	Aritmètica
Arithmetic	Categoria:Aritmètica
Arithmetic progression	Progressió aritmètica
Arius	Arri
Arizona	Arizona
Ark of the Covenant	Arca de l'Aliança
Arkansas	Arkansas
Arles	Arle
Armadillo	Armadillo
Armenia	Armènia
Armenia	Categoria:Armènia
Armenian language	Armeni
Arminius	Armini
Armour	Armadura
Army	Exèrcit
Arnhem	Arnhem
Arno River	Arno
Arnold Schoenberg	Arnold Schönberg
Aromatic hydrocarbon	Hidrocarbur aromàtic
Arquebus	Arcabús
Arras	Arràs
Arrow	Sageta
Arsenic	Arsènic
Art	Art
Art Nouveau	Modernisme català
Art history	Categoria:Història de l'art
Artemis	Àrtemis
Artemisia (plant)	Artemísia (gènere)
Artemisia absinthium	Donzell
Artery	Artèria
Arthritis	Artrosi
Arthropod	Artròpode
Arthur Compton	Arthur Holly Compton
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Miller	Arthur Miller
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Artificial intelligence	Intel·ligència artificial
Artificial intelligence	Categoria:Intel·ligència artificial
Artillery	Artilleria
Artist	Artista
Arts	Categoria:Art
Arturo Toscanini	Arturo Toscanini
Aruba	Aruba
Aruba	Categoria:Aruba
Asbestos	Asbest
Asclepius	Asclepi
Asgard	Asgard
Ash Wednesday	Dimecres de cendra
Ashurbanipal	Assurbanipal
Asia	Àsia
Asia	Categoria:Àsia
Asmara	Asmara
Asphalt	Asfalt
Aspirin	Aspirina
Assam	Assam
Assassination	Atemptat
Assembly language	Llenguatge assemblador
Association of Southeast Asian Nations	Associació de Nacions del Sud-Est Asiàtic
Assyria	Assíria
Assyria	Categoria:Assíria
Astana	Astanà
Astatine	Àstat
Asteraceae	Asteràcia
Asteroid	Asteroide
Asteroid belt	Cinturó d'asteroides
Asthenosphere	Astenosfera
Asthma	Asma
Astigmatism (eye)	Astigmatisme
Astrakhan	Àstrakhan
Astrobiology	Astrobiologia
Astrolabe	Astrolabi
Astrology	Astrologia
Astrology	Categoria:Astrologia
Astrometry	Astrometria
Astronaut	Astronauta
Astronomical unit	Unitat astronòmica
Astronomy	Astronomia
Astronomy	Categoria:Astronomia
Astronomy	Portal:Astronomia
Astrophysics	Astrofísica
Astrophysics	Categoria:Astrofísica
Aswan	Assuan
Asymptote	Asímptota
Asynchronous Transfer Mode	Mode de transferència asíncrona
Atacama Desert	Desert d'Atacama
Aten	Aten
Athena	Atena
Athens	Atenes
Athletics	Categoria:Atletisme
Athletics (track and field)	Atletisme
Atlanta	Atlanta
Atlantic Ocean	Oceà Atlàntic
Atlantic Ocean	Categoria:Oceà Atlàntic
Atlantis	Atlàntida
Atlas (disambiguation)	Atles
Atlas (moon)	Atles (satèl·lit)
Atlas (mythology)	Atles (mitologia)
Atlas Mountains	Serralada de l'Atles
Atmosphere	Atmosfera d'un cos celest
Atmosphere (unit)	Atmosfera (unitat)
Atmospheric pressure	Pressió atmosfèrica
Atoll	Atol
Atom	Àtom
Atomic clock	Rellotge atòmic
Atomic mass	Massa atòmica
Atomic mass unit	Unitat de massa atòmica
Atomic number	Nombre atòmic
Atomic physics	Categoria:Física atòmica
Attica	Àtica
Attila the Hun	Àtila
Au	Au (desambiguació)
Auckland	Auckland
August	Agost
August 1	1 d'agost
August 15	15 d'agost
August 6	6 d'agost
August Strindberg	August Strindberg
Augusta	Augusta (Maine)
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Agustí d'Hipona
Augustus	August
Auriga (constellation)	Auriga (constel·lació)
Aurora	Aurora
Aurora (astronomy)	Aurora polar
Austin	Austin
Australasia	Australàsia
Australia	Austràlia
Australia	Categoria:Austràlia
Australian dollar	Dòlar australià
Australopithecus	Australopitec
Austria	Àustria
Austria	Categoria:Àustria
Austria-Hungary	Imperi austrohongarès
Authority	Autoritat
Autism	Autisme
Auto racing	Automobilisme
Autobiography	Autobiografia
Automobile	Automòbil
Autonomic nervous system	Sistema nerviós autònom
Autotroph	Autotròfia
Autumn	Tardor
Auvergne (region)	Alvèrnia
Avalanche	Allau
Avant-garde	Literatura avantguardista
Avena	Avena
Averroes	Averrois
Avesta	Avesta
Aviation	Aviació
Avicenna	Avicenna
Avignon	Avinyó (Valclusa)
Avocado	Alvocat
Axe	Destral
Axiom	Axioma
Axon	Axó
Ayatollah	Aiatol·là
Azerbaijan	Azerbaidjan
Azerbaijan	Categoria:Azerbaidjan
Azimuth	Azimut
Azores	Açores
Aztec	Civilització asteca
Azurite	Atzurita
B	B
BASIC	BASIC
Baal	Baal
Baboon	Babuí
Babylon	Babilim
Babylonia	Babilònia
Backgammon	Backgammon
Bacteria	Bacteri
Bacteria	Categoria:Bacteris
Bacteriophage	Bacteriòfag
Badminton	Bàdminton
Baffin Bay	Badia de Baffin
Baffin Island	Illa de Baffin
Baghdad	Bagdad
Bahamas	Categoria:Bahames
Bahrain	Bahrain
Bahrain	Categoria:Bahrain
Baja California	Baja California
Baklava	Baklava
Baku	Bakú
Baldr	Bàlder
Balearic Islands	Illes Balears
Baleen whale	Balena
Bali	Bali
Balkan Mountains	Serralada dels Balcans
Balkan Wars	Guerres Balcàniques
Balkans	Balcans
Ball	Pilota
Ballet	Ballet
Ballet	Categoria:Ballet
Baltic Sea	Mar Bàltica
Baltimore	Baltimore
Bamako	Bamako
Bamboo	Bambú
Banana	Banana
Bangalore	Bangalore
Bangkok	Bangkok
Bangladesh	Bangla Desh
Bangladesh	Categoria:Bangla Desh
Bangui	Bangui
Banjul	Banjul
Bank	Banc (empresa)
Baptism	Baptisme
Baptist	Església Baptista
Bar (unit)	Bar (unitat de pressió)
Barbados	Barbados
Barbados	Categoria:Barbados
Barbarian	Bàrbar
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Barcelona	Categoria:Barcelona
Barents Sea	Mar de Barentsz
Bari	Bari (Pulla)
Barium	Bari (element)
Barley	Ordi
Barn Owl	Òliba
Barn Swallow	Oreneta comuna
Barometer	Baròmetre
