English	Korean
Anne Boleyn	앤 볼린
Annunciation	성모영보
Anseriformes	기러기목
Anseriformes	분류:기러기목
Ant	개미
Antakya	안타키아
Antananarivo	안타나나리보
Antarctica	남극
Antarctica	분류:남극
Antares	안타레스
Antenna (radio)	안테나
Anthrax	탄저병
Anthropology	인류학
Anthropology	분류:인류학
Antibiotic	항생제
Antibody	항체
Anticyclone	고기압
Antigen	항원
Antigua and Barbuda	앤티가 바부다
Antigua and Barbuda	분류:앤티가 바부다
Antimatter	반물질
Antimony	안티모니
Antipope	대립 교황
Antisemitism	반유대주의
Antlia	공기펌프자리
Antofagasta	안토파가스타
Antoine Lavoisier	앙투안 라부아지에
Anton Bruckner	안톤 브루크너
Anton Chekhov	안톤 체호프
Antonio Stradivari	안토니오 스트라디바리
Antonio Vivaldi	안토니오 비발디
Antwerp	안트베르펀
Anus	항문
Aorta	대동맥
Apatite	인회석
Ape	유인원
Aphasia	실어증
Aphorism	잠언
Aphrodite	아프로디테
Apia	아피아
Apocrypha	외경
Apodiformes	칼새목
Apollo	아폴론
Apollo (disambiguation)	아폴로
Apollo program	아폴로 계획
Apollo program	분류:아폴로 계획
Apoptosis	아포토시스
Appalachian Mountains	애팔래치아 산맥
Apple	사과
Applied mathematics	응용수학
April	4월
April 14	4월 14일
April Fools' Day	만우절
Apulia	풀리아 주
Apus	극락조자리
Aqua regia	왕수
Aquarius (constellation)	물병자리
Aquila (constellation)	독수리자리
Aquitaine	아키텐
Ara (constellation)	제단자리
Arab	아랍인
Arabian Peninsula	아라비아 반도
Arabian Sea	아라비아 해
Arabic alphabet	아랍 문자
Arabic language	아랍어
Arafura Sea	아라푸라 해
Aragon	아라곤 지방
Aral Sea	아랄 해
Aram Khachaturian	아람 하차투리안
Arch	아치
Archaeology	고고학
Archaeology	분류:고고학
Archaeopteryx	시조새
Archangel	대천사
Archbishop	대주교
Archimedes	아르키메데스
Archipelago	군도
Architecture	건축학
Architecture	분류:건축학
Archosaur	조룡류
Arctic	북극
Arctic Ocean	북극해
Are	아르
Area	넓이
Ares	아레스
Argentina	아르헨티나
Argentina	분류:아르헨티나
Argon	아르곤
Argos	아르고스
Aria	아리아
Ariadne	아리아드네
Arianism	아리우스주의
Aries (constellation)	양자리
Aristophanes	아리스토파네스
Aristotle	아리스토텔레스
Arithmetic	산술
Arithmetic	분류:산술
Arithmetic progression	등차수열
Arius	아리우스
Arizona	애리조나 주
Arizona	분류:애리조나 주
Ark of the Covenant	언약궤
Arkansas	아칸소 주
Arkansas	분류:아칸소 주
Armenia	아르메니아
Armenia	분류:아르메니아
Armenian language	아르메니아어
Armour	갑옷
Army	육군
Arnold Schoenberg	아르놀트 쇤베르크
Aromatic hydrocarbon	방향족 탄화수소
Arquebus	조총
Arrow	화살
Arsenic	비소
Art	예술
Art Nouveau	아르누보
Art history	분류:예술의 역사
Artemis	아르테미스
Artery	동맥
Arthropod	절지동물
Arthur Conan Doyle	아서 코난 도일
Arthur Miller	아서 밀러
Arthur Rimbaud	장 아르튀르 랭보
Arthur Schopenhauer	아르투르 쇼펜하우어
Arthur Wellesley	아서 웰즐리
Artificial intelligence	인공지능
Artificial intelligence	분류:인공지능
Artillery	대포
Artillery	분류:대포
Artist	미술가
Arts	분류:예술
Arturo Toscanini	아르투로 토스카니니
Aruba	아루바
Aruba	분류:아루바
Asbestos	석면
Asclepius	아스클레피오스
Asgard	아스가르드
Ash Wednesday	재의 수요일
Ashurbanipal	아슈르바니팔
Asia	아시아
Asia	분류:아시아
Asmara	아스마라
Aspartame	아스파탐
Aspirin	아스피린
Assam	아삼 주
Assassination	암살
Assembly language	어셈블리어
Association of Southeast Asian Nations	동남아시아 국가연합
Assyria	아시리아
Assyria	분류:아시리아
Astana	아스타나
Astatine	아스타틴
Asteraceae	국화과
Asteraceae	분류:국화과
Asteroid	소행성
Asteroid belt	소행성대
Asthenosphere	연약권
Asthma	천식
Astrakhan	아스트라한
Astrology	점성술
Astrology	분류:점성술
Astronaut	우주비행사
Astronomer	천문학자
Astronomical unit	천문 단위
Astronomy	천문학
Astronomy	분류:천문학
Astrophysics	천체물리학
Astrophysics	분류:천체물리학
Aswan	아스완
Asynchronous Transfer Mode	비동기 전송 방식
Atheism	분류:무신론
Athena	아테나
Athens	아테네
Athletics	분류:육상 경기
Athletics (track and field)	육상 경기
Atlanta	애틀랜타
Atlantic Ocean	대서양
Atlantic Ocean	분류:대서양
Atlas (mythology)	아틀라스 (신화)
Atlas Mountains	아틀라스 산맥
Atmosphere	대기
Atmosphere (unit)	기압
