English	Chinese
Antananarivo	塔那那利佛
Antarctica	南极洲
Antarctica	Category:南极洲
Antares	心宿二
Antenna (radio)	天线
Anthony Hopkins	安東尼·霍普金斯
Anthrax	炭疽病
Anthropology	人类学
Anthropology	Category:人类学
Anthroposophy	人智學
Antibiotic	抗生素
Antibody	抗体
Antichrist	反基督
Anticyclone	反气旋
Antigen	抗原
Antigone	安蒂岡妮
Antigua and Barbuda	安提瓜和巴布达
Antigua and Barbuda	Category:安提瓜和巴布达
Antimatter	反物质
Antimony	锑
Antioxidant	抗氧化剂
Antipope	對立教宗
Antisemitism	反犹太主义
Antisemitism	Category:反犹太主义
Antlia	唧筒座
Antofagasta	安托法加斯塔
Antoine Lavoisier	拉瓦锡
Anton Bruckner	安东·布鲁克纳
Anton Chekhov	安东·契诃夫
Antonio Stradivari	安东尼奥·斯特拉迪瓦里
Antonio Vivaldi	安东尼奥·维瓦尔第
Antwerp	安特卫普
Antwerp (province)	安特衛普省
Anubis	阿努比斯
Anus	肛门
Aorta	主動脈
Apache	阿帕契族
Ape	猿
Aphasia	失语症
Aphorism	格言
Aphrodite	阿佛羅狄忒
Apia	阿皮亚
Apiaceae	伞形科
Apodiformes	雨燕目
Apollo	阿波罗
Apollo program	阿波罗计划
Apollo program	Category:阿波罗计划
Apoptosis	细胞凋亡
Appalachian Mountains	阿巴拉契亚山脉
Appendicitis	闌尾炎
Apple	苹果
Applied mathematics	应用数学
Apricot	杏
April	4月
April 14	4月14日
April Fools' Day	愚人节
Apulia	普利亚
Apus	天燕座
Aqaba	亞喀巴
Aqua regia	王水
Aquarium	水族箱
Aquarius (constellation)	寶瓶座
Aqueduct	高架渠
Aquila (constellation)	天鷹座
Aquitaine	阿基坦
Ara (constellation)	天坛座
Arab	阿拉伯人
Arab League	阿拉伯国家联盟
Arabian Peninsula	阿拉伯半岛
Arabian Sea	阿拉伯海
Arabic alphabet	阿拉伯字母
Arabic language	阿拉伯语
Araceae	天南星科
Arachnid	蛛形纲
Arafura Sea	阿拉弗拉海
Aragon	阿拉贡自治区
Aral Sea	鹹海
Aram Khachaturian	阿拉姆·哈恰圖良
Arcadia	阿卡迪亚 (希腊)
Arcangelo Corelli	阿尔坎杰罗·科雷利
Arch	拱
Archaeology	考古学
Archaeology	Category:考古学
Archaeopteryx	始祖鸟
Archangel	天使長
Archbishop	總主教
Archean	太古代
Archetype	原型
Archimedes	阿基米德
Archipelago	群島
Architect	建筑师
Architecture	建筑学
Architecture	Category:建筑
Archosaur	主龍類
Arctic	北极地区
Arctic Circle	北極圈
Arctic Ocean	北冰洋
Ardennes	阿登
Ardennes (department)	阿登省
Are	公畝
Area	面积
Arecaceae	棕榈科
Ares	阿瑞斯
Argentina	阿根廷
Argentina	Category:阿根廷
Argon	氩
Argos	阿尔戈斯
Aria	詠嘆調
Arianism	阿里烏教派
Aries (constellation)	白羊座
Aristarchus of Samos	阿里斯塔克斯
Aristocracy	贵族制
Aristophanes	阿里斯托芬
Aristotle	亚里士多德
Arithmetic	算术
Arithmetic	Category:算术
Arithmetic progression	等差数列
Arius	阿利烏
Arizona	亞利桑那州
Arizona	Category:亚利桑那州
Ark of the Covenant	約櫃
Arkansas	阿肯色州
Arkansas	Category:阿肯色州
Arles	亞爾
Armadillo	犰狳科
Armenia	亞美尼亞
Armenia	Category:亞美尼亞
Armenian language	亚美尼亚语
Armour	盔甲
Army	陆军
Arnhem	阿纳姆
Arno River	阿諾河
Arnold Schoenberg	阿诺德·勋伯格
Aromatic hydrocarbon	芳香烃
Arquebus	火绳钩枪
Arras	阿拉斯
Arrow	箭
Arsenic	砷
Art	艺术
Art Deco	装饰艺术运动
Art Nouveau	新艺术运动
Art history	Category:藝術史
Art history	美术史
Artemis	阿尔忒弥斯
Artemisia (plant)	蒿属
Artery	动脉
Arthritis	关节炎
Arthropod	节肢动物
Arthur Compton	阿瑟·康普顿
Arthur Conan Doyle	阿瑟·柯南·道爾
Arthur Miller	阿瑟·米勒
Arthur Rimbaud	阿尔图尔·兰波
Arthur Schopenhauer	亚瑟·叔本华
Arthur Wellesley	阿瑟·韋爾斯利，第一代威靈頓公爵
Artificial intelligence	人工智能
Artificial intelligence	Category:人工智能
Artillery	火炮
Artillery	Category:火炮
Artist	艺术家
Arts	Category:艺术
Arturo Toscanini	阿图罗·托斯卡尼尼
Aruba	阿魯巴
Asbestos	石棉
Asclepius	阿斯克勒庇俄斯
Asexuality	無性戀
Asgard	亚斯格特
Ash Wednesday	大齋首日
Ashurbanipal	亚述巴尼拔
Asia	亚洲
Asia	Category:亚洲
Asmara	阿斯馬拉
Aspartame	阿斯巴甜
Asphalt	柏油
Aspirin	阿司匹林
Assam	阿萨姆邦
Assassination	暗杀
Assembly language	汇编语言
Association of Southeast Asian Nations	东南亚国家联盟
Assyria	亚述
Assyria	Category:亚述
Astana	阿斯塔纳
Astatine	砹
Asteraceae	菊科
Asteraceae	Category:菊科
Asteroid	小行星
Asteroid belt	小行星带
Asthma	哮喘
Astigmatism (eye)	散光
Astrakhan	阿斯特拉罕
Astrobiology	天體生物學
Astrology	占星学
Astrology	Category:占星學
Astrometry	天体测量学
Astronaut	宇航员
Astronomer	天文学家
Astronomical unit	天文單位
Astronomy	天文学
Astronomy	Category:天文学
Astronomy	Portal:天文学
Astrophysics	天体物理学
Astrophysics	Category:天体物理学
Aswan	阿斯旺
Asymptote	渐近线
Asynchronous Transfer Mode	异步传输模式
Atacama Desert	阿塔卡马沙漠
Aten	阿頓
Atheism	Category:无神论
Athena	雅典娜
Athens	雅典
Athletics	Category:田徑
Athletics (track and field)	田径
Atlanta	亚特兰大
Atlantic Ocean	大西洋
Atlantic Ocean	Category:大西洋
Atlantis	亚特兰蒂斯
Atlas (moon)	土卫十五
Atlas (mythology)	阿特拉斯
Atlas Mountains	阿特拉斯山脈
Atmosphere	大气层
Atmosphere (unit)	标准大气压
Atmospheric pressure	气压
Atoll	珊瑚岛
Atom	原子
Atomic mass	原子量
Atomic mass unit	原子质量单位
Atomic number	原子序数
Atomic physics	Category:原子物理学
Atomic physics	原子物理学
Atropine	阿托品
Attica	阿提卡
Attila the Hun	阿提拉
Au	Au
Auckland	奧克蘭 (紐西蘭)
Auction	拍賣
August	8月
August 1	8月1日
August 15	8月15日
August 6	8月6日
August Strindberg	奥古斯特·斯特林堡
Augusta	奥古斯塔 (缅因州)
Auguste Comte	奥古斯特·孔德
Auguste Rodin	奥古斯特·罗丹
Augustine of Hippo	圣奥古斯丁
Augustus	屋大维
Auriga (constellation)	御夫座
Aurora (astronomy)	极光
Austin	奧斯汀
Australasia	澳大拉西亞
Australia	澳大利亚
Australia	Category:澳大利亚
Australian dollar	澳大利亚元
Australopithecus	南方古猿
Austria	奥地利
Austria	Category:奧地利
Austria-Hungary	奥匈帝国
Author	作家
Authority	权威
Autism	自閉症
Auto racing	賽車
Autobiography	自传
Automated teller machine	自動櫃員機
Automobile	汽车
Autonomic nervous system	植物神经系统
Autotroph	自养生物
Autumn	秋季
Auvergne (region)	奥弗涅
Avalanche	雪崩
Avant-garde	先鋒派
Avatar	化身
Avena	燕麥屬
Averroes	亞維侯
Avesta	波斯古经
Aviation	Category:航空
Aviation	航空
Avicenna	阿维森纳
Avignon	亞維農
Avocado	鳄梨
Avogadro's law	阿伏伽德罗定律
Axe	斧
Axiom	公理
Axon	轴突
Ayn Rand	艾茵·兰德
Azerbaijan	阿塞拜疆
Azerbaijan	Category:亞塞拜然
Azimuth	方位角
Azores	亚述尔群岛
Aztec	阿茲特克
B	B
BASIC	BASIC
Baal	巴力
Baboon	狒狒屬
Babylon	巴比伦
Babylonia	巴比倫尼亞
Backgammon	雙陸棋
Bacteria	细菌
Bacteria	Category:細菌
Bacteriophage	噬菌体
Bactrian Camel	双峰骆驼
Badminton	羽毛球
Baffin Bay	巴芬灣
Baffin Island	巴芬島
Baghdad	巴格达
Bahamas	Category:巴哈马
Bahrain	巴林
Bahrain	Category:巴林
Baja California	下加利福尼亞州
Baku	巴库
Balance sheet	資產負債表
Baldr	巴德爾
Balearic Islands	巴利阿里群島
