Finnish	English
Meripihka	Amber
Ambrosius	Ambrose
Amedeo Avogadro	Amedeo Avogadro
Amelia Earhart	Amelia Earhart
Biisoni	American Bison
Mustakarhu	American Black Bear
Yhdysvaltain sisällissota	American Civil War
Yhdysvaltain vapaussota	American Revolutionary War
Amerikan Samoa	American Samoa
ASCII	American Standard Code for Information Interchange
Amerikkalainen jalkapallo	American football
Luokka:Amerikkalainen jalkapallo	American football
Amerikium	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametisti	Amethyst
Amharan kieli	Amharic
Amidi	Amide
Amiini	Amine
Aminohappo	Amino acid
Amishit	Amish
Amman	Amman
Ampeerimittari	Ammeter
Ammoniakki	Ammonia
Amnesia	Amnesia
Amnestia	Amnesty
Ampeeri	Ampere
Amfetamiini	Amphetamine
Sammakkoeläimet	Amphibian
Amfiteatteri	Amphitheatre
Amfora	Amphora
Amplitudi	Amplitude
Amsterdam	Amsterdam
Luokka:Amsterdam	Amsterdam
Amon	Amun
Amur	Amur
Anabaptismi	Anabaptist
Anagrammi	Anagram
Anaheim	Anaheim
Anaaliseksi	Anal sex
Analyyttinen geometria	Analytic geometry
Anarkismi	Anarchism
Luokka:Anarkismi	Anarchism
Anarkia	Anarchy
Sorsat	Anatidae
Anatole France	Anatole France
Luokka:Anatomia	Anatomy
Anatomia	Anatomy
Anaksagoras	Anaxagoras
Anaksimandros	Anaximander
Ankkuri	Anchor
Anchorage	Anchorage
Muinaiskreikka	Ancient Greek
Luokka:Antiikki	Ancient history
Andalusia	Andalusia
Andamaanienmeri	Andaman Sea
Anders Celsius	Anders Celsius
Andit	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Luokka:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrei Saharov	Andrei Sakharov
Andrei Tarkovski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Androidi	Android
Andromeda	Andromeda
Andromeda (tähdistö)	Andromeda (constellation)
Andromeda (mytologia)	Andromeda (mythology)
Andromedan galaksi	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anemia	Anemia
Anemometri	Anemometer
Anestesia	Anesthesia
Angara	Angara River
Enkeli	Angel
Angelin putoukset	Angel Falls
Kulma	Angle
Angola	Angola
Luokka:Angola	Angola
Anguilla	Anguilla
Pyörimismäärä	Angular momentum
Kulmanopeus	Angular velocity
Boëthius	Anicius Manlius Severinus Boethius
Aniliini	Aniline
Eläinkunta	Animal
Animaatio	Animation
Anime	Anime
Luokka:Anime	Anime
Animismi	Animism
Anisruoho	Anise
Ankara	Ankara
Annapolis	Annapolis
Annapurna	Annapurna
Anna Boleyn	Anne Boleyn
Nivelmadot	Annelid
Jälkeen Kristuksen	Anno Domini
Marian ilmestyspäivä	Annunciation
Anodi	Anode
Sorsalinnut	Anseriformes
Luokka:Sorsalinnut	Anseriformes
Muurahaiset	Ant
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Etelämanner	Antarctica
Antares	Antares
Antenni	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Pernarutto	Anthrax
Antropologia	Anthropology
Luokka:Antropologia	Anthropology
Antroposofia	Anthroposophy
Antibiootti	Antibiotic
Vasta-aine	Antibody
Antikristus	Antichrist
Korkeapaine	Anticyclone
Antigeeni	Antigen
Antigone	Antigone
Antigua ja Barbuda	Antigua and Barbuda
Luokka:Antigua ja Barbuda	Antigua and Barbuda
Antimateria	Antimatter
Antimoni	Antimony
Antioksidantti	Antioxidant
Vastapaavi	Antipope
Antisemitismi	Antisemitism
Luokka:Antisemitismi	Antisemitism
Ilmapumppu (tähdistö)	Antlia
Antofagasta	Antofagasta
