Urdu	English
چنائی	Chennai
چیانگ کائی شیک	Chiang Kai-shek
چلی	Chile
چین	China
چاکلیٹ	Chocolate
عیسائیت	Christianity
کولمبس	Christopher Columbus
لونجسیمہ	Chromosome
چرچ آف انگلینڈ	Church of England
دارچینی	Cinnamon
خانہ جنگی	Civil war
کلیمنٹ ایٹلی	Clement Attlee
عمیل و معیل	Client-server
بگ بین	Clock Tower
تنسیل	Cloning
کافی	Coffee
کولمبیا	Colombia
رنگ	Color
کولوراڈو	Colorado
کولوزیئم	Colosseum
کولمبیا، جنوبی کیرولینا	Columbia
کولمبس، اوہائیو	Columbus
دم دار سیارے	Comet
انجیر	Common Fig
اقوام کی دولت مشترکہ	Commonwealth of Nations
زمرہ:کمیونزم	Communism
قرص مدمج	Compact Disc
قطب نما	Compass
مختلط عدد	Complex number
مرکب عدد	Composite number
شمارِندہ	Computer
شمارندی تظاہرہ	Computer display
کمپیوٹری مسل	Computer file
شمارندی برنامج	Computer program
شمارندی حمہ	Computer virus
تکونی قطعات	Conic section
کنیکٹیکٹ	Connecticut
صرف	Consumption (economics)
براعظم	Continent
مُتناسق عالمی وقت	Coordinated Universal Time
تانبا	Copper
مرجان	Coral
کورسیکا	Corsica
کائناتی ریزموجی پس منظر تابکاری	Cosmic microwave background radiation
علم الکائنات	Cosmology
زمرہ:علم الکائنات	Cosmology
کوسٹاریکا	Costa Rica
کریٹ	Crete
کرکٹ	Cricket
کروشیا	Croatia
کیوبا	Cuba
زمرہ:کیوبا	Cuba
ثقافت	Culture
كوريتيبا	Curitiba
قبرص	Cyprus
چیک جمہوریہ	Czech Republic
ڈی این اے	DNA
ڈہلیا	Dahlia
ڈاکار	Dakar
دلائی لاما	Dalai Lama
دمشق	Damascus
دانتے	Dante Alighieri
دریائے ڈینیوب	Danube
درہ دانیال	Dardanelles
دار جیلنگ	Darjeeling
تاریک مادہ	Dark matter
داؤد علیہ السلام	David
بحیرہ مردار	Dead Sea
موت	Death
دسمبر	December
ڈیلاویئر	Delaware
دلی	Delhi
ڈیلٹا	Delta (letter)
طوفان نوح	Deluge (mythology)
جمہوریت	Democracy
کانگو (زائر)	Democratic Republic of the Congo
دی مقراطیس	Democritus
بشری شماریات	Demography
ڈنگ اکسیاؤ پنگ	Deng Xiaoping
ڈینگو بخار	Dengue fever
ڈنمارک	Denmark
کثافت	Density
دترمینان	Determinant
جبریت	Determinism
ڈھاکہ	Dhaka
دہولاگری	Dhaulagiri
جدلیاتی مادیت	Dialectical materialism
قُطر	Diameter
ڈائنا (دیوی)	Diana (mythology)
طاس	Dice
شِبِت	Dill
بُعد (لکیری الجبرا)	Dimension
حیوان المہیب	Dinosaur
زمرہ:ضدابہام	Disambiguation
مرض	Disease
فاصلہ (ریاضی)	Distance
عمل تقطیر	Distillation
تقسیم (ریاضی)	Division (mathematics)
جبوتی سٹی	Djibouti (city)
دستاویز	Document
جزائر ڈوڈکینیز	Dodecanese
ڈو ڈو	Dodo
ڈالر	Dollar
اسم ساحہ	Domain name
ڈومینیکا	Dominica
جمہوریہ ڈومینیکا	Dominican Republic
ڈورس لیسنگ	Doris Lessing
آبنائے ڈوور	Dover
خواب	Dream
ثنویت	Dualism
دبئی	Dubai
