German	English
Kategorie:Anarchismus	Anarchism
Anarchie	Anarchy
Entenvögel	Anatidae
Anatole France	Anatole France
Kategorie:Anatomie	Anatomy
Anatomie	Anatomy
Anaxagoras	Anaxagoras
Anaximander	Anaximander
Anker	Anchor
Anchorage	Anchorage
Altgriechische Sprache	Ancient Greek
Kategorie:Altertum	Ancient history
Andalusien	Andalusia
Andamanensee	Andaman Sea
Anders Celsius	Anders Celsius
Anden	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Kategorie:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrei Dmitrijewitsch Sacharow	Andrei Sakharov
Andrei Arsenjewitsch Tarkowski	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Android	Android
Andromeda	Andromeda
Andromeda (Sternbild)	Andromeda (constellation)
Andromeda (Mythologie)	Andromeda (mythology)
Andromedanebel	Andromeda Galaxy
Andy Warhol	Andy Warhol
Anämie	Anemia
Anemometer	Anemometer
Anästhesie	Anesthesia
Angara	Angara River
Engel	Angel
Salto Angel	Angel Falls
Winkel	Angle
Anglikanismus	Anglicanism
Angola	Angola
Kategorie:Angola	Angola
Anguilla	Anguilla
Drehimpuls	Angular momentum
Winkelgeschwindigkeit	Angular velocity
Boëthius	Anicius Manlius Severinus Boethius
Anilin	Aniline
Tier	Animal
Tierhaltung	Animal husbandry
Animation	Animation
Anime	Anime
Kategorie:Anime	Anime
Animismus	Animism
Anis	Anise
Ankara	Ankara
Annapolis (Maryland)	Annapolis
Annapurna	Annapurna
Anne Boleyn	Anne Boleyn
Ringelwürmer	Annelid
Anno Domini	Anno Domini
Verkündigung	Annunciation
Anode	Anode
Anorexia nervosa	Anorexia nervosa
Gänsevögel	Anseriformes
Kategorie:Gänsevögel	Anseriformes
Ameisen	Ant
Antakya	Antakya
Antalya	Antalya
Antananarivo	Antananarivo
Antarktis	Antarctica
Kategorie:Antarktis	Antarctica
Antares	Antares
Antennentechnik	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Milzbrand	Anthrax
Anthropologie	Anthropology
Kategorie:Anthropologie	Anthropology
Anthroposophie	Anthroposophy
Antibiotika	Antibiotic
Antikörper	Antibody
Antichrist	Antichrist
Hochdruckgebiet	Anticyclone
Antigen	Antigen
Antigone	Antigone
Antigua und Barbuda	Antigua and Barbuda
Kategorie:Antigua und Barbuda	Antigua and Barbuda
Antimaterie	Antimatter
Antimon	Antimony
Antioxidantien	Antioxidant
Gegenpapst	Antipope
Judenfeindlichkeit	Antisemitism
Kategorie:Antisemitismus	Antisemitism
Luftpumpe (Sternbild)	Antlia
Antofagasta	Antofagasta
Antoine Laurent de Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Pawlowitsch Tschechow	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonym	Antonym
Antwerpen	Antwerp
Provinz Antwerpen	Antwerp (province)
Anubis (Ägyptische Mythologie)	Anubis
Anus	Anus
Aorta	Aorta
Apachen	Apache
Apatit	Apatite
Menschenartige	Ape
Aphasie	Aphasia
Aphorismus	Aphorism
Aphrodite	Aphrodite
Apia	Apia
Doldenblütler	Apiaceae
Apokryphen	Apocrypha
Seglervögel	Apodiformes
Apollon	Apollo
Apollo	Apollo (disambiguation)
Apollo-Programm	Apollo program
Kategorie:Apollo-Programm	Apollo program
Apoptose	Apoptosis
Appalachen	Appalachian Mountains
Appendizitis	Appendicitis
Kulturapfel	Apple
