English	Breton
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Charlez ar Moal
Charlie Chaplin	Charlie Chaplin
Charon (moon)	C'haron (loarenn)
Charon (mythology)	C'haron
Chartres	Chartrez
Che Guevara	Che Guevara
Cheetah	Kazh-ki
Chemical element	Elfenn gimiek
Chemical formula	Formulenn gimiek
Chemistry	Kimiezh
Chemistry	Rummad:Kimiezh
Chennai	Chennai
Chess	Echedoù
Chess	Rummad:Echedoù
Chi (letter)	Khi (lizherenn)
Chicago	Chicago
Childbirth	Gwilioud
Chile	Chile
China	Rummad:Sina
Chiron	C'heiron
Chocolate	Chokolad
Choir	Laz-kanañ
Cholera	Kolera
Christianity	Kristeniezh
Christmas	Nedeleg
Christmas	Rummad:Nedeleg
Christopher Columbus	Kristol Goulm
Chuck Berry	Chuck Berry
Cider	Sistr
Cinderella	Luduennig
Circe	Kirke
Circumcision	Trodroc'hañ
Civil war	Brezel diabarzh
Class	Klas (digejañ)
Class (biology)	Kevrennad
Classical music	Sonerezh klasel
Claudius	Glaoda Iañ
Climatology	Hinouriezh
Clio	Kleio
Clitoris	Ellig
Clothing	Dilhad
Cloud	Koumoul
Clovis I	Hlodwig Iañ
Coast	Aod
Coffee	Kafe
Colchis	Kolkida
Cold War	Brezel yen
Colombia	Kolombia
Colombia	Rummad:Kolombia
Colorado	Colorado
Colossus of Rhodes	Keurzelwenn Rodos
Communication	Kemennadur
Comoros	Komorez
Comoros	Rummad:Komorez
Compass	Nadoz-vor
Computer	Urzhiataer
Computer display	Unvez gwereañ
Computer file	Restr stlennegel
Computer hardware	Periant
Computer science	Urzhiataerezh
Computer software	Meziant
Conakry	Conakry
Condom	Stevell
Congo	Kongo
Congo River	Kongo (stêr)
Connecticut	Connecticut
Consonant	Kensonenn
Constantine I	Kustentin Iañ (impalaer roman)
Constantinople	Kergustentin
Constellation	Steredeg
Constitution (political)	Bonreizh
Continent	Kevandir
Continental drift	Dilec'hiadur ar c'hevandiroù
Continental shelf	Plateiz kevandirel
Cooking	Keginañ
Cooperative	Kevelouri
Coordinated Universal Time	UTC
Copenhagen	Kopenhagen
Cork (city)	Korkig
Cormorant	Morvran
Cornwall	Kernev-Veur
Corporation	Embregerezh
Corsica	Korsika
Cougar	Puma
Coulomb	Coulomb
Country	Bro
Court	Lez (roue)
Coventry	Coventry
Coyote	Koyot
Cremona	Cremona
Cretaceous	Kretase
Crete	Kreta
Croatia	Kroatia
Croatia	Rummad:Kroatia
Cronus	Kronos
Crust (geology)	Pluskenn (planedenn)
Crux	Kroaz ar Su
Cuba	Kuba
Cuba	Rummad:Kuba
Cubic metre	Metr kub
Curitiba	Curitiba
Cybele	Kybele
Cyprus	Republik Kiprenez
Cyrillic alphabet	Lizherenneg kirillek
Cyrus the Great	Kirus II
Czech Republic	Republik Tchek
Czechoslovakia	Tchekoslovakia
D	D (lizherenn)
D. H. Lawrence	D.H. Lawrence
DNA	Trenkenn dezoksiribonukleek
Daedalus	Daidalos
Dakar	Dakar
Dam	Stankell
Damascus	Damask
Dance	Dañs
Daniel Ortega	Daniel Ortega
Dante Alighieri	Dante Alighieri
Danube	Danav
Daphne	Dafne
Dar es Salaam	Dar es Salaam
Dardanelles	Dardanelloù (strizh-mor)
Database	Stlennvon
David	David
David Hume	David Hume
Days	Rummad:Deizioù ar bloaz
Deadly nightshade	Benede
Death	Marv
December	Kerzu
