English	Latvian
abortive	neveiksmīgs
abridge	saīsināt
acrid	sīvs
actinium	aktīnijs
add	saskaitit
addition	pieskaitīšana
aerial	antena
aggressive	agresīvs
aggressor ; assailant ; attacker ; assaulter	uzbrucējs
airmail	aviopasts
alchemy	alķīmija
alcoholism	alkoholisms
alibi	alibi
almanac	almanahs
almost	gandrīz
alongside ; amongst ; with	ar
aluminium	alumīnijs
ambassador	vēstnieks
americium	americium ; amerīcijs
amethyst	ametists
anarchism	anarhisms
anchor	enkurs
anime	anime
anise	anīss
anniversary	gadadiena
ant	skudra
antelope	antilope
anthropology	antropologija
antimony	antimons
anvil	lakta
appreciate	vērtēt
apricot	aprikoze
apron	priekšauts
aquamarine	akvamarīns
aquarium	akvārijs
archaeological	arheoloģisks
archeologist ; archaeologist	arheologs
architecture	arhitektûra
archive	arhîvs
argon	argons
argument	strīds
aristocracy	aristokrātija
armoury	arsenāls
armpit	paduse
arrange ; adapt ; adjust ; conform ; accommodate ; suit	pielâgoties
arrowhead	bultas uzgalis
arsenic	arsēns
artery	artērija
artful	viltīgs
arthritis	artrīts
ascendancy	pārākums
ascent	kāpšana
ascent	stāvums
ascertain	noskaidrot
ascetic	askēts
ashamed	kaunēties
ashtray	pelnu trauks
asleep	aizmidzis
asparagus	sparģeļi
asphalt	asfalts
aspiration	tiekšanās
assassin ; assassinator	slepkava
assemble ; get together ; gather	sapulcināt
assent	piekrišana
assent	piekrist
assert	aizstāvēt
assertive	pārliecinošs
assign	iecelt
assignment	uzdevums
assimilate	asimilēt
assist	asistēt
assumption ; supposition	pieņēmums
astatine	astats
asterisk	zvaigznīte
asthenosphere	astenosfēra
astonish	pārsteigt
astonishing	pārsteidzošs
astonishment	pārsteigums
astound	pārsteigt
astounding	pārsteidzošs
astride	jāteniski
astride	kājas izpletis
astrology ; star divination	astroloģija
astronomy	astronomija
astrophysics	astrofizika
asymptote	asimptote
atractive	pievilcīgs
atrocity	nežēlība
attached	pieķēries
attachment	pieķeršanās
attachment	ierīce
attain	sasniegt
attend	ārstēt
attend	apmeklēt
attend	klausīties
attend	rūpēties par
attendant	apkalpotājs
attentive	uzmanīgs
attic	bēniņi
attire	tērps
attire	ietērpt
attitude	poza
attract	pievilkt
audacious	pārdrošs
augment	palielināt
auspicious	daudzsološs
authoritarian	autoritārs
authoritative	autoritatīvs
authorship	autorība
autocracy	autokrātija
available	pieejams
avert	novērst
avid	kārs
awe	bijība
awhile	uz īsu brīdi
bacon	speķis
badminton	badmintons
baker ; bakery	maiznīca
baking powder	cepamais pulveris
ballad	balāde
ballot	izlase
ballroom	deju zāle
banana	banāns
barium	bārijs
barometer	barometrs
baron	barons
baseball ; baseball game	beisbols
basement	pagrabs
beaver	bebrs
bed	gulta
beehive	strops
beer	alus
berkelium	berklijs
beryllium ; glucinium	berilijs
beverage ; drink	dzeriens
bicycle ; bike ; cycle	velosipēds
bile	žults
biochemistry	bioķīmija
birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition	dzimšana
bismuth	bismuts
blue	zils
boron	bors
boundary	robeža
bring	atnest
bromine	broms
bullet	lode
bumblebee	kamene
butcher	miesnieks
cadmium	kadmijs
caesium	cēzijs
calcium	kalcijs
californium	kalifornijs
camouflage	kamuflāža
candle	svece
carbon	ogleklis
castle	pils
category	kategorija
cerium	cērijs
chemist ; pharmacist	aptiekārs
chemist's ; chemist's shop ; pharmacy	aptieka
chlorine	hlors
chromium	hroms
cloud	mākonis
cobalt	kobalts
coffee	kafija
come	nakt
comet	komēta
communism	komunisms
conference	konference
consideration	izskatīšana
consonant	līdzskanis
copper	varš
creativity ; inventiveness	radošums
crystal	kristāls
cucumber	gurķis
curium	kirijs
darmstadtium	darmstadtis
dazzle	apžilbināt
death penalty ; capital punishment ; death sentence	nāvessods
debit	apsûdzçt
democracy	demokrātija
desert	tuksnesis
dice ; die ; die ; die	spēļu kauliņš
dictionary	vārdnīca
difficult	grūts
dog	suns
dolphin	delfīns
donation	dāvana
dress	kleita
dress ; clothe	apģērbt ; saģērbt
drink ; gulp ; quaff ; sip	dzert
dromedary	dromedārs
drum kit	bungas
duck	pīle
dumb	mems
dyslexia	disleksija
dysprosium	disprozijs
ear	auss
earthquake	zemestrīce
effort ; exertion	piepūle
einsteinium	einšteinijs
entrepreneur	uzņēmējs
equator	ekvators
erbium	erbijs
ethics	ētika
ethnography	etnogrāfija
europium	eiropijs
exception	iebildums
explosion	eksplozija
eye	acs
fermium	fermijs
flint ; flintstone	krams
fluorine	fluors
football	futbols
fork	dakša
fossil	fosilija
fracture	lūzums
francium	francijs
fraud	krāpšana
freedom of speech ; freedom of speech	vārda brīvība
gadolinium	gadolīnijs
gallbladder	tulžies pūslė
gallium	gallijs
gardener	dārznieks
gas	gāze
germanium	germānijs
gold	zelts
goose	zoss
grandson	mazdels
grape	vīnoga
guinea pig	jūras cūciņa
gull	kaija
hafnium	hafnijs
handkerchief	kabatlakats
hassium	hasijs
heathen ; infidel ; pagan	pagāns
hedgehog	ezis
helium	helis
heron	gārnis
holmium	holmijs
homonym	homonīms
hope	cerība
horizon	horizonts
horse	zirgs
hour	stunda
huckleberry ; blueberry	mellene
ice	ledus
ice hockey	hokejs
independence	neatkarība
indium	indijs
infection	infekcija
influenza ; flu	gripa
instep	pēdas
instrument ; musical instrument	mūzikas instrumenti
interpreter	tulks
iodine	jods
iridium	irīdijs
iron	dzelzs
judo	džudo
keyboard	tastatūra
krypton	kriptons
lanthanum	lantāns
lead	svins
learn	mācīties
leg	kāja
library	bibliotēka
limestone	kaļķakmens
limnology	limnoloģija
liquid	šķidrums
lithium	litijs
liver	aknas
logic	loģika
lottery	loterija
lutetium	lutēcijs
lynx	lūsis
macroscopic	makroskopisks
magnesium	magnijs
manganese	mangāns
mass	masa
melody ; tune	melodija
mendelevium	mendelevijs
mercury	dzīvsudrabs
meteorite	meteorīts
methanol	metanols
milk	piens
mineralogy	mineraloģija
minor	nepilngadīgais
minute	minūte
mistral	mistrāls
molybdenum	molibdēns
morphine	morfīns
mysterious	mīklains
neighbour ; vecino	kaimiņš
neodymium	neodīms
neon	neons
neptunium	neptūnijs
nickel	niķelis
niobium	niobijs
nitrogen	slāpeklis
nobelium	nobēlijs
nose	deguns
noun ; substantive	lietvārds
obey	pakļauties
obsolete	novecojis
obstacle ; obstruction	šķērslis
official language	valsts valoda
olive	olīve
opera	opera
operetta	operete
optics	optika
orchid	orhideja
orphan	bārenis
osmium	osmijs
ostrich	strauss
oxygen	skābeklis
pacifist	pacifists
paediatrician	pediatrs
palladium	pallādijs
parrot	papagailis
pencil	zīmulis
petition	petīcija
pheasant	fazāns
philosophy	filozofija
phosphorus	fosfors
pigeon ; dove	balodis
place ; location	vieta
plane	plakne
platinum	platīns
plutonium ; plutonium ; plutonium	plutonijs
polar bear	polārlācis
polonium	polonijs
possession	valdījums
potassium	kālijs
potato ; patato	kartupelis
praseodymium	prazeodīms
pregnancy	grūtniecība
problem	problēma
promethium	prometijs
protactinium	protaktīnijs
psychiatrist	psihiatrs
rabbit	trusis
radium	rādijs
radon	radons
read	lasīt
referendum ; plebiscite	referendumas
refrigerator ; fridge	ledusskapis
rhenium	rēnijs
rhodium	rodijs
roof ; roof ; roof	jumts
rubidium	rubīdijs
ruby	rubīns
ruthenium	rutēnijs
salmon	lasis
samarium	samārijs
saxophone	saksofons
scandium	skandijs
selenium	selēns
server	serveris
sew	šūt
shark	haizivs
sheep	aita
shepherd	gans
shoe	kurpe
silicon	silīcijs
silver	sudrabs
slaughter	kaut
slaughter-house	lopkautuve
slaughterhouse ; slaughter-house ; abattoir ; butchery ; shambles	lopkautuve
smile	smaids
soap	ziepes
sock	zeķe
sodium	nātrijs
spider	zirneklis
spleen	liesa
star	zvaigzne
storm ; tempest	vētra
story	stāsts
strontium	stroncijs
sulphur	sērs
supernova	pārnova
symphony	simfonija
synagogue	sinagoga
table	galds
tantalum	tantāls
tea	tēja
technetium	tehnēcijs
television	televizors
tellurium	telūrs
terbium	terbijs
terrorism	terorisms
thallium	tallijs
thank you	pateicība
thirst	slāpes
thorium	torijs
thulium	tūlijs
thunder	pērkons
thyroid	vairogdziedzeris
timezone	laika josla
tin	alva
titanium	titāns
tomato	tomāts
topology	topoloģija
train	vilciens
translation	tulkojums
tree	koks
trophy	trofeja
trout	forele
tunafish	tuncis
tungsten	volframs
turkey	tītars
uranium	urāns
usurp	uzurpēt
vacuum cleaner	puteklu sucejs
valuable	dārgs
vanadium	vanādijs
vegetable	darzeni
voltage	spriegums
vowel	patskanis
water	ūdens
whale	valis
white	balts
window	logs
wine	vīns
wolf	vilks
word	vārds
xenon	ksenons
ytterbium	iterbijs
yttrium	itrijs
zero ; null	nulle
zinc	cinks
zirconium	cirkonijs
