English	Lithuanian
butcher	mėsininkas
button ; clit ; clitoris	varputė
cadmium	kadmis
caesium	cezis
caffeine	kofeinas
calcium	kalcis
calendar	View lemma information ; kalendorius
californium	kalifornis
calligraphy	kaligrafija
camouflage	kamufliažas
candle	žvakė
carbon	anglis
celery	salieras
cerium	ceris
champagne	šampanas
chapter	skyrius
chemist's ; chemist's shop ; pharmacy	vaistinė
cherry	vyšnia
chimpanzee	šimpanzė
chipmunk	burundukai
chlorine	chloras
chlorosis	chlorozė
cholesterol	cholesterolis
chromium	chromas
cloud	debesis
cobalt	kobaltas
cobweb	voratinklis
cockroach	tarakonas
colina ; hill ; loma	kalva
comet	kometa
communism	komunizmas
copper	varis
crime	nusikaltimas
crossword	kryžiažodis
crucifix	krucifiksas
crystal	kristalas
curium	kiuris
dandelion	kiaulpienė
darmstadtium	darmštatis
dazzle	apakinti
death penalty ; capital punishment ; death sentence	mirties bausmė
deflation	defliacija
democracy	demokratija
dendrochronology ; tree-ring dating	dendrochronologija
dentist	daontis ; dantų gydytojas
dice ; die ; die ; die	lošimo kauliukas
dictionary	žodynas
difficult	sudėtingas
diocese ; diocese	vyskupija
dog	šuo
doll	lėlė
dolphin	delfinas
drink ; gulp ; quaff ; sip	gerti
drum kit	būgnas
dubnium	dubnis
duck	antis
dysprosium	disprozis
ear	ausis
earthquake	žemės drebėjimas
eat	valgyti
edible	valgomas
effort ; exertion	pastanga
einsteinium	einšteinis
elder ; elderberry	šeivamedis
epilepsy	epilepsija
equator	pusiaujas
erbium	erbis
ethics	etika
ethnography	etnografija
europium	europis
eye	akis
eyebrow	antakis
father	tėvas
fermium	fermis
firefighter ; fireman ; firewoman ; fire fighter ; fire-eater	gaisrininkas
flint ; flintstone	titnagas
fluorine	fluoras
flute	fleita
fork	šakutė
francium	francis
fraud	apgaulė
gadolinium	gadolinis
gallbladder	tulžies pūslė
gallium	galis
garage	garažas
gardener	sodininkas
general	generolas
germanium	germanis
geyser	geizeris
giraffe	žirafa
gland	liauka
glycolysis	glikolizė
gold	auksas
gonorrhea	gonorėja
goose	žąsis
granite	granitas
grape	vynuogė
guinea pig	jūrų kiaulytė
gull	kiras
haematology	hematologija
haemorrhage ; bleeding	kraujavimas
hafnium	hafnis
handkerchief	nosinė
hassium	hasis
hedgehog	ežys
helicopter	sraigtasparnis
helium	helis
here	čia
heroin	heroinas
heron	garnys
historiography	istoriografija
holiday ; opor-garai	atostogos
holmium	holmis
home ; home ; house	namas
homeostasis	savireguliacija
honey	medus
hope	supykti ; viltis
horizon	Horizontas
hormone	hormonas
horse	arklys
hour	valanda
huckleberry ; blueberry	girtuoklė ; vaivoras
hydrogen	vandenilis
hyena	hiena
ice	ledas
iceberg	ledkalnis
ideology	ideologija
independence	nepriklausomybė
indium	indis
infection	infekcija
infectious disease ; communicable diseases	infekcinė liga
inflation	infliacija
influenza ; flu	gripas
instep	kiltis
iodine	jodas
iridium	iridis
iron	geležis
jaguar	jaguaras
jazz	džiazas
judo	dziudo
kettle	virdulys
kilogram	kilogramas
knight ; knight	žirgas
krypton	kriptonas
lanthanum	lantanas
lawrencium	laurencis
lead	švinas
lens	lęšis
leopard	leopardas
liberalism	liberalizmas
library	biblioteka
limestone	klintis
liquid	skystis
lithium	litis
liver	kepenys
locust	skėrys
logic	logika
lottery	loterija
lutetium	lutecis
lux	liuksas
lynx	lūšis
magnesium	magnis
manganese	manganas
mare	kumelė
marsupial	sterbliniai
mason ; bricklayer ; stonemason	mūrininkas
mass	masė
mausoleum	mauzoliejus
meitnerium	meitneris
melody ; tune	melodija
mendelevium	mendelevis
menorah	menora
mercury	gyvsidabris
metaphor	metafora
metaphysics	metafizika
methanol	metanolis
milk	pienas
mineralogy	mineralogija
miniskirt ; mini-skirt	mini sijonas
minor	nepilnametis
minute	minutė
mitosis	mitozė
molybdenum	molibdenas
morphine	morfinas
museum	muziejus
mysterious	paslaptingas
nadir	nadyras
napkin	servetėlė
necrosis	nekrozė
neodymium	neodimis
neon	neonas
neptunium	neptūnas
neurology	neurologija
nickel	nikelis
niobium	niobis
nitrogen	azotas
nobelium	nobelis
note	nata
obey	klausyti
octave	oktava
official language	valstybinė kalba ; oficiali kalba
oligarchy	oligarchija
oligopoly	oligopolija
onion	svogūnas
ontology	ontologija
opera	opera
ophthalmology	oftalmologija
orphan	našlaitis
osmium	osmis
ostrich	strutis
ovary	kiaušidė
oxygen	deguonis
oyster	austrė
paediatrician	pediatras
palladium	paladis
pancreas	kasa
parrot	papūga
pear	kriaušė
penguin	pingvinas
perineum	tarpvietė
periodic table	periodinė elementų lentelė
pessmism	pesimizmas
pheasant	fazanas
philology	filologija
phosphorus	fosforas
physiology	fiziologija
pigeon ; dove	karvelis
pino ; pine	pušis
pituitary gland	hipofizė
placenta	placenta
platinum	platina
plutonium ; plutonium ; plutonium	plutonis
polar bear	baltasis lokys
polonium	polonis
positron	pozitronas
potassium	kalis
potato ; patato	bulvė
praseodymium	prazeodomis
prelate	prelatas
prime number ; prime	pirminis skaičius
problem	problema
promethium	prometis
prostate	prostata
protactinium	protaktinis
public transport	viešasis transportas
rabbit	triušis
radium	radis
radon	radonas
referendum ; plebiscite	referendum
refrigerator ; fridge	šaldytuvas
renaissance	renesansas
rhenium	renis
rhodium	rodis ; rodis ; rodis ; rodis ; rodis ; rodis ; rodis ; rodis
roentgenium	rentgenis
rubidium	rubidis
ruby	rubinas
ruthenium	rutenis
rutherfordium	ruterfordis
sahara	sahara
salmon	lašisa
samarium	samaris
sapphire	safyras
scandium	skandis
scientist	mokslininkas
screwdriver	atsuktuvas
seaborgium	syborgis
selenium	selenas
server	serveris
sexology	seksologija
sheep	avis
shepherd	piemuo
shoe	batas
silicon	silicis
silver	sidabras
slaughter	skersti
slaughter-house	skerdykla
slaughterhouse ; slaughter-house ; abattoir ; butchery ; shambles	skerdykla
slipper	tapkės
smallpox	raupai
smile	šypsena
sodium	natris
sphinx	sfinksas
spider	voras
spinach	špinatas
spleen	blužnis
storm ; tempest	audra ; vėtra
strontium	stroncis
sulphur	siera
sulphur dioxide	sieros dioksidas
supernova	supernova
surgery	chirurgija
sweet	saldus
sword	kardas
symphony	Simfonija ; simfonija
synagogue	synagoge
table	stalas
tailor	siuvėjas
tantalum	tantalas
teacher	mokytojas ; dėstytojas
technetium	technecis
tellurium	telūras
terbium	terbis
testosterone	testosteronas
thallium	talis
theology	teologija
thirst	troškulys
thorium	toris
thulium	tulis
thyroid	skydliaukė
timezone	laiko juosta
tin	alavas
titanium	titanas
tobacco	tabakas
tomorrow	rytojus
topology	topologija
train	traukinys
translation	vertimas
tree	medis
trolley bus ; trolleybus	troleibusas
trombone	trombonas
tundra	tundra
tungsten	volframas
turkey	kalakutas
twin	dvyniai
university ; university ; academy	universitetas ; universitetas
uranium	uranas
valuable	įmantrus
vanadium	vanadis
vegetable	daržovė
walrus	vėplys
wasp	vapsva
water	vanduo
web ; spider web	voratinklis
weekend	savaitgalis
whale	banginis
white	baltas
wiki	viki
window	langas
wine	vynas
wolf	vilkas
word	žodis
world war	pasauliniai karai
xenon	ksenonas
yak	jakas
ytterbium	iterbis
yttrium	itris
zinc	cinkas
zirconium	cirkonis
Åland Islands	Alandų salos
