Slovenian	English
ruščina	Russian ; Russian
San Marino	San Marino
Savdska Arabija	Saudi Arabia ; Kingdom of Saudi Arabia
Škotska	Scotland
Sena	Seine
Senegal	Senegal
septêmber	September
Srbija	Serbia
Srbija in Črna gora	Serbia and Montenegro
srbščina	Serbian ; Serbian
Sejšeli	Seychelles ; Republic of Seychelles
Slovaška	Slovakia
slovenščina	Slovene ; Slovenian ; Slovenian
Slovenija	Slovenia
Salomonovi otoki	Solomon Islands
Južna Afrika ; Južnoafriška republika	South Africa
Južna Amerika	South America
Jugovzhodna Azija	Southeast Asia
Južna Azija	Southern Asia ; South Asia
Španija	Spain
Šrilanka	Sri Lanka
Sudan	Sudan
Sončni kralj	Sun King
Surinam	Suriname
Švedska	Sweden
švedščina	Swedish
Švica	Switzerland
Sirija	Syria ; Syrian Arab Republic
Tanzanija	Tanzania
Teherán	Tehran
Tennessee	Tennessee
Tajska	Thailand
Haag	The Hague
Togo	Togo
Tokio	Tokyo
Tunizija	Tunisia
Turčija	Turkey
Turščina	Turkish ; Turkish
Združeni narodi	UN ; United Nations
Uganda	Uganda ; Republic of Uganda
Ukrajina	Ukraine
Združeni arabski emirati	United Arab Emirates
Združeno kraljestvo Velike Britanije in Severne Irske	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
Združene države Amerike ; Združene države ; ZDA	United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States
Uran	Uranus
Utah	Utah
Vaduz	Vaduz
Vatikan	Vatican City ; The Holy See ; State of the Vatican City
Venezuela	Venezuela
Benetke	Venice
Venera	Venus
Dunaj	Vienna
volapik	Volapük
Wales	Wales
Zahodna Azija	Western Asia ; Southwest Asia
Zahodna Evropa	Western Europe
Wikislovar	Wiktionary
svetovni splet	World Wide Web ; WWW
Wyoming	Wyoming
Jemen	Yemen ; Republic of Yemen
Jugoslavija	Yugoslavia
Zambija	Zambia ; Republic of Zambia
Zanzibar	Zanzibar
Zimbabve	Zimbabwe ; Republic of Zimbabwe
amplituda	aAmplitude ; amplitude
osupel	aback
opuščena industrijska lokacija	abandoned industrial site
zapuščeno vozilo	abandoned vehicle ; car wreck
neživo okolje	abiotic environment
abiotski dejavnik	abiotic factor
neuspešen	abortive
absorpcija	absorption
pospešek	acceleration
dopustna dnevna doza	acceptable daily intake
sprejemljiva raven tveganja	acceptable risk level
sprejemanje	acceptance ; credence
dovoz, dovozna cesta/pot	access road
dostop do upravnih dokumentov	access to administrative documents
dostop do sredstev javnega obveščanja	access to culture
dostop do informacij, dostop do podatkov ; dostop do informacij ; dostop do podatkov	access to information
dostop do sodišč, dostop do sodnega varstva	access to the courts
nesreča ; nezgoda, nesreča ; nezgoda	accident
vzrok nesreče	accident source ; cause of the accident
naključno sproščanje GS organizmov	accidental release of organisms
harmonika	accordion ; squeeze box ; piano accordion
računovodstvo	accounting
