Slovenian	English
peščena sipina	dune
obstojno blago	durable goods
trajanje sončnega obsevanja	duration of sunshine
prah	dust
odstranjevanje prahu	dust removal
bivališče	dwelling
barva, barvilo	dye
nasip	dyke
utrjevanje nasipov	dyke reinforcement
disprozij	dysprosium
uho	ear
zgodaj	early
sistem zgodnjega opozarjanja	early warning system
Zemlja	earth ; Earth ; the world ; Blue Planet
vede o Zemlji	earth science
zemeljska skorja	earth's crust ; crust ; Earth's crust
potres	earthquake
deževnik, mnogoščetinci (Oligochaeta)	earthworm
strigalica (Dermaptera) ; strigalica	earwig
služnost, služnostna pravica	easement
iglokožci (Echinodermata)	echinoderm
ekopediatrija	eco-paediatrics
ekološka katastrofa	ecocatastrophe
ekološki razvoj	ecodevelopment
ekonalepka	ecolabel
ekološko označevanje	ecolabelling
ekološko obilje	ecological abundance
ekološka prilagoditev	ecological adaptation
ocena ekoloških razmer	ecological assessment
ekološko ravnovesje	ecological balance
ekološko knjigovodstvo	ecological bookkeeping
ekološka nosilnost (sprejemljivost okolja)	ecological carrying capacity
ekološka združba	ecological community
ekološki dejavnik, ekološki faktor ; ekološki dejavnik ; ekološki faktor	ecological factor
ekološka neenakost	ecological inequality
ekološka niša	ecological niche
ekološki parameter	ecological parameter
okoljski pregled (v podjetju)	ecological stocktaking
ekološko občutljivo območje	ecologically sensitive area
ekološko gibanje	ecologist movement
ekologija	ecology
ekološko trgovanje	ecomarketing
ekomuzej	ecomuseum
gospodarska dejavnost	economic activity
ekonomska analiza	economic analysis
gospodarska konkurenca	economic competition
ekonomska koncentracija	economic concentration
ekonomski podatki	economic data
gospodarski razvoj	economic development
ekonomsko predvidevanje	economic forecasting
ekonomska geografija	economic geography
gospodarska rast	economic growth
gospodarska spodbuda	economic incentive
ekonomski inštrument	economic instrument
inštrument ekonomskega upravljanja	economic management instrument
gospodarski načrt	economic plan
gospodarsko načrtovanje	economic planning
gospodarska politika	economic policy
gospodarska/ekonomska regija	economic region
ekonomske/gospodarske pravice	economic rights
ekonomija	economic science ; economics
gospodarski sektor	economic sector
gospodarske razmere	economic situation
gospodarska struktura in infrastruktura	economic structure
ekonomska podpora	economic support
gospodarski/ekonomski sistem	economic system
ekonomska teorija	economic theory
gospodarski trend, gospodarsko gibanje ; gospodarski trend ; gospodarsko gibanje	economic trend
sposobnost/zmožnost ekonomskega preživetja	economic viability
ekonomsko-ekološka učinkovitost	economical-ecological efficiency
ekonomija ; gospodarstvo, ekonomija ; gospodarstvo	economy
ekofiziologija	ecophysiology
ekosistem	ecosystem
analiza ekosistema	ecosystem analysis
poslabšanje/uničenje ekosistema	ecosystem degradation
raziskovanje ekosistemov	ecosystem research
vrsta ekosistema	ecosystem type
ekoturizem	ecotourism
ekotoksičnost	ecotoxicity
ekotoksikološka ocena	ecotoxicological evaluation
ekotoksikologija	ecotoxicology
ekotip	ecotype
ekološko območje, ekocona	ecozone
edafologija	edaphology
užiten	edible
jedilne maščobe	edible fat
izobraževanje	education
izobraževalna politika	education policy
izobraževalna ustanova	educational institution
učna pot	educational path
načrtovanje izobraževanja	educational planning
izobraževalni sistem	educational system
vpliv, posledica, učinek ; vpliv ; posledica	effect
vpliv na zdravje	effect on health
vpliv na človeka	effect on man
okoljska posledica ; vpliv na okolje	effect on the environment ; environmental consequence
kriterij učinkovitosti	efficiency criterion
stopnja učinkovitosti	efficiency level
odplaka	effluent
jajce	egg
ajnštajnij	einsteinium
elastičnost	elasticity
bèzeg	elder ; elderberry
starejša oseba	elderly person
električni akumulator	electric battery
električni vodi, energetski vodi	electric line ; power line
električna moč	electric power
elektrarna	electric power plant
oskrba z električno energijo	electric power supply
vozilo na električni pogon	electric vehicle
elektroinženiring	electrical engineering
industrija električnih izdelkov	electrical goods industry
proizvodnja električne energije	electrical industry
elektrika	electricity
podjetje za proizvodnjo in distribucijo električne energije	electricity company
poraba električne energije	electricity consumption
proizvodnja električne energije	electricity generation
stroški proizvodnje električne energije	electricity generation cost
oskrba z električno energijo	electricity supply industry
elektrokinetika	electrokinetics
elektroliza	electrolysis
elektrika in magnetizem	electromagnetism
elektronsko informacijsko omrežje	electronic information network
elektronska pošta	electronic mail ; email ; e-mail
elektronski material	electronic material
elektronski odpadki	electronic scrap
predpis o elektronskih odpadkih	electronic scrap regulation
elektronika	electronics
elektrosmog	electrosmog
elektrotehnična oprema	electrotechnical equipment
elektrotehnična industrija	electrotechnical industry
element skupine 0	element of group 0 ; noble gas
element 2. skupine (zemljoalkalijske kovine) ; element 2. skupine ; zemljoalkalijske kovine	element of group II (alkaline earth metals) ; alkaline earth metal ; element of group II
element 3. skupine	element of group III
element 4. skupine	element of group IV
element 5. skupine	element of group V
element 6. skupine	element of group VI
element 7. skupine	element of group VII ; halogen
emancipacija	emancipation
veleposlaništvo	embassy ; diplomatic mission
zarodek	embryo
embriogeneza, razvoj zarodka	embryogenesis
zakon o izrednih razmerah	emergency law
načrt ravnanja v izrednih razmerah	emergency plan
pomoč v izrednih razmerah	emergency relief
zatočišče/zavetišče za ljudi v izrednih razmerah	emergency shelter
emisija	emission
omejevanje emisij	emission control
podatki o emisijah	emission data
emisijski faktor	emission factor
predvidevanje emisij	emission forecast
zmanjšanje emisij	emission reduction
beleženje zmanjšanja emisij (trgovanje z emisijami)	emission reduction banking
register emisij	emission register
stanje na področju emisij	emission situation
emisijski vir	emission source
emisijski standard	emission standard
emisije v vodo	emission to water
zaposlitev, služba	employment
poklic ; zaposlitev	employment ; employment ; job ; job ; occupation ; work ; work
zaposlenost in okolje	employment and environment
učinek stopnje zaposlenosti	employment level effect
zaposlitvena struktura	employment structure
prazen	empty
emulgiranje	emulsification
emulzija	emulsion
enkapsulacija	encapsulation
enciklopedija	encyclopaedia
tehnologija odpravljanja posledic	end-of-pipe technology
ogrožena živalska vrsta	endangered animal species
ogrožena rastlinska vrsta	endangered plant species
endemična vrsta	endemic species
endokrini sistem	endocrine system
endokrinologija	endocrinology
sovražnik	enemy
energija	energy
energijska bilanca	energy balance
poraba energije	energy consumption
pretvorba energije	energy conversion
energetske potrebe	energy demand
izguba energije	energy dissipation
sistem za distribucijo energije	energy distribution system
energetika	energy economics
energijska učinkovitost	energy efficiency
energetika	energy industry
energetska zakonodaja	energy legislation
gospodarjenje/upravljanje z energijo	energy management
energetski trg	energy market
energetska politika	energy policy
energetski proces	energy process
proizvodnja energije	energy production
energetski vir, vir energije	energy resource
varčevanje z energijo	energy saving
energetski vir, vir energije	energy source
energetski vir	energy source material
energetske zaloge	energy storage
oskrba z energijo	energy supply
energetska tehnologija	energy technology
vrsta energije	energy type
izkoriščanje energije	energy utilisation ; energy use
izvršitev, uveljavitev ; izvršitev ; uveljavitev	enforcement
stroj, motor	engine
inženirstvo	engineering
inženirsko delo	engineering work
politika širitve	enlargement policy
program širitve	enlargement programme
obogateni uran	enriched uranium
obogatitev	enrichment
enterovirus	enterovirus
okolje	environment
okolju prijazen	environment friendly
okoljski trg	environment market
okoljska nezgoda/nesreča	environmental accident
okoljsko računovodstvo	environmental accounting
upravna inštitucija/organ za okolje ; upravna inštitucija ; organ za okolje	environmental administration institution
okoljska analiza	environmental analysis
zaskrbljenost zaradi stanja okolja	environmental anxiety
okoljski vidik naselij	environmental aspect of human settlements
okoljska presoja/ocena	environmental assessment
kriterij okoljske presoje/ocene	environmental assessment criterion
okoljski pregled	environmental auditing
okoljska ozaveščenost	environmental awareness
spremembe v okolju	environmental change
zakonodaja, ki ureja prisotnost kemikalij v okolju	environmental chemicals legislation
okoljska kemija	environmental chemistry
okoljsko državljanstvo	environmental citizenship
okoljska neoporečnost	environmental compatibility
okoljska posledica	environmental consequence
ohranjanje okolja	environmental conservation
načrt ravnanja v primeru ekoloških nesreč	environmental contingency planning
ukrepi za varstvo okolja	environmental control
okoljski stroški	environmental cost
okoljski kriminal	environmental crime
okoljsko kazensko pravo	environmental criminal law
okoljski kriminal	environmental criminality
okoljski kriterij	environmental criterion
okoljska kultura	environmental culture
škoda, povzročena v okolju, okoljska škoda	environmental damage
podatki o okolju	environmental data
razvoj na področju varstva okolja	environmental development
ekonomsko vrednotenje/ocena (na področju varstva okolja)	environmental economic valuation
okoljska ekonomija/ekonomika	environmental economics
okoljska ekonomika podjetij	environmental economics of firms
okoljskogospodarska vprašanja	environmental economy issue
okoljsko izobraževanje	environmental education
okoljsko inženirstvo	environmental engineering
podjetje za okoljsko svetovanje	environmental enterprise
okoljska etika	environmental ethics
sonaravna preskrba	environmental friendly procurement
okoljski sklad	environmental fund
okoljsko tveganje	environmental hazard
higiena okolja	environmental health
okoljsko zdravstveno tveganje	environmental health hazard
ocena vplivov okolja na zdravje	environmental health impact assessment
varovanje zdravja pred vplivi okolja	environmental health protection
okoljska zgodovina	environmental history
vpliv na okolje	environmental impact
vpliv kmetijstva na okolje	environmental impact of agriculture
vpliv akvakulture na okolje	environmental impact of aquaculture
vpliv energetike na okolje	environmental impact of energy
vpliv ribištva na okolje	environmental impact of fishing
vpliv gozdarstva na okolje	environmental impact of forestry
vpliv gospodinjstev na okolje	environmental impact of households
vpliv industrije na okolje	environmental impact of industry
vpliv rekreacije na okolje	environmental impact of recreation
vpliv turizma na okolje	environmental impact of tourism
vpliv prometa na okolje	environmental impact of transport
poročilo o vplivih na okolje	environmental impact statement
študija vplivov na okolje	environmental impact study
okoljska spodbuda	environmental incentive
seznam okoljske literature	environmental index
okoljski kazalec, okoljski indikator	environmental indicator
dejavnosti za varstvo okolja	environmental industry
okoljska informatika	environmental informatics
okoljske informacije	environmental information
mreža okoljskih informacij	environmental information network
okoljski informacijski sistem	environmental information system
okoljska naložba	environmental investment
zakon s področja varstva okolja	environmental law
uveljavljanje okoljske zakonodaje	environmental law enforcement
okoljska zakonodaja	environmental legislation
okoljska zakonodaja na področju kmetijstva	environmental legislation on agriculture
okoljski zakonodajni proces	environmental legislative process
okoljska odgovornost	environmental liability
okoljska licenca (trgovanje z emisijami)	environmental licence
ravnanje z okoljem	environmental management
okoljska medicina	environmental medicine
okolju neustrezno ravnanje	environmental misconduct
okoljski monitoring, spremljanje stanja v okolju	environmental monitoring
hrup okolja	environmental noise
poklic na področju varstva okolja	environmental occupation
zaznavanje okolja	environmental perception
načrt varstva okolja	environmental plan
okoljsko načrtovanje	environmental planning
okoljska politika ; politika varstva okolja, okoljska politika	environmental policy
inštrument okoljske politike	environmental policy instrument
onesnaženje okolja	environmental pollution
okoljska prioriteta	environmental priority
reševanje okoljskih problemov	environmental problem solving
okoljski program	environmental programme
varovanje/zaščita okolja	environmental protection
agencija/urad za varstvo okolja ; agencija za varstvo okolja ; urad za varstvo okolja	environmental protection agency
društvo za varstvo okolja	environmental protection association
stroški varstva okolja	environmental protection cost
ukrepi za varstvo okolja v podjetju	environmental protection in the enterprise
odredba/uredba o varstvu okolja	environmental protection order
organizacija za varstvo okolja	environmental protection organisation
predpisi s področja varstva okolja	environmental protection regulation
okolju primerna tehnologija	environmental protection technology
okoljska psihologija	environmental psychology
kakovost okolja	environmental quality
kriterij kakovosti okolja	environmental quality criterion
cilj kakovosti okolja	environmental quality objective
standard/normativ zdravega življenjskega okolja	environmental quality standard
okoljsko poročilo	environmental report
okoljska raziskava/študija	environmental research
okoljsko tveganje	environmental risk
ocena okoljskega tveganja	environmental risk assessment
okoljska znanost	environmental science
okoljska varnost	environmental security
okoljska banka vzorcev/primerkov	environmental specimen bank
okoljska ocena (okoljski pregled) ; okoljski pregled ; okoljska ocena	environmental statement (eco-audit) ; environmental statement ; eco-audit
statistični podatki o okolju	environmental statistics
okoljska borza	environmental stock exchange
presoja vplivov na okolje	environmental study
okoljska subvencija	environmental subsidy
okolju prijazna arhitektura	environmental sustainable architecture
okoljski davek	environmental tax
okoljsko izobraževanje	environmental teaching
okoljska tehnologija	environmental technology
okoljska terminologija	environmental terminology
okoljsko usposabljanje, usposabljanja na področju varstva okolja	environmental training
okoljska/ekološka vojna	environmental warfare
teorija o okolju	environmentalism
okolju nevarna snov	environmentally dangerous substance
sonaravno ravnanje z okoljem	environmentally friendly management
okolju primeren (sonaraven) izdelek	environmentally friendly product
z okoljem povezana bolezen	environmentally related disease
odgovorno vedenje do okolja	environmentally responsible behaviour
okolju neprilagojeno podjetje	environmentally unfriendly firm
encim	enzyme
epicenter	epicentre
epidemija	epidemic
epidemiologija	epidemiology
enačba	equation
ekvator	equator
ekvatorialno podnebje	equatorial climate
konji (Equidae)	equine
oprema	equipment
ekvivalentna doza	equivalent dose
erbij	erbium
ergonomija	ergonomics
erozija	erosion
preprečevanje erozije	erosion control
oddaja nepremičnine v najem	estate rental
ocena	estimate
biologija rečnih ustij	estuarine biology
zavarovano območje rečnega ustja	estuarine conservation area
rečno ustje, estuar	estuary
onesnaženje rečnih ustij	estuary pollution
jedkanje	etching
jedka snov, jedkovina	etching substance
etanol	ethanol
eter	ether
etika, morala ; etika ; morala	ethics
etnologija	ethnology
etologija	ethology
evropij	europium
evtrofikacija	eutrophication
vrednotenje	evaluation
kriterij vrednotenja	evaluation criterion
metoda vrednotenja	evaluation method
vrednotenje tehnologije	evaluation of technology
izhlapevanje, evaporacija	evaporation
evapotranspiracija	evapotranspiration
razvoj, evolucija	evolution
eksaktna veda/znanost	exact science
(izkopana) jama ; jama	excavated hole
izkopavanje, izkop (proces) ; izkopavanje ; izkop	excavation (process) ; excavation ; earthworks ; digging
kup (izkopanega materiala)	excavation heap
pobočje izkopa	excavation side
mesto izkopa	excavation site
izredni davek, izredna dajatev	exceptional tax
previsoki dimniki	excessive height of chimney stacks
trgovinska politika	exchange policy
izvršna odredba/uredba	executive order
izpuh	exhaust device
izpušni plin	exhaust gas
predstavitev, razstava	exhibit
obstoječa kemikalija	existing chemical
tujerodne vrste	exotic species
izdatek, odhodek, (s stroški povezana) poraba ; izdatek ; odhodek ; poraba	expenditure
poskus, eksperiment	experiment
eksperimentalna študija/raziskava	experimental study
ekspertni sistem	expert system
črpanje podtalnice	exploitation of underground water
raziskovanje, preučevanje	exploration
eksplozija	explosion
razstrelivo, eksploziv	explosive
izvoz	export
izvozno dovoljenje	export licence
izvoz nevarnih odpadkov	export of hazardous wastes
izpostavljenost	exposure
razlastitev	expropriation
ekstenzivna živinoreja	extensive cattle farming
zunanji stroški	externality
izumrle vrste	extinct species
izumrtje	extinction (ecological) ; extinction
izlužitev, ekstrakcija ; izlužitev ; ekstrakcija	extraction
ekstraktivna industrija	extractive industry
oko	eye
obrv	eyebrow
tkanina, blago ; blago ; tkanina	fabric
tržni dejavnik	factor market
farmska reja	factory farming
fekalna bakterija	faecal bacterium
usedanje	fallout
površine v prahi	fallow area
družina	family
družinsko pravo	family law
načrtovanje družine	family planning
lakota	famine
farma ; kmetija	farm
živina na kmetiji	farm animal
kmečka hiša	farm building
cena kmetijskega proizvoda/storitve	farm price
kmetijska tehnika	farming technique
hitri reaktor	fast reactor
hitri promet	fast traffic
prelom	fault
živalstvo, favna ; živalstvo ; favna	fauna
ponovna vzpostavitev naravnega stanja	fauna restoration
zvezna uprava, upravni organ	federal authority
zvezna vlada	federal government
zvezni zakon	federal law
plačilo (za storitev), honorar ; plačilo ; honorar	fee
hranjenje/krmljenje živali	feeding of animals
zavest o naravi	feeling for nature
mačke (Felidae) ; mačke	felid
ženska	female ; woman
nizko barje	fen
fermentacija	fermentation
praprot	fern
trajekt	ferry
umetno gnojilo	fertiliser
zakon o uporabi umetnih gnojil	fertiliser law
vlakno	fibre
stekleno vlakno	fibreglass
polje	field ; land ; land ; acre ; patch
škoda na polju	field damage
terenski poskus, poskus na terenu	field experiment
terenska študija	field study
polnilo	filling material
bencinska črpalka	filling station
film	film
filter	filter
filtrna pogača	filter cake
filtriranje	filtration
dokončno uskladiščenje	final storage
denarna sredstva, finance, denarno gospodarstvo/poslovanje	finances
finančna pomoč	financial aid
finančna podpora, finančna pomoč	financial assistance
finančna izravnava ; finančna kompenzacija ; finančno nadomestilo	financial compensation
finančni prispevek	financial contribution
finančni sklad	financial fund
finančni inštrument	financial instrument
zakon o financah	financial law
finančno gospodarjenje	financial management
finančni trg	financial market
financiranje	financing
globa, denarna kazen ; globa ; denarna kazen	fine
drobni prah	fine dust
prst ; prst	finger
ogenj, požar ; požar ; ogenj	fire
protipožarni varnostni ukrepi	fire precaution
varstvo pred požari	fire protection
požarna varnost	fire safety requirement
požarna služba	fire service
ognjevzdržna/negorljiva snov	fireproofing agent
žganje	firing
podjetje, firma ; podjetje ; firma	firm ; corporation ; enterprise ; company ; venture
riba	fish
ribja bolezen	fish disease
ribogojstvo	fish farming
pomor rib	fish kill
ribje zaloge	fish stock
strupenost rib	fish toxicity
upravljanje na področju ribištva in predelave rib	fisheries management
ribolovna struktura	fisheries structure
ribištvo ; ribištvo in predelava rib	fishery
ribolovna ekonomija	fishery economics
ribolovna politika	fishery policy
ribji viri	fishery resource
ribolov	fishing
ribolovno območje	fishing ground
ribiška industrija	fishing industry
zakon o ribištvu	fishing law
ribolovno dovoljenje	fishing licence
ribolovni rezervat	fishing preserve
ribiška ladja	fishing vessel
vodovodna napeljava	fitting (plumbing) ; fitting ; plumbing equipment ; plumbing fixtures
zastava ugodnosti	flag of convenience
gorljiv izdelek	flammable product
sežig odpadnih plinov	flaring
ekstrakt, začimba, dišava	flavouring
bolha	flea
fleksibilen pristop k varstvu okolja	flexible approach to environmental protection
kremen	flint ; flintstone
flokulant	flocculant
flokulacija	flocculation
poplava	flood
preprečevanje poplav	flood control
napovedovanje poplav	flood forecast
varstvo pred poplavami	flood protection
poplavni odtok	flood runoff
poplavljanje	flooding
rastlinstvo, flora	flora (biology) ; flora
rastlinstrvo, flora (dokument)	flora (document) ; flora
vzpostavitev prvotne vegetacije	flora restoration
flotacija	flotation
tok	flow
tokovno polje	flow field
cvet	flower ; bloom ; blossom
cvetnica	flowering plant
tekoča voda	flowing water
izpušni plin	flue gas
fluidika	fluidics
vrtinčenje	fluidisation
zvrtinčena plast	fluidised bed
fluoriranje	fluoridation
fluor	fluorine
izpiranje	flushing
rečni vir pitne vode	fluvial resource
elektrofiltrski pepel	fly ash
penilo	foaming agent
živinska krma	fodder ; provender ; forage
krmna rastlina	fodder plant
megla	fog
listje	foliage
ljudski običaji	folk tradition
folklora	folklore
hrana	food
živilski aditiv	food additive
prehranjevalna veriga	food chain
trgovina s hrano	food commerce
zastrupitev hrane	food contamination
prehrambna higiena	food hygiene
prehrambna industrija	food industry
obsevanje hrane	food irradiation
onesnaževalo živil	food pollutant
konzerviranje hrane	food preservation
živilskopredelovalna industrija	food processing industry
(kmetijsko) pridelovanje hrane, proizvodnja hrane ; proizvodnja hrane ; pridelovanje hrane	food production (agriculture) ; food production
kakovost hrane	food quality
potreba po hrani	food requirement
veda o živilih	food science
državne rezerve hrane	food storage
prehrambna tehnologija	food technology
prevoz hrane	food transport
živilo	foodstuff
steza, pot	footpath
zastrupljanje/kontaminacija krme	forage contamination
krmne rastline	forage crop
zakon o krmi	forage law
brod	ford
napoved, predvidevanje	forecast
sodna razglasitev zapadlosti hipoteke	foreclosure
mednarodni ekonomski odnosi	foreign economic relations
zunanja politika	foreign policy
zunanja trgovina/menjava	foreign trade
gozd	forest
gozdni biološki rezervat	forest biological reserve
uničevanje gozdov	forest cover destruction
škoda v gozdovih	forest damage
propadanje gozdov	forest deterioration
ekologija gozda	forest ecology
gozdni ekosistem	forest ecosystem
izkoriščanje gozda	forest exploitation
gozdni požar	forest fire
gozdarstvo	forest industry
gospodarjenje z gozdovi	forest management
gozdni škodljivec	forest pest
gozdarska politika	forest policy
gozdni proizvod	forest product
pridobivanje gozdnih proizvodov	forest production
varstvo gozdov	forest protection
gozdni rezervat	forest reserve
gozdni vir	forest resource
gozdarstvo	forestry
gozdarska ekonomija	forestry economics
zakon o gozdarstvu	forestry law
gozdarska zakonodaja	forestry legislation
gozdarske aktivnosti	forestry practice
gozdarska enota	forestry unit
vilice	fork
oblika vladavine, politična ureditev	form of government
odpravnik, špediter	forwarding agent
fosil	fossil
fosilno gorivo	fossil fuel
obraščanje (ladijskih trupov)	fouling growth
vodnjak	fountain
štiritaktni motor	four stroke engine
okvirna zakonodaja	framework legislation
francij	francium
prosti pretok kapitala	free movement of capital
prosta trgovina	free trade
svoboda	freedom
svoboda	freedom ; liberty
prevoz/transport blaga	freight transport
freon	freon
sladka voda	freshwater
poslabšanje kakovosti sladke vode	freshwater degradation
sladkovodni ekosistem	freshwater ecosystem
sladkovodni organizem	freshwater organism
onesnaženje sladke vode	freshwater pollution
sladkovodni vir	freshwater resource
žaba (Ranidae) ; žaba	frog
slana	frost
sadež, sadje ; sadež ; sadje	fruit
sadjarstvo	fruit cultivation
sadno drevo	fruit tree
gorivo	fuel
dodatek gorivu	fuel additive
pogonski alkohol	fuel alcohol
kemična sestava goriva	fuel composition
poraba goriva	fuel consumption
kurilno olje	fuel oil
rezervoar za gorivo	fuel tank installation
les za kurjavo, drva	fuel wood
poln	full
dim	fume
zaplinjevanje	fumigation
funkcionalna snov	functional substance
fungicid	fungicide
goba	fungus
kožuh, kožuhovina	fur
kožuhar	fur animal
furan	furan
peč	furnace
oprema ; pohištvo, oprema ; pohištvo	furniture
pohištvena industrija, industrija pohištva	furniture industry
krznarstvo	furriery
gadolinij	gadolinium
žolčnik	gallbladder
kure (Galliformes)	gallinacean
galij	gallium
galvanizacija	galvanisation
igra	game
lovski plen	game
sevanje gama	gamma radiation
garaža	garage
vrt	garden
vrtni odpadki	garden waste
plin	gas
plinska kromatografija	gas chromatography
plinarna	gas company
plinski motor	gas engine
utekočinjenje plina	gas liquefaction
plinska mešanica	gas mixture
plinovodno omrežje	gas network
plinovod	gas pipeline
plinska elektrarna	gas powered plant
čiščenje dimnih plinov	gas purification
plinski rezervoar	gas reservoir
oskrba s plinom	gas supply
plinasto onesnaževalo zraka	gaseous air pollutant
plinasto stanje	gaseous state
uplinjanje	gasification
mešanica bencina in alkohola	gasohol
bencinski motor	gasoline engine
polži (Gastropoda)	gastropod
plinarna	gaswork
gen	gene
rodoslovje	genealogy
splošno	general
splošna upravna odredba	general administrative order
splošna kemija	general chemistry
splošna izobrazba	general education
genska raznovrstnost	genetic diversity
vpliv na gene	genetic effect
gensko inženirstvo	genetic engineering
zakonodaja o genskem inženirstvu	genetic engineering legislation
genske informacije	genetic information
gensko spreminjanje	genetic modification
genski fond	genetic pool ; gene pool
genski vir	genetic resource
genska sprememba	genetic variation
gensko spremenjeni organizem	genetically modified organism
genetika	genetics
genotoksičnost	genotoxicity
geolocirani podatki	geo-referenced data
geolocirane (georeferencirane) informacije	geo-referenced information
geodezija	geodesy
geogeni dejavnik	geogenic factor
geografski informacijski sistem	geographic information system
geografska razporeditev prebivalstva	geographical distribution of population
kartografska projekcija	geographical projection
geografija	geography
geološka katastrofa	geological disaster
geološki proces	geological process
geologija	geology
geometrični popravek	geometric correction
geomorfološki proces	geomorphic process
geomorfologija	geomorphology
geofizikalno okolje	geophysical environment
geofizika	geophysics
geotehnika	geotechnics
geotehnologija	geotechnology
geotermalna energija	geothermal energy
mikrob	germ
dednina	germ plasm
germanij	germanium
kalitev, klitje ; kalitev ; klitje	germination
žirafa	giraffe
ledenik	glacier
glaciologija	glaciology
žleza	gland
steklo	glass
industrija steklenih izdelkov	glass industry
poledica	glaze
globalni vidik	global aspect
svetovno srečanje, svetovni sporazum	global convention
globalni/svetovni model	global model
segrevanje ozračja	global warming
slovar, slovarček, glosar	glossary
lepilo	glue
cilj podjetja	goal of individual economic business
zlato	gold
golf	golf
gong	gong
gonoreja	gonorrhea
dobro gospodarjenje/upravljanje	good management
blago, izdelki ; blago ; izdelki	goods
blago in storitve	goods and services
gos	goose
vlada (kabinet)	government (cabinet)
svetovalni organ vlade	government advisory body
vladna stavba/palača, sedež vlade	government building
odgovornost vlade	government liability
vladna politika	government policy
žito	grain
žito	graminaceous plant
slovnica	grammer ; grammar
granulometrija	granulometry
trava	grass
traviščni požar	grass fire
kobilica	grasshopper
travišče	grassland
prod, gramoz ; prod ; gramoz	gravel
pridobivanje gramoza	gravel extraction
gramoznica	gravel pit
graviton	graviton
paša	grazing
ekohiša	green building
zeleni koridor	green corridor
podorina	green manure
zelena revolucija	green revolution
zelene površine	green space
zelena plima	green tide
zelenjava	green vegetable
gojenje rastlin v rastlinjakih	greenhouse cultivation
učinek tople grede	greenhouse effect
toplogredni plin	greenhouse gas
mreža	gridding
drobljenje ; mletje	grinding
bruto nacionalni/narodni proizvod	gross national product
podtalnica	groundwater
ogrožanje podtalnice	groundwater endangering
črpanje podtalnice	groundwater extraction
onesnaženje podtalnice	groundwater pollution
varstvo podtalnice, varovanje podtalnice	groundwater protection
kakovost podtalnice	groundwater quality
skupinsko vedenje	group behaviour
zaliv, rokav	gulf
galeb	gull
golosemenke (Gymnospermae)	gymnosperm
sadra	gypsum
habitat, življenjski prostor ; življenjski prostor ; habitat	habitat
uničenje habitata	habitat destruction
hematologija	haematology
hafnij	hafnium
haiku	haiku
toča	hail
razpolovna doba	half-life
haloform	haloform
halogeniran bifenil	halogenated biphenyl
halogenirana spojina	halogenated compound
halogeniran ogljikovodik	halogenated hydrocarbon
halogeniran fenol	halogenated phenol
halogenirano onesnaževalo	halogenated pollutant
rokodelstvo, obrt	handicraft
rokodelska/obrtna dejavnost	handicraft business
robec	handkerchief
pristanišče, luka ; pristanišče ; luka	harbour
problematični odpadki	hard-to-dispose-of waste
trdota	hardness
uskladitev zakonodaje	harmonisation of law
pridelek ; pridelek, žetev ; žetev	harvest
nevarnost	hazard
območje tveganja	hazard area
nevarnost zaradi onesnaževal	hazard of pollutants
izvoz nevarnih kemikalij	hazardous chemical export
nevarna snov	hazardous substance
zakonodaja o nevarnih snoveh	hazardous substances legislation
nevarni odpadki	hazardous waste
odlagališče nevarnih odpadkov	hazardous waste dump
nevarna snov	hazardous working material
meglica	haze
rt	headland
ozara	headland
zdravje	health
zdravstveno varstvo	health care
zdravstveno varstvo	health care profession
vpliv hrupa na zdravje	health effect of noise
zdravstvena služba ; zdravstveni dom	health facility
nevarnost za zdravje	health hazard
zdravstvena zakonodaja	health legislation
zdravstveni predpisi	health regulation
zdravstvena storitev	health service
razmerje med zdravjem in okoljem	health-environment relationship
biotehnologija za zdravje	health-related biotechnology
sluh	hearing
ostrina sluha	hearing acuity
slušna okvare, slušne motnje	hearing impairment
zaslišanje, obravnava	hearing procedure
varovanje sluha	hearing protection
slušni sistem	hearing system
toplota	heat
termoelektrarna-toplarna	heat and power station
toplotna črpalka	heat pump
skladiščenje toplote	heat storage
oskrba s toploto	heat supply
grelec	heater
resava	heathland
ogrevanje	heating
toplarna	heating plant
promet/transport težkih tovornjakov	heavy goods vehicle traffic
težka kovina	heavy metal
obremenitev s težkimi kovinami	heavy metal load
živica, živa meja	hedge
jež	hedgehog
helikopter	helicopter
helij	helium
herbicid	herbicide
rastlinojed, herbivor ; rastlinojed ; herbivor	herbivore ; plant eater
čaplja	heron
heterociklična spojina	heterocyclic compound
visoka gora	high mountain
plima	high tide water
visokonapetostni vod	high voltage line
visoka zgradba	high-rise building
hitra železnica	high-speed railway
hitri vlak	high-speed train
višje in visokošolsko izobraževanje	higher education
avtocesta ; avtomobilska cesta, avtocesta ; avtomobilska cesta	highway
pešpot	hiking trail
staro mestno jedro	historic centre
zgodovinski razvoj	historical evolution
zgodovinski spomenik	historical monument
zgodovinska raziskava	historical research
zgodovinski kraj	historical site
zgodovina	history
dopust ; počitnice ; praznik ; prost dan	holiday ; opor-garai
počitniški tabor, počitniško naselje	holiday camp
holmij	holmium
hiša	home ; home ; house
hišni vrt	home garden
homeostaza	homeostasis
domača stran	homepage
homologacija	homologation
med	honey
upanje	hope
obzorje	horizon
hormon	hormone
konj	horse
vrtnarstvo, hortikultura	horticulture
bolnišnica ; klinika	hospital ; clinic
