Norwegian	﻿English
basisitet	basicity
basidiomycete	basidiomycete
faunaforringelse (etter artsinnføring)	bastardisation of fauna
floraforringelse (etter artsinnføring)	bastardisation of flora
diskontinuerlig prosess	batch process
ferskvann til bading	bathing freshwater
sjøvann til bading	bathing seawater
badevann	bathing water
batteri	battery
batteridisponering	battery disposal
bukt	bay
strand	beach
strandrensing	beach cleansing
munn	beak ; mouth
bever	beaver
bie	bee
bivern	bee conservation
kjøttkveg	beef cattle
bikube	beehive
øl	beer
bille	beetle
atferd (biologi) ; atferd	behaviour
stoffegenskap	behaviour of substances
atferdsmønster	behaviour pattern
atferdsvitenskap	behavioural science
nyttbar organisme	beneficial organism
bentisk område	benthic division
bentos	benthos
benzen	benzene
benzopyren	benzopyrene
berkelium	berkelium
beryllium	beryllium ; glucinium
betastråling	beta radiation
drikkevare ; drikke	beverage ; drink
drikke	beverage ; drink
drikkevareindustri	beverage industry
bibliografisk informasjon	bibliographic information
bibliografisk informasjonssystem	bibliographic information system
bibliografi	bibliography
sykkel	bicycle ; bike ; cycle
storvilt	big game
bilateral konvensjon	bilateral convention
galle	bile
sumpolje	bilge oil
bunnvann (skip)	bilge water
biologisk tilgjengelighet	bio-availability
bioakkumulering	bioaccumulation
biologisk akkumulerende forurensende stoff	bioaccumulative pollutant
biokjemisk metode	biochemical method
biokjemisk oksygenforbruk	biochemical oxygen demand
biokjemisk prosess	biochemical process
biokjemisk stoff	biochemical substance
biokjemi	biochemistry
biocid	biocide
bioklimatologi	bioclimatology
biocønose	biocoenosis
biokonsentrasjonsfaktor	bioconcentration factor
biologisk nedbrytbarhet	biodegradability
biologisk nedbrytbart forurensende stoff	biodegradable pollutant
biologisk nedbryting	biodegradation
biologisk mangfold	biodiversity
bioetikk	bioethics
biologisk filtrering	biofiltration
biobrensel	biofuel
biogass	biogas
biogeokjemisk kretsløp	biogeochemical cycle
biogeografisk område	biogeographical region
biogeografi	biogeography
biologisk analyse	biological analysis
biologisk egenskap	biological attribute
biologisk kontaminering	biological contamination
biologisk kretsløp	biological cycle
biologisk utvikling	biological development
biologisk virkning	biological effect
biologisk virkning av forurensning	biological effect of pollution
bioteknikk	biological engineering
biologisk arv	biological heritage
biologisk indikator	biological indicator
biologisk overvåking	biological monitoring
biologisk bekjemping	biological pest control
forurensende biologisk stoff	biological pollutant
biologisk forurensning	biological pollution
biologisk prosess	biological process
biologisk produksjon	biological production
biologisk reservat	biological reserve ; wildlife reserve
biologisk ressurs	biological resource
biologisk testing	biological test
biologisk rensing	biological treatment
biologisk avgassrensing	biological waste gas purification
biologisk avfallsbehandling	biological waste treatment
biologisk avløpsvannbehandling	biological wastewater treatment
vannbalanse (biologi)	biological water balance
biologisk våpen	biological weapon
biologi	biology ; biological science
bioluminescens	bioluminescence
biomarkør	biomarker
biomasse	biomass
bioenergi	biomass energy
biom	biome
biofysikk	biophysics
bioreaktor	bioreactor
biorytme	biorhythm
biosikkerhet	biosafety
biosfære	biosphere
biosfærisk reservat	biosphere reserve
biosyntese	biosynthesis
bioteknologisk fare	biotechnological hazard
bioteknologi	biotechnology
biotisk faktor	biotic factor
biotisk indeks	biotic index
biotop	biotope
biotopnettverk	biotope network
biotopforordning	biotope order
biotopvern	biotope protection
fugl	bird
rovfugl	bird of prey
fuglereservat	bird sanctuary
fugleart	bird species
fødsel	birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition
barnebegrensning	birth control
fødselsdag	birthday
biskop	bishop
vismut	bismuth
bitumen	bitumen
mørk	black ; dark
steinkull	black coal ; black coal ; black coal ; anthracite coal
svarttrost	blackbird
masovn	blast furnace
blekemiddel	bleaching agent
blekekalk	bleaching clay
blekeprosess	bleaching process
blogg	blog ; weblog ; web log
blod	blood
blodplasma	blood plasma
blå	blue
blågrønnalge	blue-green alga ; cyanobacteria
båt	boat
båtsport	boating
bocage	bocage
myr	bog
bohrium	bohrium
kjele	boiler
kokepunkt	boiling point
bonsai	bonsai
bok	book
bokføring	bookkeeping
grense	border
bor	boron
botanisk vinterhage	botanical conservatory
botanisk hage	botanical garden
botanikk	botany ; phytology
flaskekapsel	bottle cap
grensekrysning	boundary crossing
grenselag	boundary layer
bue ; boge	bow
gutt	boy
brakkvann	brackish water
gren	branch
næringsgren	branch of activity
frokost	breakfast
morsmelk	breast milk
avl	breeding
hekkefugl	breeding bird
avlsmetode	breeding technique
murstein	brick
bru	bridge
lauvtre	broad-leaved tree
videre begrep	broader term ; broader terms ; hypernym ; holonym
brom	bromine
ruging	brooding
bekk	brook
buskvegetasjon	brushwood
mose	bryophyte
boblepolitikk	bubble policy (emissions trading) ; bubble policy
budsjett	budget
budsjettpolitikk	budget policy
tege	bug ; põrnikas
bygg og anlegg ; bygning	building
byggeområde	building area
bygningselement	building component
bygningsødeleggelse	building destruction
byggevirksomhet	building industry
tomtområde	building land
bygningsmateriale	building material
byggevareindustri	building materials industry
byggetillatelse	building permit
byggeplanlegging	building planning
byggeforskrift	building regulation
sick building-syndromet	building related illness ; sick building syndrome
restaurering av bygninger	building restoration
bygningstjeneste	building service
byggeplass	building site
klargjøring av byggetomt	building site preparation
byggeteknikk	building technology
byggeavfall	building waste
konstruert dreneringssystem	built drainage system
konstruert miljø	built environment
byggverk	built structure
bebygd område	built-up area
løkdyrking	bulb cultivation
problemavfall	bulky waste
okse	bull
byråkrati	bureaucracy
byråkratisering	bureaucratisation
buss	bus ; coach
busstasjon	bus station
rydding av busker	bush clearing
forretningsaktivitet	business
forretningsaktivitet	business activity
næringsklassifisering	business classification
bedriftsøkonomi	business economics
forretningsorganisasjon	business organisation
forretningspolitikk	business policy
slakter	butcher
sommerfugl	butterfly
klitoris	button ; clit ; clitoris
knappcellebatteri	button-cell battery
innkjøp	buy ; purchase
bifangst	by-catch
biprodukt	by-product
kabel	cable
kadmium	cadmium
cesium	caesium
koffein	caffeine
kalsium	calcium
kalsiuminnhold	calcium content
beregning	calculation
beregningsmetode	calculation method
kalender	calendar
kaliber	caliber
kalibrering	calibration
californium	californium
kamel	camel
kamuflasje	camouflage
leir	camp ; military camp ; army camp ; campsite
camping	camping ; camping ground
campingplass	camping site
kanal (kunstig) ; kanal	canal
sluse	canal lock
kreft	cancer
kreftrisiko	cancer risk
hundedyr	canid
canyon	canyon
bil	car ; automobile
parkeringsplass	car park
bildekk	car tyre
karbohydrat	carbohydrate
karbon	carbon
karbondioksid	carbon dioxide
karbondioksidavgift	carbon dioxide tax
karbonmonoksid	carbon monoxide
karbonat	carbonate
kadaverdestruksjon	carcass disposal
kreftfremkallende stoff	carcinogen
kreftfremkallende egenskap	carcinogenicity
karsinogenitetsprøving	carcinogenicity test
kardinal	cardinal
kardiologi	cardiology
hjerte-karsykdom	cardiovascular disease
hjerte-karsystem	cardiovascular system
kjøtteter	carnivore
overføringseffekt	carry-over effect
kartografi	cartography
rettssak	case ; lawsuit ; trial
nytteplante	cash crop
katalyse	catalysis
katalysator	catalyst
katalytisk omformer	catalytic converter
katapult	catapult
katastrofe	catastrophe
fangstutbytte	catch yield
oppsamling	catchment
nedbørfelt	catchment area
kategori av truet art	category of endangered species
kation	cation
kvegdyr	cattle
årsaks-virkningsforhold	cause-effect relation
hule	cave
kaviar	caviar
sølibat	celibacy
celle ; celle	cell ; cell
celle	cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο
cellulose	cellulose
celluloseindustri	cellulose industry
sement	cement
sementindustri	cement industry
sementproduksjon	cement manufacture
folketelling	census survey
sentralregjering	central government
sentralt parkområde	central park area
sentralisering	centralisation
sentrifugering	centrifugation
blekksprut	cephalopod
keramikk	ceramics
keramisk industri	ceramics industry
cerium	cerium
sertifisering	certification
hval	cetacean
stol	chair
kritt	chalk
champagne	champagne
verdiendring	change in value
kanalisering	channelling
trekull	charcoal
kartproduksjon	chart
sjøkart	chart ; nautical chart
takk	cheers ; thank you ; thanks
gepard	cheetah ; chetah
Chelicerata	chelicerate
kjemisk stoff	chemical
tilsetning	chemical addition
kjemisk analyse	chemical analysis
kjemisk sammensetning	chemical composition
kjemisk kontaminering	chemical contamination
kjemisk korrosivitet	chemical corrosivity
kjemisk dekontaminering	chemical decontamination
grunnstoff	chemical element ; element
kjemisk nedfall	chemical fallout
kunstgjødsel	chemical fertiliser
kjemikalie i miljøet	chemical in the environment
kjemisk industri	chemical industry
kjemisk anlegg	chemical installation
kjemisk måling av forurensning	chemical measurement of pollution
kjemisk oksygenforbruk	chemical oxygen demand
kjemisk bekjemping	chemical pest control
kjemisk fabrikk	chemical plant
kjemipolitikk	chemical policy
forurensende kjemisk stoff	chemical pollutant
kjemisk forurensning	chemical pollution
kjemisk prosess	chemical process
kjemisk produkt	chemical product
kjemisk egenskap	chemical property
kjemisk reaksjon	chemical reaction
reduksjon	chemical reduction
kjemisk risiko	chemical risk
kjemisk struktur	chemical structure
kjemisk behandling	chemical treatment
kjemisk avfall	chemical waste
kjemisk våpen	chemical weapon
kjemikalielov	chemicals act
kjemisorpsjon	chemisorption
kjemi	chemistry
kirsebær	cherry
kastanje	chestnut
barn	child
pipe	chimney
skorsteinshøyde	chimney height
sjimpanse	chimpanzee
flaggermus	chiropteran
klorid	chloride
klorhydrokarbon	chlorinated hydrocarbon
klorering	chlorination
klor	chlorine
klorfenol	chlorophenol
klorofyll	chlorophyll
klorose	chlorosis
kolesterol	cholesterol
Chordata	chordate
artsgeografi	chorology
kromatografisk analyse	chromatographic analysis
kromatografi	chromatography
krom	chromium
gyldenbrunalge	chrysophyta
kirke	church
sigar	cigar
sigarett	cigarette
kinofilm	cinematographic film
rundskriv	circular mail
innbygger	citizen
miljøbevissthet i befolkningen	citizen awareness
borgerinitiativ	citizen initiative
borgerrettigheter	citizen rights
by	city
bykjerne	city centre
sivil lufttrafikk	civil air traffic
bygge- og anleggsteknologi	civil engineering
privatrett	civil law
offentlig sikkerhet	civil safety
vern av sivilbefolkning	civilian protection
erstatningskrav	claim for restitution
klassifisering	classification
leire	clay
område med ren luft	clean air area
miljøvennlig bil	clean air car
ren teknologi	clean technology
opprensing	cleaning up
renslighet	cleanliness
rengjøringsetat	cleansing department
opprensket slam	clearing sludge
klippe	cliff
klima	climate
klimavern	climate protection
klimaressurs	climate resource
klimatype	climate type
klimaendring	climatic alteration
klimaendring	climatic change ; climate change
klimatisk virkning	climatic effect
klimatisk forsøk	climatic experiment
klimasone	climatic zone
klimatologi	climatology
klimaks	climax
murvegetasjon	climbing plant (wall) ; climbing plant
sykdomsbilde	clinical symptom
kloning	cloning
nedleggelse	closing down
bedriftsnedleggelse	closing down of firm
klær	clothing ; apparel
bekledningsindustri	clothing industry
sky	cloud
samforbrenning	co-incineration
samarbeid	co-operation
samarbeidspolitikk	co-operation policy
samarbeidsprinsipp	co-operation principle
koordinatsystem	co-ordinate system
koordinering	co-ordination
koagulering	coagulation
kull	coal
kullindustri	coal industry
kullsmelting	coal liquefaction
kullgruvedrift	coal mining
kullforedling	coal refining
kullteknologi	coal technology
kullbasert energi	coal-based energy
kullkraftverk	coal-fired power plant
kyst	coast
vern av kyst	coast protection
kystområde	coastal area
kystutvikling	coastal development
kystøkosystem	coastal ecosystem
kystmiljø	coastal environment
kystfiske	coastal fishing
forurensning av kysten	coastal pollution
kystfarvann	coastal water
kystsoneplanlegging	coastal zone planning
kystvakt	coastguard
belegg	coating
kobolt	cobalt
kakerlakk	cockroach
kodeks	code
akseptert fremgangsmåte	code of practice
kodifisering	codification
polyppdyr	coelenterate
kraftvarmeproduksjon	cogeneration
koks	coke
kulde	cold
koliform bakterie	coliform bacterium
ås ; ås ; bakke ; berg ; berg	colina ; hill ; loma
kollektiv avløpsvannbehandling	collective wastewater treatment
kolloidal oppløsning	colloid
kolloidal form	colloidal state
kolonisering	colonisation
koloni	colony
farge ; farge ; farge	colour ; colour ; colo(u)r
fargesammensetning	colour composition
kolorimetri	colourimetry
colubridae	colubrid
kombinasjonsvirkning	combination effect
kombikraftverk	combined cycle-power station
fellessystem	combined sewer system
fellestransport	combined transport
avløp i fellessystem	combined waste water
brennbarhet	combustibility
forbrenningsmotor	combustion engine
brenngass	combustion gas
forbrenningsrest	combustion residue
næringsfiske	commercial fishery
handelsrett	commercial law
støy fra næringsaktivitet	commercial noise
næringstrafikk	commercial traffic
handelstransaksjon	commercial transaction
varebil	commercial vehicle
kommersialisering	commercialisation
felles regel	common agreement
felles landbrukspolitikk	common agricultural policy ; common agricultural policy of the EU
felles handelspolitikk	common commercial policy
felles tariffpolitikk	common tariff policy
kommunikasjon	communications
kommunikasjonsindustri	communications industry
kommunikasjonspolitikk	communications policy
kommunikasjonssystem	communications system
kommunisme	communism
fysisk fellesfasilitet	community facility ; public facility
fellesskapet-betaler-prinsipp	community-pays principle
pendlertrafikk	commuter traffic
komprimering	compaction
bedriftspolitikk	company policy
selskapsstruktur	company structure
sammenlignende rett	comparative law
komparativ test	comparative test
sammenligning	comparison
erstatning	compensation
skadeserstatning	compensation for damage
kompensasjonstiltak	compensatory measure
kompenserende avgift	compensatory tax
konkurranse	competition
konkurranselovgivning	competition law
opptaksprøve	competitive examination
konkurransedyktighet	competitiveness
kompleksdannelse	complex formation
kompleksdanner	complexing agent
blandet forurensning	composite pollution
befolkningssammensetning	composition of population
kompost	compost
komposterbart avfall	compostable waste
kompostering	composting
egenkompostering	composting by producer
kjemisk forbindelse	compound ; chemical compound
kompresjon	compression
kompressor	compressor
konsentrasjon	concentration
miljøbegrep	concept of environment
konsesjon	concession
betong	concrete
betongproduktindustri	concrete products industry
kondensering	condensation (process) ; condensation
ledningsevne	conductivity ; electrical conductivity
konferanse	conference
konflikt	conflict
målkonflikt	conflict of aims
interessekonflikt	conflict of interests
motstridende bruk	conflicting use
kongress	congress
bartre	conifer
barskog	coniferous forest
bartre	coniferous tree
konservering	conservation
minnesmerkebevaring	conservation of monuments
vernepolitikk	conservation policy
statsrett	constitutional law
kunstspråk	constructed language ; artificial language
anleggsutstyr	construction equipment
byggestøy	construction noise
byggepolitikk	construction policy
bygge- og anleggsteknologi	construction technology
konstruksjon med resirkulert materiale	construction with recycled material
anleggsarbeid	construction work
rådgivning	consultancy
samråd	consultation
forbrukeratferd	consumer behaviour
forbruksvare	consumer goods
forbrukergruppe	consumer group
forbrukerinformasjon	consumer information
konsumprodukt	consumer product
forbrukervern	consumer protection
konsumentavfall	consumer waste
konsum	consumption
forbruksmønster	consumption pattern
beholder	container
innkapsling (kjerneanlegg) ; innkapsling	containment (nuclear industry) ; containment
kontaminert jord	contaminated soil
kontaminering	contamination
kontinent	continent
innlandsklima	continental climate
kontinentalsokkel	continental shelf
etter- og videreutdanning	continuing education
kontinuerlig belastning	continuous load
kotepløying	contour farming
kontrakt	contract
kontrollmåling	control measure
kontrollert brenning	controlled burning
kontrollert jaktområde	controlled hunting zone
kontrollorgan	controlling authority
konurbasjon	conurbation
konvensjon (avtale)	convention
konvensjonell energi	conventional energy
kjøling	cooling
kjøleolje	cooling oil
kjøletårn	cooling tower
kjølevann	cooling water
kobber	copper
stubbeskog	coppice
stubbeskog med overstandere	coppice with standards
korall	coral
korallrev	coral reef
korallrevlagune	coral reef lagoon
kjernesmelte	core meltdown
kork	cork
korridor	corridor
korrosjon	corrosion
korrosjonshemmer	corrosion inhibitor
kosmetikkindustri	cosmetic industry
kosmisk stråling	cosmic radiation
kosmologi	cosmology
kostnad	cost
kostnadsøkning	cost increase
kostnadsreduksjon	cost reduction
kost-nytte	cost-benefit
nytte-kostnadsanalyse	cost-benefit analysis
bomull	cotton
staten	country ; nation ; state
hytte	country lodge
fylke	county
domstol	court
domstol	court of justice
vik	cove
tildekking	covering ; roofing
håndverk	craft ; arts and crafts
kreativitet ; skaperevne	creativity ; inventiveness
kreditt	credit
kreditthjelp	credit assistance
kredittpolitikk	credit policy
bekk	creek
lovbrudd	crime
strafferett	criminal law
strafferettsprosedyre	criminal law procedure
straffeansvar	criminal liability
kriminalitet	criminality
krisehåndtering	crisis management
kritisk nivå	critical level
kritisk last	critical load
krokodille	crocodile
matplanteproduksjon	crop production
avlingsvern	crop protection
vekselbruk	crop rotation
behandling av avling	crop treatment
passeringssted	crossing place
passeringssted for dyr	crossing place for animals
råolje	crude oil
cruisefart	cruising
krepsdyr	crustacean
sporeplante	cryptogam
krystallisering	crystallisation
krystallografi	crystallography
kulturplante	cultivated plant
dyrking	cultivation ; tillage
dyrkingsmetode	cultivation method
dyrking av jordbruksareal	cultivation of agricultural land
dyrkingssystem	cultivation system
kulturell utvikling	cultural development
kulturinstitusjon	cultural facility
kulturarv	cultural heritage
kulturell indikator	cultural indicator
kulturpolitikk	cultural policy
kultur	culture
curium	curium
valuta	currency
pensum	curriculum
tollvesen	customs
tollregulering	customs regulation
tollsats	customs tariff
hugst	cutting
stikling	cutting ; cutting (vegetative propagation)
cyanat	cyanate
cyanid	cyanide
sykkelsti	cycle path
syklon	cyclone
cytologi	cytology
cytotoksisitet	cytotoxicity
melkeproduksjon	dairy farm
meieriindustri	dairy industry
melkeprodukt	dairy product
dam	dam
damdrenering	dam draining
skade	damage
skadevurdering	damage assessment
skade etter militærøvelse	damage from military manoeuvres
skadeforsikring	damage insurance
skadevern	damage prevention
løvetanner	dandelion
risikoanalyse	danger analysis
farlig gods	dangerous goods
lovgivning for farlig gods	dangerous goods law
forskrift for farlig gods	dangerous goods regulation
farlig anlegg	dangerous installation
transport av farlig gods	dangerous materials transport
darmstadtium	darmstadtium
datainnsamling	data acquisition
dataanalyse	data analysis
databærer	data carrier
datasenter	data centre
datautveksling	data exchange
miljøtilstandsdata	data on the state of the environment
databehandling	data processing
lov om datatilsyn	data processing law
datasystem	data processing system
datasikring	data protection
dataregistreringsteknikk	data recording technique
database	database
datering	dating
datter	daughter
blende	dazzle
blekkfjerning	de-inking
dødsstraff	death penalty ; capital punishment ; death sentence
gjeld	debt
betjening av lån	debt service
forråtningsprodukt	decay product
desentralisering	decentralisation
avklorering	dechlorination
decibel	decibel
lauvskog	deciduous forest ; deciduous wood
lauvtre	deciduous tree
beslutning	decision
beslutningsstøtte	decision making support
beslutningsprosess	decision process
beslutningsstøttesystem	decision-support system
samfunnsnytteerklæring	declaration of public utility
nedbrytning	decomposition
dekontaminering	decontamination
dekret	decree
dyphav	deep sea
dypvannsfiske	deep sea fishing
gruvedrift på dypvann	deep sea mining
dypvannsdisponering	deep-sea disposal
hjortedyr	deer
forsvar	defence
defoliering	defoliation
avskoging	deforestation
nedbrytbarhet	degradability
nedbryting (kjemi) ; nedbryting	degradation
naturressursforringelse	degradation of natural resources
miljøødeleggelse	degradation of the environment
nedbrytingsprodukt	degradation product
avfetting	degreasing
avvannet slam	dehydrated sludge
delegert forvaltning	delegated management
delta	delta
etterspørsel	demand
selveiende vann	demesnial water
demokrati	democracy
demografisk utvikling	demographic development
befolkningsutvikling	demographic evolution
demografi	demography
rivningsvirksomhet	demolition business
rivningsavfall	demolition waste
påviselighet	demonstrability
dendrokronologi	dendrochronology ; tree-ring dating
dendrometri	dendrometry
denitrifikasjon	denitrification
nitrogenfjerning fra avgass	denitrification of waste gas
densitet	density
tannlege	dentist
odontologi	dentistry
avsetning (litosfære)	deposition
avregulering	deregulation
dermatologi	dermatology
avsalting	desalination
avsaltingsanlegg	desalination plant
ørken	desert
ørkenklima	desert climate
ørkengresshoppe	desert locust
ørkenspredning	desertification
ørkenspredningsbekjemping	desertification control
utforming	design (project) ; design ; project design
skrivebordsundersøkelse	desk study
desorpsjon	desorption
bestemmelsessted for transport	destination of transport
svovelfjerning	desulphurisation
svovelfjerning fra brennstoff	desulphurisation of fuel
påvisning	detection
detektor	detector
rensemiddel	detergent
bestemmelsesmetode	determination method
avskrekking	deterrence
avskrekkingsmiddel	deterrent
avgiftning	detoxification
deuterium	deuterium
utviklet land	developed country
utviklingsland	developing country
utviklingshjelp	development aid
utviklingsområde	development area
utviklingssamarbeid	development co-operation
utviklingsmodell	development model
utviklingsmønster	development pattern
utviklingsplan	development plan
desentralisering av makt	devolution
dialyse	dialysis
dagbok	diary
kiselalge	diatom
ordbok	dictionary
didaktikk	didactics
dieselmotor	diesel engine
diesel	diesel fuel ; diesel
differensiering	differentiation
diffus forurensning	diffuse pollution
diffus kilde	diffuse source
diffusjon	diffusion
utråtnet slam	digested sludge
råtnetank	digester
slamstabilisering	digestion
digital bildebehandlingsteknikk	digital image processing technique
digital terrengmodell	digital land model
digitalisering	digitising
fortynnet syre	diluted acid
dioksin	dioxin
tovinge	dipteran
direkte induser	direct discharger
direktiv	directive
invalid	disabled person
katastrofe	disaster
oppryddingsarbeid etter katastrofe	disaster cleanup operation
katastrofeplan	disaster contingency plan
katastrofeberedskapstjeneste	disaster control service
katastrofeberedskap	disaster preparedness
katastrofeforebygging	disaster prevention
katastrofehjelp	disaster relief
katastrofeområde	disaster zone
avløpsregime	discharge regime
sykdom	disease ; illness ; affliction
sykdomsårsak	disease cause
desinfeksjonsmiddel	disinfectant
desinfeksjon	disinfection
følgeseddel	dispatch note
dispersjon	dispersion
utbredelsesberegning	dispersion calculation
krigsrammet flyktning	displaced person
likhåndtering	disposal of the dead
disponering av krigsmateriell	disposal of warfare materials
oppløsning	dissolution
løst organisk karbon	dissolved organic carbon
oppløst oksygen	dissolved oxygen
destillering	distillation
konkurransevridning	distortion of competition
fordeling	distribution
område	distribution area
handel og distribusjon	distributive trade
fjernvarme	district heating
fjernvarmeanlegg	district heating plant
nedlagt militært område	disused military site
grøft	ditch
skilsmisse	divorce
gjøre	do
doktrine	doctrine
dokument	document
dokumentutlån	document lending
dokumenttype	document type
dokumentarfilm	documentary film
dokumentasjonssystem	documentary system
dokumentasjon	documentation
dokumentsenter	documentation centre
hund	dog
delfin	dolphin
husholdningsutstyr	domestic appliance
husholdningsbrensel	domestic fuel
fyringsolje	domestic fuel oil
boligstøy	domestic noise
husholdningsforurensning	domestic pollution
innenrikshandel	domestic trade
husholdningsavfall	domestic waste
fyllplass for husholdningsavfall	domestic waste landfill
husholdningsavløpsvann	domestic waste water
husdyr	domesticated animal
dör	door
dosering	dosage
dose	dose
dose-responsforhold	dose-effect relationship
lovutkast	draft legislation
øyestikker	dragonfly
drenering	drainage
drenssystem	drainage system
drensvann	drainage water
drenering	draining
trekkdyr	draught animal
drømme	dream
mudringsmasse	dredged material
mudring	dredging
drivgarnsfiske	drift net fishing
boring	drilling
oljeboring	drilling for oil
boreinstallasjon	drilling installation
drikke	drink ; gulp ; quaff ; sip
drikkevann	drinking water
drikkevannsvernområde	drinking water protection area
drikkevannsforsyning	drinking water supply
drikkevannsbehandling	drinking water treatment
dromedar	dromedary
tørke	drought
tørkeberedskap	drought control
medisin (medikament) ; medisin	drug
tørrensing	dry cleaning
tørravsetning	dry deposition
dyrking under tørre forhold	dry farming
tørrplen	dry lawn
tørking	drying
uttørking	drying out
dobbel økonomi	dual economy
dobbeltavfallsstyring	dual waste management
dubnium	dubnium
and	duck
stum	dumb
avfallsdumping	dumping
sanddyne	dune
varig konsumgode	durable goods
soltimer	duration of sunshine
støv	dust
støvfjerning	dust removal
bolig	dwelling
fargestoff	dye
dike	dyke
dikeforsterking	dyke reinforcement
dysleksi	dyslexia
dysprosium	dysprosium
øre	ear
tidligvarslingssystem	early warning system
Jorda ; Tellus	earth ; Earth ; the world ; Blue Planet
geovitenskap	earth science
jordskorpe	earth's crust ; crust ; Earth's crust
jordskjelv	earthquake
meitemark	earthworm
saksedyr	earwig
servitutt	easement
pigghud	echinoderm
økologisk pediatri	eco-paediatrics
økokatastrofe	ecocatastrophe
økologisk utvikling	ecodevelopment
miljømerke	ecolabel
miljømerking	ecolabelling
økologisk overflod	ecological abundance
økologisk tilpasning	ecological adaptation
økologisk taksering	ecological assessment
økologisk balanse	ecological balance
økologisk regnskap	ecological bookkeeping
økologisk bærekapasitet	ecological carrying capacity
økologisk samfunn	ecological community
økologisk faktor	ecological factor
økologisk ulikhet	ecological inequality
økologisk nisje	ecological niche
økologisk parameter	ecological parameter
økologisk bestandsanalyse	ecological stocktaking
økologisk prioritert område	ecologically sensitive area
økologibevegelse	ecologist movement
økologi	ecology
økologisk markedsføring	ecomarketing
økomuseum	ecomuseum
økonomisk aktivitet	economic activity
økonomisk analyse	economic analysis
økonomisk konkurranse	economic competition
økonomisk konsentrasjon	economic concentration
økonomiske data	economic data
økonomisk utvikling	economic development
økonomisk prognose	economic forecasting
økonomisk geografi	economic geography
økonomisk vekst	economic growth
økonomisk incitament	economic incentive
økonomisk virkemiddel	economic instrument
virkemiddel for økonomisk styring	economic management instrument
økonomiplan	economic plan
økonomisk planlegging	economic planning
økonomisk politikk	economic policy
økonomisk region	economic region
økonomisk rettighet	economic rights
økonomi ; økonomi (fagområde)	economic science ; economics
økonomisk sektor	economic sector
økonomisk situasjon	economic situation
økonomisk struktur	economic structure
økonomisk støtte	economic support
økonomisk system	economic system
økonomisk teori	economic theory
økonomisk trend	economic trend
økonomisk levedyktighet	economic viability
økonomisk-økologisk effektivitet	economical-ecological efficiency
økonomi ; økonomi (finans)	economy
økofysiologi	ecophysiology
økosystem	ecosystem
økosystemanalyse	ecosystem analysis
økosystemforringelse	ecosystem degradation
økosystemforskning	ecosystem research
økosystemtype	ecosystem type
øko-turisme	ecotourism
økotoksisitet	ecotoxicity
økotoksikologisk evaluering	ecotoxicological evaluation
økotoksikologi	ecotoxicology
økotype	ecotype
økologisk sone	ecozone
edafologi	edaphology
spiselig	edible
matfett	edible fat
utdanning	education
utdanningspolitikk	education policy
utdanningsinstitusjon	educational institution
natursti	educational path
undervisningsplanlegging	educational planning
utdanningssystem	educational system
effekt (parameter) ; effekt	effect
helsepåvirkning	effect on health
virkning på menneskeheten	effect on man
miljøeffekt ; miljøkonsekvens	effect on the environment ; environmental consequence
effektivitetskriterium	efficiency criterion
virkningsgrad	efficiency level
avløp (VA-teknikk)	effluent
eggcelle ; egg	egg
einsteinium	einsteinium
elastisitet	elasticity
albue	elbow
eldre	elderly person
elektrisk batteri	electric battery
elektrisk ledning	electric line ; power line
elektrisk kraft ; elektrisk effekt	electric power
elektrisitetskraftverk	electric power plant
elektrisitetsforsyning	electric power supply
elektrisk kjøretøy	electric vehicle
elektroteknikk	electrical engineering
elektroindustri	electrical goods industry
elektroindustri	electrical industry
elektrisitet	electricity
elektrisitetsselskap	electricity company
elektrisitetsforbruk	electricity consumption
elektrisitetsproduksjon	electricity generation
elektrisitetsproduksjonskostnad	electricity generation cost
elektrisitetsforvaltning	electricity supply industry
elektrokinetikk	electrokinetics
elektrolyse	electrolysis
elektromagnetisme	electromagnetism
elektron	electron
elektronisk informasjonsnettverk	electronic information network
elektronisk post	electronic mail ; email ; e-mail
elektronisk materiale	electronic material
elektronisk skrapavfall	electronic scrap
forskrift for elektronisk skrapavfall	electronic scrap regulation
elektronikk	electronics
elektrosmog	electrosmog
elektroteknisk utstyr	electrotechnical equipment
elektroteknisk industri	electrotechnical industry
edelgass	element of group 0 ; noble gas
jordalkalimetall	element of group II (alkaline earth metals) ; alkaline earth metal ; element of group II
grunnstoff i gruppe III	element of group III
grunnstoff i gruppe IV	element of group IV
grunnstoff i gruppe V	element of group V
grunnstoff i gruppe VI	element of group VI
halogen	element of group VII ; halogen
frigjøring	emancipation
ambassade	embassy ; diplomatic mission
embryo	embryo
fosterutvikling	embryogenesis
nødstilfelle	emergency
nødrett	emergency law
beredskapsplan	emergency plan
nødhjelp	emergency relief
tilfluktsrom	emergency shelter
utslipp	emission
utslippsovervåking	emission control
utslippsdata	emission data
utslippsfaktor	emission factor
utslippsprognose	emission forecast
utslippsreduksjon	emission reduction
emisjonsreduksjonsvirksomhet	emission reduction banking
utslippsregister	emission register
utslippssituasjon	emission situation
utslippskilde	emission source
emisjonsstandard	emission standard
utslipp til vann	emission to water
sysselsetting	employment
