English	Maltese
thank you very much	grazzi ħafna
yes	iva
Britain	Renju Unit
China	Ċina
Czech Republic	Repubblika Ċeka
France	Franza
Germany	Ġermanja
India	Indja
Italy	Italja
Japan	Ġappun
Spain	Spanja
United States of America	Stati Uniti
camera	kamera tat-televison
camera	kamera
cellular phone	ċellulari
clock	arloġġ
computer	computer
elevator	lift
engine	magna
instrument	strument
machine	magna
oven	forn
television	televiżjoni
watch	arloġġ
class	klassi
education	edukazzjoni
education	tgħalim, edukazzjoni
examination	eżami
grade	marka
knowledge	fehma, konjizzjoni
student	student
teacher	għalliem
training	taħriġ
fear	biża
hate	mibgħeda
love	mħabba
pleasure	gost, pjaċir
promise	tama
shock	skantament, xokk
care	kura, attenzjoni
cold	riħ
cough	sogħla
disease	marda
doctor	tabib
health	saħħa
nurse	infermiera
operation	operazzjoni
pain	uġiegħ
patient	pazjent
stitch	punt
blade	xafra
board	tavla
card	karta (tal-logħob)
chain	katina
club	każin, klabb
cover	għata, ħeba
feather	rixa
flag	bandiera
frame	gwarniċ
handle	manku, qabda
nut	skorfina
pin	labra, kavilja
pipe	pajp
postage	bolla
present	rigal
sail	qlugħ
scroll	bobina, spiral
seed	żerriegħa
stick	għasluġ, għuda
stone	blata
ticket	biljett
wheel	rota
wire	fildiferru, wajer
balance	bilanċ
bulk	massa, volum
light	dawl
mass	massa
measurement	tiqjis, meżurazzjoni
mirror	mera
movement	ċaqlieq, muviment
process	proċess
size	daqs
sound	ħoss
steam	fwar, stim
strength	saħħa, qawwa
time	ir-raba dimensjoni, żmien
unit	unità
weight	piż, toqol
honey	qalbi, għażiż
kiss	bewsa
sex	attivita sesswali, attività sesswali
smile	tbissima
surprise	sorpiża, qatgħa
visit	żjara
biology	bijoloġija
cause	kawża
chemistry	kimika
comparison	tqabbil, paragun
consequence	konsegwenza, effett
control	kontroll
discipline	dixxiplina, suġġett
discovery	skoperta, sejba
event	ġrajja, avveniment
example	eżempju
fact	fatt
kernel	qalba
phase	fażi
procedure	proċedura
production	produzzjoni
range	skop, ambitu
research	riċerka, tfittix
science	xjenza
society	socjeta
system	sistema, skema
technology	teknoloġija, inġenerija
theory	teorija
trend	tendenza
trouble	inkwiet, problema
army	armata
base	bażi
company	kumpanija
contest	kompetizzjoni, konkors
country	pajjiż, art
court	qorti
crime	delitt, offiża kriminali
culture	kultura
dominion	ħakma, dominju
election	elezzjoni
existence	eżistenza
female	bniedma, mara
government	gvern, awtorità
history	storja
king	re, sultan
male	maskju
nation	nazzjon
news	aħbarijiet
noise	storbju
order	ordni
organization	organizzazzjoni
passport	passaport
peace	paċi, sliem
people	nies
population	populazzjoni
public	publiku
punishment	kastig, punizzjoni
religion	reliġjon, fidi
religion	reliġjon
war	gwerra
will	rieda
will	testment
ball	ballun
baseball	baseball
bike	rota
cup	tazza
football	futbol
game	logħoba, partita
goal	gowl
goal	tarf, destinazzjoni
gold	deheb
golf	golf
jump	qabża
match	partita, logħba
record	rekord
silver	fidda
tennis	tennis
throw	tefgħa
win	rebaħ, rebħa