Dutch	﻿English
bevatten, [wij] bevatten	embrace
aanmoedigen, [wij] moedigen aan	encourage
eindigen, [wij] eindigen	end
verhogen, [wij] verhogen	enhance
genieten, [wij] plezier hebben	enjoy
binnengaan, [wij] gaan binnen	enter
oprichten, [wij] aanleggen	establish
veronderstellen, gissen	estimate
overtreffen, [wij] overtreffen	exceed
bestaan, [wij] bestaan	exist
verwachten, [wij] afwachten	expect
uitleggen, verklaren	explain
0, uitdrukken	express
vechten, [wij] vechten	fight
vullen, [wij] vullen	fill
ontdekken	find
out 0, uitzoeken	find
afwerken, beëindigen	finish
gelijkmaken, [wij] maken gelijk	flush
vergeven	forgive
verlossen, [wij] verlossen	free
up zich overgeven	give
groeien, [wij] groeien	grow
gebeuren, [wij] gebeuren	happen
haten, [wij] haten	hate
verbergen	hide
0, vasthouden	hold
opsporen, [wij] identificeren	identify
0, invloed hebben op	imply
bevatten, toevoegen	include
stijgen, [wij] stijgen	increase
verwonden, kwetsen	injure
0	introduce
voorstellen, [wij] stellen voor	introduce
verbinden, [wij] verbinden	join
houden, [wij] houden	keep
trappen, [wij] trappen	kick
doden, [wij] doden	kill
aan land gaan	land
0, [wij] overleven	last
leiden, [wij] leiden	lead
laten, [wij] laten	leave
liet, [wij] laten	let
optrekken, optillen	lift
beperken, [wij] beperken	limit
laden, [wij] laden	load
sluiten, afsluiten	lock
er uitzien, eruitzien	look
verliezen, [wij] verliezen	lose
leiden, [wij] leiden	manage
trouwen, huwen	marry
corresponderen, [wij] corresponderen	match
bedoelen, [wij] betekenen	mean
van plan zijn	mean
meten, [wij] meten	measure
noemen, [wij] citeren	mention
missen, [wij] missen	miss
missen, [wij] missen	miss
noemen, [wij] noemen	name
bedienen, [wij] bedienen	operate
ordenen, bevelen	order
bezitten, [wij] bezitten	own
on 0, [wij] geven	pass
schillen, [wij] schillen	peel
plannen, [wij] plannen	plan
0	please
ploegen, [wij] ploegen	plow
vergiftigen, [wij] vergiftigen	poison
polijsten, oppoetsen	polish
voorbereiden, [wij] voorbereiden	prepare
drukken, [wij] drukken	press
voorkomen, [wij] voorkomen	prevent
afdrukken, [wij] drukken af	print
verwerken, [wij] verwerken	process
verdienen, winst maken	profit
protesteren, [wij] protesteren	protest
bewijzen, [wij] bewijzen	prove
uitgeven, uitbrengen	publish
fokken, grootbrengen	raise
schatten, [wij] beoordelen	rate
bereiken, [wij] bereiken	reach
ontvangen, [wij] ontvangen	receive
opnemen, [wij] nemen op	record
verlagen, [wij] reduceren	reduce
spiegelen, [wij] spiegelen	reflect
weigeren, [wij] afwijzen	refuse
verwijderen, [wij] verwijderen	remove
retourneren, [wij] teruggeven	render
vervangen, [wij] vervangen	replace
antwoorden, [wij] antwoorden	reply
rapporteren, [wij] rapporteren	report
vertegenwoordigen, [wij] vertegenwoordigen	represent
verlangen, [wij] verlangen	request
eerbiedigen, [wij] respecteren	respect
0	rest
onthullen, [wij] onthullen	reveal
wagen, [wij] wagen	risk
off afronden, [wij] afronden	round
regeren, [wij] regeren	rule
besparen, [wij] sparen	save
redden, [wij] redden	save
zien, aanschouwen	see
beschouwen, [wij] beschouwen	see
op de post doen, [wij] posten	send
dienen, uitgevoerd hebben	serve
naaien, [wij] naaien	sew
delen, [wij] delen	share
schreeuwen, [wij][wij] schreeuwen	shout
tonen, laten zien	show
slaan, [wij] slaan	smash
ruiken, geuren	smell
stinken, [wij] stinken	smell
ruiken, [wij] ruiken	smell
roken, [wij] roken	smoke
doorbrengen, [wij] brengen door	spend
staan, [wij] staan	stand
blijven, [wij] blijven	stay
stelen, ontvreemden	steal
stoppen, [wij] stoppen	stop
studeren, instuderen	study
lijden, [wij] lijden	suffer
voorstellen, [wij] stellen voor	suggest
voorzien, [wij] bestellen	supply
steunen, [wij] steunen	support
0, [wij] veronderstellen	suppose
verrassen, [wij] verrassen	surprise
smaken, [wij] smaken	taste
aanleren, leren	teach
proberen, [wij] proberen	test
bedanken, [wij] bedanken	thank
0, [wij] denken	think
werpen, gooien	throw
betitelen, [wij] betitelen	title
handel, [wij] handelen	trade
trainen, opleiden	train
lopen, [wij] lopen	travel
behandelen, [wij] behandelen	treat
beetnemen, [wij] nemen beet	trick
pogen, proberen	try
draaien, [wij] draaien	turn
bezoeken, opzoeken	visit
lopen, wandelen	walk
warmen, [wij] warmen	warm
wassen, [wij] wassen	wash
kijken, [wij] kijken	watch
aanhebben, [wij] dragen	wear
wegen	weigh
winnen, [wij] behalen	win
