English	French
experience	épreuve
feeling	sentiment
humor	humour
idea	pensée
information	information
interest	intérêt
interview	entrevue
language	langage
language	langue
letter	lettre
letter	lettre
lie	mensonge
look	oeil
magazine	magazine
mail	courrier
memory	mémoire
memory	souvenir
mistake	erreur
name	nom
newspaper	journal
note	note
number	nombre
opinion	opinion
page	page
pronunciation	prononciation
proposal	proposition
protest	objection
question	question
reaction	réaction
reason	raison
relation	relation
request	demande
secret	secret
sentence	phrase
sign	signe
speech	langage
spelling	orthographe
standard	critère
statement	déclaration
subject	sujet
suggestion	proposition
voice	voix
word	mot
writing	écriture
good day	bonjour
good luck	bonne chance
hello	salut
how are you	comment allez-vous, comment ça va
many thanks	merci beaucoup, merci bien
no	non
thank you very much	merci beaucoup, merci mille fois
yes	oui
Britain	Britain
China	Chine
Czech Republic	République tchèque
France	République française
Germany	République fédérale d'Allemagne
India	République de l'Inde
Italy	Italie
Japan	Japon
Spain	Royaume d'Espagne
United States of America	États-Unis
class	classe
education	formation
education	éducation
education	études
examination	examen
grade	note
knowledge	connaissance
student	étudiant
teacher	maître
training	formation
fear	peur
hate	haine
love	amour
pleasure	plaisir
promise	espoir
shock	choc
care	sous la garde de
cold	rhume
cough	toux
disease	maladie
doctor	médecin
health	santé
menstruation	menstruation
nurse	infirmière
operation	opération
pain	douleur
patient	patient
stitch	point
blade	lame
board	panneau
card	carte
chain	chaîne
club	gourdin
cover	couvercle
feather	plume
flag	drapeau
frame	cadre
handle	anse
menu	menu
nut	écrou
pin	épingle
pipe	tuyau
postage	tarif postal
present	cadeau
sail	voile
scroll	rouleau
seed	graine
stick	canne
stone	pierre
ticket	billet
wheel	roue
wire	grillage
balance	équilibre
bulk	masse
charge	charge
energy	énergie
light	lumière
mass	amas
measurement	mesurage
mirror	miroir
movement	mouvement
pressure	pression
process	processus
size	taille
sound	son
steam	vapeur
strength	force
time	temps
unit	unité
weight	poids
boyfriend	amant
date	rendez-vous
girlfriend	copine
guest	invité
honey	chérie
kiss	baiser
party	partie
sex	sexe
smile	sourire
surprise	surprise
visit	visite
alternative	alternative
biology	biologie
cause	cause
chemistry	chimie
comparison	comparaison
consequence	conséquence
control	contrôle
discipline	discipline
discovery	découverte
event	événement
evidence	évidence
example	spécimen
fact	fait
issue	question
kernel	essence
method	méthode
model	patron
phase	phase
procedure	procédure
production	production
program	programme
project	projet
range	portée
research	recherche
research	investigation
science	science
society	société
system	système
technology	technologie
theory	théorie
trend	tendance
trouble	problème
user	utilisateur
army	armée
base	base
club	club
company	compagnie
contest	concours
country	pays
court	tribunal
crime	infraction
culture	culture
democracy	république
dominion	domination
election	élection
existence	existence
female	femme
government	gouvernement
history	histoire
individual	individu
institution	établissement
king	roi
male	mâle
member	membre
nation	nation
news	nouvelles
noise	bruit
order	ordre
organization	organisation
passport	passeport
peace	paix
people	gens
police	police
policy	politique
population	population
public	peuple
punishment	punition
religion	foi
religion	religion
state	état
title	titre
union	union
war	guerre
will	volonté
will	testament
award	distinction
ball	balle
baseball	base-ball
bike	bicyclette
championship	championnat
competitor	concurrent
cup	coupe
football	football
game	jeu
goal	but
goal	destination
gold	or
golf	golf
jump	bond
match	partie
player	joueur
record	record
silver	argent
tennis	tennis
throw	lancer
win	victoire
bell	cloche
button	bouton
gun	fusil
hammer	marteau
hook	crochet
key	clef
lock	serrure
match	allumette
nail	clou
needle	aiguille
pump	pompe
rope	corde
scissors	ciseaux
spring	ressort
stamp	tampon
whip	fouet
cloud	nuage
dew	rosée
fog	brouillard
frost	givre
rain	pluie
rainbow	arc-en-ciel
snow	neige
storm	orage
thunder	tonnerre
wind	vent