Czech	﻿English
přijmout, obdržet	receive
nahrát	record
redukovat, zmenšit	reduce
odrazit, odrážet	reflect
odmítnout	refuse
odstranit, odstraňovat	remove
vrátit	render
nahradit, vyměnit	replace
odpovídat, odpovědět	reply
nahlásit, ohlásit	report
reprezentovat, představovat	represent
žádat, požadovat	request
respektovat, uznávat	respect
odpočívat	rest
prozradit, odkrýt	reveal
riskovat	risk
off zaokrouhlit	round
vládnout	rule
uspořit, šetřit	save
chránit, spasit	save
vidět	see
považovat, pokládat za	see
odeslat, poslat	send
sloužit	serve
šít, stehovat	sew
sdílet, mít společné	share
ječet, vykřiknout	shout
ukázat, demonstrovat	show
praštit, uhodit	smash
vonět	smell
páchnout, smrdět	smell
cítit	smell
kouřit	smoke
strávit	spend
stát	stand
zůstávat, zůstat	stay
krást, odcizit	steal
zastavit	stop
studovat	study
zakusit, vytrpět	suffer
navrhnout, navrhovat	suggest
poskytovat, poskytnout	supply
podporovat	support
domnívat se, předpokládat	suppose
překvapit	surprise
ochutnávat, ochutnat	taste
vyučovat, učit	teach
otestovat, testovat	test
děkovat	thank
myslet, přemýšlet	think
házet, hodit	throw
nazvat, pojmenovat	title
obchodovat	trade
cvičit, školit	train
chodit, jet	travel
ošetřit, léčit	treat
obelstít, podvést	trick
zkoušet, zkusit	try
obrátit, otočit	turn
navštívit, navštěvovat	visit
jít	walk
zahřát, ohřát	warm
umýt, vyprat	wash
sledovat, pozorovat	watch
nosit, mít na sobě	wear
vážit	weigh
zvítězit, vyhrát	win
