صَٰٓفَّٰت‎, Noun
صَّٰبِـِٔين‎, Proper noun
صَرْصَر (ṣarṣar)‎, Adjective
صَغِير (ṣaḡīr)‎, Noun
صُورَة (ṣūra)‎, Noun
ضَآلّ (ḍaʾāll)‎, Adjective
ضَرْب (ḍarb)‎, Noun
ضِغْث (ḍiḡṯ)‎, Noun
ضِيَآء (ḍiyaʾāʾ)‎, Noun
طَاعَة (ṭāʿa)‎, Noun
طَوْل (ṭawl)‎, Noun
عَاجِلَةٌ (ʿājilatun)‎, Noun
عَاصِم (ʿāṣim)‎, Noun
عَاقِر (ʿāqir)‎, Noun
عَجَب (ʿajab)‎, Adjective
عَشْرَة (ʿašra)‎, Noun
عَشِيرَت (ʿašīrat)‎, Noun
عَقِيم (ʿaqīm)‎, Adjective
عَلِيّ (ʿaliyy)‎, Adjective
عَمَّٰت (ʿammāt)‎, Noun
عَمَد (ʿamad)‎, Noun
عِمْرَٰن (ʿimrān)‎, Proper noun
عَنِيد (ʿanīd)‎, Adjective
عِير (ʿīr)‎, Noun
عِين (ʿīn)‎, Noun
غَآئِبِين (ḡaʾāʾibīn)‎, Noun
غَٰشِيَة (ḡāšiya)‎, Noun
غَرُور (ḡarūr)‎, Noun
غَفَّار (ḡaffār)‎, Adjective
غَمْرَة (ḡamra)‎, Noun
غَنَم (ḡanam)‎, Noun
غَيْث (ḡayṯ)‎, Noun
غَيْر (ḡayr)‎, Adjective
فَٰكِهِين (fākihīn)‎, Noun
فَتَىٰ (fatā)‎, Noun
فَتِيل (fatīl)‎, Noun
فِتْيَة (fitya)‎, Noun
فُجَّار (fujjār)‎, Noun
فِدْيَة (fidya)‎, Noun
فُرَات (furāt)‎, Adjective
فِرَٰش (firāš)‎, Noun
فَرْد (fard)‎, Noun
فِسْق (fisq)‎, Noun
فِصَال (fiṣāl)‎, Noun
فَوَٰكِه (fawākih)‎, Noun
قَٰسِيَة (qāsiya)‎, Noun
قَٰصِرَٰت (qāṣirāt)‎, Noun
قَاهِر (qāhir)‎, Noun
قُبُل (qubul)‎, Noun
قَدِيم (qadīm)‎, Adjective
قُرْبَان (qurbān)‎, Noun
قَرْح (qarḥ)‎, Noun
قِرَدَة (qirada)‎, Noun
قُرَّة (qurra)‎, Noun
قِسْمَة (qisma)‎, Noun
قِنطَار‎, Noun
قَوَارِيرَا (qawārīrā)‎, Noun
قَوَاعِد (qawāʿid)‎, Noun
قَوَّٰمِين (qawwāmīn)‎, Noun
قَيُّوم (qayyūm)‎, Adjective
كَاشِف (kāšif)‎, Noun
كَذَّاب (kaḏḏāb)‎, Adjective
كُرْه (kurh)‎, Noun
كَظِيم (kaẓīm)‎, Noun
كُفُور (kufūr)‎, Noun
كَى (kā)‎, Negative particle
كَيْف (kayf)‎, Noun
لَٰعِبِين (lāʿibīn)‎, Noun
لَطِيف (laṭīf)‎, Noun
لَهَب (lahab)‎, Noun
مَٰلِك (mālik)‎, Noun
مُّبَٰرَكَة (mmubāraka)‎, Noun
مُبَدِّل (mubaddil)‎, Noun
مُبْصِرَة (mubṣira)‎, Noun
مُتَّخِذ (muttaḵiḏ)‎, Noun
مُّتَرَبِّص (mmutarabbiṣ)‎, Noun
مَثْنَىٰ (maṯnā)‎, Noun
مَحِلّ (maḥill)‎, Noun
