Greek	﻿English
εκτιμώ	respect
αναπαύομαι	rest
αποκαλύπτω	reveal
διακινδυνεύω, ρισκάρω	risk
off στρογγυλεύω	round
κυβερνώ	rule
αποταμιεύω	save
διασώζω	save
βλέπω	see
θεωρώ	see
ταχυδρομώ	send
υπηρετώ	serve
ράβω	sew
μοιράζομαι	share
φωνάζω	shout
διαδηλώνω	show
χτηπώ	smash
μυρίζω	smell
βρομώ	smell
μυρίζω	smell
καπνίζω	smoke
περνώ	spend
στέκομαι	stand
απομένω	stay
κλέβω	steal
σταματώ	stop
μελετώ	study
παθαίνω	suffer
προτείνω	suggest
προμηθεύω	supply
υποστηρίζω	support
υποθέτω	suppose
εκπλήσσω	surprise
έχω γεύση	taste
διδάσκω	teach
δοκιμάζω	test
ευχαριστώ	thank
σκέφτομαι	think
πετώ	throw
τιτλοφορώ	title
εμπορεύομαι	trade
προπονούμαι, προγυμνάζω	train
πηγαίνω	travel
θεραπεύω	treat
εξαπατώ	trick
προσπαθώ	try
γυρίζω	turn
επισκέπτομαι	visit
πηγαίνω, περπατώ	walk
ζεσταίνω	warm
πλένω	wash
βλέπω	watch
φορώ	wear
έχω βάρος	weigh
κερδίζω	win
