English	Lithuanian
oven	krosnis
television	televizorius
class	klasė
education	švietimas
education	edukologija
examination	egzaminas
grade	pažymys
knowledge	žinios
student	studentas
teacher	instruktorius
training	treniruotė
fear	baimė
hate	neapykanta
love	meilė
pleasure	malonumas
promise	viltis
shock	šokas
care	priežiūra
cold	peršalimas
cough	kosulys
disease	liga
doctor	daktaras
health	sveikata
menstruation	menstruacija
nurse	auklė
operation	operacija
pain	skausmas
patient	pacientas
stitch	dygsnis
blade	ašmenys
board	lenta
card	korta
chain	grandinė
club	lazda
feather	plunksna
flag	vėliava
frame	rėmas
handle	rankena
nut	veržlė
pin	segtukas
pipe	vamzdis
postage	pašto ženklas
present	dovana
sail	burė
scroll	vija
seed	sėkla
stick	lazda
stone	akmuo
ticket	bilietas
wheel	ratas
wire	viela
balance	pusiausvyra
bulk	daugybė
charge	krūvis
energy	energija
light	šviesa
mass	masė
mirror	veidrodis
movement	judesys
pressure	slėgis
process	procesas
size	dydis
sound	garsas
steam	garas
strength	jėga
time	laikas
unit	vienetas
weight	svoris
boyfriend	draugas
date	pasimatymas
guest	svečias
kiss	bučinys
party	šventė
smile	šypsena
surprise	nuostaba
visit	vizitas
alternative	alternatyva
biology	biologija
cause	priežastis
chemistry	chemija
consequence	pasekmė
control	kontrolė
discipline	disciplina
discovery	atradimas
event	įvykis
evidence	įrodymas
example	pavyzdys
fact	faktas
issue	problema
kernel	esmė
method	metodas
model	modelis
phase	etapas
procedure	procedūra
production	gamyba
program	programa
project	planas
range	apimtis
research	moksliniai tyrimai
science	mokslas
society	visuomenė
system	sistema
technology	technologija
theory	teorija
trend	polinkis
trouble	uždavinys
user	vartotojas
army	armija
base	bazė
club	klubas
company	draugija
contest	varžybos
country	šalis
court	teismas
crime	nusikaltimas
culture	kultūra
democracy	respublika
election	rinkimai
existence	gyvenimas
government	vyriausybė
history	istorija
individual	individas
institution	institucija
king	karalius
member	narys
nation	šalis
news	naujiena (f)
noise	triukšmas
organization	organizacija
pass	leidimas
passport	pasas
peace	taika
people	žmonės
police	policija
policy	politika
population	populiacija
punishment	bausmė
religion	tikėjimas
religion	religija
state	valstybė
title	pavadinimas
union	sąjunga
will	testamentas
award	pagerbimas
ball	sviedinys
baseball	beisbolas
bike	dviratis
championship	čempionatas
competitor	varžovas
cup	taurė
football	futbolas
game	žaidimas
goal	įvartis
goal	tikslas
gold	áuksas
golf	golfas
jump	šuolis
match	rungtynės
record	rekordas
silver	sidabras
tennis	tenisas
win	pergalė