English	Indonesian
lightning	kilat
moisture	kelembaban
nature	alam
plant	tumbuhan
root	akar
sex	jenis kelamin
sky	langit
sleep	tidur
smell	bau
smoke	uap
spring	sumber
stem	batang
stream	arus
tree	pohon
wave	ombak
weather	cuaca
world	dunia
airport	lapangan terbang
bank	bank
bridge	jembatan
building	gedung
capital	ibu kota
castle	puri
church	gereja
cinema	bioskop
city	kota
factory	pabrik
flat	apartemen
hospital	rumah sakit
hotel	hotel
library	perpustakaan
park	taman
prison	penjara
restaurant	rumah makan
road	jalan
school	sekolah
station	pos
street	jalan
structure	pembangunan
subway	kereta api bawah tanah
supermarket	toko swalayan
theater	teater
town	kota kecil
university	universitas
village	desa
accident	kecelakaan
boat	perahu
bus	bis
car	mobil
curve	lengkungan
express	kereta api ekspres
flight	penerbangan
journey	perjalanan
passenger	penumpang
plane	pesawat terbang
ship	kapal
track	rel
train	kereta api
transport	angkutan
actor	pemain
businessman	usahawan
expert	pakar
general	jenderal
journalist	wartawan
judge	hakim
leader	pemimpin
minister	menteri
musician	musikus
photographer	fotografer
pilot	penerbang
policeman	polisi
politician	politikus
president	presiden
professional	profesional
representative	perwakilan
sailor	kelasi
scientist	ilmuwan
secretary	sekretaris
servant	pelayan
soldier	prajurit
writer	penulis
bank	tanggul
beach	pantai
current	arus
direction	arah
Earth	Bumi
east	timur
height	ketinggian
hill	bukit
island	pulau
lake	danau
land	daratan
map	peta
Moon	bulan
north	utara
plain	dataran
river	sungai
sea	laut
south	selatan
star	bintang
sun	matahari
west	barat
cloud	awan
dew	embun
fog	kabut
frost	embun beku
rain	hujan
rainbow	pelangi
snow	salju
storm	badai
thunder	guntur
wind	angin
acid	asam
chemical	zat kimia
chemical element	unsur
coal	batu bara
cotton	kapas
dust	debu
earth	bumi
fat	lemak
glass	kaca
glue	lem
grain	butir
ice	es
iron	besi
leather	kulit
liquid	cairan
matter	materi
metallic element	logam
oil	minyak tanah
poison	racun
powder	bubuk
sand	pasir
silk	benang sutera
soap	sabun
steel	baja
wood	kayu
wool	wol
bag	kantong
basket	keranjang
bottle	botol
box	kotak
can	kaleng
cup	cangkir
drawer	laci
envelope	amplop
glass	gelas
plate	piring
bell	lonceng
button	kancing
gun	senjata api
hammer	pemukul
hook	gantungan
key	kunci
lock	kunci
match	korek api
nail	paku
needle	jarum
pump	pompa
rope	tambang
scissors	gunting
spring	per
stamp	stempel
whip	cambuk
addition	penjumlahan
angle	sudut
area	luas
circle	lingkaran
curve	lengkung
degree	derajat
degree	ketinggian
difference	perbedaan
distance	jarak
division	pembagian
edge	tepi
element	unsur
function	fungsi
half	setengah
limit	batas
line	garis
net	jaringan
outside	bagian luar
percent	persentase
point	titik
purpose	tujuan
result	hasil
rule	peraturan
set	himpunan
side	sisi
square	bujur sangkar
square	pangkat
substitution	tukaran
surface	permukaan
total	banyaknya
ability	kemampuan
act	perbuatan
action	tindakan
activity	aktivitas
addition	tambahan
amount	jumlah
attack	serangan
attempt	usaha
attitude	sikap
back	bagian belakang
behavior	peri laku
bit	sepotong
blow	pukulan
break	istirahat
campaign	perang
case	perkara
chance	kesempatan
change	perubahan
choice	pilihan
condition	keadaan
crack	retakan
cut	pemotongan
damage	kerusakan
danger	bahaya
death	mati
decoration	dekorasi
defense	pertahanan
destruction	penghancuran
dominance	wewenang
drop	tetesan
duty	tugas
effort	upaya
fall	keruntuhan
feature	ciri khas
fight	pertarungan
front	depan
hit	pukulan
hole	lubang
increase	perkembangan
increase	peningkatan
internet	dunia maya
jolt	sentakan
kick	tendangan
kind	jenis
knot	simpul
list	daftar
majority	mayoritas
matter	persoalan
mind	pikiran
operation	pelaksanaan
opposite	lawan
outburst	ledakan
part	bagian
part	bagian
piece	satu
place	tempat kejadian
position	tempat
power	tenaga
practice	praktek
project	tugas
property	sifat
quality	mutu
quiet	ketenangan
responsibility	tanggung jawab
rest	tenang
return	pulang
rise	pendakian
risk	bahaya
seat	bangunan
set	serangkaian
silence	ketenangan
situation	keadaan
slice	sepotong
state	keadaan
step	langkah
stop	perhentian
taste	selera
thing	benda
top	puncak
touch	sentuhan
treatment	perlakuan
tremble	getaran
trick	tipuan
type	jenis
way	cara
wear	keausan
whole	satu kesatuan
will	kemauan
wish	keinginan
art	seni
artist	seniman
band	orkes
brush	sikat
color	cat
concert	konser
design	rancangan
diversity	perbedaan
entertainment	kesenangan
hit	populer
image	citra
ink	tinta
manner	gaya
movie	lapisan
museum	museum
music	musik
note	nada
orchestra	orkestra
paint	cat
painting	lukisan
paper	kertas
pen	fulpen
pencil	pensil
picture	bayangan
poem	puisi
poetry	puisi
rhythm	irama
singer	penyanyi
song	lagu
stage	pentas
style	gaya
vogue	mode
account	tagihan
advantage	keuntungan
advertisement	iklan
advice	nasihat
agreement	perjanjian
attention	perhatian
authority	wewenang
banknote	uang kertas
bargain	perjanjian
brand	merek dagang
business	perusahaan
capital	modal
change	uang kecil
cheque	cek
committee	komite
company	perusahaan
competition	peminat
complaint	tuduhan
contract	kontrak
cost	biaya
council	dewan
course	kursus
customer	pembeli
demand	kebutuhan
department	bagian
difficulty	kesulitan
director	manajer
economy	ekonomi
environment	lingkungan
experience	pengalaman
firm	perusahaan
form	formulir
group	kelompok
help	bantuan
holiday	liburan
income	penghasilan
industry	industri
insurance	asuransi
interest	bunga
invoice	laporan
job	pekerjaan
law	hukum
leave	liburan
loss	kehilangan
management	bimbingan
mark	tanda
market	pasaran
material	bahan
mean	pertengahan
meeting	pertemuan
money	uang
occupation	pekerjaan
offer	tawaran
office	kantor
officer	petugas
operation	operasi
owner	pemilik
package	bingkisan
payment	pembayaran
plan	rencana
price	harga
problem	masalah
product	produk
profit	laba
property	milik
rate	tingkat
rest	sisa
reward	imbalan
right	hak
sale	penjualan
section	divisi
service	pelayanan
share	saham
shop	toko
skill	keahlian
staff	staf
structure	struktur
success	sukses
support	dukungan
table	tabel
tax	pajak
team	regu
trade	perdagangan
value	nilai
work	pekerjaan
worker	pekerja kasar
announcement	pengumuman
answer	jawaban
approval	persetujuan
argument	argumentasi
book	buku
call	panggilan
character	huruf
controversy	pertikaian
cry	seruan
data	data
decision	keputusan
dictionary	kamus
discussion	pembicaraan
doubt	keraguan
experience	peristiwa
feeling	perasaan
humor	kemampuan menyenangkan
idea	gagasan
information	informasi
interest	minat
interview	wawancara
language	bahasa
language	bahasa suatu negara
letter	huruf
letter	surat
lie	dusta
look	penglihatan
magazine	majalah
mail	surat pos
memory	ingatan
memory	kenangan
mistake	kesalahan
name	nama
newspaper	surat kabar
number	nomor
opinion	pendapat
page	halaman
pronunciation	ucapan
proposal	usul
protest	protes
question	pertanyaan
reaction	reaksi
reason	penyebab
relation	komunikasi
request	permintaan
secret	rahasia
sentence	kalimat
sign	lambang
speech	bahasa
spelling	ejaan
standard	kriteria
statement	pernyataan
subject	bahan percakapan
suggestion	saran
voice	suara
word	kata
writing	tulisan
good day	selamat sore, selamat siang
good morning	selamat pagi
how are you	apa kabar
many thanks	terima kasih banyak, banyak terima kasih
no	tidak
thank you very much	terimakasih banyak, terima kasih banyak
yes	ya
Britain	Britania Raya
China	China
Czech Republic	Republik Ceko
France	Perancis
Germany	Jerman
India	India
Italy	Italia
Japan	Jepang
Spain	Spanyol
United States of America	Amerika Serikat
camera	kamera
camera	kamera
cellular phone	telepon selular
clock	jam
computer	komputer
elevator	lift
engine	mesin
instrument	alat
machine	mesin
oven	pemanggangan
television	pesawat televisi
watch	arloji
class	golongan
education	pendidikan
education	pendidikan
education	pendidikan
examination	ujian
grade	nilai
knowledge	pengetahuan
student	mahasiswa
teacher	guru
training	latihan
fear	ketakutan
hate	kebencian
love	sayang
pleasure	kesenangan
promise	harapan
shock	shock
care	penjagaan
cold	selesma
cough	batuk
disease	penyakit
doctor	dokter
health	kesehatan
menstruation	menstruasi
nurse	perawat
operation	operasi
pain	nyeri
patient	pasien
stitch	setik
blade	mata pisau
board	papan
card	kartu
chain	rantai
club	gada
feather	bulu
flag	bendera
frame	bingkai
handle	pegangan
menu	daftar makanan
nut	mur
pin	jarum
pipe	pipa
postage	tarif pos
present	hadiah
sail	layar
scroll	gulungan
seed	biji
stick	tongkat
stone	batu
ticket	karcis
wheel	roda
wire	kawat
balance	keseimbangan pikiran
bulk	ukuran besar
charge	arus
energy	tenaga
light	sinar
mass	kumpulan
measurement	pengukuran
mirror	cermin
movement	gerakan
pressure	tekanan
process	proses
size	ukuran
sound	bunyi
steam	uap
strength	daya
time	waktu
weight	bobot
boyfriend	pacar
date	kencan
girlfriend	pacar
guest	tamu
honey	sayang
kiss	ciuman
party	pesta
sex	seks
smile	senyuman
surprise	kejutan
visit	kunjungan
alternative	alternatif
biology	biologi
cause	penyebab
chemistry	kimia
comparison	perbandingan
consequence	akibat
control	pengendalian
discipline	disiplin
discovery	penemuan
event	peristiwa
evidence	bukti
example	contoh
fact	kenyataan
issue	persoalan
kernel	inti
method	metode
model	model
phase	tahap
procedure	prosedur
production	produksi
program	program
project	proyek
range	jangkauan
research	penelitian
science	ilmu
society	umat manusia
system	jaringan
technology	teknologi
theory	teori
trend	kecenderungan
trouble	kesulitan
army	angkatan perang
base	ramuan utama
club	klub
company	persahabatan
contest	kompetisi
country	negara
court	pengadilan
crime	pelanggaran
culture	kebudayaan
democracy	republik
dominion	kekuasaan
election	pemilihan
existence	keberadaan
government	pemerintah
history	riwayat
individual	individu
institution	lembaga
king	raja
member	anggota
nation	bangsa
news	berita
noise	kebisingan
order	perintah
organization	organisasi
pass	pas
passport	paspor
peace	damai
people	orang
police	kepolisian
policy	kebijaksanaan
population	penduduk
public	rakyat
punishment	hukuman
religion	iman
religion	agama
state	negara
title	judul
union	union
will	kemauan
will	wasiat
award	penghargaan
ball	bola
baseball	baseball
bike	sepeda
championship	kejuaraan
competitor	peserta
cup	piala
football	sepakbola
game	permainan
goal	gol
goal	tujuan
gold	emas
golf	golf
jump	lompatan
match	pertandingan
player	pemain
record	rekor
silver	perak
tennis	tenis
throw	lemparan
win	kemenangan