Indonesian	﻿English
taman	park
penjara	prison
rumah makan	restaurant
jalan	road
sekolah	school
pos	station
jalan	street
pembangunan	structure
kereta api bawah tanah	subway
toko swalayan	supermarket
teater	theater
kota kecil	town
universitas	university
desa	village
kecelakaan	accident
perahu	boat
bis	bus
mobil	car
lengkungan	curve
kereta api ekspres	express
penerbangan	flight
perjalanan	journey
penumpang	passenger
pesawat terbang	plane
kapal	ship
rel	track
kereta api	train
angkutan	transport
pemain	actor
usahawan	businessman
pakar	expert
jenderal	general
wartawan	journalist
hakim	judge
pemimpin	leader
menteri	minister
musikus	musician
fotografer	photographer
penerbang	pilot
polisi	policeman
politikus	politician
presiden	president
profesional	professional
perwakilan	representative
kelasi	sailor
ilmuwan	scientist
sekretaris	secretary
pelayan	servant
prajurit	soldier
penulis	writer
tanggul	bank
pantai	beach
arus	current
arah	direction
Bumi	Earth
timur	east
ketinggian	height
bukit	hill
pulau	island
danau	lake
daratan	land
peta	map
bulan	Moon
utara	north
dataran	plain
sungai	river
laut	sea
selatan	south
bintang	star
matahari	sun
barat	west
awan	cloud
embun	dew
kabut	fog
embun beku	frost
hujan	rain
pelangi	rainbow
salju	snow
badai	storm
guntur	thunder
angin	wind
asam	acid
zat kimia	chemical
element unsur	chemical
batu bara	coal
kapas	cotton
debu	dust
bumi	earth
lemak	fat
kaca	glass
lem	glue
butir	grain
es	ice
besi	iron
kulit	leather
cairan	liquid
materi	matter
element logam	metallic
minyak tanah	oil
racun	poison
bubuk	powder
pasir	sand
benang sutera	silk
sabun	soap
baja	steel
kayu	wood
wol	wool
kantong	bag
keranjang	basket
botol	bottle
kotak	box
kaleng	can
cangkir	cup
laci	drawer
amplop	envelope
gelas	glass
piring	plate
lonceng	bell
kancing	button
senjata api	gun
pemukul	hammer
gantungan	hook
kunci	key
kunci	lock
korek api	match
paku	nail
jarum	needle
pompa	pump
tambang	rope
gunting	scissors
per	spring
stempel	stamp
cambuk	whip
penjumlahan	addition
sudut	angle
luas	area
lingkaran	circle
lengkung	curve
derajat	degree
ketinggian	degree
perbedaan	difference
jarak	distance
pembagian	division
tepi	edge
unsur	element
fungsi	function
setengah	half
batas	limit
garis	line
jaringan	net
bagian luar	outside
persentase	percent
titik	point
tujuan	purpose
hasil	result
peraturan	rule
himpunan	set
sisi	side
bujur sangkar	square
pangkat	square
tukaran	substitution
permukaan	surface
banyaknya	total
kemampuan	ability
perbuatan	act
tindakan	action
aktivitas	activity
tambahan	addition
jumlah	amount
serangan	attack
usaha	attempt
sikap	attitude
bagian belakang	back
peri laku	behavior
sepotong	bit
pukulan	blow
istirahat	break
perang	campaign
perkara	case
kesempatan	chance
perubahan	change
pilihan	choice
keadaan	condition
retakan	crack
pemotongan	cut
kerusakan	damage
bahaya	danger
mati	death
dekorasi	decoration
pertahanan	defense
penghancuran	destruction
wewenang	dominance
tetesan	drop
tugas	duty
upaya	effort
keruntuhan	fall
ciri khas	feature
pertarungan	fight
depan	front
pukulan	hit
lubang	hole
perkembangan	increase
peningkatan	increase
dunia maya	internet
sentakan	jolt
tendangan	kick
jenis	kind
simpul	knot
daftar	list
mayoritas	majority
persoalan	matter
pikiran	mind
pelaksanaan	operation
lawan	opposite
ledakan	outburst
bagian	part
bagian	part
satu	piece
tempat kejadian	place
tempat	position
tenaga	power
praktek	practice
tugas	project
sifat	property
mutu	quality
ketenangan	quiet
tanggung jawab	responsibility
tenang	rest
pulang	return
pendakian	rise
bahaya	risk
bangunan	seat
serangkaian	set
ketenangan	silence
keadaan	situation
sepotong	slice
keadaan	state
langkah	step
perhentian	stop
selera	taste
benda	thing
puncak	top
sentuhan	touch
perlakuan	treatment
getaran	tremble
tipuan	trick
jenis	type
cara	way
keausan	wear
satu kesatuan	whole
kemauan	will
keinginan	wish
seni	art
seniman	artist
orkes	band
sikat	brush
cat	color
konser	concert
rancangan	design
perbedaan	diversity
kesenangan	entertainment
populer	hit
citra	image
tinta	ink
gaya	manner
lapisan	movie
museum	museum
musik	music
nada	note
orkestra	orchestra
cat	paint
lukisan	painting
kertas	paper
fulpen	pen
pensil	pencil
bayangan	picture
puisi	poem
puisi	poetry
irama	rhythm
penyanyi	singer
lagu	song
pentas	stage
gaya	style
mode	vogue
tagihan	account
keuntungan	advantage
iklan	advertisement
nasihat	advice
perjanjian	agreement
perhatian	attention
wewenang	authority
uang kertas	banknote
perjanjian	bargain
merek dagang	brand
perusahaan	business
modal	capital
uang kecil	change
cek	cheque
komite	committee
perusahaan	company
peminat	competition
tuduhan	complaint
kontrak	contract
biaya	cost
dewan	council
kursus	course
pembeli	customer
kebutuhan	demand
bagian	department
kesulitan	difficulty
manajer	director
ekonomi	economy
lingkungan	environment
pengalaman	experience
perusahaan	firm
formulir	form
kelompok	group
bantuan	help
liburan	holiday
penghasilan	income
industri	industry
asuransi	insurance
bunga	interest
laporan	invoice
pekerjaan	job
hukum	law
liburan	leave
kehilangan	loss
bimbingan	management
tanda	mark
pasaran	market
bahan	material
pertengahan	mean
pertemuan	meeting
uang	money
pekerjaan	occupation
tawaran	offer
kantor	office
petugas	officer
operasi	operation
pemilik	owner
bingkisan	package
pembayaran	payment
rencana	plan
harga	price
masalah	problem
produk	product
laba	profit
milik	property
tingkat	rate
sisa	rest
imbalan	reward
hak	right
penjualan	sale
divisi	section
pelayanan	service
saham	share
toko	shop
keahlian	skill
staf	staff
struktur	structure
sukses	success
dukungan	support
tabel	table
pajak	tax
regu	team
perdagangan	trade
nilai	value
pekerjaan	work
pekerja kasar	worker
pengumuman	announcement
jawaban	answer
persetujuan	approval
argumentasi	argument
buku	book
panggilan	call
huruf	character
pertikaian	controversy
seruan	cry
data	data
keputusan	decision
kamus	dictionary
pembicaraan	discussion
keraguan	doubt
peristiwa	experience
perasaan	feeling
kemampuan menyenangkan	humor
gagasan	idea
informasi	information
minat	interest
wawancara	interview
bahasa	language
bahasa suatu negara	language
huruf	letter
surat	letter
dusta	lie
penglihatan	look
majalah	magazine
surat pos	mail
ingatan	memory
kenangan	memory
kesalahan	mistake
nama	name
surat kabar	newspaper
nomor	number
pendapat	opinion
halaman	page
ucapan	pronunciation
usul	proposal
protes	protest
pertanyaan	question
reaksi	reaction
penyebab	reason
komunikasi	relation
permintaan	request
rahasia	secret
kalimat	sentence
lambang	sign
bahasa	speech
ejaan	spelling
kriteria	standard
pernyataan	statement
bahan percakapan	subject
saran	suggestion
suara	voice
kata	word
tulisan	writing
day selamat sore, selamat siang	good
morning selamat pagi	good
are you apa kabar	how
thanks terima kasih banyak, banyak terima kasih	many
tidak	no
you very much terimakasih banyak, terima kasih banyak	thank
ya	yes
Britania Raya	Britain
China	China
Republic Republik Ceko	Czech
Perancis	France
Jerman	Germany
India	India
Italia	Italy
Jepang	Japan
Spanyol	Spain
States of America Amerika Serikat	United
kamera	camera
kamera	camera
phone telepon selular	cellular
jam	clock
komputer	computer
lift	elevator
mesin	engine
alat	instrument
mesin	machine
pemanggangan	oven
pesawat televisi	television
arloji	watch
golongan	class
pendidikan	education
pendidikan	education
pendidikan	education
ujian	examination
nilai	grade
pengetahuan	knowledge
mahasiswa	student
guru	teacher
latihan	training
ketakutan	fear
kebencian	hate
sayang	love
kesenangan	pleasure
harapan	promise
shock	shock
penjagaan	care
selesma	cold
batuk	cough
penyakit	disease
dokter	doctor
kesehatan	health
menstruasi	menstruation
perawat	nurse
operasi	operation
nyeri	pain
pasien	patient
setik	stitch
mata pisau	blade
papan	board
kartu	card
rantai	chain
gada	club
bulu	feather
bendera	flag
bingkai	frame
pegangan	handle
daftar makanan	menu
mur	nut
jarum	pin
pipa	pipe
tarif pos	postage
hadiah	present
layar	sail
gulungan	scroll
biji	seed
tongkat	stick
batu	stone
karcis	ticket
roda	wheel
kawat	wire
keseimbangan pikiran	balance
ukuran besar	bulk
arus	charge
tenaga	energy
sinar	light
kumpulan	mass
pengukuran	measurement
cermin	mirror
gerakan	movement
tekanan	pressure
proses	process
ukuran	size
bunyi	sound
uap	steam
daya	strength
waktu	time
bobot	weight
pacar	boyfriend
kencan	date
pacar	girlfriend
tamu	guest
sayang	honey
ciuman	kiss
pesta	party
seks	sex
senyuman	smile
kejutan	surprise
kunjungan	visit
alternatif	alternative
biologi	biology
penyebab	cause
kimia	chemistry
perbandingan	comparison
akibat	consequence
pengendalian	control
disiplin	discipline
penemuan	discovery
peristiwa	event
bukti	evidence
contoh	example
kenyataan	fact
persoalan	issue
inti	kernel
metode	method
model	model
tahap	phase
prosedur	procedure
produksi	production
program	program
proyek	project
jangkauan	range
penelitian	research
ilmu	science
umat manusia	society
jaringan	system
teknologi	technology
teori	theory
kecenderungan	trend
kesulitan	trouble
angkatan perang	army
ramuan utama	base
klub	club
persahabatan	company
kompetisi	contest
negara	country
pengadilan	court
pelanggaran	crime
kebudayaan	culture
republik	democracy
kekuasaan	dominion
pemilihan	election
keberadaan	existence
pemerintah	government
riwayat	history
individu	individual
lembaga	institution
raja	king
anggota	member
bangsa	nation
berita	news
kebisingan	noise
perintah	order
organisasi	organization
pas	pass
paspor	passport
damai	peace
orang	people
kepolisian	police
kebijaksanaan	policy
penduduk	population
rakyat	public
hukuman	punishment
iman	religion
agama	religion
negara	state
judul	title
union	union
kemauan	will
wasiat	will
penghargaan	award
bola	ball
baseball	baseball
sepeda	bike
kejuaraan	championship
peserta	competitor
piala	cup
sepakbola	football
permainan	game
gol	goal
tujuan	goal
emas	gold
golf	golf
lompatan	jump
pertandingan	match
pemain	player
rekor	record
perak	silver
tenis	tennis
lemparan	throw
