English	Hindi
mean	इरादा रखना [iraadaa rakhanaa]
measure	नापना [naapanaa]
mention	उल्लेख करना [ullekh karanaa]
name	नाम रखना [naam rakhanaa]
own	स्वामी होना
pass	on सौंपना [saumpanaa]
peel	छीलना [chheelanaa]
poison	विष देना [vish denaa]
polish	चमकाना [chamakaanaa]
prepare	तैयार होना [taiyaar honaa]
press	दबाना [dabaanaa]
prevent	रोकना [rokanaa]
print	छापना [chhaapanaa]
process	संसाधित करना [sansaadhit karanaa]
protest	विरोध प्रकट करना [virodh prakat karanaa]
prove	सिद्ध करना [siddh karanaa]
publish	प्रकाशित करना [prakaashit karanaa]
raise	पालन-पोषण करना [paalan-poshan karanaa]
rate	दर नियत करना [dar niyat karanaa]
reach	पहुंचना [pahunchanaa]
receive	लेना [lenaa]
record	अंकित करना [ankit karanaa]
reduce	कम करना [kam karanaa]
reflect	प्रतिबिम्बित करना [pratibimbit karanaa]
refuse	मना करना [manaa karanaa]
remove	हटा देना [hataa denaa]
render	पुरानी स्थिति में लौट जाना
reply	उत्तर देना [uttar denaa]
report	हाल लिखना
represent	प्रतिनिधित्व करना [pratinidhitv karanaa]
request	अनुरोध करना [anurodh karanaa]
respect	सम्मान करना [sammaan karanaa]
reveal	खोलना [kholanaa]
risk	संयोगवश हो जाना
rule	शासन करना [shaasan karanaa]
save	बचाना [bachaanaa]
save	उबारना [ubaaranaa]
see	देखना [dekhanaa]
see	करार देना
send	भेजना [bhejanaa]
sew	सीना [seenaa]
shout	चिल्लाना [chillaanaa]
show	दिखाना [dikhaanaa]
spend	समय गुजारना
stand	खड़ा रहना [khadaa rahanaa]
stay	बने रहना [bane rahanaa]
steal	चोरी करना [choree karanaa]
stop	बंद कर देना [band kar denaa]
study	पढ़ना
suggest	प्रस्ताव रखना या करना
supply	आवश्यक सामग्री देना
support	समर्थन करना [samarthan karanaa]
surprise	आश्चर्यचकित करना [aashcharyachakit karanaa]
teach	शिक्षा देना [shikshaa denaa]
test	जांच करना [jaanch karanaa]
thank	धन्यवाद देना [dhanyavaad denaa]
throw	फेंकना [phenkanaa]
title	उपाधि देना [upaadhi denaa]
trade	व्यापार करना [vyaapaar karanaa]
train	शिक्षा देना [shikshaa denaa]
travel	जाना [jaanaa]
treat	व्यवहार करना [vyavahaar karanaa]
try	प्रयास करना [prayaas karanaa]
turn	घुमाना [ghumaanaa]
visit	देखने जाना [dekhane jaanaa]
walk	टहलाना [tahalaanaa]
wash	धोना [dhonaa]
watch	दृष्टि डालना [drushti daalanaa]
wear	पहनना [pahananaa]
weigh	वजन [vajan]
win	जीतना [jeetanaa]
wish	चाहना [chaahanaa]