Korean	﻿English
나무딸기 [namuttalgi]	raspberry
딸기 [ttalgi]	strawberry
콩 [kong]	bean
양배추 [yangbaechu]	cabbage
당근 [danggeun]	carrot
오이 [oi]	cucumber
마늘 [maneul]	garlic
올리브 열매 [olribeu yeolmae]	olive
양파 [yangpa]	onion
설탕당근 [seoltangdanggeun]	parsnip
감자 [gamja]	potato
무 [mu]	radish
토마토 [tomato]	tomato
젖먹이 [jeotmeoki]	baby
탄생 [tansaeng]	birth
생일 [saengil]	birthday
사내아이 [sanaeai]	boy
형제 [hyeongje]	brother
딸 [ttal]	daughter
죽음 [jukeum]	death
패밀리 [paemilri]	family
아버지 [abeoji]	father
친구 [chingu]	friend
아가씨 [agassi]	girl
조부 [jobu]	grandfather
사람 [saram]	human
남편 [nampyeon]	husband
남자 [namja]	man
결혼 생활 [gyeolhon saenghwal]	marriage
어머니 [eomeoni]	mother
이웃 사람 [iut saram]	neighbor
부 또는 모 [bu ttoneun mo]	parent
사람 [saram]	person
관계 [gwangye]	relationship
자매 [jamae]	sister
아들 [adeul]	son
결혼 (gyeolhon)	wedding
결혼 [gyeolhon]	wedding
아내 [anae]	wife
여자 [yeoja]	woman
주소 [juso]	address
화장실 [hwajangsil]	bathroom
침실 [chimsil]	bedroom
벽돌 [byeokdol]	brick
문 [mun]	door
바닥 [badak]	floor
마루 [maru]	floor
차고 [chago]	garage
정원 [jeongwon]	garden
출입구 [chulipgu]	gate
로비 [robi]	hall
집 [jip]	home
주택 [jutaek]	house
부엌 [bueok]	kitchen
지붕 [jibung]	roof
방 [bang]	room
샤워 [syawo]	shower
층계 [cheunggye]	step
화장실 [hwajangsil]	toilet
담 [dam]	wall
우물 [umul]	well
창 [chang]	window
침대 [chimdae]	bed
깔개 [kkalgae]	carpet
의자 [uija]	chair
벽장 [byeokjang]	cupboard
커튼 [keoteun]	curtain
책상 [chaeksang]	desk
가구 [gagu]	furniture
선반 [seonban]	shelf
세면기 [semyeongi]	sink
식탁 [siktak]	table
자루 [jaru]	bag
장화 [janghwa]	boot
직물 [jikmul]	cloth
의류 [uiryu]	clothing
외투 [oetu]	coat
깃 [git]	collar
모자 [moja]	hat
짧은 웃옷 [jjalpeun utot]	jacket
보석 [boseok]	jewel
반지 [banji]	ring
셔츠 [syeocheu]	shirt
구두 [gudu]	shoe
치마 [chima]	skirt
양말 [yangmal]	sock
여행 가방 [yeohaeng gabang]	suitcase
넥타이 [nektai]	tie
공기 [gonggi]	air
동물의 [dongmului]	animal
가지 [gaji]	branch
발전 [baljeon]	evolution
농장 [nongjang]	farm
들 [deul]	field
불꽃 [bulkkoc]	fire
꽃 [kkoc]	flower
숲 [sup]	forest
잔디 [jandi]	grass
잎 [ip]	leaf
생명 [saengmyeong]	life
번개 [beongae]	lightning
습기 [seupgi]	moisture
자연 [jayeon]	nature
식물 [sikmul]	plant
뿌리 [ppuri]	root
성 [seong]	sex
하늘 [haneul]	sky
잠 [jam]	sleep
냄새 [naemsae]	smell
연기 [yeongi]	smoke
원천 [woncheon]	spring
줄기 [julgi]	stem
흐름 [heureum]	stream
나무 [namu]	tree
물결 [mulgyeol]	wave
날씨 [nalssi]	weather
지구 [jigu]	world
비행장 [bihaengjang]	airport
은행 [eunhaeng]	bank
다리 [dari]	bridge
건축물 [geonchukmul]	building
수도 [sudo]	capital
성 [seong]	castle
교회 [gyohoe]	church
영화관 [yeonghwagwan]	cinema
도시 [dosi]	city
공장 [gongjang]	factory
아파트 [apateu]	flat
병원 [byeongwon]	hospital
호텔 [hotel]	hotel
라이브러리 [raibeureori]	library
공원 [gongwon]	park
교도소 [gyodoso]	prison
식당 [sikdang]	restaurant
길 [gil]	road
학교 [hakgyo]	school
국 [guk]	station
거리 [geori]	street
건설 [geonseol]	structure
지하철 [jihacheol]	subway
슈퍼마켓 [syupeomaket]	supermarket
극장 [geukjang]	theater
읍 [eup]	town
마을 [maeul]	village
보트 [boteu]	boat
버스 [beoseu]	bus
자동차 [jadongcha]	car
급행 열차 [geuphaeng yeolcha]	express
날기 [nalgi]	flight
여행 [yeohaeng]	journey
승객 [seunggaek]	passenger
비행기 [bihaenggi]	plane
비행선 [bihaengseon]	ship
철로 [cheolro]	track
기차 [gicha]	train
수송 [susong]	transport
배우 [baeu]	actor
실업가 [sileopga]	businessman
전문가 [jeonmunga]	expert
장군 [janggun]	general
신문 기자 [sinmun gija]	journalist
재판관 [jaepangwan]	judge
지도자 [jidoja]	leader
장관 [janggwan]	minister
음악가 [eumakga]	musician
사진사 [sajinsa]	photographer
수로 안내인 [suro annaein]	pilot
경찰관 [gyeongchalgwan]	policeman
정치인 [jeongchiin]	politician
대통령 [daetongryeong]	president
직업 선수 [jikeop seonsu]	professional
대표자 [daepyoja]	representative
선원 [seonwon]	sailor
과학자 [gwahakja]	scientist
비서 [biseo]	secretary
하인 [hain]	servant
군인 [gunin]	soldier
작가 [jakga]	writer
둑 [duk]	bank
해변 [haebyeon]	beach
방향 [banghyang]	direction
지구 [jigu]	Earth
동쪽 [dongjjok]	east
고도 [godo]	height
언덕 [eondeok]	hill
섬 [seom]	island
호수 [hosu]	lake
육지 [yukji]	land
지도 [jido]	map
위성 [wiseong]	Moon
북쪽 [bukjjok]	north
평원 [pyeongwon]	plain
강 [gang]	river
바다 [bada]	sea
남쪽 [namjjok]	south
우주 [uju]	space
항성 [hangseong]	star
해 [hae]	sun
서쪽 [seojjok]	west
구름 [gureum]	cloud
이슬 [iseul]	dew
안개 [angae]	fog
서리 [seori]	frost
비 [bi]	rain
무지개 [mujigae]	rainbow
눈 [nun]	snow
폭풍우 [pokpungu]	storm
우레 [ure]	thunder
바람 [baram]	wind
산 [san]	acid
화학 약품 [hwahak yakpum]	chemical
element 원소 [wonso]	chemical
석탄 [seoktan]	coal
먼지 [meonji]	dust
지구 [jigu]	earth
지방 [jibang]	fat
유리 [yuri]	glass
아교 [agyo]	glue
얼음 [eoleum]	ice
철 [cheol]	iron
가죽 [gajuk]	leather
액체 [aekche]	liquid
물질 [muljil]	matter
element 금속 [geumsok]	metallic
석유 [seokyu]	oil
독 [dok]	poison
가루 [garu]	powder
모래 [morae]	sand
명주실 [myeongjusil]	silk
비누 [binu]	soap
강철 [gangcheol]	steel
목재 [mokjae]	wood
양모 [yangmo]	wool
자루 [jaru]	bag
바구니 [baguni]	basket
병 [byeong]	bottle
상자 [sangja]	box
깡통 [kkangtong]	can
컵 [keop]	cup
서랍 [seorap]	drawer
봉투 [bongtu]	envelope
컵 [keop]	glass
접시 [jeopsi]	plate
종 [jong]	bell
단추 [danchu]	button
총 [chong]	gun
해머 [haemeo]	hammer
걸이 [geoli]	hook
열쇠 [yeolsoe]	key
자물쇠 [jamulsoe]	lock
성냥 [seongnyang]	match
못 [mot]	nail
바늘 [baneul]	needle
펌프 [peompeu]	pump
로프 [ropeu]	rope
가위 [gawi]	scissors
태엽 [taeyeop]	spring
도장 [dojang]	stamp
채찍 [chaejjik]	whip
덧셈 [deotsem]	addition
각도 [gakdo]	angle
면적 [myeonjeok]	area
원 [won]	circle
곡선 [gokseon]	curve
고도 [godo]	degree
차이 [chai]	difference
거리 [geori]	distance
분할 [bunhal]	division
가장자리 [gajangjari]	edge
원소 [wonso]	element
기능 [gineung]	function
반 (ban)	half
한계 [hangye]	limit
선 [seon]	line
망 [mang]	net
외부 [oebu]	outside
율 [yul]	percent
점 [jeom]	point
목적 [mokjeok]	purpose
결과 [gyeolgwa]	result
통제 [tongje]	rule
집합 [jiphap]	set
변두리 [byeonduri]	side
정사각형 [jeongsagakhyeong]	square
제곱 [jegop]	square
교환 [gyohwan]	substitution
표면 [pyomyeon]	surface
액수 [aeksu]	total
능력 [neungryeok]	bility
행동 [haengdong]	act
행동 [haengdong]	action
활동성 [hwaldongseong]	activity
부가 [buga]	addition
공격 [gonggyeok]	attack
시도 [sido]	attempt
처신 [cheosin]	behavior
조금 [jogeum]	bit
타격 [tagyeok]	blow
중단 [jungdan]	break
군사 행동 [gunsa haengdong]	campaign
사례 [sarye]	case
기회 [gihoe]	chance
변경 [byeongyeong]	change
선택 [seontaek]	choice
상태 [sangtae]	condition
커넥터 [keonekteo]	connection
갈라진 틈 [galrajin teum]	crack
자르기 [jareugi]	cut
피해 [pihae]	damage
장식품 [jangsikpum]	decoration
파괴 [pagoe]	destruction
지배 [jibae]	dominance
방울 [bangul]	drop
노력 [noryeok]	effort
함락 [hamrak]	fall
특징 [teukjing]	feature
전투 [jeontu]	fight
정면 [jeongmyeon]	front
터진 구멍 [teojin gumeong]	hole
성장 [seongjang]	increase
증대 [jeungdae]	increase
가상 공간 [gasang gonggan]	internet
진동 [jindong]	jolt
차다 [chada]	kick
종류 [jongryu]	kind
매듭 [maedeup]	knot
리스트 [riseuteu]	list
대다수 [daedasu]	majority
주제 [juje]	matter
마음 [maeum]	mind
시행 [sihaeng]	operation
돌발 [dolbal]	outburst
일부 [ilbu]	part
일부 [ilbu]	part
한 장 [han jang]	piece
현장 [hyeonjang]	place
위치 [wichi]	position
힘 [him]	power
실행 [silhaeng]	practice
과업 [gwaeop]	project
속성 [sokseong]	property
질 [jil]	quality
침착 [chimchak]	quiet
책임 [chaekim]	responsibility
휴식 [hyusik]	rest
귀가 [gwiga]	return
대두 [daedu]	rise
위험 [wiheom]	risk
좌석 [jwaseok]	seat
한 벌 [han beol]	set
조용함 [joyongham]	silence
상황 [sanghwang]	situation
조각 [jogak]	slice
상태 [sangtae]	state
발소리 [balsori]	step
멈춤 [meomchum]	stop
미각 [migak]	taste
물체 [mulche]	thing
절정 [jeoljeong]	top
닿기 [dahgi]	touch
취급 [chwigeup]	treatment
떨림 [tteolrim]	tremble
속임수 [sokimsu]	trick
방법 [bangbeop]	way
해어짐 [haeeojim]	wear
하나의 통일체 [hanaui tongilche]	whole
의지 [uiji]	will
필요한 것 [pilyohan geot]	wish
미술 [misul]	art
예술가 [yesulga]	artist
솔 [sol]	brush
색 [saek]	color
음악회 [eumakhoe]	concert
밑그림 [mitgeurim]	design
다름 [dareum]	diversity
오락 [orak]	entertainment
성공 [seonggong]	hit
관념 [gwannyeom]	image
잉크 [ingkeu]	ink
행동 방식 [haengdong bangsik]	manner
엷은 막 [yeolpeun mak]	movie
박물관 [bakmulgwan]	museum
음악 [eumak]	music
음 [eum]	note
오케스트라 [okeseuteura]	orchestra
도료 [doryo]	paint
유화 [yuhwa]	painting
종이 [jongi]	paper
펜 [pen]	pen
연필 [yeonpil]	pencil
그림 [geurim]	picture
시 [si]	poem
시 [si]	poetry
박자 [bakja]	rhythm
폼	shape
가수 [gasu]	singer
노래 [norae]	song
무대 [mudae]	stage
문체 [munche]	style
유행 [yuhaeng]	vogue
채무 명세서 [chaemu myeongseseo]	account
이점 [ijeom]	advantage
광고 [gwanggo]	advertisement
조언 [joeon]	advice
계약 [gyeyak]	agreement
주의 [juui]	attention
권능 [gwonneung]	authority
지폐 [jipye]	banknote
계약 [gyeyak]	bargain
상표 [sangpyo]	brand
상점 [sangjeom]	business
여자 실업가 (yeoja sireopga)	businesswoman
자본 [jabon]	capital
잔돈 [jandon]	change
수표 [supyo]	cheque
위원회 [wiwonhoe]	committee
회사 [hoesa]	company
경쟁 업체 [gyeongjaeng eopche]	competition
불평 [bulpyeong]	complaint
계약 [gyeyak]	contract
자문 위원회 [jamun wiwonhoe]	council
수업 [sueop]	course
고객 [gogaek]	customer
부서 [buseo]	department
어려움 [eoryeoum]	difficulty
지배인 [jibaein]	director
경제 [gyeongje]	economy
환경 [hwangyeong]	environment
경험 [gyeongheom]	experience
회사 [hoesa]	firm
용지 [yongji]	form
떼 [tte]	group
원조 [wonjo]	help
휴가 [hyuga]	holiday
수입 [suip]	income
제조업 [jejoeop]	industry
보험료 [boheomryo]	insurance
이자 [ija]	interest
대차 계정 [daecha gyejeong]	invoice
직업 [jikeop]	job
법 [beop]	law
휴가 [hyuga]	leave
손실 [sonsil]	loss
안내 [annae]	management
표지 [pyoji]	mark
시장 [sijang]	market
재료 [jaeryo]	material
중간 값 [junggan gapt]	mean
만남 [mannam]	meeting
돈 [don]	money
직업 [jikeop]	occupation
제공 [jegong]	offer
공무원 [gongmuwon]	officer
조작 [jojak]	operation
소유자 [soyuja]	owner
짐 [jim]	package
보상 [bosang]	payment
방법 [bangbeop]	plan
가격 [gagyeok]	price
난제 [nanje]	problem
제품 [jepum]	product
이윤 [iyun]	profit
소유물 [soyumul]	property
시세 [sise]	rate
나머지 [nameoji]	rest
보상 [bosang]	reward
권리 [gwonri]	right
판매 [panmae]	sale
지구 [jigu]	section
봉사 [bongsa]	service
주식 [jusik]	share
상점 [sangjeom]	shop
숙련 [sukryeon]	skill
직원 [jikwon]	staff
구조 [gujo]	structure
성공 [seonggong]	success
지지 [jiji]	support
표 [pyo]	table
세금 [segeum]	tax
팀 [tim]	team
통상 [tongsang]	trade
가치 [gachi]	value
일 [il]	work
육체 노동자 [yukche nodongja]	worker
발표 [balpyo]	announcement
대답 [daedap]	answer
승인 [seungin]	approval
이유 [iyu]	argument
(책의) 권	book
통화 [tonghwa]	call
문자 [munja]	character
논쟁 [nonjaeng]	controversy
외침 [oechim]	cry
데이터 [deiteo]	data
결정 [gyeoljeong]	decision
사전 [sajeon]	dictionary
토론 [toron]	discussion
의심스러움 [uisimseureoum]	doubt
체험 [cheheom]	experience
감정 [gamjeong]	feeling
유머 [yumeo]	humor
의견 [uigyeon]	idea
흥미 [heungmi]	interest
인터뷰 [inteobyu]	interview
언어 [eoneo]	language
국어 [gukeo]	language
문자 [munja]	letter
편지 [pyeonji]	letter
거짓말 [geojitmal]	lie
보기 [bogi]	look
잡지 [japji]	magazine
우편물 [upyeonmul]	mail
기억력 [gieokryeok]	memory
추억 [chueok]	memory
실수 [silsu]	mistake
이름 [ireum]	name
신문 [sinmun]	newspaper
주석 [juseok]	note
수 [su]	number
견해 [gyeonhae]	opinion
쪽 [jjok]	page
발음 [baleum]	pronunciation
신청 [sincheong]	proposal
질문 [jilmun]	question
반응 [baneung]	reaction
이유 [iyu]	reason
관계 [gwangye]	relation
요구 [yogu]	request
비밀 [bimil]	secret
문장 [munjang]	sentence
부호 [buho]	sign
언어 [eoneo]	speech
철자 (cheolja)	spelling
표준 [pyojun]	standard
성명서 [seongmyeongseo]	statement
주제 [juje]	subject
제안 [jean]	suggestion
목소리 [moksori]	voice
낱말 [natmal]	word
쓴 것 [sseun geot]	writing
day 안녕하세요 [annyeonghaseyo]	good
luck 행운을 빕니다 [haenguneul bipnida]	good
birthday 생일 [saengil]	happy
이봐 [ibwa]	hello
are you 처음 뵙겠읍니다 [cheoeum boepgeteupnida]	how
thanks 감사합니다 [gamsahapnida]	many
아니오 (anio), 아뇨 (anyo)	no
you very much 감사드립니다 [gamsadeuripnida]	thank
is your name 성함이 어떻게 되세요 [seonghami eotteohge doeseyo]	what
암 [am]	yes
welcome 천만에요 [cheonmaneyo]	you're
GB	Britain
중국 [jungguk]	China
Republic 체코 공화국 [cheko gonghwaguk]	Czech
프랑스 [peurangseu]	France
독일 [dokil]	Germany
인도 [indo]	India
이탈리아 [italria]	Italy
일본 [ilbon]	Japan
스페인 [seupein]	Spain
States of America 미국 [miguk]	United
카메라 [kamera]	camera
카메라 [kamera]	camera
phone 휴대/이동 전화	cellular
시계 [sigye]	clock
컴퓨터 [keompyuteo]	computer
승강기 [seungganggi]	elevator
엔진 [enjin]	engine
기계 [gigye]	instrument
기계 [gigye]	machine
오븐 [obeun]	oven
텔레비전 수상기 [telrebijeon susanggi]	television
시계 [sigye]	watch
종류 [jongryu]	class
교육 [gyoyuk]	education
교육 [gyoyuk]	education
시험 [siheom]	examination
점수 [jeomsu]	grade
인식 [insik]	knowledge
학생의 [haksaengui]	student
교사 [gyosa]	teacher
수습 [suseup]	training
두려움 [duryeoum]	fear
증오 [jeungo]	hate
애정 [aejeong]	love
즐거움 [jeulgeoum]	pleasure
희망 [huimang]	promise
쇼크	shock
보호 [boho]	care
감기 [gamgi]	cold
기침 [gichim]	cough
병 [byeong]	disease
의사 [uisa]	doctor
건강 상태 [geongang sangtae]	health
월경 [wolgyeong]	menstruation
간호인 [ganhoin]	nurse
작용 [jakyong]	operation
아픔 [apeum]	pain
환자 [hwanja]	patient
한 바늘 [han baneul]	stitch
칼날 [kalnal]	blade
카드 [kadeu]	card
쇠사슬 [soesaseul]	chain
곤봉 [gonbong]	club
깃털 [gitteol]	feather
기 [gi]	flag
틀 [teul]	frame
손잡이 [sonjapi]	handle
차림표 [charimpyo]	menu
핀 [pin]	pin
우표 [upyo]	postage
선물 [seonmul]	present
한 타래 [han tarae]	scroll
씨 [ssi]	seed
지팡이 [jipangi]	stick
암석 [amseok]	stone
표 [pyo]	ticket
바퀴 [bakwi]	wheel
철사 [cheolsa]	wire
침착 [chimchak]	balance
크기 [keugi]	bulk
전하 [jeonha]	charge
원기 [wongi]	energy
빛 [bic]	light
덩어리 [deongeori]	mass
측정 [cheukjeong]	measurement
거울 [geoul]	mirror
운동 [undong]	movement
압력 [apryeok]	pressure
과정 [gwajeong]	process
크기 [keugi]	size
음파 [eumpa]	sound
수증기 [sujeunggi]	steam
힘 [him]	strength
시간 [sigan]	time
단위 [danwi]	unit
무게 [muge]	weight
남자 친구 [namja chingu]	boyfriend
약속 [yaksok]	date
여자친구 (yeojachingu)	girlfriend
손님 [sonnim]	guest
사랑하는 사람 [saranghaneun saram]	honey
입맞춤 [ipmatchum]	kiss
잔치 [janchi]	party
미소 [miso]	smile
놀람 [nolram]	surprise
방문 [bangmun]	visit
대안 [daean]	alternative
생물학 [saengmulhak]	biology
원인 [wonin]	cause
화학 [hwahak]	chemistry
결과 [gyeolgwa]	consequence
억제 [eokje]	control
훈련 [hunryeon]	discipline
발견 [balgyeon]	discovery
사건 [sageon]	event
증거 [jeunggeo]	evidence
견본 [gyeonbon]	example
사실 [sasil]	fact
토의 [toui]	issue
본질 [bonjil]	kernel
방법 [bangbeop]	method
단계 [dangye]	phase
절차 [jeolcha]	procedure
생산 [saengsan]	production
프로그램 [peurogeuraem]	program
기획 [gihoek]	project
구역 [guyeok]	range
연구 [yeongu]	research
심리 [simri]	research
과학적 지식 [gwahakjeok jisik]	science
인류 [inryu]	society
계통 [gyetong]	system
기술 [gisul]	technology
이론 [iron]	theory
경향 [gyeonghyang]	trend
걱정거리 [geokjeonggeori]	trouble
사용자 [sayongja]	user
군대 [gundae]	army
주성분 [juseongbun]	base
클럽 회관 [keulreop hoegwan]	club
교우 [gyou]	company
시합 [sihap]	contest
국가 [gukga]	country
법정 [beopjeong]	court
위반 [wiban]	crime
문화 [munhwa]	culture
공화국 [gonghwaguk]	democracy
통치권 [tongchigwon]	dominion
선거 [seongeo]	election
존재 [jonjae]	existence
정부 [jeongbu]	government
역사 [yeoksa]	history
개인 [gaein]	individual
공공 단체 [gonggong danche]	institution
왕 [wang]	king
회원 [hoewon]	member
국가 [gukga]	nation
소음 [soeum]	noise
명령 [myeongryeong]	order
조직체 [jojikche]	organization
여권 [yeogwon]	passport
평온 [pyeongon]	peace
세상 사람들 [sesang saramdeul]	people
경찰대 [gyeongchaldae]	police
정책 [jeongchaek]	policy
인구 [ingu]	population
민중 [minjung]	public
형벌 [hyeongbeol]	punishment
신앙 [sinang]	religion
믿음 [miteum]	religion
나라 [nara]	state
제목 [jemok]	title
합동 [hapdong]	union
의지 [uiji]	will
유언 [yueon]	will
훈장 [hunjang]	award
공 [gong]	ball
야구 [yagu]	baseball
자전거 [jajeongeo]	bike
선수권 대회 [seonsugwon daehoe]	championship
경쟁자 [gyeongjaengja]	competitor
우승컵 [useungkeop]	cup
축구 [chukgu]	football
놀이 [noli]	game
골에 공을 넣기 [gole gongeul neohgi]	goal
목적지 [mokjeokji]	goal
금 [geum]	gold
골프 [golpeu]	golf
뛰기 [ttwigi]	jump
경기 [gyeonggi]	match
경기자 [gyeonggija]	player
최고 기록 [choego girok]	record
은 제품 [eun jepum]	silver
테니스 [teniseu]	tennis
던지기 [deonjigi]	throw
