English	Sanskrit
Yerevan	येरेवान
Zen	ध्यान (m) (dhyāna)
acrobat	जायाजीवः (jāyājīva<u>h</u>)
adjective	विशेषण (m) (viśeṣaṇa)
again	पुनः (punaḥ)
all	विश्व (víśva)
alphabet	अक्षरसमाम्नाय (m) (akSarasamAmnAya)
anal	भसद्य (bhasadya)
and	च (ca)
animal	पशु (paśu) (n), मृग (mṛga) (m)
ant	पिपीलिका (pipīlikā)
anus	गुद (n) (guda); पायु (m) (pāyu); भसद् (f) (bhasad); लुब्धक (m) (lubdhaka); सीध्र (n) (sīdhra)
anusvara	अनुस्वार (m) (anusvāra)
arm	बाहु (f) (bāhu)
artificial	कृत्रिम (kritrima)
artificial intelligence	कृत्रिम बुद्धिमता (f) (kritrima buddhimatā)
ask	पृच्छ् (pṛicch)
aubergine	वृन्ताकम्
autumn	शरद (śarada)
avatar	अवतार (ava-tāra)
banyan	वट (vaṭa)
bark	वल्क (m) (valka); त्वच् (f) (tvác); तरुत्वच् (f) (tarutvac)
beach	सागरतीरं
bear	ऋक्ष (m) (ṛ́kṣa)
bee	भ्रमर (m) (bhramara); मधुलिह् (m) (madhulih)
beetle	भ्रमरः (bhramaraḥ)
big	बृहत् (bṛhát); मह (mahá)
bindi	बिन्दु (m) (bindú)
bird	वि (m) (ví)
bitch	लोमज़िक (lomazika)
black	कृष्ण (kṛṣṇa)
blood	असृज् (asṛj)
book	पुस्तकम् (n) (pustak)
boron	बोरान
bridge	सेतुः
brinjal	भण्टाकी (bhaṇṭākī)
brother	देवर; देवृ
bumblebee	भ्रमर (m) (bhramara)
butterfly	तित्तरी
call	आव्हे (āvhe)
candrabindu	चन्द्रबिन्दु (candrabindu)
candy	खण्डन (khaṇḍan)
capital city	राजधानी (rājdhānī)
caste	वर्ण (varṇa); जाति (f) (jāti)
castle	दुर्ग (durg)
cat	मार्जार (m) (mārjāra); बिडाल (m) (biḍāla)
cedar	देवदार (devadāru)
chapter	अध्याय (m) (adhyāya)
chess	चतुरङग (ćaturaṅga)
chessboard	चतुरङ्गफलक (n) (caturaṅgaphalaka)
child	शिशु (śíśu)
circle	चक्र (n) (cakrá); वर्तुल (n) (vartula); मण्डल (n) (máṇḍala)
city	नगर (n) (nágara)
cloud	मेघ; अभ्र (n) (abhrá)
clove	lavanga (n)
cock	काक (kāka)
coconut	खानोदकः (khānōdakḥ)
cold	शीत
compassion	भूतदया (f) (bhūtadayā)
conceivable	मानस (mānasá)
consonant	व्यञ्जन (m) (vyáñjana)
copper	ताम्रक (tāmraka)
corpse	शव
country	देशः (deśaḥa); राष्ट्र (rāṣṭra)
creeper	लता (f) (latā)
daily	anu
date	खजूर (m) (khajūra)
daughter	दुहितृ (IPAchar'(duhitr̩)) (f)
deaf	बधिर 
deer	मृग (mṛga-)
democracy	लॊकतंत्र (lokatantra)
demon	राक्षस (rākshas) (m)
dew	अवश्याय (avaśyāya)
dharma	धर्म (m) (dhárma)
diabetes mellitus	madhu meha
dictionary	शब्दकोश (m) (śábda-kośa); निघण्टु (m) (nighaṇṭu); अभिधान (n) (abhi-dhāna)
difficult	अलभ्य (alabhya)
dog	श्वन् (m) (śván)
donation	दान (dāna)
door	द्वारं
dragonfly	(prācikā)
drink	पिबति
eagle	गरुडः (garuḍaḥ) (g'sa)
ear	कर्ण (m) (kárṇa); श्रवण (n) (śrávaṇa); श्रुति (f) (śrúti)
eat	अत्ति (atti)
eclipse	उपराग (m) (uparāga)
economics	अर्थशास्त्रं
eight	अष्टन् (a<u>st</u>an), अष्ट (unicode'(aṣṭa))
eighteen	(a<u>st</u>aadashan) (rfscript'Devanagari)
eighty	(cáturashiiti)
electronics	ऋणाणुशास्त्र
elephant	इभ (ibhas); गज (gaja)
eleven	एकादश (ékaadashan)
epilepsy	अपस्मार (apa-smāra)
erection	प्रहर्ष (m) (praharṣa)
eternal	सनातन
ether	आकाश (m) (ākāśa)
extensive	विस्तीर्ग (vistīrṇa)
eye	अक्षि (n) (ákṣi); नेत्र (n) (netra); नयनम (n) (nayana)
faith	श्रद्धा (f) (śraddhā)
fathom	vyama
feminine	स्त्रीलिङ्ग (strīliṅga)
fetter	राहुल
fifteen	páñcadashan
fifty	(návapañcaashat), (ekonasasti)
first	प्रथम (prathamá)
first person	उत्तमपुरुष (m) (ut-tamá-puruṣa)
fish	मत्स्य (matsya)
five	पञ्चन् (páñcan)
flower	पुष्प (n) (púṣpa)
forty	cátushcatvaari(m)shat
four	चतुर् (catúr)
fourteen	cáturdashan
fruit	फल (phála)
full stop	।; दंड (m) (daṇḍá)
gentleness	मृदु (mṛdú) (n), साधु (sādhú) (n)
geography	भूगोलः (bhūgolaḥ)
ghost	भूत (bhūt) (g'sa), प्रेत, वेताल, पिशाच
