English	Norwegian
chestnut	kastanje (m)
child	barn (n); mindreårig (m)
chin	hake
chisel	meisel
chlorine	klor
chocolate	sjokolade (m)
choice	valg
choir	kor (n)
chord	akkord; note; noter
chromium	krom
church	kirke (f)
cigarette	sigarett (m)
cinema	kino (m)
cinnamon	kanel
circle	sirkel
city	by
clarinet	klarinett (m)
clean	gjøre; rent
clitoris	klitoris (m)
close	lukke; stenge
clothes	bekledning (f)
clown	klovn (m)
club	klubb (m)
coast	kyst
cobalt	kobolt
cock	hane (m)
cockroach	kakerlakk (m)
coconut	kokosnøtt (f'm)
cod	torsk (m)
coffin	kiste (m); gravkiste (m)
cognitive psychology	kognitiv psykologi
coin	mynt (m)
cold	forkjølelse (m)
cold war	kald krig (n)
colon	kolon (n)
colonel	oberst (m)
combat	slagsmål
come	komme
comedy	komedie
common gull	fiskemåke
communism	kommunisme (m)
communist	kommunist (m)
compass	kompass
computer	datamaskin (m)
computer language	programmeringsspråk (n)
concentration camp	konsentrasjonsleir (m)
concrete	betong (m)
condom	kondom (m); gummi (m)
congratulations	gratulerer; gratulasjoner (m)
conjunction	konjunksjon (m); bindeord (n)
connective tissue	støttevev
constitution	grunnlov (m)
continent	kontinent (n)
continental drift	kontinentaldrift
conversation	samtale (m); konversasjon (m)
cook	kokk (m)
copper	kobber
corn	mais
corpse	lik (n)
corridor	korridor (m)
count	greve (m)
country	landsens
cousin	fetter (m); kusine (f); søskenbarn (n) 
cow	ku (f)
crab	krabbe
crane	trane (m)
cream	fløte
create	skape
cricket	cricket (m)
cross	kryss (n)
crossword	kryssord
crow	kråke (f)
crowd	flokk (m); mengde (m); folkehav (n)
crown	krone
cruel	grusom
crystal	krystall
cuckoo	gjøk
cucumber	agurk (m)
culture	kultur (m)
cunt	fitte; kuse; mus
curium	curium
currency	valuta
curse	forbannelse (m)
curtain	gardin (m)
cute	søt
dad	pappa
daily	daglig
dandelion	løvetann (m)
dandruff	flass (n)
dangerous	farlig
dark matter	mørk materie
darkness	mørke (n)
date	stevnemøte (n); date (m)
date palm	daddelpalme
dative case	dativ (m)
daughter	datter
day	dag (m)
deaf	døv
dear	kjær
death	død (m)
decade	tiår (n); årti (n); dekade (m); decennium (n); desennium (n)
deer	hjort
degree	grad (m)
democracy	demokrati (n); folkestyre (n)
demon	demon
dentist	tannlege
desert	ørken
dessert	dessert
devil	djevel (m)
dialect	dialekt (m)
diarrhea	diaré (m)
diary	dagbok (m)
dick	kuk; pikk (m)
die	terning
difficult	vanskelig
digit	siffer
dinosaur	dinosaur (m); dinosaurus (m)
dirty	skitten
discussion	diskusjon; debatt (m)
disease	sjukdom (m)
divorce	skillsmisse (m)
do	gjøre
do you speak English	Snakker du engelsk?
do you speak something	snakker du norsk 
dobra	dobra
dog	hund (m); bikkje (f)
doll	dukke
dollar	dollar (m)
dolphin	delfin (m)
donation	donasjon
donkey	esel (n)
door	dør (m)
dormouse	syvsover; sovemus
doubt	tvil (m)
doughnut	smultring (m)
dove	due (m)
down	ned
dragon	drage (m); lindorm; linnorm; sjøslange
dragonfly	øyenstikker (m)
draw	tegne
dream	drøm (m)
dress	kle
drink	drikke
dromedary	dromedar
drunk	full
dry	tørr
dubnium	dubnium
duck	and (f)
duke	hertug
dust	støv (n); dust (f)
duty	plikt (m)
dynamite	dinamitt (n)
dyslexia	dysleksi
dysprosium	dysprosium
e	e-post (m); e-brev (n)
e.g.	f.eks.; t.d. 
each	alle; alt; enhver; hver; hver enkelt
eagle	ørn (m)
eagle owl	hubro
ear	øre
earth	jord (m)
earthquake	jordskjelv (n)
east	øst; aust
easy	lett (m); lette; enkel (m); enkelt (n); enkle
echo	ekko (n)
eco	øko-
ecology	økologi (m)
economics	økonomi
ecosystem	økosystem (n)
edible	spiselig
edit	redigere
education	utdanning
eel	ål (m)
egg	egg (n)
eggplant	aubergine; eggfrukt
eight	åtte
eighteen	atten
eighty	åtti
einsteinium	einsteinium
ejaculation	ejakulasjon
elbow	albue
electricity	elektrisitet (m)
electromagnetism	elektromagnetisme (m)
electron	elektron
electronics	elektronikk
elephant	elefant (m)
eleven	elleve
elf	alv (m)
embassy	ambassade (m)
emperor	keiser (m)
empty	tom
encyclopedia	encyklopedi
end	slutte
enemy	fiende (m); uvenn (m)
energy	energi
engine	motor (m)
engineer	ingeniør (m)
enter	komme inn
entomology	entomologi
epicentre	episenter
epithelium	epitel
equation	likning
erbium	erbium
erection	ereksjon (m); stå; reisning (m)
ermine	røyskatt
etymology	etymologi (m) 
eukaryote	eukaryoter
euro	euro
europium	europium
euthanasia	eutanasi; dødshjelp
evening	kveld
