Norwegian	﻿English
Slovenia	Slovenia
Snøhvit	Snow White
Sotsji	Sochi
Sokrates	Socrates
Sofia	Sofia
Salomonøyene	Solomon Islands
Somalia	Somalia
Sofokles (m)	Sophocles
sorbisk	Sorbian
Sør-Afrika; Republikken Sør-Afrika	South Africa
Sør-Asia	South Asia
Sør-Korea; Republikken Korea	South Korea
Sør-Ossetia	South Ossetia
Sør-Sudan	South Sudan
Sørøst-Asia	Southeast Asia
Syd-Europa	Southern Europe
Sovjetunionen	Soviet Union
Spania	Spain
Sparta	Sparta
Kotte	Sri Jayawardenepura Kotte
Sri Lanka	Sri Lanka
Sudan	Sudan
Suezkanalen	Suez Canal
søndag	Sunday
Surinam	Suriname
Swaziland	Swaziland
Sverige	Sweden
Sveits	Switzerland
Syria	Syria
Taiwan	Taiwan
Tadsjikistan	Tajikistan
Tallinn	Tallinn
Tanganyika	Tanganyika
Tanzania	Tanzania
Tbilisi	Tbilisi
Tel Aviv	Tel Aviv
telugu	Telugu
de ti bud (p)	Ten Commandments
Thailand	Thailand
Themsen	Thames
Thanatos	Thanatos
Haag	The Hague
Thomas	Thomas
torsdag	Thursday
Togo	Togo
Tokyo	Tokyo
Transnistria (n)	Transnistria
Transilvania (n)	Transylvania
Trinidad og Tobago	Trinidad and Tobago
trotskisme (m)	Trotskyism
Tunisia	Tunisia
Tyrkia	Turkey
Turkmenistan	Turkmenistan
USA	USA
Sovjetunionen	USSR
Uganda	Uganda
Ukraina	Ukraine
Uljanovsk	Ulyanovsk
De forente arabiske emirater	United Arab Emirates
Storbritannia; Det forente kongerike Storbritannia og Nord-Irland	United Kingdom
De Forente Stater (m)	United States
Amerikas forente stater; De forente stater	United States of America
Uruguay	Uruguay
Usbekistan	Uzbekistan
Vatikanstaten; Vatikanet	Vatican City
Venezuela	Venezuela
Venezia	Venice
Seiersdagen	Victory Day
Vietnam	Vietnam
Vishnu	Vishnu
Volga	Volga
Warszawa	Warsaw
Vest-Sahara	Western Sahara
Det hvite hus	White House
Kvitsjøen (m)	White Sea
Wikipedia	Wikipedia
flagg (n)	Wiktionary:Usability/flag
Vilhelm	William
første verdenskrig (m)	World War I
andre verdenskrig (m)	World War II
Wrocław	Wroclaw
Jalta	Yalta
Chang Jiang	Yangtze
Jekaterinburg	Yekaterinburg
Gulehavet	Yellow Sea
Jemen	Yemen
Jerevan	Yerevan
jiddisch; jiddisk	Yiddish
Zambia	Zambia
Sjælland	Zealand
Zoroastrisme	Zoroastrianism
mange	a lot
jordsvin (n)	aardvark
forlate	abandon
abbed	abbot
forkortelse (m)	abbreviation
mage; buk	abdomen
overflod	abundance
trekkspill	accordion
sur	acid
kongle (m)	acorn
actinium	actinium
skuespiller (m); skuespillerinne (m)	actor
skuespillerinne	actress
akupunktur (m)	acupuncture
adresse	address
beundring	admiration
adverb (n)	adverb
reklame; annonse	advertisement
etter	after
ettermiddag (m)	afternoon
igjen	again
aggressiv	aggressive
siden	ago
landbruk (n); jordbruk (n)	agriculture
luft (f)	air
flyplass (m)	airport
al-Qaida	al
alkymist	alchemist
algebra	algebra
algoritme (m)	algorithm
alkyn	alkyne
hele	all
alle rettigheter er forbeholdt	all rights reserved
mandel (m)	almond
nesten	almost
alfabet (n)	alphabet
alpekaie	alpine chough
allerede	already
alter; altar	altar
aluminium	aluminium
alltid; bestandig	always
er	am
rav (n)	amber
americium	americium
amøbe	amoeba
anagram	anagram
anarkisme	anarchism
anarki (n)	anarchy
anker (n)	anchor
sinne (n)	anger
dyr	animal
anime	anime
ankel (m)	ankle
svare	answer
maur	ant
antilope	antelope
miltbrann	anthrax
antimon	antimony
antonym	antonym
ambolt (m); ste (n)	anvil
leilighet	apartment
ape	ape
eple (n)	apple
epletre	apple tree
aprikos (m)	apricot
arkeologi	archaeology
bueskytter (m)	archer
arkitektur	architecture
sølv	argent
argon (n)	argon
arm	arm
pil	arrow
arsen	arsenic
artist	artist
askebeger	ashtray
be; om	ask
esel (n); asen (n)	ass
rasshøl	asshole
astat	astatine
asteroide	asteroid
astronomi (m)	astronomy
astrofysikk (m); astrofysikk	astrophysics
på	at
krøllalfa; alfakrøll	at sign
atmosfære (m)	atmosphere
grusomhet	atrocity
aubergine	aubergine
tante (m); faster (m); (m)	aunt
høst (m)	autumn
lavine; snøras; snøskred (n)	avalanche
øks (m)	axe
akse (m)	axis
spebarn (n) 	baby
barnevakt; kenguru	babysitter
rygg (m); bak (m)	back
backgammon (n)	backgammon
dårlig; ond	bad
grevling (m)	badger
veske; pose (m)	bag
sekkepipe	bagpipes
bakeri	bakery
ballong (m)	balloon
banan (m)	banana
bank (m)	bank
strekkode	barcode
barium	barium
bjeff (n)	bark
bygg (n)	barley
tårnugle	barn owl
basalt	basalt
kurv (m)	basket
basketball (m)	basketball
fagott (m)	bassoon
flaggermus; skinnvengja (f)	bat
badekar (n)	bath
bukt (f)	bay
bajonett	bayonet
vær beredt	be prepared
strand	beach
nebb	beak
bønne	bean
bære; fram; føde	bear
skjegg (n)	beard
slå	beat
bever (m)	beaver
fordi; ettersom; det kommer av	because
bli	become
seng (m)	bed
veggdyr	bedbug
soverom (n)	bedroom
bie (m)	bee
bøk (m)	beech
storfekjøtt (n)	beef
øl	beer
bille (m)	beetle
før	before
begynne	begin
bak	behind
tilværelse; det å være 	being
tro	believe
bjelle	bell
belte (n)	belt
berkelium	berkelium
bær (n)	berry
beryllium	beryllium
bedre	better
mellom	between
sykkel (m)	bicycle
stor	big
nebb	bill
milliard	billion
nipolar lidelse	bipolar disorder
bursdag (m); fødselsdag (m)	birthday
føflekk; fødselsmerke (n)	birthmark
kjeks (m); småkake (m)	biscuit
løper (m)	bishop
vismut	bismuth
tispe (f)	bitch
bite	bite
svart	black
orrfugl	black grouse
bjørnebær (n)	blackberry
svarttrost	blackbird
blad (n)	blade
dyne (m); teppe (n)	blanket
prosit	bless you
blogg	blog
blod (n)	blood
blåfarge	blue
blåbær (n)	blueberry
villsvin (n)	boar
båt (m)	boat
bohrium	bohrium
bombe	bomb
god reise	bon voyage
reservere	book
bokhandel (m)	bookshop
støvel (m)	boot
grense (m)	border
bor	boron
begge; båe	both
flaske (m)	bottle
bue; boge (m)	bow
bolle (m); skål (m)	bowl
kasse (m); boks (m)	box
boksing	boxing
brystholder; bysteholder	bra
hjerne	brain
gren (m); grein (m)	branch
brød (n)	bread
bryst (n)	breast
puste; ånde	breathe
bro (m); bru (m)	bridge
lys	bright
brom	bromine
bronse (m)	bronze
bror (m)	brother
brun	brown
bison	buffalo
bygge; konstruere	building
okse (m)	bull
kule	bullet
humle	bumblebee
brenne	burn
buss (m)	bus
busk (m)	bush
travel; opptatt	busy
enn; bortsett fra; unntatt; foruten	but
sommerfugl; sommarfugl 	butterfly
kjøpe	buy
musvåk	buzzard
forresten	by the way
hodekål	cabbage
kakaotre	cacao
cadmium	cadmium
cesium	caesium
kafé (m); café (m)	café
kake (m)	cake
kalsium	calcium
kalv (m)	calf
californium	californium
kamel (m)	camel
kamuflasje (m)	camouflage
kunne	can
kanal	canal
kanarifugl	canary
kreft	cancer
kandidat	candidate
lys	candle
hamp	cannabis
canyon	canyon
storfugl; tiur	capercaillie
hovedstad	capital city
kapitalisme (m)	capitalism
vogn (m)	car
karamell	caramel
karbon (n)	carbon
karpe	carp
gulrot	carrot
kontanter; penger	cash
kaste (m)	caste
borg	castle
kattedyr (n); katt (m)	cat
larve (m)	caterpillar
krøtter; storfe; kveg	cattle
kaviar (m)	caviar
seder	cedar
tak (n)	ceiling
selleri	celery
mobiltelefon	cell phone
midt; midtpunkt (n)	center
skolopender (m)	centipede
cerium	cerium
kjede (n); kjetting (m); lenke	chain
gemse	chamois
løpe; forfølge	chase
skål	cheers
ost (m)	cheese
gepard (m)	cheetah
kjemi	chemistry
kirsebær (n); morell (m)	cherry
sjakk (m)	chess
brystkasse	chest
kastanje (m)	chestnut
barn (n); mindreårig (m)	child
hake	chin
meisel	chisel
klor	chlorine
sjokolade (m)	chocolate
valg	choice
kor (n)	choir
akkord; note; noter	chord
krom	chromium
kirke (f)	church
sigarett (m)	cigarette
kino (m)	cinema
kanel	cinnamon
sirkel	circle
by	city
klarinett (m)	clarinet
gjøre; rent	clean
klitoris (m)	clitoris
lukke; stenge	close
bekledning (f)	clothes
klovn (m)	clown
klubb (m)	club
kyst	coast
kobolt	cobalt
hane (m)	cock
kakerlakk (m)	cockroach
kokosnøtt (f'm)	coconut
torsk (m)	cod
kiste (m); gravkiste (m)	coffin
kognitiv psykologi	cognitive psychology
mynt (m)	coin
forkjølelse (m)	cold
kald krig (n)	cold war
kolon (n)	colon
oberst (m)	colonel
slagsmål	combat
komme	come
komedie	comedy
fiskemåke	common gull
kommunisme (m)	communism
kommunist (m)	communist
kompass	compass
datamaskin (m)	computer
programmeringsspråk (n)	computer language
konsentrasjonsleir (m)	concentration camp
betong (m)	concrete
kondom (m); gummi (m)	condom
gratulerer; gratulasjoner (m)	congratulations
konjunksjon (m); bindeord (n)	conjunction
støttevev	connective tissue
grunnlov (m)	constitution
kontinent (n)	continent
kontinentaldrift	continental drift
samtale (m); konversasjon (m)	conversation
kokk (m)	cook
kobber	copper
mais	corn
lik (n)	corpse
korridor (m)	corridor
greve (m)	count
landsens	country
fetter (m); kusine (f); søskenbarn (n) 	cousin
ku (f)	cow
krabbe	crab
trane (m)	crane
fløte	cream
skape	create
cricket (m)	cricket
kryss (n)	cross
kryssord	crossword
kråke (f)	crow
flokk (m); mengde (m); folkehav (n)	crowd
krone	crown
grusom	cruel
krystall	crystal
gjøk	cuckoo
agurk (m)	cucumber
kultur (m)	culture
fitte; kuse; mus	cunt
curium	curium
valuta	currency
forbannelse (m)	curse
gardin (m)	curtain
