Sanskrit	English
हंस (m) (haṃsá)	goose
व्याकरण (n) (vyākaraṇa)	grammar
draakshaa sg, draaksaa pl (f)	grape
केश 	hair
अकेश (akeśa)	hairless
हस्त (m) (hasta)	hand
शुभं जन्मदिनम् (śubhaṃ janmadinam)	happy birthday
यभति (yabhati)	have sex
हृदय (n) (hṛdaya)	heart
हीलियम	helium
नरक (naraka)	hell
नमस्कार (namaskāram); नमस्ते (namaste)	hello
इतिहास (m) (itihāsa)	history
समलिङ्गकामिन् (samaliṅgakāmin)	homosexual
मधु (madhu)	honey
शृङ्ग (n) (śṛṅga)	horn
अश्व (m) (áśva); घोटक (m) (ghoṭaka); तुरग (m) (turá-ga); अर्वन् (m) (árvan); हय (m) (háya)	horse
चिकित्सालय (m) (cikitsālaya)	hospital
मनुष्य (manuṣya)	human
मनुष्य (manuṣya)	human being
शततमः (śatatamaḥ)	hundred
प्रेत	hungry ghost
लुब्धक (lubdhaka)	hunter
हाइड्रोजन	hydrogen
अत्यावश्यक	important
धूपं, (dhUpam)	incense
अन्ताराष्ट्रिय (antārāṣṭrīya)	international
अकर्मक (akarmaka)	intransitive
लोह (loha)	iron
अस्ति (asti)	is
जलवेष्टितभूमिः	island
हर्ष (m) (harṣa)	joy
राजा (m) (rājā); केसरी (m) (kesarī)	king
राजा पशूनाम् (rājā paśūnām)	king of beasts
जानु (n) (jānu)	knee
लक्षं (lakṣaṇ)	lakh
भूमि (bhūmi)	land
भाषा (f) (bhāṣā)	language
धातु (m) (dhātu)	layer
अलसः (alasaha)	lazy
पाद (pāda)	leg
वर्ण (m) (várṇa)	letter
जीवनं; जीवित (n) (jīvitá)	life
दीपस्तंभः (dīpastaṃbhah)	lighthouse
भाषाविज्ञान (m) (bhāṣāvijñāna)	linguistics
केसरी (kesarī); सिंह (m) (siṃha)	lion
सिंहा (f) (siṃhā)	lioness
लिथियम	lithium
अल्प (álpa)	little
यकृत् (yakṛt)	liver
मुषली	lizard
प्रीतिः (prītiḥ)	love
तन्त्री (tantrī)	lute
विवाहार्थं प्रार्थयते (vivāhārthaṃ prārthayate)	make love
बहु (bahu)	many
गञ्जा (f) (gañjā)	marijuana
पुंलिङ्ग (puṃliṅga)	masculine
ह्स्त्मैथुन (hastmaithun)	masturbate
हस्तमैथुन (m) (hastamaithuna)	masturbation
गणितं	mathematics
मानः (man)	maund
भोजन (bhojan)	meal
संदेश (m) (saṃdeśa)	message
दुग्ध (dugdh); क्षीर (kšīr)	milk
दशलक्षं (daśalakṣa)	million
दर्पण (darpaṇa)	mirror
mih (to pour), miks (to mix)	mix
मठ (maṭha)	monastery
धनः (dhanaḥ); अर्थः (arthaḥ)	money
वानरः (vānarah) (g'sa)	monkey
चन्द्र 	moon
मातृ (f)	mother
गिरी (girī) (g'sa)	mountain
आस् (n) (ās)	mouth
बहु (bahu)	much
मुद्रा (f) (mudrā)	mudra
अम्बा 	mummy
छत्राकम् (chatrākam)	mushroom
सङ्गीत (n) (saṅgīta)	music
मम नाम... (mama naama)	my name is
नख 	nail
नामन् (n) (nā́man)	name
राष्ट्रीय (rāṣṭrīya)	national
नाभि (f) (nābhi)	navel
नपुंसाकलिङ्ग (napuṃsākaliṅga)	neuter
रात्रिः (rātriḥ); क्षप् (f) (kṣáp)	night
दुःस्वप्न (m) (duḥsvapna)	nightmare
नवम् (návam)	nine
ऊनविंशति (ūnaviṃśáti), नवदशन् (návadaśan)	nineteen
(<u>s</u>á<u>nn</u>avati)	ninety
निर्वाण (nirvāṇa)	nirvana
न (na)	no
उत्तर (m) (uttara)	north
नासिका (nāsikā)	nose
न (na)	not
नामन् (n) (nā́man)	noun
jatiphala (f)	nutmeg
कर्म (karma)	object
ॐ (IAST 'oṃ')	om
सर्वविद्य (sarvavidya)	omniscient
पुराकाले (pūrākāle); कदाचित् (kadājit)	once upon a time
एक (éka)	one
अम्लकरः	oxygen
पृष्ठ (parṣṭha)	page
शिश्न (n) (śiśna)	penis
।; दंड (m) (daṇḍá)	period
सरला (sárala)	pine
ग्रह (graha)	planet
हल (m) (hal)	plough
कविता (kavitā)	poetry
विष (viṣa)	poison
बहुकोणः (bahukoṇa)	polygon
दन्तबीज (m) (dantabīja)	pomegranate
अदानः (adānaḥa)	poor
आलू (ālū)	potato
गर्भवती (garbhavatī)	pregnant
प्रथमम् (prathamám)	previously
प्रधानमन्त्रिन् (pradhānamantrin)	prime minister
पण्डित (m) (paṇḍitá)	pundit
राज्ञी (f) (rājñī)	queen
राज्ञी पशूनाम् (rājñī paśūnām)	queen of beasts
वृष्टि (f) (vṛṣṭí); वर्षा (f) (varṣā́); पर्जन्य (m) (parjánya)	rain
राजा (rājā)	rajah
विरल (viral)	rare
शीतकपाटगृह (šītkapātgrūha)	refrigerator
धर्म (m) (dharma)	religion
ताणडुल	rice
नदी 	river
षतपुष्पि (ṣatapuṣpi)	rose
रूप्यकम् (rupyakam)	rupee
केसर (n)	saffron
लवण (n) (lavaṇa)	salt
चन्दन (ćandana) (m)	sandalwood
संधि (saṃ-dhí)	sandhi
षाटी (ṣāṭī)	sari
पण्डित (m) (paṇḍit)	scholar
विद्यालय (vidyālaya)	school
वृश्चिक (m) (vṛścika)	scorpion
अण्डकोष (aṇḍakoṣa)	scrotum
समुद्र	sea
मध्यमपुरुष	second person
वेत्ति (vetti)	see
रेतस् (n) (retas)	semen
सप्तन् (saptán)	seven
saptádashan	seventeen
सप्तम	seventh
(a<u>st</u>asaptati, a<u>st</u>aasaptati)	seventy
शृङ्गारिन् (śṛiṅgārin)	sexy
अवि (m)	sheep
अविपाल (m)	shepherd
पृष्ठ (parṣṭha)	side
पाप (m) (pāpá)	sin
षष् (ṣáṣ), (षण् (unicode'(ṣaṇ)), shasta- ('prefix').)	six
(sódashan)	sixteen
षष्ठ	sixth
(saptá<u>s</u>a<u>st</u>i)	sixty
कपालः	skull
दास (m) (dāsa)	slave
अल्प (álpa)	small
सर्प (m) (sarpa)	snake
फेनकम्	soap
तिर्यग्योनिगमन (n) (tiryagyonigamana)	sodomy
पुत्र (m) (putrá)	son
स्वर (m) (svára); शब्द (m) (śabda); ध्वन् (m) (dhvan); नाद (m) (nāda)	sound
तडयति (tadayati)	spank
ताडन (tādana)	spanking
कुसुमाकरः (kusumākaraḥ)	spring
Madhu Patra	stevia
शक्तिः (f) (śaktiḥ)	strength
शर्करा (f) (śárkarā)	sugar
ऊष्ण (ūṣṇa)	summer
सूर्यमुखी (sūryamukhī) (f)	sunflower
स्वस्तिक (m) (svástika)	swastika
कृपाण 	sword
दूरभाषं (dūrabhāṣan)	telephone
देवालयः (dēvālayah)	temple
(dashan), दश (daśa)	ten
अनुगुरिहीतोसुमि (anugurihītosumi); धन्यवादः (dhan'yavādaḥ)	thank you
वस्तु (m) (vastu)	thing
प्रथमपुरुष (m) (prathamá-puruṣa)	third person
त्रयोदश 	thirteen
(saptátri'm'shat)	thirty
सहस्र (sahasra)	thousand
त्रि (tri), त्रयं (traya)	three
(l'sa'नरक) or (l'sa'वज्र) ('vajra') "thunderbolt," (also means "diamond")	thunderbolt
व्याघ्र (m)	tiger
जिह्वा (f) (jihvā)	tongue
दन्त (m) (danta)	tooth
पर्यटन	tourism
नगर (n) (nágara)	town
कोश (m) (kośa)	treasure
तरु (m) (taru); द्रुम (m) (druma); वृक्ष (m) (vṛkṣá); कुज (m) (ku-ja)	tree
सत्य (n) (satya)	truth
dvaadashan (rfscript'Deva)	twelve
ऊनत्रिंशत् (ūnatriṃśát)	twenty
द्वि (dvi)	two
अकाल (akāla)	unseasonable
उपत्यका (upatyakā)	valley
व्यसन (n) (vyasana-)	vice
विराम (virāma); ्	virama
विसर्ग (visarga); ः	visarga
लोमज़िक (lomazika)	vixen
स्वर (m) (svará)	vowel
जल (jal); अंब (amba)	water
तरंग (m)	wave
तंतुवाय	weaver
स्वागतम (svāgatam)	welcome
श्वेत (śveta)	white
रूपाजीवा	whore
विधवा (vidhavā)	widow
वातः (vātaḥ); वायुः (vāyuḥ); अनिलः (anilaḥ); पवनः (pavanaḥ)	wind
हिम (m) (himá); हेमन्त (m) (hemanta)	winter
शब्द (m) (śábda)	word
शब्दः (śabdaḥ)	world
असार (asār)	worthless
लिख्	write
वर्षम् (varṣam)	year
हरिद्राभः (haridramaḥ)	yellow
ह्यस् (hyas)	yesterday
योग (m) (yóga)	yoga
युग (n) (yugá)	yoke
