English	Romanian
fruit	fruct
lunch	prânz
meal	masă
meat	carne
oil	ulei
rice	orez
salad	salată
salt	sare
sandwich	sandvis
sauce	sos
soup	ciorbă
sugar	zahăr
sweet	farmec
beer	bere
coffee	cafea
drink	băutură
milk	lapte
tea	ceai
water	apă
wine	vin
apple	măr
apricot	caisă
banana	banană
blackberry	mură
cherry	vişină
lemon	lămâie
nut	nucă
orange	portocală
peach	piersică
pear	pară
pineapple	ananas
plum	prună
raspberry	zmeură
strawberry	căpşună
bean	fasole
cabbage	varză
carrot	morcov
cucumber	castravete
garlic	usturoi
olive	măslină
onion	ceapă
parsnip	păstârnac
potato	cartof
radish	ridiche
tomato	roşie
baby	bebeluş
birth	naştere
birthday	zi de naştere
boy	băiat
brother	frate
child	copil
daughter	fiică
death	moarte
family	familie
father	tată
friend	prieten
girl	fetiţă
grandfather	bunică
human	fiinţă umană
husband	soţ
life	viaţă
man	bărbat
marriage	căsătorie
mother	mamă
neighbor	vecin
parent	părinte
person	persoană
relationship	relaţie
sister	sorã
son	fiu
wedding	nuntă
wedding	nuntă
wife	soţie
woman	femeie
address	adresă
bathroom	baie
bedroom	dormitor
brick	cărămidă
door	uşă
floor	podea
floor	etaj
garage	garaj
garden	grădină
gate	poartă
hall	foaier
home	casă
house	casă
kitchen	bucătărie
roof	acoperiş
room	cameră
shower	duş,burlan,jgheab
step	treaptă
toilet	toaletă
wall	zid
well	fântână
window	fereastră
bed	pat
carpet	covor
chair	scaun
cupboard	dulap
curtain	cortină
desk	birou
furniture	mobilă
seat	loc
shelf	raft
sink	chiuvetă
table	oamenii care stau la masă
bag	poşetă
boot	gheată
cloth	ţesătură
clothing	haine
coat	haină
collar	guler
hat	pălărie
jewel	piatră preţioasă
ring	inel
shirt	cămaşă
shoe	pantof
skirt	fustă
sock	şosetă
suitcase	valiza
tie	cravată
air	aer
animal	animal
branch	ramură
evolution	evoluţie
farm	fermă
field	câmp
fire	foc
flower	floare
forest	pădure
grass	iarbă
leaf	frunză
life	viață
lightning	fulger
moisture	umiditate
nature	natură
plant	plantă
root	rădăcină
sex	sex
sky	cer
sleep	somn
smell	miros
smoke	fum
spring	izvor
stem	tulpină
stream	curent
tree	pom
wave	val,undă
weather	vreme
world	lume
airport	aeroport
bank	bancă
bridge	a construi un pod peste
building	clădire
capital	capitală
castle	castel
church	biserică
cinema	cinematograf
city	oraş
factory	fabrică
flat	apartament
hospital	spital
hotel	hotel
library	bibliotecă
park	parc
prison	închisoare
restaurant	restaurant
road	drum
school	şcoală
station	post
street	stradă
structure	construcţie
subway	metrou
theater	teatru
town	oraş
university	universitar
village	sat
accident	accident
boat	barcă
bus	autobuz
car	automobil
curve	curbă
express	expres
flight	zbor
journey	voiaj
passenger	pasager
plane	avion
ship	navetă spaţială
track	şină
train	tren
transport	transport
actor	actor
businessman	om de afaceri
expert	expert
general	general
journalist	ziarist
judge	judecător
leader	conducător
minister	ministru
musician	muzician
photographer	fotograf
pilot	pilot
policeman	poliţist
politician	politician
president	preşedinte
professional	profesionist
representative	reprezentant
sailor	marinar
scientist	om de ştiinţă
secretary	secretar
servant	servitor
soldier	soldat
writer	scriitor
bank	mal
beach	plajă
current	curent
direction	direcţie
Earth	Pământ
east	est
height	altitudine
hill	deal
island	insulă
lake	lac
land	pământ
map	hartă
Moon	lună
north	nord
plain	câmpie
region	regiune
river	fluviu
sea	mare
south	sud
space	spaţiu
star	stea
sun	soare
west	vest
cloud	nor
dew	rouă
fog	ceaţă deasă
frost	brumă
rain	ploaie
rainbow	curcubeu
snow	zăpadă
storm	furtună
thunder	tunet
wind	vânt
acid	acid
chemical	produs chimic
chemical element	element chimic
coal	cărbune
cotton	bumbac
dust	praf
earth	pământ
fat	grăsime
glass	sticlã
glue	clei
grain	bob
ice	gheaţă
iron	fier
leather	piele
liquid	lichid
matter	materie
metallic element	metal
oil	petrol
poison	otravă
powder	praf
sand	nisip
silk	mătase
soap	săpun
steel	oţel
wood	lemn
wool	lână
bag	sacoşă
basket	coş
bottle	sticlă
box	cutie
cup	ceaşcă
drawer	sertar
envelope	plic
glass	pahar
plate	farfurie
bell	clopot
button	nasture
gun	armă de foc
hammer	ciocan
hook	cârlig
key	cheie
lock	ială,închizătoare
match	chibrit
nail	cui
needle	ac
pump	pompă
rope	coardă
scissors	foarfece
spring	resort
stamp	ştampilă
whip	bici
addition	adunare
angle	unghi
area	arie
center	centru
circle	cerc
curve	curbă
degree	grad
degree	nivel
difference	diferenţă
distance	distanţă
division	împărţire
edge	margine
element	element
function	rol
limit	limită
line	linie
net	plasă
outside	afară
percent	parte
point	punct
purpose	scop
result	urmare
rule	regulă
set	mulțime
side	parte
square	pătrat
square	pătrat
substitution	schimb
surface	suprafaţă
total	sumă
ability	putinţă
act	act
action	acţiune
activity	dinamism
addition	adaos
amount	cantitate
attack	atac
attempt	tentativă
attitude	atitudine
back	spate
behavior	comportament
bit	bucăţică
blow	lovitură
break	pauză
campaign	campanie
case	caz
chance	oportunitate
change	schimbare
choice	alegere
condition	condiţie
connection	conector
crack	crăpătură
cut	întrerupere
damage	pagubă
danger	pericol
death	moarte
decoration	ornament
destruction	distrugere
detail	detaliu
dominance	putere
drop	picătură
duty	datorie
effort	efort
fall	cădere
feature	caracteristică
fight	luptă
front	parte din faţă
hit	lovitură
hole	gaură
increase	creştere
increase	crestere
internet	internet
jolt	zdruncinătură
kick	lovitură cu piciorul
kind	fel
knot	nod
list	listă
majority	majoritate
matter	chestiune
mind	minte
operation	funcţionare
opposite	opus
outburst	salvă
part	parte
part	parte
piece	bucată
place	loc
position	loc
power	putere
practice	practică
project	îndatorire
property	proprietate
quality	calitate
quiet	seninătate
reach	bătaie
responsibility	responsabilitate
rest	odihnă
return	întoarcere
rise	ascensiune
risk	pericol
seat	loc
set	set
silence	linişte
situation	situaţie
slice	bucată
state	stare
step	pas
stop	oprire
taste	gust
thing	lucru
top	punct culminant
touch	atingere
treatment	tratament
tremble	tremur
trick	şiretlic
type	tip
use	uz
way	fel
wear	uzură
whole	tot
will	voinţă
wish	pretenţii
art	artă
artist	artist (plastic)
band	trupă
brush	perie
color	culori
concert	concert
design	schiţă
diversity	diversitate
entertainment	distracţie
hit	hit
ink	cerneală
invention	invenţie
manner	mod
movie	film
museum	muzeu
music	muzica
note	notă
orchestra	orchestră
paint	vopsea
painting	tablou
paper	hârtie
pen	stilou
pencil	creion
picture	imagine
poem	poem
poetry	versuri
rhythm	ritm
shape	formă
singer	cântăreţ
song	cîntec
stage	scenă
style	stil
vogue	modă
account	cont
advantage	avantaj
advertisement	publicitate
advice	sfat
agreement	înţelegere
attention	atenţie
authority	autoritate
banknote	bancnotă
bargain	afacere
brand	marcă
business	magazin
capital	capital
change	mărunt
cheque	cec
committee	comitet
company	companie
competition	concurenţă
complaint	acuzaţie
contract	contract
copy	copie
council	consiliu
course	oră
customer	client
demand	nevoie
department	departament
difficulty	greutăţi
director	director
economy	economie
environment	mediu înconjurător
experience	experienţă
firm	firmă
form	formular
group	grup
help	ajutor
holiday	vacanţă
income	venit
industry	industrie
insurance	asigurare
interest	interes
invoice	carnet de cecuri
job	ocupaţie
law	lege
leave	permisie
loss	pierdere
management	îndrumare
mark	semn
market	piaţă
material	material
mean	medie
meeting	întâlnire
money	bani
occupation	ocupaţie
offer	ofertă
office	birou
officer	ofiţer de poliţie
owner	proprietar
package	pachet
payment	plată
plan	plan
price	preţ
problem	problemă
product	produs
profit	profit
property	proprietate
rate	tarif
rest	rest
reward	răsplată
right	drept
sale	vânzare
section	divizie
service	serviciu
share	acţiune
shop	magazin
skill	abilitate
success	succes
support	sprijin
table	tabel
tax	taxă
team	echipă
trade	comerţ
value	valoare
work	loc de muncă
worker	muncitor
announcement	anunţ
answer	răspuns
approval	aprobare
argument	argument
book	carte
call	apel
character	caracter
controversy	ceartă
cry	strigăt
data	date
decision	decizie
dictionary	dicţionar
discussion	discuţie
doubt	dubiu
experience	încercare
feeling	sentiment
humor	umor
idea	idee
interest	interes
interview	interviu
language	limbă
language	limbă
letter	literă
letter	scrisoare
lie	minciună
look	privire
magazine	revistă
mail	poştă
memory	memorie
memory	amintire
mistake	greşeală
name	nume
newspaper	ziar
note	notã
number	număr
opinion	părere
page	pagină
pronunciation	pronunţare
proposal	propunere
protest	protest
question	întrebare
reaction	reacţie
reason	motiv
relation	relaţii
request	rugăminte
secret	secret
sentence	frază
sign	simbol
speech	limbă
spelling	ortografie
standard	criteriu
subject	subiect
suggestion	propunere
voice	voce
word	promisiune
writing	scris
good day	bună ziua
good luck	noroc, mult noroc !
hello	salut!
how are you	ce mai faceți? (formal), ce mai faci? (informal)
many thanks	multe mulțumiri
no	nu
yes	da
Britain	Regatul Unit
China	China, China
Czech Republic	Republica Cehă, Republica Cehă
France	Republica Franceză, Republica Franceză
Germany	Republica Federală Germană, Republica Federală Germană
India	Republica India, Republica India
Italy	Italia, Italia
Japan	Japonia, Japonia
Spain	Regatul Spaniei, Regatul Spaniei
United States of America	Statele Unite ale Americii
camera	aparat de fotografiat
camera	aparat de fotografiat
cellular phone	telefon celular
clock	ceas
computer	computer
elevator	lift
engine	motor
instrument	instrument
machine	maşină
oven	cuptor
television	televizor
watch	ceas
class	clasă
education	educaţie
education	educație
education	studii
examination	examen
grade	notă
knowledge	cunoaştere
student	student
teacher	profesor
training	pregătire
fear	frică
hate	ură
love	dragoste
pleasure	plăcere
promise	speranţă
shock	şoc
care	în grija
cold	răceală
cough	tuse
disease	boală
doctor	doctor
health	sănătate
nurse	infirmieră
operation	operaţie
pain	durere
patient	pacient
stitch	punct
blade	lamă
board	scândură
card	carte (de joc)
chain	lanţ
club	băţ
cover	capac
feather	pană
flag	steag
frame	cadru
handle	mâner
nut	piuliţă
pin	ac cu gămălie
pipe	ţeavă
postage	tarif poştal
present	cadou
sail	corabie
scroll	buclă
seed	sămânţă
stick	baston
stone	piatră
ticket	bilet
wheel	roată
wire	sârmă
balance	echilibru
bulk	masă
charge	încărcătură
energy	energie
light	lumină
mass	masă
mirror	oglindă
movement	mişcare
pressure	presiune
process	proces
size	măsură
sound	sunet
steam	abur
strength	forţă
time	timp
unit	unitate
weight	greutate
boyfriend	prieten
date	întâlnire
guest	oaspete
honey	dragă
kiss	sărut
party	sărbătoare
sex	sex
smile	zâmbet
surprise	surpriză
visit	vizită
alternative	alegere
biology	biologie
cause	cauză
chemistry	chimie
comparison	comparaţie
consequence	consecinţă
control	control
discovery	descoperire
event	eveniment
evidence	probă
example	specimen
fact	fapt
issue	chestiune
kernel	esenţă
method	metodă
model	model
phase	fază
procedure	procedură
production	producţie
program	program
project	proiect
range	cuprins
research	cercetare
research	anchetă
science	ştiinţă
society	societate
system	sistem
technology	tehnologie
theory	teorie
trend	tendinţă
trouble	necaz
user	utilizator
army	armată
base	bază
club	club
company	companie
contest	concurs
country	ţară
court	curte
crime	delict
culture	cultură
democracy	republică
dominion	autoritate
election	alegeri
existence	existenţă
government	guvern
history	istorie
individual	individ
institution	institutie
king	rege
male	mascul
member	membru
nation	naţiune
news	noutate
noise	zgomot
order	ordin
organization	organizaţie
passport	paşaport
peace	pace
people	oameni
police	poliţist
policy	politică
population	populaţie
public	populaţie
punishment	pedeapsă
religion	credinţă
religion	religie
state	stat
title	titlu
union	unire
war	război
will	voinţă
will	testament
award	distincţie
ball	balon
baseball	baseball
bike	bicicletă
championship	campionat
competitor	concurent
cup	cupă
football	fotbal
game	joc
goal	gol
goal	scop
gold	ban de aur
golf	golf
jump	salt
match	vânat
player	jucător
record	record
silver	argint
tennis	tenis
throw	aruncare
win	victorie