熱情／热情 (rèqíng)
人們／人们 (rénmen)
人民 (rénmín)
任何 (rènhé)
認識／认识 (rènshi)
認為／认为 (rènwéi)
認真／认真 (rènzhēn)
日語／日语 (Rìyǔ)
日子 (rìzi)
容易 (róngyì)
散步 (sànbù)
商店 (shāngdiàn)
上邊／上边 (shàngbiān)
上課／上课 (shàngkè)
上來／上来 (shànglái)
上去 (shàngqù)
上午 (shàngwǔ)
上學／上学 (shàngxué)
社會／社会 (shèhuì)
身體／身体 (shēntǐ)
什麼／什么 (shénme)
聲調／声调 (shēngdiào)
聲音／声音 (shēngyīn)
生產／生产 (shēngchǎn)
生詞／生词 (shēngcí)
生活 (shēnghuó)
生日 (shēngrì)
勝利／胜利 (shènglì)
師傅／师傅 (shīfu)
十分 (shífēn)
時候／时候 (shíhou)
時間／时间 (shíjiān)
實踐／实践 (shíjiàn)
實現／实现 (shíxiàn)
食堂 (shítáng)
使用 (shǐyòng)
世界 (shìjiè)
事情 (shìqing)
收拾 (shōushí)
手錶／手表 (shǒubiǎo)
首都 (shǒudū)
舒服 (shūfu)
數學／数学 (shùxué)
水果 (shuǐguǒ)
水平 (shuǐpíng)
睡覺／睡觉 (shuìjiào)
說明／说明 (shuōmíng)
思想 (sīxiǎng)
宿舍 (sùshè)
雖然／虽然 (suīrán)
所以 (suǒyǐ)
所有 (suǒyǒu)
他們／他们 (tāmen)
它們／它们 (tāmen)
她們／她们 (tāmen)
太陽／太阳 (tàiyáng)
態度／态度 (tàidù)
討論／讨论 (tǎolùn)
特別／特别 (tèbié)
提高 (tígāo)
體育／体育 (tǐyù)
天氣／天气 (tiānqì)
條件／条件 (tiáojiàn)
跳舞 (tiàowǔ)
聽見／听见 (tīngjiàn)
聽說／听说 (tīngshuō)
聽寫／听写 (tīngxiě)
通過／通过 (tōngguò)
通知 (tōngzhī)
同時／同时 (tóngshí)
同學／同学 (tóngxué)
同意 (tóngyì)
同志 (tóngzhì)
痛快 (tòngkuài)
突然 (tūrán)
圖書館／图书馆 (túshūguǎn)
團結／团结 (tuánjié)
襪子／袜子 (wàzi)
外邊／外边 (wàibian)
外國／外国 (wàiguó)
外語／外语 (wàiyǔ)
完成 (wánchéng)
完全 (wánquán)
玩兒／玩儿 (wánr)
晚飯／晚饭 (wǎnfàn)
晚會／晚会 (wǎnhuì)
晚上 (wǎnshàng)
危險／危险 (wēixiǎn)
偉大／伟大 (wěidà)
為了／为了 (wèile)
為什麼／为什么 (wèishénme)
文化 (wénhuà)
文學／文学 (wénxué)
文學家／文学家 (wénxuéjiā)
文藝／文艺 (wényì)
文章 (wénzhāng)
問好／问好 (wènhǎo)
問題／问题 (wèntí)
我們／我们 (wǒmen)
握手 (wòshǒu)
屋子 (wūzi)
午飯／午饭 (wǔfàn)
物理 (wùlǐ)
西邊／西边 (xībian)
希望 (xīwàng)
習慣／习惯 (xíguàn)
喜歡／喜欢 (xǐhuan)
洗澡 (xǐzǎo)
下邊／下边 (xiàbiān)
下課／下课 (xiàkè)
下來／下来 (xiàlái)
下去 (xiàqù)
下午 (xiàwǔ)
夏天 (xiàtiān)
先生 (xiānsheng)
現代／现代 (xiàndài)
現在／现在 (xiànzài)
相信 (xiāngxìn)
香蕉 (xiāngjiāo)
消息 (xiāoxi)
小孩兒／小孩儿 (xiǎoháir)
